s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2
Time,HFG_x5_y10,HFG_x10_y10,HFG_x15_y10,HFG_x22_y10,HFG_x5_y30,HFG_x10_y30,HFG_x15_y30,HFG_x22_y30,HFG_x5_y50,HFG_x10_y50,HFG_x15_y50,HFG_x22_y50,HFG_x5_y70,HFG_x10_y70,HFG_x15_y70,HFG_x22_y70,HFG_x5_y90,HFG_x10_y90,HFG_x15_y90,HFG_x22_y90,HFG_x5_y110,HFG_x10_y110,HFG_x15_y110,HFG_x22_y110,HFG_x5_y130,HFG_x10_y130,HFG_x15_y130,HFG_x22_y130
0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.21,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.4,0.2,0.23,0.21,0.15,0.05,0.05,0.05,0.04,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.6,0.78,1,0.92,0.57,0.14,0.15,0.14,0.12,0.04,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
0.8,1.2,1.8,1.54,0.82,0.2,0.23,0.21,0.17,0.07,0.06,0.06,0.06,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.02,0.02,0.02,0.03
1,1.83,3.08,2.13,1.09,0.28,0.32,0.28,0.22,0.09,0.07,0.08,0.08,0.04,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.02,0.02,0.03
1.2,2.57,3.82,2.61,1.21,0.36,0.41,0.38,0.26,0.1,0.09,0.09,0.08,0.04,0.04,0.04,0.05,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03,0.02,0.03,0.03
1.4,3.51,4.26,3.21,1.41,0.5,0.61,0.73,0.4,0.48,0.47,0.1,0.1,0.05,0.05,0.05,0.05,0.04,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03
1.6,4.78,5.31,4.19,1.57,0.67,1.01,0.72,0.5,0.33,0.25,0.29,0.19,0.19,0.27,0.19,0.06,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.03,0.03,0.02,0.03,0.03
1.8,6.8,7.41,4.5,1.76,1.3,1.19,0.95,0.39,0.57,0.4,0.34,0.33,0.43,0.3,0.24,0.07,0.12,0.09,0.22,0.15,0.03,0.03,0.04,0.04,0.03,0.02,0.03,0.03
2,10.36,7.88,5.29,1.86,2.42,1.25,0.89,0.4,1.49,0.56,0.4,0.14,0.84,0.45,0.29,0.18,0.55,0.5,0.29,0.17,0.04,0.04,0.08,0.15,0.03,0.03,0.04,0.03
2.2,12.43,10.89,5.4,1.91,2.89,2.16,0.7,0.4,1.11,0.4,0.33,0.13,1.16,0.47,0.25,0.14,1.04,0.88,0.25,0.12,0.41,0.61,0.27,0.23,0.03,0.03,0.04,0.05
2.4,14.08,15.93,6.61,2.21,3,3.13,0.89,0.49,1.38,1.11,0.6,0.17,1.07,0.48,0.17,0.12,0.78,0.46,0.21,0.14,1,0.64,0.32,0.07,0.42,0.55,0.38,0.14
2.6,12.55,18.32,5.77,2.13,5.97,3.16,1.04,0.52,3.66,1.75,0.79,0.24,1.91,0.96,0.52,0.19,1.07,0.47,0.11,0.09,0.83,0.39,0.16,0.09,0.89,0.34,0.21,0.07
2.8,13.33,29.55,10.49,2.55,6.08,2.94,1.14,0.58,1.64,1.07,0.66,0.25,1.63,0.97,0.47,0.2,2.2,1.32,0.39,0.18,1.59,0.68,0.31,0.07,0.87,0.38,0.26,0.07
3,13.17,16.34,6.71,2.3,5.92,4.91,2.32,0.65,2.51,1.23,0.9,0.52,1.3,0.82,0.71,0.21,0.91,0.88,0.66,0.25,0.78,0.49,0.33,0.19,0.82,0.56,0.42,0.09
