s,kW,kW,kW,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,m3/s,kg/s,kg/s
Time,"DC HRR","NIST HRR","FDS HRR","HFG-x5_z10","HFG-x5_z30","HFG-x5_z50","HFG-x5_z70","HFG-x5_z90","HFG-x5_z110","HFG-x5_z130","HFG-x10_z10","HFG-x10_z30","HFG-x10_z50","HFG-x10_z70","HFG-x10_z90","HFG-x10_z110","HFG-x10_z130","HFG-x15_z10","HFG-x15_z30","HFG-x15_z50","HFG-x15_z70","HFG-x15_z90","HFG-x15_z110","HFG-x15_z130","HFG-x22_z10","HFG-x22_z30","HFG-x22_z50","HFG-x22_z70","HFG-x22_z90","HFG-x22_z110","HFG-x22_z130","HFG-y5_z10","HFG-y5_z30","HFG-y5_z50","HFG-y5_z70","HFG-y5_z90","HFG-y5_z110","HFG-y5_z130","HFG-y10_z10","HFG-y10_z30","HFG-y10_z50","HFG-y10_z70","HFG-y10_z90","HFG-y10_z110","HFG-y10_z130","HFG-y15_z10","HFG-y15_z30","HFG-y15_z50","HFG-y15_z70","HFG-y15_z90","HFG-y15_z110","HFG-y15_z130","HFG-y22_z10","HFG-y22_z30","HFG-y22_z50","HFG-y22_z70","HFG-y22_z90","HFG-y22_z110","HFG-y22_z130","GHF_z10","GHF_z35","GHF_z60","GHF_z85","GHF_z110","GHF_z135","RHF_z35","RHF_z85","O2amb","CO2amb","N2wamb","O2wamb","CO2wamb","H2Oamb","O2","CO","CO2","SOOT","H2O","T","VF","MF","CO_MF"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.1298402E-002, 1.1301290E-002, 1.1301426E-002, 1.1300563E-002, 1.1299646E-002, 1.1298218E-002, 1.1295816E-002, 1.1298231E-002, 1.1300804E-002, 1.1300872E-002, 1.1299907E-002, 1.1298843E-002, 1.1297280E-002, 1.1294836E-002, 1.1298097E-002, 1.1300422E-002, 1.1300459E-002, 1.1299454E-002, 1.1298295E-002, 1.1296638E-002, 1.1294211E-002, 1.1297987E-002, 1.1299918E-002, 1.1299831E-002, 1.1298800E-002, 1.1297559E-002, 1.1295846E-002, 1.1293504E-002, 1.1298317E-002, 1.1301106E-002, 1.1301583E-002, 1.1300954E-002, 1.1300092E-002, 1.1298764E-002, 1.1296456E-002, 1.1298570E-002, 1.1300805E-002, 1.1301121E-002, 1.1300471E-002, 1.1299546E-002, 1.1298082E-002, 1.1295501E-002, 1.1298533E-002, 1.1300620E-002, 1.1300787E-002, 1.1300073E-002, 1.1299074E-002, 1.1297482E-002, 1.1294794E-002, 1.1298282E-002, 1.1300305E-002, 1.1300285E-002, 1.1299417E-002, 1.1298258E-002, 1.1296480E-002, 1.1293919E-002, 8.5211458E-002, 8.5211458E-002, 8.5211458E-002, 8.5211458E-002, 8.5211458E-002, 8.5211458E-002, 6.2814872E-002, 6.2814872E-002, 2.0954574E-001, 3.9011087E-004, 7.8257273E-001, 2.0755882E-001, 3.8641183E-004, 9.4820369E-003, 2.0954574E-001, 0.0000000E+000, 3.9011087E-004, 0.0000000E+000, 9.4820369E-003, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0105025E-001, 3.0724605E-014, 3.8520003E-014, 1.9004542E-001, 1.5376092E-002, 1.3811077E-002, 1.3566116E-002, 1.3485281E-002, 1.3444503E-002, 1.3421994E-002, 1.3408948E-002, 1.5626606E-002, 1.3823747E-002, 1.3547697E-002, 1.3464827E-002, 1.3428847E-002, 1.3410901E-002, 1.3400768E-002, 1.5581681E-002, 1.3827709E-002, 1.3533381E-002, 1.3447607E-002, 1.3415504E-002, 1.3401421E-002, 1.3393924E-002, 1.5008740E-002, 1.3744358E-002, 1.3492766E-002, 1.3419437E-002, 1.3396223E-002, 1.3388526E-002, 1.3385548E-002, 1.5192537E-002, 1.3759709E-002, 1.3500286E-002, 1.3439797E-002, 1.3422257E-002, 1.3412994E-002, 1.3405736E-002, 1.5489585E-002, 1.3788799E-002, 1.3491170E-002, 1.3431005E-002, 1.3414653E-002, 1.3405807E-002, 1.3399060E-002, 1.5504219E-002, 1.3764552E-002, 1.3478791E-002, 1.3423259E-002, 1.3407170E-002, 1.3398703E-002, 1.3392947E-002, 1.4915091E-002, 1.3648533E-002, 1.3461143E-002, 1.3414035E-002, 1.3396763E-002, 1.3389205E-002, 1.3385636E-002, 1.7176794E-002, 1.7202529E-002, 1.7124713E-002, 1.7091898E-002, 1.7083512E-002, 1.7080494E-002,-1.5829646E-003,-1.6767482E-003, 2.0954574E-001, 3.9011087E-004, 7.8257273E-001, 2.0755882E-001, 3.8641183E-004, 9.4820369E-003, 2.0954574E-001, 0.0000000E+000, 3.9011087E-004, 0.0000000E+000, 9.4820369E-003, 1.9999021E+001, 1.0353536E-001, 1.2371438E-001, 0.0000000E+000
 4.0035287E-001, 9.3888391E-014, 1.1770960E-013, 4.9481888E-001, 6.3362173E-002, 2.3737536E-002, 1.6935458E-002, 1.5094788E-002, 1.4442402E-002, 1.4178035E-002, 1.4057887E-002, 6.6974632E-002, 2.4011392E-002, 1.6911007E-002, 1.5042657E-002, 1.4405217E-002, 1.4152849E-002, 1.4037502E-002, 6.5670782E-002, 2.3576347E-002, 1.6753342E-002, 1.4986450E-002, 1.4390333E-002, 1.4150301E-002, 1.4036999E-002, 5.2842384E-002, 2.1421489E-002, 1.6202655E-002, 1.4817214E-002, 1.4339352E-002, 1.4140139E-002, 1.4044621E-002, 6.2608409E-002, 2.3769855E-002, 1.7005607E-002, 1.5123916E-002, 1.4455776E-002, 1.4185048E-002, 1.4061775E-002, 6.6376561E-002, 2.4024226E-002, 1.6981502E-002, 1.5096325E-002, 1.4445261E-002, 1.4180496E-002, 1.4055767E-002, 6.5524828E-002, 2.3597164E-002, 1.6807175E-002, 1.5052466E-002, 1.4452434E-002, 1.4199904E-002, 1.4074044E-002, 5.2999816E-002, 2.1436093E-002, 1.6222819E-002, 1.4871182E-002, 1.4406318E-002, 1.4206694E-002, 1.4104661E-002, 2.0392857E-002, 1.9341311E-002, 1.8386713E-002, 1.7921147E-002, 1.7631292E-002, 1.7455309E-002, 2.3498210E-004,-9.7182404E-004, 2.0954574E-001, 3.9011087E-004, 7.8257273E-001, 2.0755882E-001, 3.8641183E-004, 9.4820369E-003, 2.0954574E-001, 0.0000000E+000, 3.9011087E-004, 0.0000000E+000, 9.4820369E-003, 1.9998160E+001, 2.0935628E-001, 2.5016058E-001, 0.0000000E+000
 6.0181882E-001, 1.4125074E-013, 1.7708865E-013, 7.5821970E-001, 2.1119196E-001, 5.2425786E-002, 2.5463407E-002, 1.8374730E-002, 1.5959869E-002, 1.4998962E-002, 1.4563387E-002, 2.2872919E-001, 5.3825938E-002, 2.5689848E-002, 1.8437231E-002, 1.5981006E-002, 1.4996167E-002, 1.4541187E-002, 2.2755376E-001, 5.2253124E-002, 2.5281326E-002, 1.8405192E-002, 1.6050414E-002, 1.5070954E-002, 1.4598277E-002, 1.7108058E-001, 4.3623298E-002, 2.3377825E-002, 1.7924553E-002, 1.5970295E-002, 1.5124555E-002, 1.4705634E-002, 2.1196633E-001, 5.2475582E-002, 2.5534657E-002, 1.8433607E-002, 1.5989304E-002, 1.5008615E-002, 1.4564757E-002, 2.2955661E-001, 5.3861340E-002, 2.5761977E-002, 1.8501709E-002, 1.6014905E-002, 1.5009826E-002, 1.4545881E-002, 2.2321531E-001, 5.2120896E-002, 2.5376337E-002, 1.8473469E-002, 1.6083663E-002, 1.5085906E-002, 1.4605243E-002, 1.7309000E-001, 4.4040136E-002, 2.3494099E-002, 1.7949751E-002, 1.5974233E-002, 1.5125299E-002, 1.4706294E-002, 3.0346229E-002, 2.5381551E-002, 2.2660103E-002, 2.0834228E-002, 1.9575556E-002, 1.8776972E-002, 5.3691119E-003, 1.5044221E-003, 2.0954574E-001, 3.9011087E-004, 7.8257273E-001, 2.0755882E-001, 3.8641183E-004, 9.4820369E-003, 2.0954574E-001, 1.8786757E-114, 3.9011087E-004, 8.7625025E-114, 9.4820369E-003, 1.9997446E+001, 2.9954702E-001, 3.5793071E-001, 6.4887342E-115
 8.0107613E-001, 1.7751387E-013, 2.2255240E-013, 1.0599916E+000, 5.0200791E-001, 1.0850726E-001, 4.2342243E-002, 2.5052331E-002, 1.9161365E-002, 1.6799398E-002, 1.5706470E-002, 6.1369641E-001, 1.1956904E-001, 4.4218974E-002, 2.5423508E-002, 1.9196537E-002, 1.6728026E-002, 1.5586342E-002, 5.9337482E-001, 1.1356198E-001, 4.2793513E-002, 2.5210566E-002, 1.9296794E-002, 1.6867788E-002, 1.5699661E-002, 4.0782443E-001, 8.7886282E-002, 3.7386798E-002, 2.3893216E-002, 1.9110747E-002, 1.7059309E-002, 1.6037979E-002, 5.0457765E-001, 1.0892023E-001, 4.2421107E-002, 2.5055869E-002, 1.9147666E-002, 1.6783558E-002, 1.5692149E-002, 6.1308323E-001, 1.1969989E-001, 4.4258637E-002, 2.5421964E-002, 1.9184727E-002, 1.6715395E-002, 1.5574621E-002, 5.8611474E-001, 1.1336661E-001, 4.2785583E-002, 2.5206808E-002, 1.9290220E-002, 1.6860782E-002, 1.5692917E-002, 4.0740097E-001, 8.7871023E-002, 3.7383712E-002, 2.3886184E-002, 1.9101803E-002, 1.7052250E-002, 1.6033561E-002, 4.8036997E-002, 3.7398645E-002, 3.0755763E-002, 2.6258629E-002, 2.3201650E-002, 2.1269987E-002, 1.5583119E-002, 6.1150722E-003, 2.0954574E-001, 3.9011087E-004, 7.8257273E-001, 2.0755882E-001, 3.8641183E-004, 9.4820369E-003, 2.0954574E-001, 4.4293626E-095, 3.9011087E-004, 2.0659394E-094, 9.4820369E-003, 1.9996877E+001, 3.7084227E-001, 4.4312275E-001, 1.8939761E-095
 1.0009357E+000, 2.0532667E-013, 2.5742183E-013, 1.3604333E+000, 9.4189842E-001, 1.5985369E-001, 5.6373321E-002, 3.0339716E-002, 2.1676806E-002, 1.8235921E-002, 1.6629718E-002, 1.4275610E+000, 1.9408371E-001, 6.2110134E-002, 3.1422335E-002, 2.1746007E-002, 1.8040366E-002, 1.6357702E-002, 1.4107566E+000, 1.8172304E-001, 5.9383828E-002, 3.0958955E-002, 2.1824034E-002, 1.8203857E-002, 1.6502213E-002, 8.4614559E-001, 1.2764657E-001, 4.9072235E-002, 2.8639767E-002, 2.1572352E-002, 1.8600644E-002, 1.7129004E-002, 9.5446694E-001, 1.6100175E-001, 5.6635175E-002, 3.0375864E-002, 2.1655316E-002, 1.8206374E-002, 1.6603251E-002, 1.4246285E+000, 1.9465875E-001, 6.2198330E-002, 3.1398095E-002, 2.1704694E-002, 1.8004889E-002, 1.6330283E-002, 1.3357303E+000, 1.8065148E-001, 5.9196801E-002, 3.0871922E-002, 2.1766888E-002, 1.8164621E-002, 1.6475799E-002, 8.2668640E-001, 1.2720132E-001, 4.9064648E-002, 2.8635176E-002, 2.1548159E-002, 1.8570104E-002, 1.7102660E-002, 5.7619618E-002, 4.5695531E-002, 3.6753831E-002, 3.0323824E-002, 2.5908607E-002, 2.3120207E-002, 2.2634446E-002, 9.5701213E-003, 2.0954574E-001, 3.9011087E-004, 7.8257273E-001, 2.0755882E-001, 3.8641183E-004, 9.4820369E-003, 2.0954574E-001, 1.4120888E-083, 3.9011087E-004, 6.5862518E-083, 9.4820369E-003, 1.9996399E+001, 4.2588911E-001, 5.0889955E-001, 6.9343103E-084
 1.2023385E+000, 2.2573829E-013, 2.8301225E-013, 2.1413280E+000, 1.8612762E+000, 2.7728818E-001, 8.2714489E-002, 3.8951355E-002, 2.5351257E-002, 2.0159050E-002, 1.7791312E-002, 2.8732095E+000, 3.6640600E-001, 9.5587982E-002, 4.1361471E-002, 2.5636347E-002, 1.9919036E-002, 1.7412949E-002, 2.7363245E+000, 3.3953520E-001, 9.0677648E-002, 4.0508136E-002, 2.5689973E-002, 2.0140094E-002, 1.7631756E-002, 1.2283492E+000, 2.0224552E-001, 6.9011582E-002, 3.5972750E-002, 2.5051368E-002, 2.0615758E-002, 1.8488428E-002, 1.8821394E+000, 2.8109718E-001, 8.3453274E-002, 3.9143406E-002, 2.5381366E-002, 2.0132825E-002, 1.7750845E-002, 2.8568983E+000, 3.6856056E-001, 9.6386747E-002, 4.1603382E-002, 2.5671330E-002, 1.9886270E-002, 1.7368281E-002, 2.6329983E+000, 3.3769889E-001, 9.1011856E-002, 4.0708335E-002, 2.5742307E-002, 2.0132731E-002, 1.7611772E-002, 1.1900737E+000, 2.0052447E-001, 6.9095265E-002, 3.6059573E-002, 2.5079346E-002, 2.0615206E-002, 1.8481605E-002, 6.9473900E-002, 5.6650895E-002, 4.4968853E-002, 3.5968321E-002, 2.9657255E-002, 2.5626153E-002, 3.1945080E-002, 1.4367325E-002, 2.0954574E-001, 3.9011087E-004, 7.8257273E-001, 2.0755882E-001, 3.8641183E-004, 9.4820369E-003, 2.0954574E-001, 3.8271370E-075, 3.9011087E-004, 1.7850498E-074, 9.4820369E-003, 1.9996005E+001, 4.6670876E-001, 5.5767614E-001, 2.0595165E-075
 1.4004608E+000, 2.4003228E-013, 3.0093289E-013, 3.1713565E+000, 2.5422483E+000, 5.3770293E-001, 1.3181263E-001, 5.4396114E-002, 3.1907952E-002, 2.3569761E-002, 1.9782769E-002, 3.9114842E+000, 8.1388979E-001, 1.5639903E-001, 5.8626880E-002, 3.2550028E-002, 2.3339294E-002, 1.9329273E-002, 3.4089013E+000, 6.0486193E-001, 1.3585124E-001, 5.5343948E-002, 3.2437131E-002, 2.3865919E-002, 1.9934218E-002, 1.3060603E+000, 3.1854142E-001, 1.0008460E-001, 4.7848336E-002, 3.1017652E-002, 2.4277580E-002, 2.1052427E-002, 2.5775642E+000, 5.5143413E-001, 1.3437569E-001, 5.5014049E-002, 3.1985865E-002, 2.3513442E-002, 1.9709299E-002, 3.8936510E+000, 8.1842295E-001, 1.5816475E-001, 5.9011509E-002, 3.2560005E-002, 2.3280619E-002, 1.9275274E-002, 3.2145777E+000, 5.8224511E-001, 1.3506732E-001, 5.5366640E-002, 3.2453457E-002, 2.3868888E-002, 1.9940733E-002, 1.2823051E+000, 3.1573098E-001, 1.0003905E-001, 4.7938481E-002, 3.1063667E-002, 2.4288460E-002, 2.1059127E-002, 1.0378661E-001, 8.1281956E-002, 6.1293070E-002, 4.7058368E-002, 3.7118821E-002, 3.0734558E-002, 5.2879169E-002, 2.3792686E-002, 2.0954574E-001, 3.9011087E-004, 7.8257273E-001, 2.0755882E-001, 3.8641183E-004, 9.4820369E-003, 2.0954574E-001, 8.5601218E-069, 3.9011087E-004, 3.9926044E-068, 9.4820369E-003, 1.9995739E+001, 4.9547126E-001, 5.9204536E-001, 4.8903972E-069
 1.6014122E+000, 2.5030204E-013, 3.1380827E-013, 4.3008590E+000, 4.2849564E+000, 1.0042199E+000, 1.8768271E-001, 7.0686665E-002, 3.8553597E-002, 2.6934893E-002, 2.1687106E-002, 6.4382617E+000, 1.1349534E+000, 1.9562512E-001, 7.1545865E-002, 3.8723929E-002, 2.6796440E-002, 2.1426538E-002, 5.4697960E+000, 8.1332544E-001, 1.6456616E-001, 6.6992798E-002, 3.8751495E-002, 2.7753900E-002, 2.2510577E-002, 1.8261966E+000, 3.9708609E-001, 1.2481468E-001, 5.8610984E-002, 3.6870000E-002, 2.7980663E-002, 2.3657036E-002, 4.3276586E+000, 1.0184606E+000, 1.9067043E-001, 7.1433442E-002, 3.8718113E-002, 2.6942795E-002, 2.1656789E-002, 6.3281293E+000, 1.1209789E+000, 1.9637597E-001, 7.1780674E-002, 3.8819259E-002, 2.6835085E-002, 2.1445687E-002, 5.2862210E+000, 7.6106060E-001, 1.6525506E-001, 6.7110483E-002, 3.8813928E-002, 2.7795249E-002, 2.2547823E-002, 1.7818908E+000, 3.9046486E-001, 1.2518575E-001, 5.8730222E-002, 3.6858817E-002, 2.7938353E-002, 2.3620868E-002, 1.4051662E-001, 1.0811125E-001, 8.0267035E-002, 6.0157459E-002, 4.6014460E-002, 3.6885872E-002, 7.5680375E-002, 3.4924825E-002, 2.0954574E-001, 3.9011087E-004, 7.8257273E-001, 2.0755882E-001, 3.8641183E-004, 9.4820369E-003, 2.0954574E-001, 1.2536942E-063, 3.9011087E-004, 5.8474693E-063, 9.4820369E-003, 1.9995611E+001, 5.1601470E-001, 6.1659327E-001, 7.4593262E-064
