m,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C
NormalDistanceFromTheWall,TempMeanX5cmY30cmt105s,TempMeanX5cmY30cmt145s,TempMeanX5cmY30cmt185s,TempRMSX5cmY30cmt105s,TempRMSX5cmY30cmt145s,TempRMSX5cmY30cmt185s,TempMeanX22cmY30cmt105s,TempMeanX22cmY30cmt145s,TempMeanX22cmY30cmt185s,TempRMSX22cmY30cmt105s,TempRMSX22cmY30cmt145s,TempRMSX22cmY30cmt185s,TempMeanX5cmY90cmt105s,TempMeanX5cmY90cmt145s,TempMeanX5cmY90cmt185s,TempRMSX5cmY90cmt105s,TempRMSX5cmY90cmt145s,TempRMSX5cmY90cmt185s,TempMeanX22cmY90cmt105s,TempMeanX22cmY90cmt145s,TempMeanX22cmY90cmt185s,TempRMSX22cmY90cmt105s,TempRMSX22cmY90cmt145s,TempRMSX22cmY90cmt185s
0.01,1019.34,982.66,920.79,241.36,212.98,193.36,125.32,38.11,51.02,92.32,103.66,105.75,950.81,969.73,943.95,357.21,355.08,342.69,70.46,297.15,228.2,210.02,230.48,247.55
0.03,1131.39,1146.52,1112.87,300.04,274.83,254.09,113.97,28.98,31.57,106.47,113.5,117.45,933.76,1042.9,951.59,372.3,372.71,364.6,49.37,580.07,213.8,205.4,227.53,243.57
0.05,1135.49,906.06,1115.79,396.59,374.57,354.59,73.05,23.09,26.45,114.37,116.19,119.08,842.37,941.86,533,371.3,379.38,380.51,28.02,634.18,294.38,199.07,219.58,236.16
0.07,1043.88,472.94,985.59,442.94,426.66,412.67,44.89,22.94,25.08,101.1,105.5,103.31,628.26,671.17,342.77,358.04,375.03,384.53,23.23,647.83,394.27,186.96,204.9,220.62
0.09,786.45,429.97,787.48,444.06,434.98,427.04,32.83,23.24,23.18,76.11,80.13,74.35,350.22,535.51,343.22,338.31,360.01,373.24,22.12,536.14,327.23,170.31,186.22,202.87
0.11,558.13,334.84,385.35,402.57,401.95,398.86,23.27,23.57,22.87,39.04,40.27,36.17,220.85,571.92,338.26,314.58,341.41,354.26,21.99,431.38,270.11,155.71,171.24,186.6
0.13,400.02,153.18,173.87,339.87,346,345.86,22.01,23.77,22.91,10.27,14.1,12.51,182.69,533.53,255.67,287.36,316.69,328.82,21.89,392.14,177.61,134.84,149.4,163.95
0.15,187.24,104.63,111.04,277.16,284.89,286.64,21.93,23.83,23.08,1.83,2.85,2.68,151.88,361.24,212.74,265.42,293.46,304.44,21.55,312.33,72.7,113.12,125.89,140.93
0.17,132.02,59.21,98.22,217.8,226.58,230.76,21.83,23.66,23.18,0.35,0.64,1.03,126.68,204.34,143.16,245.58,272.4,282.8,21.5,182.1,28.87,94.13,102.39,116.86
0.19,59.7,45.5,100.74,175.84,180.16,183.63,21.73,23.05,23.27,0.32,0.57,0.91,116.9,105.96,80.7,224.43,248.36,258.72,21.41,57.35,23.34,77.61,81.16,92.12
0.21,36.22,35.71,59.71,139.99,139.12,142.08,21.67,22.69,23.02,0.3,0.58,0.85,117.54,52.32,70.05,203.31,226.24,235.03,21.37,25.33,23.17,61.87,62.57,70.74
0.23,39.6,31.26,34.8,105.61,103.05,106.3,21.61,22.59,22.65,0.28,0.6,0.84,128.68,45.36,67.13,181.42,203.77,212.81,21.35,22.71,23.03,43.91,44.11,53.48
0.25,26.09,24.49,23.51,73.83,71.13,72.75,21.51,22.61,22.41,0.26,0.61,0.81,123.52,52.32,65.16,162.38,182.61,190.17,21.31,22.51,22.82,25.92,26.05,40.86
0.27,22.64,22.24,22.15,47.47,44.33,43.69,21.36,22.36,22.18,0.25,0.58,0.76,142.02,66.6,62.37,149.36,166.08,170.76,21.2,22.41,22.55,10.55,9.78,29.36
0.29,21.6,22.04,22,27.84,25.29,24.03,21.23,21.89,21.99,0.25,0.52,0.65,125.94,65.09,60.65,137.98,152.64,156.4,21.1,22.33,22.3,3.74,3.22,22.86
