s,kW,kW,kW,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,C,m3/s,kg/s,kg/s
Time,"DC HRR","NIST HRR","FDS HRR","HFG-x5_z10","HFG-x5_z30","HFG-x5_z50","HFG-x5_z70","HFG-x5_z90","HFG-x5_z110","HFG-x5_z130","HFG-x10_z10","HFG-x10_z30","HFG-x10_z50","HFG-x10_z70","HFG-x10_z90","HFG-x10_z110","HFG-x10_z130","HFG-x15_z10","HFG-x15_z30","HFG-x15_z50","HFG-x15_z70","HFG-x15_z90","HFG-x15_z110","HFG-x15_z130","HFG-x22_z10","HFG-x22_z30","HFG-x22_z50","HFG-x22_z70","HFG-x22_z90","HFG-x22_z110","HFG-x22_z130","HFG-y5_z10","HFG-y5_z30","HFG-y5_z50","HFG-y5_z70","HFG-y5_z90","HFG-y5_z110","HFG-y5_z130","HFG-y10_z10","HFG-y10_z30","HFG-y10_z50","HFG-y10_z70","HFG-y10_z90","HFG-y10_z110","HFG-y10_z130","HFG-y15_z10","HFG-y15_z30","HFG-y15_z50","HFG-y15_z70","HFG-y15_z90","HFG-y15_z110","HFG-y15_z130","HFG-y22_z10","HFG-y22_z30","HFG-y22_z50","HFG-y22_z70","HFG-y22_z90","HFG-y22_z110","HFG-y22_z130","GHF_z10","GHF_z35","GHF_z60","GHF_z85","GHF_z110","GHF_z135","RHF_z35","RHF_z85","O2amb","CO2amb","N2wamb","O2wamb","CO2wamb","H2Oamb","O2","CO","CO2","SOOT","H2O","T","VF","MF","CO_MF"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0571085E-002, 1.0230831E-002, 1.0168021E-002, 8.9041095E-003, 9.6022496E-003, 9.6285684E-003, 8.8625947E-003, 1.0451017E-002, 9.9994385E-003, 9.9649550E-003, 8.2734919E-003, 8.9990828E-003, 9.1818562E-003, 8.4035044E-003, 1.0373228E-002, 9.8453317E-003, 9.7730743E-003, 8.4421782E-003, 9.0789782E-003, 9.1804651E-003, 8.2194075E-003, 1.0141686E-002, 9.6242824E-003, 9.6100497E-003, 8.1760797E-003, 9.0273680E-003, 9.2620222E-003, 8.0437923E-003, 1.0826881E-002, 1.0229691E-002, 1.0662961E-002, 9.5152389E-003, 9.9892388E-003, 1.0306902E-002, 9.1513485E-003, 1.0826229E-002, 1.0177526E-002, 1.0417588E-002, 9.4495518E-003, 9.9528867E-003, 1.0051907E-002, 9.1966388E-003, 1.0774096E-002, 1.0019891E-002, 1.0056677E-002, 9.5035213E-003, 9.8898301E-003, 9.8719449E-003, 8.9430376E-003, 9.7336750E-003, 8.4571473E-003, 8.7588347E-003, 7.8406741E-003, 8.0795692E-003, 8.5772084E-003, 7.7774932E-003, 8.5211458E-002, 8.5211458E-002, 8.5211458E-002, 8.5211458E-002, 8.5211458E-002, 8.5211458E-002, 6.2814872E-002, 6.2814872E-002, 2.0954574E-001, 3.9011087E-004, 7.8257273E-001, 2.0755882E-001, 3.8641183E-004, 9.4820369E-003, 2.0954574E-001, 0.0000000E+000, 3.9011087E-004, 0.0000000E+000, 9.4820369E-003, 2.0000000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0067151E-001, 5.2007393E-014, 6.5202626E-014, 2.3266640E-001, 2.8257512E-002, 2.1170681E-002, 2.0081715E-002, 1.9473131E-002, 1.9218873E-002, 1.8850101E-002, 1.8450770E-002, 3.0177946E-002, 2.1115626E-002, 1.9818089E-002, 1.9140105E-002, 1.8871972E-002, 1.8477646E-002, 1.7873287E-002, 2.9971974E-002, 2.0966402E-002, 1.9695444E-002, 1.9020701E-002, 1.8735049E-002, 1.8319653E-002, 1.7642531E-002, 2.7127299E-002, 2.0508638E-002, 1.9468994E-002, 1.8741316E-002, 1.8420787E-002, 1.8060118E-002, 1.7414194E-002, 2.8928785E-002, 2.1286812E-002, 2.0130571E-002, 1.9365761E-002, 1.9193549E-002, 1.8856338E-002, 1.8474461E-002, 3.0267013E-002, 2.1338582E-002, 1.9963661E-002, 1.9183781E-002, 1.8968975E-002, 1.8522435E-002, 1.8081101E-002, 2.9777102E-002, 2.1127497E-002, 1.9784697E-002, 1.9085561E-002, 1.8843043E-002, 1.8293859E-002, 1.7860001E-002, 2.4770994E-002, 1.9965787E-002, 1.9329981E-002, 1.8605472E-002, 1.8384541E-002, 1.8125374E-002, 1.7386480E-002, 1.6314840E-002, 1.5624075E-002, 1.5211319E-002, 1.4910271E-002, 1.4251321E-002, 1.3397761E-002,-2.9244230E-003,-3.5308756E-003, 2.0954574E-001, 3.9011087E-004, 7.8257273E-001, 2.0755882E-001, 3.8641183E-004, 9.4820369E-003, 2.0954574E-001, 0.0000000E+000, 3.9011087E-004, 0.0000000E+000, 9.4820369E-003, 1.9998879E+001, 1.1016259E-001, 1.3163299E-001, 0.0000000E+000
 4.0038778E-001, 1.0266505E-013, 1.2871307E-013, 5.2792956E-001, 1.2874663E-001, 3.9695319E-002, 2.6743408E-002, 2.3218770E-002, 2.2278770E-002, 2.2096623E-002, 2.1870812E-002, 1.5861852E-001, 4.1880294E-002, 2.7063385E-002, 2.3296944E-002, 2.2308942E-002, 2.1917643E-002, 2.1663252E-002, 1.5680423E-001, 4.1021202E-002, 2.6752889E-002, 2.3577537E-002, 2.2496326E-002, 2.1981475E-002, 2.1696047E-002, 1.1830532E-001, 3.7712047E-002, 2.6297080E-002, 2.3333948E-002, 2.2427225E-002, 2.2170146E-002, 2.1986884E-002, 1.3838528E-001, 3.9861255E-002, 2.6501873E-002, 2.3063627E-002, 2.2239282E-002, 2.2057970E-002, 2.1825530E-002, 1.5884594E-001, 4.2136803E-002, 2.7164164E-002, 2.3352135E-002, 2.2303242E-002, 2.1897523E-002, 2.1650592E-002, 1.5333076E-001, 4.0887238E-002, 2.6718937E-002, 2.3545613E-002, 2.2486531E-002, 2.2008899E-002, 2.1733121E-002, 1.0874291E-001, 3.5963522E-002, 2.5787093E-002, 2.3120461E-002, 2.2315477E-002, 2.2077526E-002, 2.1915567E-002, 2.9745292E-002, 2.1467943E-002, 1.9776165E-002, 1.9056508E-002, 1.7901938E-002, 1.7912577E-002, 2.0429817E-003,-6.3685214E-006, 2.0954574E-001, 3.9011087E-004, 7.8257273E-001, 2.0755882E-001, 3.8641183E-004, 9.4820369E-003, 2.0954574E-001, 0.0000000E+000, 3.9011087E-004, 0.0000000E+000, 9.4820369E-003, 1.9997949E+001, 2.1261672E-001, 2.5405597E-001, 0.0000000E+000
 6.0024206E-001, 1.4570438E-013, 1.8267227E-013, 8.5872849E-001, 3.5597802E-001, 8.0671980E-002, 3.8726157E-002, 2.7693219E-002, 2.4699263E-002, 2.4033775E-002, 2.3207858E-002, 4.7253021E-001, 8.7352842E-002, 3.7963901E-002, 2.7373969E-002, 2.4324748E-002, 2.2993184E-002, 2.2206408E-002, 4.6141012E-001, 8.3333242E-002, 3.7638538E-002, 2.8731069E-002, 2.4898588E-002, 2.3171413E-002, 2.2342198E-002, 3.2144196E-001, 7.2115287E-002, 3.6330678E-002, 2.8124145E-002, 2.5229014E-002, 2.4436038E-002, 2.3955314E-002, 3.8944531E-001, 8.0907405E-002, 3.7618852E-002, 2.7017979E-002, 2.4474095E-002, 2.3793411E-002, 2.2967919E-002, 4.7298351E-001, 8.7406857E-002, 3.7954228E-002, 2.7380281E-002, 2.4279882E-002, 2.2959875E-002, 2.2190893E-002, 4.4659687E-001, 8.2589213E-002, 3.7530909E-002, 2.8556804E-002, 2.4971453E-002, 2.3396790E-002, 2.2546397E-002, 3.1179333E-001, 7.1069829E-002, 3.6089606E-002, 2.7988113E-002, 2.5059138E-002, 2.4316951E-002, 2.3889288E-002, 6.4147819E-002, 3.4281027E-002, 2.9134566E-002, 2.5905176E-002, 2.0931031E-002, 2.1810142E-002, 1.2933687E-002, 5.8148645E-003, 2.0954574E-001, 3.9011087E-004, 7.8257273E-001, 2.0755882E-001, 3.8641183E-004, 9.4820369E-003, 2.0954574E-001, 0.0000000E+000, 3.9011087E-004, 0.0000000E+000, 9.4820369E-003, 1.9997231E+001, 3.0063800E-001, 3.5923357E-001, 0.0000000E+000
 8.0038157E-001, 1.8045869E-013, 2.2624438E-013, 1.1220193E+000, 5.5120726E-001, 1.1290599E-001, 4.8097097E-002, 3.0613678E-002, 2.7292379E-002, 2.6140605E-002, 2.4346567E-002, 8.0491982E-001, 1.2736446E-001, 4.3912670E-002, 2.9009645E-002, 2.5233913E-002, 2.3423540E-002, 2.2425212E-002, 7.8410457E-001, 1.1998427E-001, 4.5514971E-002, 3.0917240E-002, 2.5819527E-002, 2.3740827E-002, 2.2692486E-002, 4.7861534E-001, 9.9894777E-002, 4.4371720E-002, 3.1671714E-002, 2.7917599E-002, 2.7131321E-002, 2.6244275E-002, 6.0839276E-001, 1.1709671E-001, 4.7340414E-002, 2.9921040E-002, 2.6832984E-002, 2.5487203E-002, 2.3801878E-002, 8.1646409E-001, 1.2657423E-001, 4.3990074E-002, 2.8949024E-002, 2.5069983E-002, 2.3346574E-002, 2.2392894E-002, 7.4105345E-001, 1.1797447E-001, 4.5353296E-002, 3.1030201E-002, 2.6190874E-002, 2.4222183E-002, 2.3064563E-002, 4.6263415E-001, 9.8871067E-002, 4.4316856E-002, 3.1575960E-002, 2.7661706E-002, 2.6969148E-002, 2.6214072E-002, 7.9033897E-002, 4.5052868E-002, 3.6312008E-002, 3.0416553E-002, 2.2909827E-002, 2.4945458E-002, 2.2088695E-002, 9.6490923E-003, 2.0954574E-001, 3.9011087E-004, 7.8257273E-001, 2.0755882E-001, 3.8641183E-004, 9.4820369E-003, 2.0954574E-001, 0.0000000E+000, 3.9011087E-004, 0.0000000E+000, 9.4820369E-003, 1.9996631E+001, 3.7184888E-001, 4.4432465E-001, 0.0000000E+000
 1.0001236E+000, 2.0708984E-013, 2.5963234E-013, 1.4522209E+000, 7.6323721E-001, 1.4526157E-001, 5.7541577E-002, 3.3220761E-002, 3.0230227E-002, 2.8291178E-002, 2.5249346E-002, 1.2368393E+000, 1.6648341E-001, 4.8730632E-002, 2.9996827E-002, 2.5595168E-002, 2.3500698E-002, 2.2460964E-002, 1.1335192E+000, 1.5732036E-001, 5.3138628E-002, 3.2568647E-002, 2.6477990E-002, 2.4147438E-002, 2.2927000E-002, 6.0085263E-001, 1.2610122E-001, 5.2735312E-002, 3.4924444E-002, 3.0527343E-002, 3.0281219E-002, 2.9037746E-002, 8.3412232E-001, 1.5154075E-001, 5.6395346E-002, 3.2382051E-002, 2.9530990E-002, 2.7230155E-002, 2.4456435E-002, 1.2186985E+000, 1.6490523E-001, 4.8344496E-002, 3.0041224E-002, 2.5586022E-002, 2.3491356E-002, 2.2445798E-002, 1.0608075E+000, 1.5143141E-001, 5.1819883E-002, 3.2818055E-002, 2.7387317E-002, 2.5025145E-002, 2.3467968E-002, 5.9157894E-001, 1.2508968E-001, 5.2447386E-002, 3.4912925E-002, 3.0408877E-002, 3.0124805E-002, 2.8921044E-002, 9.2903830E-002, 5.4376837E-002, 4.2944073E-002, 3.4266637E-002, 2.4679302E-002, 2.7932295E-002, 3.0012408E-002, 1.2921050E-002, 2.0954574E-001, 3.9011087E-004, 7.8257273E-001, 2.0755882E-001, 3.8641183E-004, 9.4820369E-003, 2.0954574E-001, 3.0784855E-279, 3.9011087E-004, 1.4358645E-278, 9.4820369E-003, 1.9996129E+001, 4.2644199E-001, 5.0955919E-001, 1.5137040E-279
 1.2002961E+000, 2.2676630E-013, 2.8430108E-013, 2.4406160E+000, 1.1779327E+000, 2.0380558E-001, 7.2325400E-002, 3.8452674E-002, 3.5025603E-002, 3.1377526E-002, 2.6583338E-002, 2.1111527E+000, 2.3429020E-001, 5.7972820E-002, 3.2581128E-002, 2.6743526E-002, 2.4024690E-002, 2.2731049E-002, 1.6273530E+000, 2.1904402E-001, 6.6543282E-002, 3.6933268E-002, 2.8936233E-002, 2.5495057E-002, 2.3567867E-002, 8.3895246E-001, 1.7316124E-001, 6.6859804E-002, 4.0353359E-002, 3.4576000E-002, 3.4743163E-002, 3.2874659E-002, 1.2931668E+000, 2.1505116E-001, 7.1073423E-002, 3.7102582E-002, 3.3341656E-002, 2.9375655E-002, 2.5295093E-002, 2.1332563E+000, 2.3444175E-001, 5.7779313E-002, 3.2572619E-002, 2.6670348E-002, 2.3975181E-002, 2.2692442E-002, 1.5812502E+000, 2.0964149E-001, 6.5032906E-002, 3.7588355E-002, 3.0823471E-002, 2.7213821E-002, 2.4516871E-002, 8.6091792E-001, 1.7135796E-001, 6.6528199E-002, 4.0211113E-002, 3.4153614E-002, 3.4501444E-002, 3.2829814E-002, 1.2904921E-001, 7.0599949E-002, 5.4720765E-002, 4.1558167E-002, 2.8101847E-002, 3.3048850E-002, 4.3799683E-002, 1.9117958E-002, 2.0954574E-001, 3.9011087E-004, 7.8257273E-001, 2.0755882E-001, 3.8641183E-004, 9.4820369E-003, 2.0954574E-001, 2.0556726E-247, 3.9011087E-004, 9.5880496E-247, 9.4820369E-003, 1.9995735E+001, 4.6683921E-001, 5.5783092E-001, 1.1065365E-247
 1.4001171E+000, 2.4086952E-013, 3.0198255E-013, 3.2796473E+000, 1.8798597E+000, 3.1833878E-001, 9.8225853E-002, 4.7572514E-002, 4.1090346E-002, 3.4730456E-002, 2.8089371E-002, 3.2179111E+000, 3.8180691E-001, 8.5386499E-002, 4.2195259E-002, 3.0304733E-002, 2.5474813E-002, 2.3410566E-002, 2.5536521E+000, 3.2759044E-001, 8.9241848E-002, 4.7226205E-002, 3.3944028E-002, 2.8338312E-002, 2.5238214E-002, 1.2709074E+000, 2.5305810E-001, 9.0034780E-002, 5.2388508E-002, 4.1265620E-002, 3.9415604E-002, 3.6867608E-002, 2.1090465E+000, 3.3661989E-001, 9.2908799E-002, 4.4028357E-002, 3.8160124E-002, 3.2114232E-002, 2.6547024E-002, 3.1693226E+000, 4.3194090E-001, 8.7549712E-002, 4.2802209E-002, 3.0513297E-002, 2.5487396E-002, 2.3357342E-002, 2.5587746E+000, 3.2415948E-001, 8.6721328E-002, 4.6717620E-002, 3.6689420E-002, 3.1511366E-002, 2.7185319E-002, 1.2849372E+000, 2.5237636E-001, 9.0034782E-002, 5.2626212E-002, 4.0542049E-002, 3.9054762E-002, 3.7042025E-002, 1.9000089E-001, 1.0080805E-001, 7.6279396E-002, 5.6210962E-002, 3.4162322E-002, 4.1687223E-002, 6.9472800E-002, 3.1571193E-002, 2.0954574E-001, 3.9011087E-004, 7.8257273E-001, 2.0755882E-001, 3.8641183E-004, 9.4820369E-003, 2.0954574E-001, 3.2797487E-222, 3.9011087E-004, 1.5297375E-221, 9.4820369E-003, 1.9995460E+001, 4.9577414E-001, 5.9240612E-001, 1.8748620E-222
 1.6001051E+000, 2.5077823E-013, 3.1440529E-013, 4.4359472E+000, 2.7238516E+000, 4.3283750E-001, 1.2618199E-001, 5.6655051E-002, 4.4816706E-002, 3.6545874E-002, 2.9124123E-002, 4.4501261E+000, 7.2240718E-001, 1.1978771E-001, 5.3984055E-002, 3.4638046E-002, 2.7266538E-002, 2.4238695E-002, 3.6957792E+000, 5.9082218E-001, 1.2076713E-001, 6.0896639E-002, 4.1238363E-002, 3.2137279E-002, 2.7176639E-002, 1.7025650E+000, 3.2728147E-001, 1.1706051E-001, 6.3431016E-002, 4.5850920E-002, 4.2237856E-002, 3.9418694E-002, 3.2352574E+000, 4.9688545E-001, 1.1801508E-001, 5.2147274E-002, 4.1731294E-002, 3.4034796E-002, 2.7608776E-002, 4.3539982E+000, 8.0332779E-001, 1.2398651E-001, 5.4477598E-002, 3.4761373E-002, 2.7304630E-002, 2.4188214E-002, 3.4211537E+000, 6.3605312E-001, 1.1975896E-001, 5.9687276E-002, 4.3894765E-002, 3.5813921E-002, 2.9665932E-002, 1.6869941E+000, 3.2543813E-001, 1.1578043E-001, 6.3285062E-002, 4.5332483E-002, 4.1920939E-002, 3.9340124E-002, 2.3673361E-001, 1.2894095E-001, 9.6087090E-002, 6.9441881E-002, 3.9725105E-002, 4.8736531E-002, 9.3380436E-002, 4.2814973E-002, 2.0954574E-001, 3.9011087E-004, 7.8257273E-001, 2.0755882E-001, 3.8641183E-004, 9.4820369E-003, 2.0954574E-001, 1.3982191E-201, 3.9011087E-004, 6.5215609E-201, 9.4820369E-003, 1.9995280E+001, 5.1611751E-001, 6.1671503E-001, 8.3208741E-202
 1.8002431E+000, 2.5764601E-013, 3.2301555E-013, 5.3967271E+000, 3.8362747E+000, 6.6487119E-001, 1.7979344E-001, 6.8871896E-002, 5.0338695E-002, 3.8868497E-002, 3.0125893E-002, 7.2801655E+000, 1.1081691E+000, 3.4089790E-001, 6.9075060E-002, 3.8996081E-002, 2.8975615E-002, 2.5107581E-002, 6.0095734E+000, 9.3283781E-001, 3.4082938E-001, 7.6629460E-002, 4.8136475E-002, 3.6059112E-002, 2.9507183E-002, 2.1658750E+000, 4.1350623E-001, 1.6369044E-001, 7.7831018E-002, 5.1576787E-002, 4.5399407E-002, 4.2152979E-002, 4.6023250E+000, 1.1314742E+000, 2.1402946E-001, 6.2607097E-002, 4.5836769E-002, 3.5840238E-002, 2.8464773E-002, 6.7178661E+000, 1.4218960E+000, 3.2986853E-001, 7.1379316E-002, 3.9926280E-002, 2.9507222E-002, 2.5247393E-002, 5.0600465E+000, 7.6792232E-001, 3.7125187E-001, 8.3177842E-002, 5.1251469E-002, 4.1292766E-002, 3.3447114E-002, 2.1602953E+000, 4.1158072E-001, 1.4968262E-001, 8.0485713E-002, 5.0926656E-002, 4.4830262E-002, 4.2113863E-002, 2.7422832E-001, 1.5936454E-001, 1.1808808E-001, 8.3442180E-002, 4.6092975E-002, 5.6397410E-002, 1.1923369E-001, 5.4711865E-002, 2.0954574E-001, 3.9011087E-004, 7.8257273E-001, 2.0755882E-001, 3.8641183E-004, 9.4820369E-003, 2.0954574E-001, 3.4339540E-184, 3.9011087E-004, 1.6016618E-183, 9.4820369E-003, 1.9995209E+001, 5.3020953E-001, 6.3355390E-001, 2.0993616E-184
