s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW
t,GHF_tot_4cm,GHF_tot_2cm,GHF_tot_1cm,GHF_tot_0p5cm,GHF_rad_4cm,GHF_rad_2cm,GHF_rad_1cm,GHF_rad_0p5cm,GHF_con_4cm,GHF_con_2cm,GHF_con_1cm,GHF_con_0p5cm
 0.000E+00,-2.491E-04,-8.956E-04,-8.833E-04,-8.811E-04,-2.491E-04,-8.956E-04,-8.833E-04,-8.811E-04, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 2.006E+00, 1.743E-01, 1.745E-01, 1.586E-01, 1.479E-01, 1.658E-01, 1.670E-01, 1.483E-01, 1.400E-01, 8.527E-03, 7.514E-03, 1.022E-02, 7.856E-03
 4.004E+00, 1.167E+00, 1.220E+00, 1.280E+00, 1.386E+00, 9.196E-01, 9.072E-01, 9.148E-01, 9.070E-01, 2.475E-01, 3.131E-01, 3.654E-01, 4.785E-01
 6.003E+00, 2.051E+00, 2.085E+00, 2.287E+00, 2.569E+00, 1.528E+00, 1.567E+00, 1.679E+00, 1.730E+00, 5.229E-01, 5.179E-01, 6.086E-01, 8.392E-01
 8.002E+00, 2.553E+00, 2.734E+00, 2.886E+00, 3.428E+00, 1.921E+00, 2.034E+00, 2.130E+00, 2.248E+00, 6.322E-01, 6.998E-01, 7.559E-01, 1.180E+00
 1.000E+01, 2.949E+00, 3.019E+00, 3.243E+00, 4.071E+00, 2.190E+00, 2.321E+00, 2.418E+00, 2.645E+00, 7.593E-01, 6.977E-01, 8.256E-01, 1.425E+00
 1.200E+01, 3.132E+00, 3.356E+00, 3.702E+00, 4.297E+00, 2.385E+00, 2.552E+00, 2.712E+00, 2.901E+00, 7.466E-01, 8.049E-01, 9.902E-01, 1.396E+00
 1.400E+01, 3.317E+00, 3.501E+00, 3.899E+00, 4.460E+00, 2.520E+00, 2.650E+00, 2.891E+00, 3.022E+00, 7.976E-01, 8.511E-01, 1.008E+00, 1.438E+00
 1.600E+01, 3.702E+00, 3.969E+00, 4.335E+00, 4.868E+00, 2.805E+00, 3.033E+00, 3.242E+00, 3.315E+00, 8.969E-01, 9.365E-01, 1.093E+00, 1.553E+00
 1.800E+01, 3.696E+00, 4.162E+00, 4.524E+00, 5.231E+00, 2.804E+00, 3.134E+00, 3.377E+00, 3.526E+00, 8.918E-01, 1.028E+00, 1.147E+00, 1.705E+00
 2.000E+01, 3.553E+00, 4.272E+00, 4.549E+00, 5.111E+00, 2.800E+00, 3.191E+00, 3.349E+00, 3.450E+00, 7.535E-01, 1.081E+00, 1.200E+00, 1.660E+00
 2.200E+01, 3.745E+00, 4.197E+00, 4.503E+00, 5.167E+00, 2.869E+00, 3.198E+00, 3.336E+00, 3.525E+00, 8.752E-01, 9.994E-01, 1.167E+00, 1.643E+00
 2.400E+01, 3.719E+00, 4.034E+00, 4.447E+00, 5.272E+00, 2.848E+00, 3.138E+00, 3.295E+00, 3.495E+00, 8.710E-01, 8.957E-01, 1.152E+00, 1.776E+00
 2.600E+01, 3.561E+00, 4.106E+00, 4.626E+00, 5.219E+00, 2.770E+00, 3.135E+00, 3.369E+00, 3.513E+00, 7.912E-01, 9.717E-01, 1.257E+00, 1.706E+00
 2.800E+01, 3.723E+00, 4.139E+00, 4.607E+00, 5.447E+00, 2.868E+00, 3.120E+00, 3.388E+00, 3.621E+00, 8.556E-01, 1.018E+00, 1.219E+00, 1.826E+00
 3.000E+01, 3.703E+00, 4.034E+00, 4.697E+00, 5.348E+00, 2.842E+00, 3.110E+00, 3.419E+00, 3.533E+00, 8.602E-01, 9.236E-01, 1.278E+00, 1.815E+00
 3.200E+01, 3.605E+00, 4.190E+00, 4.638E+00, 5.386E+00, 2.811E+00, 3.186E+00, 3.434E+00, 3.568E+00, 7.936E-01, 1.004E+00, 1.204E+00, 1.817E+00
 3.400E+01, 3.735E+00, 4.180E+00, 4.733E+00, 5.455E+00, 2.902E+00, 3.201E+00, 3.501E+00, 3.655E+00, 8.332E-01, 9.788E-01, 1.232E+00, 1.800E+00
 3.600E+01, 3.735E+00, 4.116E+00, 4.690E+00, 5.648E+00, 2.889E+00, 3.125E+00, 3.503E+00, 3.695E+00, 8.465E-01, 9.914E-01, 1.187E+00, 1.953E+00
 3.800E+01, 3.786E+00, 4.099E+00, 4.761E+00, 5.428E+00, 2.904E+00, 3.165E+00, 3.460E+00, 3.556E+00, 8.826E-01, 9.333E-01, 1.300E+00, 1.872E+00
