s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0214691E-003, 1.0082191E-009, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0214681E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0002239E+000, 2.3098168E+000, 0.0000000E+000,-7.0520427E-001, 3.9374016E-002,-3.4792368E-002, 1.9450227E-004, 0.0000000E+000, 0.0000000E+000, 1.5758567E+000, 1.6093887E+000,-6.5697409E-001, 5.3960171E-005,-8.6638104E-100
 4.0012732E+000, 1.0456791E+001, 0.0000000E+000,-3.0558786E+000,-2.0122175E+000,-6.6805183E-001, 3.1558562E-003, 0.0000000E+000, 0.0000000E+000, 4.6927664E+000, 4.7237991E+000,-9.8643672E-001, 2.3455249E-004,-1.2320907E-003
 6.0011139E+000, 1.6908770E+001, 0.0000000E+000,-4.9345272E+000,-8.0541649E+000,-1.1103896E+000, 7.9900638E-003, 0.0000000E+000, 0.0000000E+000, 2.7772883E+000, 2.8176786E+000,-9.7153766E-001, 3.7666669E-004,-4.7129360E-003
 8.0013933E+000, 2.0803668E+001, 0.0000000E+000,-6.0695218E+000,-1.3362587E+001,-1.3548361E+000, 1.1611802E-002, 0.0000000E+000, 0.0000000E+000,-2.3016933E-002, 2.8334992E-002,-9.5106515E-001, 4.5831769E-004,-7.6210334E-003
 1.0000755E+001, 2.3405225E+001, 0.0000000E+000,-6.8737872E+000,-1.2982558E+001,-1.4040573E+000, 1.4512498E-002, 0.0000000E+000, 0.0000000E+000, 2.0940980E+000, 2.1593345E+000,-9.5248420E-001, 5.1359919E-004,-7.3154231E-003
 1.2001276E+001, 2.5380179E+001, 0.0000000E+000,-7.4310554E+000,-1.5479338E+001,-1.5202769E+000, 1.7069038E-002, 0.0000000E+000, 0.0000000E+000, 9.0413819E-001, 9.6657851E-001,-9.4271316E-001, 5.5790141E-004,-8.7520456E-003
 1.4000694E+001, 2.6667312E+001, 0.0000000E+000,-7.8565393E+000,-1.6838786E+001,-1.6187531E+000, 1.8406160E-002, 0.0000000E+000, 0.0000000E+000, 3.0916244E-001, 3.7163962E-001,-9.3744683E-001, 5.8118804E-004,-9.4711355E-003
 1.6001081E+001, 2.8798824E+001, 0.0000000E+000,-8.5491219E+000,-1.8464680E+001,-1.7832869E+000, 2.1267653E-002, 0.0000000E+000, 0.0000000E+000,-4.8220556E-002, 2.3002731E-002,-9.3108708E-001, 6.3522941E-004,-1.0359461E-002
 1.8000004E+001, 3.0019722E+001, 0.0000000E+000,-9.0448364E+000,-1.8326007E+001,-1.7943466E+000, 2.2280250E-002, 0.0000000E+000, 0.0000000E+000, 8.0235951E-001, 8.7681195E-001,-9.3139527E-001, 6.4699995E-004,-1.0436828E-002
 2.0001463E+001, 2.9728578E+001, 0.0000000E+000,-8.8406172E+000,-1.9008688E+001,-1.9427179E+000, 2.2073898E-002, 0.0000000E+000, 0.0000000E+000,-1.0928038E-001,-4.1371673E-002,-9.2880719E-001, 6.4699995E-004,-1.0799715E-002
 2.2000690E+001, 2.9615113E+001, 0.0000000E+000,-8.8610228E+000,-1.9202858E+001,-1.6473929E+000, 2.2087492E-002, 0.0000000E+000, 0.0000000E+000,-1.4959022E-001,-7.4073150E-002,-9.2816664E-001, 6.4699995E-004,-1.0789048E-002
 2.4000185E+001, 2.9636574E+001, 0.0000000E+000,-8.9194302E+000,-1.8182208E+001,-1.6268097E+000, 2.2402733E-002, 0.0000000E+000, 0.0000000E+000, 8.6238609E-001, 9.3052887E-001,-9.3212044E-001, 6.4699995E-004,-1.0204476E-002
 2.6000732E+001, 2.9999277E+001, 0.0000000E+000,-8.9360002E+000,-2.0065590E+001,-1.7686304E+000, 2.2759418E-002, 0.0000000E+000, 0.0000000E+000,-8.2247442E-001,-7.4818449E-001,-9.2477098E-001, 6.4699995E-004,-1.1325388E-002
 2.8000233E+001, 2.9536374E+001, 0.0000000E+000,-8.7896539E+000,-1.9312606E+001,-1.6553581E+000, 2.2596558E-002, 0.0000000E+000, 0.0000000E+000,-2.6671097E-001,-1.9864771E-001,-9.2776199E-001, 6.4699995E-004,-1.0845990E-002
 3.0000721E+001, 2.9675521E+001, 0.0000000E+000,-8.7623731E+000,-1.8642583E+001,-1.6637002E+000, 2.3074365E-002, 0.0000000E+000, 0.0000000E+000, 5.6489851E-001, 6.2993896E-001,-9.3039708E-001, 6.4699996E-004,-1.0420246E-002
 3.2000435E+001, 3.0042529E+001, 0.0000000E+000,-8.9177084E+000,-1.9747116E+001,-1.8062175E+000, 2.2793421E-002, 0.0000000E+000, 0.0000000E+000,-4.7225045E-001,-4.0571880E-001,-9.2607946E-001, 6.4699995E-004,-1.1095269E-002
 3.4000565E+001, 2.9587492E+001, 0.0000000E+000,-8.7706028E+000,-1.8514486E+001,-1.5693517E+000, 2.2560389E-002, 0.0000000E+000, 0.0000000E+000, 6.8908656E-001, 7.5561199E-001,-9.3092347E-001, 6.4699995E-004,-1.0299819E-002
