Z/Q^0.4 (-),V/Q^0.2 (-)
 0.000000000e+00, 2.211805840e-02
 2.477072138e-03, 8.552204602e-02
 4.966244420e-03, 1.881012927e-01
 7.467763786e-03, 3.019683562e-01
 9.981630236e-03, 4.170812289e-01
 1.250784377e-02, 5.282290789e-01
 1.504665133e-02, 6.335141219e-01
 1.759780598e-02, 7.286418689e-01
 2.016155465e-02, 8.145217062e-01
 2.273789735e-02, 8.929773751e-01
 2.532683408e-02, 9.639144586e-01
 2.792861177e-02, 1.028962895e+00
 3.054323043e-02, 1.089121517e+00
 3.317069006e-02, 1.141642290e+00
 3.581099066e-02, 1.195067480e+00
 3.846462611e-02, 1.245858928e+00
 4.113110253e-02, 1.294309826e+00
 4.381066686e-02, 1.340564283e+00
 4.650356604e-02, 1.384686901e+00
 4.920955313e-02, 1.421882282e+00
 5.192887507e-02, 1.461244288e+00
 5.466177880e-02, 1.497152615e+00
 5.740801739e-02, 1.528697876e+00
 6.016783777e-02, 1.555984428e+00
 6.294123994e-02, 1.577993559e+00
 6.572822390e-02, 1.599277169e+00
 6.852903660e-02, 1.616972927e+00
 7.134343110e-02, 1.630588872e+00
 7.417190126e-02, 1.647181441e+00
 7.701420017e-02, 1.662725483e+00
 7.987057475e-02, 1.677837193e+00
 8.274102501e-02, 1.692178659e+00
 8.562555094e-02, 1.705700186e+00
 8.852439950e-02, 1.718779444e+00
 9.143732372e-02, 1.730189009e+00
 9.436481751e-02, 1.740485446e+00
 9.730663392e-02, 1.749743295e+00
 1.002627729e-01, 1.757386113e+00
 1.032337285e-01, 1.763389055e+00
 1.062192536e-01, 1.767911139e+00
 1.092193482e-01, 1.770763530e+00
 1.122342594e-01, 1.772900339e+00
 1.152642339e-01, 1.775583774e+00
 1.183087781e-01, 1.779107023e+00
 1.213686326e-01, 1.782963218e+00
 1.244433037e-01, 1.785815609e+00
 1.275332851e-01, 1.788046835e+00
 1.306385769e-01, 1.789150025e+00
 1.337589322e-01, 1.790133951e+00
 1.368945978e-01, 1.791182478e+00
 1.400460677e-01, 1.792931680e+00
 1.432128480e-01, 1.795515727e+00
 1.463951856e-01, 1.798770634e+00
 1.495930806e-01, 1.802005663e+00
 1.528070267e-01, 1.805076705e+00
 1.560365302e-01, 1.808416090e+00
 1.592820849e-01, 1.810985229e+00
 1.625436908e-01, 1.811740566e+00
 1.658211010e-01, 1.810627438e+00
 1.691148093e-01, 1.808490629e+00
 1.724248158e-01, 1.805484189e+00
 1.757511204e-01, 1.801016768e+00
 1.790937232e-01, 1.793806280e+00
 1.824528710e-01, 1.783738432e+00
 1.858285640e-01, 1.773432057e+00
 1.892208021e-01, 1.771354880e+00
 1.926295852e-01, 1.763468564e+00
 1.960554073e-01, 1.755736298e+00
 1.994980215e-01, 1.747303357e+00
 2.029576746e-01, 1.739670477e+00
 2.064341198e-01, 1.726283122e+00
 2.099268631e-01, 1.719097481e+00
 2.134383740e-01, 1.713934354e+00
 2.169671709e-01, 1.710699325e+00
 2.205132536e-01, 1.708960062e+00
 2.240766222e-01, 1.708179879e+00
 2.276572768e-01, 1.707439449e+00
 2.312552173e-01, 1.705501414e+00
 2.348704437e-01, 1.702569513e+00
 2.385054255e-01, 1.698206448e+00
 2.421552237e-01, 1.692630867e+00
 2.458247773e-01, 1.686672649e+00
 2.495140862e-01, 1.678214862e+00
 2.532206810e-01, 1.668171860e+00
 2.569445618e-01, 1.658630761e+00
 2.606857285e-01, 1.654476407e+00
 2.644466505e-01, 1.643563774e+00
 2.682273278e-01, 1.634146907e+00
 2.720252911e-01, 1.625515193e+00
 2.758405403e-01, 1.618578018e+00
 2.796780142e-01, 1.610309065e+00
 2.835303046e-01, 1.601418947e+00
 2.874048198e-01, 1.592066681e+00
 2.912966209e-01, 1.583102023e+00
 2.952081774e-01, 1.573580800e+00
 2.991394891e-01, 1.564655896e+00
 3.030905563e-01, 1.554588048e+00
 3.070589093e-01, 1.545141366e+00
 3.110494871e-01, 1.536375480e+00
 3.150573508e-01, 1.526625669e+00
 3.190874392e-01, 1.518630028e+00
 3.231348136e-01, 1.515419846e+00
 3.272044127e-01, 1.514391196e+00
 3.312937672e-01, 1.514068190e+00
 3.354004076e-01, 1.514177515e+00
 3.395292727e-01, 1.516433588e+00
 3.436803626e-01, 1.516577698e+00
 3.478487384e-01, 1.511499050e+00
 3.520393390e-01, 1.503627643e+00
 3.562496948e-01, 1.495517708e+00
 3.604822755e-01, 1.488883662e+00
 3.647346115e-01, 1.481250782e+00
 3.690067028e-01, 1.477329986e+00
 3.733010189e-01, 1.476122441e+00
 3.776175597e-01, 1.475227963e+00
 3.819538558e-01, 1.474085018e+00
 3.863123767e-01, 1.471038823e+00
 3.906931224e-01, 1.465751464e+00
 3.950936234e-01, 1.458267664e+00
 3.995163492e-01, 1.449471962e+00
 4.039612997e-01, 1.440015341e+00
 4.084284749e-01, 1.428213199e+00
 4.129154055e-01, 1.417305536e+00
 4.174270303e-01, 1.410403146e+00
 4.219584104e-01, 1.407227749e+00
 4.265144846e-01, 1.406884866e+00
 4.310927836e-01, 1.413439402e+00
 4.356933074e-01, 1.414905353e+00
 4.403160559e-01, 1.414731426e+00
 4.449610292e-01, 1.409772042e+00
 4.496282272e-01, 1.403267199e+00
 4.543201194e-01, 1.397497815e+00
 4.590342364e-01, 1.394456589e+00
 4.637730475e-01, 1.390694812e+00
 4.685340834e-01, 1.385531685e+00
 4.733198134e-01, 1.380512669e+00
 4.781277682e-01, 1.375215371e+00
 4.829579477e-01, 1.368407399e+00
 4.878152909e-01, 1.360053967e+00
 4.926948588e-01, 1.350324033e+00
 4.975966514e-01, 1.339664836e+00
 5.025256076e-01, 1.327594350e+00
