Z/Q^0.4, dT (C), V/Q^0.2
0.002086, 609.841710, 0.135584
0.006258, 686.047060, 0.286026
0.010430, 743.003300, 0.455553
0.014602, 786.152490, 0.624287
0.018774, 816.358090, 0.782234
0.022946, 837.414720, 0.923034
0.027118, 852.398670, 1.048090
0.031290, 862.394920, 1.156473
0.035463, 867.407130, 1.251887
0.039635, 868.382460, 1.333258
0.043807, 865.949830, 1.403329
0.047979, 861.762650, 1.463321
0.052151, 856.768290, 1.515732
0.056323, 850.430040, 1.563097
0.060495, 842.482190, 1.609490
0.064667, 833.373600, 1.653874
0.068839, 823.206640, 1.694008
0.073011, 811.791360, 1.727735
0.077183, 799.584880, 1.756995
0.081355, 785.928550, 1.783072
0.085528, 770.854050, 1.804899
0.089700, 755.260180, 1.823014
0.093872, 739.576930, 1.839455
0.098044, 724.323870, 1.853007
0.102216, 708.286340, 1.865852
0.106388, 691.583560, 1.875897
0.110560, 674.690050, 1.882013
0.114732, 656.322450, 1.882512
0.118904, 633.743260, 1.871841
0.123076, 615.088100, 1.872626
0.127248, 593.758330, 1.861960
0.131420, 573.049620, 1.850178
0.135593, 551.903740, 1.839327
0.139765, 531.128080, 1.830019
0.143937, 510.495630, 1.821639
0.148109, 491.525860, 1.811358
0.152281, 474.266230, 1.799672
0.156453, 458.456990, 1.789426
0.160625, 443.543790, 1.784842
0.164797, 429.324440, 1.784938
0.168969, 416.304580, 1.785344
0.173141, 403.606850, 1.784166
0.177313, 391.392430, 1.780101
0.181485, 379.298770, 1.774853
0.185657, 367.987430, 1.768925
0.189830, 356.471540, 1.759896
0.194002, 344.591200, 1.749919
0.198174, 332.988290, 1.738344
0.202346, 321.121030, 1.725780
0.206518, 309.952420, 1.713319
0.210690, 298.867850, 1.702255
0.214862, 288.356930, 1.692349
0.219034, 278.195690, 1.683409
0.223206, 269.033380, 1.673510
0.227378, 260.216180, 1.661980
0.231550, 252.263320, 1.648195
0.235722, 244.559740, 1.635058
0.239895, 237.753500, 1.623448
0.244067, 231.166400, 1.612791
0.248239, 225.420070, 1.601986
0.252411, 219.847340, 1.591138
0.256583, 214.451430, 1.579648
0.260755, 208.858990, 1.567374
0.264927, 203.232190, 1.556044
0.269099, 197.755490, 1.547555
0.273271, 192.718410, 1.539700
0.277443, 188.243630, 1.532208
0.281615, 184.172990, 1.526343
0.285787, 180.372530, 1.523310
0.289960, 176.629480, 1.520763
0.294132, 172.943360, 1.515947
0.298304, 169.298960, 1.509527
0.302476, 165.729810, 1.501796
0.306648, 162.296030, 1.492670
0.310820, 159.115770, 1.483421
0.314992, 155.896060, 1.474280
0.319164, 152.538280, 1.464417
0.323336, 148.987330, 1.452978
0.327508, 146.267230, 1.446523
0.331680, 143.627250, 1.440158
0.335852, 141.283500, 1.435244
0.340024, 139.132890, 1.430930
0.344197, 137.042040, 1.427264
0.348369, 134.776330, 1.423787
0.352541, 132.288770, 1.418385
0.356713, 129.711400, 1.410401
0.360885, 127.150600, 1.401320
0.365057, 124.821540, 1.392282
0.369229, 122.786840, 1.383742
0.373401, 120.901870, 1.376010
0.377573, 119.133630, 1.368905
0.381745, 117.401700, 1.362033
0.385917, 115.755400, 1.355209
0.390089, 114.106930, 1.349645
0.394262, 112.498010, 1.344242
0.398434, 110.892720, 1.337688
0.402606, 109.308900, 1.329523
0.406778, 107.718340, 1.320516
0.410950, 106.084800, 1.311827
0.415122, 104.434740, 1.305105
0.419294, 102.859070, 1.299556
0.423466, 101.442670, 1.294973
0.427638, 100.158370, 1.291159
0.431810, 99.033655, 1.287543
0.435982, 97.998240, 1.285304
0.440154, 97.008565, 1.284583
0.444327, 96.062033, 1.284691
0.448499, 95.074220, 1.284110
0.452671, 94.113743, 1.281646
0.456843, 93.112359, 1.276996
0.461015, 92.057796, 1.270750
0.465187, 90.950212, 1.265118
0.469359, 89.844695, 1.259956
0.473531, 88.795606, 1.254340
0.477703, 87.761943, 1.249648
0.481875, 86.763867, 1.246372
0.486047, 85.732809, 1.243308
0.490219, 84.720769, 1.239764
0.494392, 83.704152, 1.235256
0.498564, 82.654923, 1.230764
0.502736, 81.582984, 1.226848
0.506908, 80.527734, 1.223146
0.511080, 79.521517, 1.219282
0.515252, 78.597304, 1.216213
0.519424, 77.775313, 1.213465
0.523596, 77.058601, 1.211310
