favre_temperature,favre_u,favre_v,favre_w,favre_zmix,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
304.18,0.37229,-0.047684,0.009362,0.0001283,1,0,-1,0,3.114
304.94,0.38452,-0.040402,0.029124,0.00014434,1,0.02,-0.98,0,3.114
305.84,0.39372,-0.034824,0.046683,0.00016318,1,0.04,-0.96,0,3.114
306.93,0.39893,-0.031494,0.061337,0.00018573,1,0.06,-0.94,0,3.114
308.17,0.39499,-0.032317,0.077407,0.00021151,1,0.08,-0.92,0,3.114
309.57,0.39281,-0.034149,0.091071,0.00024059,1,0.1,-0.9,0,3.114
311.17,0.39463,-0.036779,0.10103,0.00027395,1,0.12,-0.88,0,3.114
312.83,0.39916,-0.033938,0.11335,0.00030876,1,0.14,-0.86,0,3.114
314.63,0.40571,-0.035742,0.13301,0.00034686,1,0.16,-0.84,0,3.114
316.61,0.41269,-0.041541,0.15773,0.00038853,1,0.18,-0.82,0,3.114
318.77,0.41271,-0.045705,0.17542,0.00043459,1,0.2,-0.8,0,3.114
320.56,0.40807,-0.053185,0.18937,0.00047279,1,0.22,-0.78,0,3.114
322.53,0.40205,-0.056458,0.20438,0.000515,1,0.24,-0.76,0,3.114
324.86,0.39461,-0.054566,0.22415,0.00056554,1,0.26,-0.74,0,3.114
327.53,0.38224,-0.053634,0.2546,0.00062379,1,0.28,-0.72,0,3.114
330.44,0.37554,-0.042448,0.27772,0.00069125,1,0.3,-0.7,0,3.114
334.25,0.37519,-0.042487,0.29647,0.00078414,1,0.32,-0.68,0,3.114
339.42,0.37856,-0.039384,0.32049,0.00091303,1,0.34,-0.66,0,3.114
345.88,0.38213,-0.041218,0.35645,0.0010796,1,0.36,-0.64,0,3.114
353.66,0.38216,-0.059999,0.40251,0.0012973,1,0.38,-0.62,0,3.114
363.49,0.3776,-0.073344,0.44215,0.0015987,1,0.4,-0.6,0,3.114
372,0.38083,-0.11056,0.44512,0.0018852,1,0.42,-0.58,0,3.114
381.92,0.38136,-0.11355,0.5162,0.0021959,1,0.44,-0.56,0,3.114
394.44,0.36896,-0.1324,0.56622,0.0024918,1,0.46,-0.54,0,3.114
406.44,0.3581,-0.1189,0.63241,0.0027649,1,0.48,-0.52,0,3.114
424.43,0.35484,-0.1269,0.67812,0.0032733,1,0.5,-0.5,0,3.114
440.38,0.35114,-0.10345,0.72624,0.0038081,1,0.52,-0.48,0,3.114
463.78,0.3348,-0.12075,0.80675,0.0046439,1,0.54,-0.46,0,3.114
496.51,0.3247,-0.13676,0.91978,0.0057709,1,0.56,-0.44,0,3.114
532.06,0.31624,-0.14642,1.0369,0.0072104,1,0.58,-0.42,0,3.114
567.67,0.31288,-0.15545,1.1606,0.0090023,1,0.6,-0.4,0,3.114
611.16,0.3208,-0.17685,1.3128,0.011218,1,0.62,-0.38,0,3.114
