avg_mix_frac,avg_temp,avg_x_vel,avg_y_vel,avg_z_vel,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2
7.1539e-05,301.45,0.23332,-0.0044034,0.067845,1,0,-1,0,0.9
7.8e-05,301.76,0.23647,-0.00058725,0.073119,1,0.02,-0.98,0,0.9
8.8619e-05,302.26,0.24026,0.0015392,0.080652,1,0.04,-0.96,0,0.9
0.00010624,303.08,0.24513,0.00082179,0.091989,1,0.06,-0.94,0,0.9
0.00012385,303.9,0.25001,0.00010441,0.10333,1,0.08,-0.92,0,0.9
0.00014147,304.72,0.25488,-0.00061297,0.11466,1,0.1,-0.9,0,0.9
0.0001667,305.86,0.25892,-0.0039839,0.13416,1,0.12,-0.88,0,0.9
0.00020033,307.36,0.26203,-0.010285,0.16267,1,0.14,-0.86,0,0.9
0.00023397,308.86,0.26515,-0.016587,0.19118,1,0.16,-0.84,0,0.9
0.0002676,310.35,0.26826,-0.022888,0.21969,1,0.18,-0.82,0,0.9
0.0003079,312.05,0.27066,-0.01603,0.24808,1,0.2,-0.8,0,0.9
0.00034996,313.81,0.27288,-0.0056834,0.27644,1,0.22,-0.78,0,0.9
0.00039202,315.56,0.2751,0.0046637,0.30479,1,0.24,-0.76,0,0.9
0.00045199,318.05,0.27922,0.011042,0.33426,1,0.26,-0.74,0,0.9
0.0005532,322.23,0.28776,0.008275,0.3663,1,0.28,-0.72,0,0.9
0.00065442,326.42,0.29629,0.0055076,0.39834,1,0.3,-0.7,0,0.9
0.00075564,330.61,0.30483,0.0027402,0.43038,1,0.32,-0.68,0,0.9
0.00097937,338.81,0.30692,0.0043843,0.48307,1,0.34,-0.66,0,0.9
0.0012035,347.02,0.309,0.0060411,0.53582,1,0.36,-0.64,0,0.9
0.0014275,355.24,0.31108,0.0076978,0.58857,1,0.38,-0.62,0,0.9
0.0018487,367.38,0.30471,0.016403,0.64162,1,0.4,-0.6,0,0.9
