z(cm),T_mean(K),T_rms(K),uz_mean(m/s),uz_rms(m/s),uz'T'(K-m/s),uz'ur'(m/s)^2
0.0,338.0,3.496e-05,0.0129788,3.462e-05,0.0,0.0
0.25,427.969,104.76974754,0.0175319,0.02775455,2.90783711,0.00289753
0.5,513.083,144.51055325,0.0260459,0.05333198,7.70703381,0.00750491
0.75,587.398,164.59040069,0.0404179,0.07903499,13.00840104,0.01261984
1.0,650.856,180.23456938,0.0594024,0.10167546,18.32543349,0.01736572
1.2083,701.881,192.7174097,0.0805939,0.120142,23.1534549,0.02133942
1.4167,744.855,203.19498025,0.103603,0.13578071,27.58995778,0.0247756
1.625,783.099,211.69907888,0.128813,0.14949415,31.64777323,0.02787063
1.8333,817.267,218.31078764,0.155843,0.16164715,35.28931589,0.03070681
2.0416,848.063,223.47796312,0.184423,0.17264704,38.58280857,0.03336564
2.25,875.615,227.53790893,0.214403,0.18287646,41.61132754,0.03591935
2.4584,901.746,230.5445727,0.245633,0.19270522,44.42714152,0.03844233
2.6667,925.724,229.46285102,0.284869,0.20420602,46.85769633,0.04151037
3.0834,950.679,224.27393964,0.341873,0.21975236,49.28472766,0.04581236
3.5,976.046,219.66497217,0.407212,0.23733478,52.13413886,0.05071583
3.9167,998.358,216.60124653,0.474466,0.25621124,55.49567417,0.05584212
4.3333,1018.06,215.11043675,0.543312,0.27674158,59.53000132,0.06114123
4.7499,1035.38,215.10299858,0.612898,0.29894448,64.30385329,0.06674859
5.1666,1051.02,215.78507826,0.682804,0.32207763,69.49954668,0.07279437
5.5833,1065.42,216.56523267,0.752773,0.34544464,74.81129905,0.07923008
6.0,1078.41,217.47850468,0.822422,0.36893089,80.23453782,0.08596939
6.4167,1090.0,218.69384994,0.891484,0.39248822,85.8347591,0.09291851
6.8333,1100.25,220.13791132,0.95973,0.41599279,91.57578356,0.10000681
7.25,1109.13,221.84363863,1.02689,0.43937683,97.47295501,0.10721371
7.6667,1116.64,223.94954789,1.09263,0.46267267,103.61533537,0.11461444
8.0833,1122.87,226.53807627,1.15674,0.48594753,110.08561817,0.12221662
8.5,1127.97,229.63884689,1.21915,0.50913358,116.91684771,0.12993958
8.9166,1132.1,233.17375496,1.27982,0.53214002,124.08108643,0.13778643
9.3333,1135.42,237.01160309,1.33869,0.55496847,131.53396616,0.14582673
9.75,1137.96,241.07716607,1.39574,0.57759934,139.24601252,0.15409391
10.1666,1139.78,245.36360773,1.45096,0.60001417,147.22164058,0.16263114
10.5833,1140.94,249.8229373,1.50436,0.62219772,155.43926143,0.17150652
11.0,1141.45,254.4138361,1.55591,0.64413896,163.87786384,0.18077957
11.4167,1141.3,259.16770632,1.60554,0.66587086,172.57222307,0.19046945
11.8334,1140.47,264.09108277,1.65319,0.68745182,181.54989457,0.20056515
12.2501,1138.96,269.21125534,1.6988,0.70895486,190.85862907,0.21107528
12.6667,1136.76,274.56620331,1.7423,0.73046629,200.56135574,0.22199314
13.0833,1133.88,280.15460018,1.78365,0.7520512,210.69060187,0.23329207
13.5,1130.34,285.97919505,1.82281,0.77377064,221.28230416,0.24498197
13.9167,1126.13,292.04725645,1.85976,0.79564879,232.36704676,0.25709263
14.3333,1121.31,298.33437616,1.89456,0.81763195,243.9277167,0.26958673
14.7499,1115.88,304.78188923,1.92731,0.83958085,255.88903695,0.28233972
15.1666,1109.95,311.31238331,1.95815,0.86132224,268.14027913,0.29536466
15.5833,1103.61,317.84902076,1.98718,0.88272419,280.57302019,0.30877008
16.0,1096.93,324.31774543,2.01451,0.90367638,293.0782862,0.32249937
16.4167,1089.97,330.64331235,2.04023,0.92408982,305.54411981,0.33638119
16.8334,1082.76,336.77588987,2.06442,0.94392214,317.89021753,0.3503205
17.25,1075.35,342.69665887,2.08718,0.96313083,330.06171826,0.36435096
17.6667,1067.77,348.36188081,2.10855,0.98173316,341.99841052,0.37847516
18.0834,1060.04,353.71598776,2.12859,0.99976447,353.63267784,0.39258367
18.5,1052.14,358.70879554,2.14735,1.01716764,364.86697762,0.40664289
18.9167,1044.09,363.34418944,2.16492,1.03386169,375.64763879,0.42066027
19.3333,1035.94,367.6492894,2.18138,1.04978093,385.95121277,0.43459201
19.75,1027.73,371.63691959,2.19688,1.06481454,395.72439477,0.4484256
20.1667,1019.59,375.25857752,2.21151,1.07885588,404.84992117,0.46215126
20.5834,1011.5,378.48645947,2.22534,1.09187453,413.2597269,0.4757638
21.0,1003.48,381.34236586,2.23837,1.10397011,420.99057293,0.48924119
21.4167,995.465,383.84632342,2.25057,1.11527127,428.09277562,0.50248143
