cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
 5.0000000E-001, 5.6111463E+002, 5.5140366E+001,-9.5000000E+000, 1.1151647E+003, 1.5498862E+002, 1.0721880E+003, 2.1791233E+002, 8.9308535E+002, 2.5193487E+002, 7.3589318E+002, 2.3054187E+002, 6.0958735E+002, 1.7424510E+002, 5.2000000E+001, 1.0000000E-001, 2.4989157E+000, 1.3083981E+001, 1.1320384E+001, 9.7000791E+000, 0.0000000E+000, 9.7416499E-001
 2.5000000E+000, 6.6690458E+002, 1.1379981E+002,-7.4655172E+000, 1.0815974E+003, 1.5455682E+002, 1.1258996E+003, 1.8280664E+002, 9.4334362E+002, 2.4655150E+002, 7.5957298E+002, 2.3331464E+002, 6.2114773E+002, 1.7821749E+002, 5.6480000E+001, 2.9900000E-001, 3.6584481E+000, 1.1863725E+001, 1.0374190E+001, 8.9309383E+000, 4.5000000E+000, 9.3795049E-001
 4.5000000E+000, 7.3124996E+002, 1.2877884E+002,-5.4310345E+000, 1.0546799E+003, 1.6119417E+002, 1.1633407E+003, 1.5675625E+002, 9.8924823E+002, 2.3788564E+002, 7.7806406E+002, 2.3312680E+002, 6.3118210E+002, 1.8318072E+002, 6.0960000E+001, 4.9800000E-001, 3.5699429E+000, 1.0226336E+001, 8.9831403E+000, 7.7607423E+000, 9.0000000E+000, 9.6729359E-001
 6.5000000E+000, 7.7997922E+002, 1.3482760E+002,-3.3965517E+000, 1.0280741E+003, 1.6144843E+002, 1.1747976E+003, 1.4043826E+002, 1.0205228E+003, 2.2814424E+002, 7.9566014E+002, 2.3477245E+002, 6.3604970E+002, 1.8294029E+002, 6.5440000E+001, 6.9700000E-001, 3.1936267E+000, 9.3855223E+000, 8.3313613E+000, 7.2383560E+000, 1.3500000E+001, 1.0559786E+000
 8.5000000E+000, 8.2542909E+002, 1.4425426E+002,-1.3620690E+000, 1.0101023E+003, 1.5229623E+002, 1.1846852E+003, 1.3350438E+002, 1.0426567E+003, 2.1880572E+002, 8.0988172E+002, 2.3275990E+002, 6.3954514E+002, 1.8070695E+002, 6.9920000E+001, 8.9600000E-001, 2.8661305E+000, 8.6312705E+000, 7.7383781E+000, 6.7618645E+000, 1.8000000E+001, 1.1558625E+000
 1.0500000E+001, 8.6684553E+002, 1.5141167E+002, 6.7241379E-001, 1.0056379E+003, 1.5704625E+002, 1.1836176E+003, 1.3229925E+002, 1.0474329E+003, 2.1399222E+002, 8.1167135E+002, 2.2939185E+002, 6.4033212E+002, 1.7887092E+002, 7.4400000E+001, 1.0950000E+000, 2.5810275E+000, 7.9534969E+000, 7.1977245E+000, 6.3259076E+000, 2.2500000E+001, 1.2237061E+000
 1.2500000E+001, 9.0150968E+002, 1.5697727E+002, 2.7068966E+000, 1.0167170E+003, 1.5611061E+002, 1.1735539E+003, 1.4755498E+002, 1.0290001E+003, 2.1616847E+002, 8.0163371E+002, 2.2639636E+002, 6.3897897E+002, 1.7869376E+002, 7.8880000E+001, 1.2940000E+000, 2.3321645E+000, 7.3433705E+000, 6.7038908E+000, 5.9259783E+000, 2.7000000E+001, 1.2443044E+000
 1.4500000E+001, 9.3278606E+002, 1.5927519E+002, 4.7413793E+000, 1.0490092E+003, 1.5329166E+002, 1.1501201E+003, 1.6812790E+002, 9.9700191E+002, 2.2033711E+002, 7.8998319E+002, 2.2448570E+002, 6.3642076E+002, 1.7928041E+002, 8.3360000E+001, 1.4930000E+000, 2.1141385E+000, 6.7931204E+000, 6.2520819E+000, 5.5582699E+000, 3.1500000E+001, 1.2283562E+000
 1.6500000E+001, 9.6003392E+002, 1.5906871E+002, 6.7758621E+000, 1.0990368E+003, 1.5484240E+002, 1.1038891E+003, 1.9091619E+002, 9.5167574E+002, 2.2716177E+002, 7.7250786E+002, 2.2109193E+002, 6.3025879E+002, 1.7879839E+002, 8.7840000E+001, 1.6920000E+000, 1.9223549E+000, 6.2958990E+000, 5.8380911E+000, 5.2195081E+000, 3.6000000E+001, 1.1684846E+000
