s,m/s
Time,w
 0.0000000E+000, 4.2655697E-003
 4.0824829E-002, 4.4815015E-003
 8.1649658E-002, 1.0011621E-002
 1.2247449E-001, 1.1953478E-002
 1.6329932E-001, 1.0627402E-001
 2.0412415E-001, 9.4075071E-002
 2.4494897E-001, 1.1632238E-001
 2.8577380E-001, 7.2715405E-002
 3.2659863E-001, 1.2614638E-001
 3.6742346E-001, 8.0591575E-002
 4.0824829E-001, 1.8417096E-001
 4.4907312E-001, 6.0499642E-002
 4.8370861E-001, 1.5758940E-001
 5.1834410E-001, 1.2235778E-001
 5.4897578E-001, 2.0221743E-001
 5.7960747E-001, 8.8552090E-002
 6.0310132E-001, 1.5942030E-001
 6.2659517E-001, 1.3880391E-001
 6.4747049E-001, 1.4776923E-001
 6.6834581E-001, 1.5110122E-001
 6.8922114E-001, 1.5764069E-001
 7.0704232E-001, 1.6582806E-001
 7.2486350E-001, 1.7279387E-001
 7.4268467E-001, 1.8008070E-001
 7.5846510E-001, 1.8685234E-001
 7.7424552E-001, 1.9228947E-001
 7.9002595E-001, 1.9611629E-001
 8.0393965E-001, 2.0036238E-001
 8.1785335E-001, 2.0109570E-001
 8.3176706E-001, 2.0010136E-001
 8.4568076E-001, 1.9916851E-001
 8.5755548E-001, 2.0050244E-001
 8.6943020E-001, 2.0176064E-001
 8.8130492E-001, 2.0517977E-001
 8.9135512E-001, 2.1282910E-001
 9.0140533E-001, 2.2109120E-001
 9.1145554E-001, 2.3680090E-001
 9.2150575E-001, 2.5514027E-001
 9.3049915E-001, 2.7795961E-001
 9.3949255E-001, 3.0617898E-001
 9.4848596E-001, 3.4298942E-001
 9.5747936E-001, 3.8804748E-001
 9.6647276E-001, 4.4067914E-001
 9.7546617E-001, 5.0306717E-001
 9.8445957E-001, 5.7843868E-001
 9.9345297E-001, 6.6992875E-001
 1.0024464E+000, 7.6774519E-001
 1.0103824E+000, 8.5889132E-001
 1.0183183E+000, 9.5424200E-001
 1.0262543E+000, 1.0618412E+000
 1.0333098E+000, 1.1612334E+000
 1.0403653E+000, 1.2564354E+000
 1.0474207E+000, 1.3427358E+000
 1.0544762E+000, 1.4204735E+000
 1.0615317E+000, 1.4881997E+000
 1.0685871E+000, 1.5404289E+000
 1.0756426E+000, 1.5754319E+000
 1.0826981E+000, 1.5959868E+000
 1.0897535E+000, 1.5997027E+000
 1.0968090E+000, 1.5864992E+000
 1.1038645E+000, 1.5535875E+000
 1.1109199E+000, 1.5061199E+000
 1.1171977E+000, 1.4546661E+000
 1.1234755E+000, 1.3988805E+000
 1.1297533E+000, 1.3446735E+000
 1.1360311E+000, 1.2928278E+000
 1.1423088E+000, 1.2455637E+000
 1.1485866E+000, 1.2064050E+000
 1.1548644E+000, 1.1782904E+000
 1.1611422E+000, 1.1627441E+000
 1.1674199E+000, 1.1573517E+000
 1.1736977E+000, 1.1598596E+000
 1.1799755E+000, 1.1661155E+000
 1.1862533E+000, 1.1780902E+000
 1.1925310E+000, 1.1939728E+000
 1.1980308E+000, 1.2094410E+000
 1.2035306E+000, 1.2248237E+000
 1.2090304E+000, 1.2383004E+000
 1.2145301E+000, 1.2467332E+000
 1.2200299E+000, 1.2511008E+000
 1.2255297E+000, 1.2479215E+000
 1.2310295E+000, 1.2359960E+000
 1.2365293E+000, 1.2162351E+000
 1.2420290E+000, 1.1910246E+000
 1.2475288E+000, 1.1626731E+000
 1.2530286E+000, 1.1358190E+000
 1.2585284E+000, 1.1145718E+000
 1.2640282E+000, 1.1051027E+000
 1.2695279E+000, 1.1114121E+000
 1.2750277E+000, 1.1333750E+000
 1.2805275E+000, 1.1686933E+000
 1.2860273E+000, 1.2211257E+000
 1.2915271E+000, 1.2854479E+000
 1.2970268E+000, 1.3617823E+000
 1.3019280E+000, 1.4369579E+000
 1.3068292E+000, 1.5159631E+000
 1.3117304E+000, 1.5958053E+000
 1.3166316E+000, 1.6759546E+000
 1.3215328E+000, 1.7450955E+000
 1.3264339E+000, 1.8024679E+000
 1.3313351E+000, 1.8505366E+000
 1.3362363E+000, 1.8861902E+000
 1.3411375E+000, 1.9039075E+000
 1.3455200E+000, 1.9087113E+000
 1.3499025E+000, 1.9037229E+000
 1.3542851E+000, 1.8844596E+000
 1.3586676E+000, 1.8528901E+000
 1.3630502E+000, 1.8125271E+000
 1.3674327E+000, 1.7664347E+000
 1.3718152E+000, 1.7190601E+000
 1.3761978E+000, 1.6729864E+000
 1.3805803E+000, 1.6316779E+000
 1.3843931E+000, 1.5983214E+000
 1.3882058E+000, 1.5694910E+000
 1.3920186E+000, 1.5400795E+000
 1.3958313E+000, 1.5108432E+000
 1.3996441E+000, 1.4831850E+000
 1.4034569E+000, 1.4556636E+000
 1.4072696E+000, 1.4298310E+000
 1.4110824E+000, 1.4048230E+000
 1.4145038E+000, 1.3819148E+000
 1.4179253E+000, 1.3619393E+000
 1.4213467E+000, 1.3444588E+000
 1.4247681E+000, 1.3312980E+000
 1.4281895E+000, 1.3214924E+000
 1.4316110E+000, 1.3129794E+000
 1.4350324E+000, 1.3050715E+000
 1.4384538E+000, 1.2990866E+000
 1.4418753E+000, 1.2944748E+000
 1.4452967E+000, 1.2956946E+000
 1.4483187E+000, 1.2981874E+000
 1.4513407E+000, 1.3027816E+000
 1.4543626E+000, 1.3110588E+000
 1.4573846E+000, 1.3220419E+000
 1.4604066E+000, 1.3373935E+000
 1.4634286E+000, 1.3554779E+000
 1.4664505E+000, 1.3752763E+000
 1.4694725E+000, 1.3990666E+000
 1.4724945E+000, 1.4245946E+000
 1.4755165E+000, 1.4542133E+000
 1.4785384E+000, 1.4841190E+000
 1.4815604E+000, 1.5168987E+000
 1.4845824E+000, 1.5514350E+000
 1.4876044E+000, 1.5879978E+000
 1.4906263E+000, 1.6275295E+000
 1.4936483E+000, 1.6667312E+000
 1.4966703E+000, 1.7043550E+000
 1.4996923E+000, 1.7362980E+000
 1.5027142E+000, 1.7694794E+000
 1.5057362E+000, 1.8057896E+000
 1.5087582E+000, 1.8393378E+000
 1.5114527E+000, 1.8661883E+000
 1.5141472E+000, 1.8893625E+000
 1.5168417E+000, 1.9109473E+000
 1.5195361E+000, 1.9280718E+000
 1.5222306E+000, 1.9410808E+000
 1.5249251E+000, 1.9479271E+000
 1.5276196E+000, 1.9494704E+000
 1.5303141E+000, 1.9456971E+000
 1.5330086E+000, 1.9362145E+000
 1.5357031E+000, 1.9195965E+000
 1.5383975E+000, 1.8974803E+000
 1.5410920E+000, 1.8684476E+000
 1.5437865E+000, 1.8327463E+000
 1.5464810E+000, 1.7926877E+000
 1.5491755E+000, 1.7487474E+000
 1.5518700E+000, 1.7047273E+000
 1.5545644E+000, 1.6633250E+000
 1.5572589E+000, 1.6245497E+000
 1.5599534E+000, 1.5899075E+000
 1.5626479E+000, 1.5546927E+000
 1.5653424E+000, 1.5230103E+000
 1.5680369E+000, 1.4912720E+000
 1.5707314E+000, 1.4625818E+000
 1.5734258E+000, 1.4339917E+000
 1.5761203E+000, 1.4087387E+000
 1.5788148E+000, 1.3888900E+000
 1.5815093E+000, 1.3755853E+000
 1.5842038E+000, 1.3689087E+000
 1.5868983E+000, 1.3674927E+000
 1.5895928E+000, 1.3709501E+000
 1.5922872E+000, 1.3769803E+000
 1.5949817E+000, 1.3833854E+000
 1.5976762E+000, 1.3925676E+000
 1.6003707E+000, 1.4056942E+000
 1.6030652E+000, 1.4192354E+000
 1.6057597E+000, 1.4347924E+000
 1.6084541E+000, 1.4507136E+000
 1.6111486E+000, 1.4678582E+000
 1.6138431E+000, 1.4855323E+000
 1.6165376E+000, 1.5027055E+000
 1.6192321E+000, 1.5184378E+000
 1.6221960E+000, 1.5338986E+000
 1.6251600E+000, 1.5485876E+000
 1.6281239E+000, 1.5623322E+000
 1.6310878E+000, 1.5734181E+000
 1.6336954E+000, 1.5816374E+000
 1.6363030E+000, 1.5911608E+000
 1.6389105E+000, 1.5993187E+000
 1.6415181E+000, 1.6058584E+000
 1.6441257E+000, 1.6110707E+000
 1.6467332E+000, 1.6149046E+000
 1.6493408E+000, 1.6165930E+000
 1.6519484E+000, 1.6182561E+000
 1.6545559E+000, 1.6197389E+000
 1.6571635E+000, 1.6210119E+000
 1.6597711E+000, 1.6229011E+000
 1.6623787E+000, 1.6253083E+000
 1.6649862E+000, 1.6292676E+000
 1.6675938E+000, 1.6335514E+000
 1.6702014E+000, 1.6374030E+000
 1.6728089E+000, 1.6425403E+000
 1.6754165E+000, 1.6487908E+000
 1.6780241E+000, 1.6552918E+000
 1.6806316E+000, 1.6622430E+000
 1.6832392E+000, 1.6700920E+000
 1.6858468E+000, 1.6785785E+000
 1.6884543E+000, 1.6878285E+000
 1.6910619E+000, 1.6976370E+000
 1.6936695E+000, 1.7073330E+000
 1.6962771E+000, 1.7161725E+000
 1.6988846E+000, 1.7239307E+000
 1.7014922E+000, 1.7301227E+000
 1.7040998E+000, 1.7358044E+000
 1.7064149E+000, 1.7407447E+000
 1.7087300E+000, 1.7449925E+000
 1.7110451E+000, 1.7490406E+000
 1.7133601E+000, 1.7520072E+000
 1.7156752E+000, 1.7541575E+000
 1.7179903E+000, 1.7551283E+000
 1.7203054E+000, 1.7558414E+000
 1.7226205E+000, 1.7564094E+000
 1.7249356E+000, 1.7568631E+000
 1.7272507E+000, 1.7572359E+000
 1.7295658E+000, 1.7570702E+000
 1.7318809E+000, 1.7570585E+000
 1.7341960E+000, 1.7565177E+000
 1.7365111E+000, 1.7566394E+000
 1.7388262E+000, 1.7564419E+000
 1.7411413E+000, 1.7567463E+000
 1.7434564E+000, 1.7584458E+000
 1.7457715E+000, 1.7608685E+000
 1.7480866E+000, 1.7633934E+000
 1.7504017E+000, 1.7663312E+000
 1.7527168E+000, 1.7694393E+000
 1.7547995E+000, 1.7717488E+000
 1.7568822E+000, 1.7737641E+000
 1.7589649E+000, 1.7764459E+000
 1.7610476E+000, 1.7785833E+000
 1.7631303E+000, 1.7815519E+000
 1.7652130E+000, 1.7849502E+000
 1.7672957E+000, 1.7879182E+000
 1.7693784E+000, 1.7917068E+000
 1.7714611E+000, 1.7951476E+000
 1.7735438E+000, 1.7979805E+000
 1.7756265E+000, 1.8003819E+000
 1.7777092E+000, 1.8026668E+000
 1.7797919E+000, 1.8054170E+000
 1.7818746E+000, 1.8068504E+000
 1.7839573E+000, 1.8078836E+000
 1.7860401E+000, 1.8089010E+000
 1.7881228E+000, 1.8097656E+000
 1.7904137E+000, 1.8101502E+000
 1.7927047E+000, 1.8097450E+000
 1.7949957E+000, 1.8079226E+000
 1.7972867E+000, 1.8057902E+000
 1.7995776E+000, 1.8029230E+000
 1.8018686E+000, 1.7996368E+000
 1.8041596E+000, 1.7959075E+000
 1.8064505E+000, 1.7932591E+000
 1.8087415E+000, 1.7905010E+000
 1.8110325E+000, 1.7866303E+000
 1.8133235E+000, 1.7827820E+000
 1.8156144E+000, 1.7778362E+000
 1.8179054E+000, 1.7722784E+000
 1.8201964E+000, 1.7663586E+000
 1.8224874E+000, 1.7589707E+000
 1.8247783E+000, 1.7500921E+000
 1.8270693E+000, 1.7418209E+000
 1.8293603E+000, 1.7342839E+000
 1.8316513E+000, 1.7265991E+000
 1.8339422E+000, 1.7171957E+000
 1.8362332E+000, 1.7063919E+000
 1.8385242E+000, 1.6942599E+000
 1.8408152E+000, 1.6824677E+000
 1.8431061E+000, 1.6699876E+000
 1.8453971E+000, 1.6581650E+000
 1.8476881E+000, 1.6481816E+000
 1.8499791E+000, 1.6380639E+000
 1.8522700E+000, 1.6282628E+000
 1.8545610E+000, 1.6181739E+000
 1.8570811E+000, 1.6088680E+000
 1.8596011E+000, 1.6020348E+000
 1.8621212E+000, 1.5985344E+000
 1.8646413E+000, 1.5982441E+000
 1.8671614E+000, 1.6008916E+000
 1.8696814E+000, 1.6067665E+000
 1.8718743E+000, 1.6146847E+000
 1.8740671E+000, 1.6239693E+000
 1.8762599E+000, 1.6320217E+000
 1.8784528E+000, 1.6426837E+000
 1.8806456E+000, 1.6557110E+000
 1.8828384E+000, 1.6716442E+000
 1.8850312E+000, 1.6890680E+000
 1.8874434E+000, 1.7098792E+000
 1.8898555E+000, 1.7343000E+000
 1.8922676E+000, 1.7601135E+000
 1.8946797E+000, 1.7889997E+000
 1.8970918E+000, 1.8174858E+000
 1.8995039E+000, 1.8450078E+000
 1.9019160E+000, 1.8704393E+000
 1.9043282E+000, 1.8935096E+000
 1.9067403E+000, 1.9144099E+000
 1.9091524E+000, 1.9305728E+000
 1.9115645E+000, 1.9432701E+000
 1.9139766E+000, 1.9506186E+000
 1.9163887E+000, 1.9534844E+000
 1.9188008E+000, 1.9549200E+000
 1.9212129E+000, 1.9538831E+000
 1.9236251E+000, 1.9515416E+000
 1.9260372E+000, 1.9486132E+000
 1.9284493E+000, 1.9443401E+000
 1.9308614E+000, 1.9378915E+000
 1.9332735E+000, 1.9279963E+000
 1.9356856E+000, 1.9177558E+000
 1.9380977E+000, 1.9079532E+000
 1.9405099E+000, 1.9000431E+000
 1.9429220E+000, 1.8928028E+000
 1.9453341E+000, 1.8875960E+000
 1.9477462E+000, 1.8831637E+000
 1.9501583E+000, 1.8818499E+000
 1.9525704E+000, 1.8827140E+000
 1.9549825E+000, 1.8872528E+000
 1.9573947E+000, 1.8937988E+000
 1.9598068E+000, 1.9027127E+000
 1.9622189E+000, 1.9139364E+000
 1.9646310E+000, 1.9297106E+000
 1.9670431E+000, 1.9478954E+000
 1.9694552E+000, 1.9696508E+000
 1.9718673E+000, 1.9942897E+000
 1.9742794E+000, 2.0223740E+000
 1.9766916E+000, 2.0545532E+000
 1.9791037E+000, 2.0925157E+000
 1.9815158E+000, 2.1292261E+000
 1.9839279E+000, 2.1702082E+000
 1.9863400E+000, 2.2132461E+000
 1.9887521E+000, 2.2570657E+000
 1.9911642E+000, 2.2997940E+000
 1.9938176E+000, 2.3428922E+000
 1.9964709E+000, 2.3849057E+000
 1.9991242E+000, 2.4298799E+000
 2.0017775E+000, 2.4698161E+000
 2.0044309E+000, 2.5080850E+000
 2.0070842E+000, 2.5429301E+000
 2.0097375E+000, 2.5741420E+000
 2.0123908E+000, 2.6008881E+000
 2.0150442E+000, 2.6259891E+000
 2.0176975E+000, 2.6469297E+000
 2.0203508E+000, 2.6624732E+000
 2.0227276E+000, 2.6715050E+000
 2.0251043E+000, 2.6771271E+000
 2.0274811E+000, 2.6782350E+000
 2.0298578E+000, 2.6785350E+000
 2.0322346E+000, 2.6768993E+000
 2.0346113E+000, 2.6762572E+000
 2.0369880E+000, 2.6749546E+000
 2.0390833E+000, 2.6762867E+000
 2.0411786E+000, 2.6781059E+000
 2.0432739E+000, 2.6810214E+000
 2.0453691E+000, 2.6848044E+000
 2.0474644E+000, 2.6903896E+000
 2.0495597E+000, 2.6980398E+000
 2.0516550E+000, 2.7069586E+000
 2.0537502E+000, 2.7173098E+000
 2.0558455E+000, 2.7277338E+000
 2.0579408E+000, 2.7400262E+000
 2.0600361E+000, 2.7524616E+000
 2.0621313E+000, 2.7663072E+000
 2.0642266E+000, 2.7800302E+000
 2.0663219E+000, 2.7947449E+000
 2.0684172E+000, 2.8095190E+000
 2.0705124E+000, 2.8250363E+000
 2.0726077E+000, 2.8396760E+000
 2.0747030E+000, 2.8529113E+000
 2.0767983E+000, 2.8645825E+000
 2.0788935E+000, 2.8740343E+000
 2.0809888E+000, 2.8808408E+000
 2.0830841E+000, 2.8842468E+000
 2.0851794E+000, 2.8849691E+000
 2.0872746E+000, 2.8831335E+000
 2.0893699E+000, 2.8788532E+000
 2.0914652E+000, 2.8716575E+000
 2.0935605E+000, 2.8624288E+000
 2.0956557E+000, 2.8513897E+000
 2.0977510E+000, 2.8393357E+000
 2.0998463E+000, 2.8255246E+000
 2.1019416E+000, 2.8102737E+000
 2.1040368E+000, 2.7944217E+000
 2.1061321E+000, 2.7797093E+000
 2.1082274E+000, 2.7674395E+000
 2.1103227E+000, 2.7555752E+000
 2.1124179E+000, 2.7451834E+000
 2.1145132E+000, 2.7362746E+000
 2.1166085E+000, 2.7299849E+000
 2.1187038E+000, 2.7247052E+000
 2.1207990E+000, 2.7216434E+000
 2.1228943E+000, 2.7199856E+000
 2.1249896E+000, 2.7210308E+000
 2.1270849E+000, 2.7246094E+000
 2.1291801E+000, 2.7295716E+000
 2.1312754E+000, 2.7358031E+000
 2.1333707E+000, 2.7433377E+000
 2.1354660E+000, 2.7511178E+000
 2.1375612E+000, 2.7583219E+000
 2.1396565E+000, 2.7650538E+000
 2.1417518E+000, 2.7701145E+000
 2.1438470E+000, 2.7741007E+000
 2.1459423E+000, 2.7761754E+000
 2.1480376E+000, 2.7759081E+000
 2.1501329E+000, 2.7729643E+000
 2.1522281E+000, 2.7672003E+000
 2.1543234E+000, 2.7591362E+000
 2.1564187E+000, 2.7495260E+000
 2.1585140E+000, 2.7375948E+000
 2.1606092E+000, 2.7230035E+000
 2.1627045E+000, 2.7051958E+000
 2.1647998E+000, 2.6860500E+000
 2.1668951E+000, 2.6649747E+000
 2.1689903E+000, 2.6412489E+000
 2.1710856E+000, 2.6166851E+000
 2.1731809E+000, 2.5923463E+000
 2.1752762E+000, 2.5680831E+000
 2.1773714E+000, 2.5442743E+000
 2.1794667E+000, 2.5198463E+000
 2.1815620E+000, 2.4961627E+000
 2.1836573E+000, 2.4731291E+000
 2.1857525E+000, 2.4521877E+000
 2.1878478E+000, 2.4334378E+000
 2.1899431E+000, 2.4157256E+000
 2.1920384E+000, 2.3998046E+000
 2.1941336E+000, 2.3847704E+000
 2.1962289E+000, 2.3718417E+000
 2.1983242E+000, 2.3603126E+000
 2.2004195E+000, 2.3491901E+000
 2.2025147E+000, 2.3381607E+000
 2.2046100E+000, 2.3275963E+000
 2.2067053E+000, 2.3157207E+000
 2.2088006E+000, 2.3026478E+000
 2.2108958E+000, 2.2878300E+000
 2.2129911E+000, 2.2736639E+000
 2.2150864E+000, 2.2586025E+000
 2.2171817E+000, 2.2442343E+000
 2.2192769E+000, 2.2272438E+000
 2.2213722E+000, 2.2105015E+000
 2.2234675E+000, 2.1927533E+000
 2.2255628E+000, 2.1750566E+000
 2.2276580E+000, 2.1569845E+000
 2.2297533E+000, 2.1380025E+000
 2.2318486E+000, 2.1190200E+000
 2.2339439E+000, 2.1007098E+000
 2.2360391E+000, 2.0829807E+000
 2.2381344E+000, 2.0654228E+000
 2.2402297E+000, 2.0490516E+000
 2.2423250E+000, 2.0328553E+000
 2.2444202E+000, 2.0172976E+000
 2.2465155E+000, 2.0024997E+000
 2.2486108E+000, 1.9872986E+000
 2.2507061E+000, 1.9726646E+000
 2.2528013E+000, 1.9581691E+000
 2.2548966E+000, 1.9439966E+000
 2.2569919E+000, 1.9297254E+000
 2.2590871E+000, 1.9152327E+000
 2.2613920E+000, 1.8987710E+000
 2.2636968E+000, 1.8828257E+000
 2.2660016E+000, 1.8667284E+000
 2.2683064E+000, 1.8504113E+000
 2.2706112E+000, 1.8335926E+000
 2.2729160E+000, 1.8166648E+000
 2.2752208E+000, 1.7999094E+000
 2.2775256E+000, 1.7822327E+000
 2.2798304E+000, 1.7638088E+000
 2.2821352E+000, 1.7456836E+000
 2.2844400E+000, 1.7274170E+000
 2.2867448E+000, 1.7094740E+000
 2.2890496E+000, 1.6915114E+000
 2.2913544E+000, 1.6740224E+000
 2.2936592E+000, 1.6574761E+000
 2.2959640E+000, 1.6414929E+000
 2.2982688E+000, 1.6259733E+000
 2.3005736E+000, 1.6113126E+000
 2.3028784E+000, 1.5971437E+000
 2.3051832E+000, 1.5840676E+000
 2.3074880E+000, 1.5715743E+000
 2.3097928E+000, 1.5602510E+000
 2.3120976E+000, 1.5499039E+000
 2.3144024E+000, 1.5412284E+000
 2.3167072E+000, 1.5329049E+000
 2.3190120E+000, 1.5256637E+000
 2.3213168E+000, 1.5190022E+000
 2.3236216E+000, 1.5128522E+000
 2.3259264E+000, 1.5072225E+000
 2.3282312E+000, 1.5024264E+000
 2.3305360E+000, 1.4981582E+000
 2.3328408E+000, 1.4948189E+000
 2.3351456E+000, 1.4925352E+000
 2.3374504E+000, 1.4913314E+000
 2.3397552E+000, 1.4903926E+000
 2.3420600E+000, 1.4898789E+000
 2.3440980E+000, 1.4901898E+000
 2.3461360E+000, 1.4911687E+000
 2.3481739E+000, 1.4920367E+000
 2.3502119E+000, 1.4936489E+000
 2.3522499E+000, 1.4957784E+000
 2.3542878E+000, 1.4986753E+000
 2.3563258E+000, 1.5017382E+000
 2.3583638E+000, 1.5054235E+000
 2.3604018E+000, 1.5091323E+000
 2.3624397E+000, 1.5134166E+000
 2.3644777E+000, 1.5176707E+000
 2.3665157E+000, 1.5223293E+000
 2.3685536E+000, 1.5277802E+000
 2.3705916E+000, 1.5338147E+000
 2.3726296E+000, 1.5393713E+000
 2.3746676E+000, 1.5450604E+000
 2.3767055E+000, 1.5507564E+000
 2.3787435E+000, 1.5568759E+000
 2.3807815E+000, 1.5632100E+000
 2.3828194E+000, 1.5699780E+000
 2.3848574E+000, 1.5765298E+000
 2.3868954E+000, 1.5834978E+000
 2.3889333E+000, 1.5894065E+000
 2.3909713E+000, 1.5960270E+000
 2.3930093E+000, 1.6023282E+000
 2.3950473E+000, 1.6086984E+000
 2.3970852E+000, 1.6150129E+000
 2.3991232E+000, 1.6213567E+000
 2.4011612E+000, 1.6271394E+000
 2.4031991E+000, 1.6326374E+000
 2.4052371E+000, 1.6374950E+000
 2.4072751E+000, 1.6423504E+000
 2.4093131E+000, 1.6466536E+000
 2.4113510E+000, 1.6504066E+000
 2.4133890E+000, 1.6532011E+000
 2.4154270E+000, 1.6555870E+000
 2.4174649E+000, 1.6573162E+000
 2.4195029E+000, 1.6581269E+000
 2.4215409E+000, 1.6589778E+000
 2.4235789E+000, 1.6589599E+000
 2.4256168E+000, 1.6583660E+000
 2.4276548E+000, 1.6570317E+000
 2.4296928E+000, 1.6556116E+000
 2.4317307E+000, 1.6543733E+000
 2.4337687E+000, 1.6524537E+000
 2.4358067E+000, 1.6500859E+000
 2.4378446E+000, 1.6469453E+000
 2.4398826E+000, 1.6441805E+000
 2.4419206E+000, 1.6411985E+000
 2.4439586E+000, 1.6379800E+000
 2.4459965E+000, 1.6342540E+000
 2.4480345E+000, 1.6310856E+000
 2.4500725E+000, 1.6284518E+000
 2.4521104E+000, 1.6264429E+000
 2.4541484E+000, 1.6246760E+000
 2.4561864E+000, 1.6235260E+000
 2.4584282E+000, 1.6219810E+000
 2.4606699E+000, 1.6210465E+000
 2.4629117E+000, 1.6210153E+000
 2.4651535E+000, 1.6217599E+000
 2.4673952E+000, 1.6237187E+000
 2.4696370E+000, 1.6267248E+000
 2.4718788E+000, 1.6306333E+000
 2.4741205E+000, 1.6353427E+000
 2.4763623E+000, 1.6407603E+000
 2.4786041E+000, 1.6450909E+000
 2.4808458E+000, 1.6511702E+000
 2.4830876E+000, 1.6581721E+000
 2.4853294E+000, 1.6648662E+000
 2.4875711E+000, 1.6726405E+000
 2.4898129E+000, 1.6809442E+000
 2.4920547E+000, 1.6898557E+000
 2.4942964E+000, 1.6980243E+000
 2.4965382E+000, 1.7066392E+000
 2.4987800E+000, 1.7149599E+000
 2.5012459E+000, 1.7238059E+000
 2.5037119E+000, 1.7321087E+000
 2.5061778E+000, 1.7411056E+000
 2.5086437E+000, 1.7478279E+000
 2.5111097E+000, 1.7535653E+000
 2.5135756E+000, 1.7586003E+000
 2.5160416E+000, 1.7630249E+000
 2.5185075E+000, 1.7667823E+000
 2.5209735E+000, 1.7692840E+000
 2.5234394E+000, 1.7706703E+000
 2.5259054E+000, 1.7716191E+000
 2.5283713E+000, 1.7718776E+000
 2.5308372E+000, 1.7713609E+000
 2.5333032E+000, 1.7709688E+000
 2.5357691E+000, 1.7701175E+000
 2.5382351E+000, 1.7689854E+000
 2.5407010E+000, 1.7672172E+000
 2.5431670E+000, 1.7649766E+000
 2.5456329E+000, 1.7624990E+000
 2.5480989E+000, 1.7609241E+000
 2.5505648E+000, 1.7597048E+000
 2.5530308E+000, 1.7593846E+000
 2.5554967E+000, 1.7591412E+000
 2.5579626E+000, 1.7588794E+000
 2.5604286E+000, 1.7580531E+000
 2.5628945E+000, 1.7594516E+000
 2.5653605E+000, 1.7622865E+000
 2.5678264E+000, 1.7660019E+000
 2.5702924E+000, 1.7711848E+000
 2.5727583E+000, 1.7775109E+000
 2.5752243E+000, 1.7843905E+000
 2.5776902E+000, 1.7938746E+000
 2.5801561E+000, 1.8038972E+000
 2.5826221E+000, 1.8167472E+000
 2.5850880E+000, 1.8321619E+000
 2.5875540E+000, 1.8491969E+000
 2.5900199E+000, 1.8666601E+000
 2.5924859E+000, 1.8857235E+000
 2.5949518E+000, 1.9064755E+000
 2.5974178E+000, 1.9280079E+000
 2.5998837E+000, 1.9503068E+000
 2.6023496E+000, 1.9719491E+000
 2.6048156E+000, 1.9937942E+000
 2.6072815E+000, 2.0149320E+000
 2.6097475E+000, 2.0361916E+000
 2.6122134E+000, 2.0561088E+000
 2.6146794E+000, 2.0751107E+000
 2.6171453E+000, 2.0924320E+000
 2.6196113E+000, 2.1088996E+000
 2.6220772E+000, 2.1235962E+000
 2.6247897E+000, 2.1380336E+000
