cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
 5.0000000E-001, 7.0421746E+002, 1.4773238E+002,-9.5000000E+000, 1.1631161E+003, 1.7560220E+002, 1.0175083E+003, 2.4471296E+002, 8.7695516E+002, 2.5706202E+002, 7.1371698E+002, 2.2033758E+002, 5.7840698E+002, 1.4338491E+002, 5.2000000E+001, 1.0000000E-001, 1.5319398E+000, 9.1991449E+000, 7.7418929E+000, 6.4074173E+000, 0.0000000E+000, 6.6416668E-001
 2.5000000E+000, 8.5813366E+002, 1.7968132E+002,-7.4655172E+000, 1.1807723E+003, 1.4720868E+002, 1.0990871E+003, 2.2167191E+002, 9.3465513E+002, 2.5357425E+002, 7.4527566E+002, 2.2494681E+002, 5.9472635E+002, 1.5054591E+002, 5.6480000E+001, 2.9900000E-001, 2.3458619E+000, 8.3706767E+000, 7.1093718E+000, 5.9162441E+000, 4.5000000E+000, 6.4233227E-001
 4.5000000E+000, 9.4557749E+002, 1.7832861E+002,-5.4310345E+000, 1.1770185E+003, 1.3500849E+002, 1.1608758E+003, 1.9704164E+002, 9.8517123E+002, 2.4669115E+002, 7.7260595E+002, 2.2649922E+002, 6.0756984E+002, 1.5503903E+002, 6.0960000E+001, 4.9800000E-001, 2.3531005E+000, 7.2493538E+000, 6.2238428E+000, 5.2071538E+000, 9.0000000E+000, 6.8386778E-001
 6.5000000E+000, 1.0035402E+003, 1.7390547E+002,-3.3965517E+000, 1.1610832E+003, 1.3830467E+002, 1.2029235E+003, 1.7272911E+002, 1.0213141E+003, 2.3714657E+002, 7.9181144E+002, 2.2473347E+002, 6.1590076E+002, 1.5410718E+002, 6.5440000E+001, 6.9700000E-001, 2.1082812E+000, 6.6592646E+000, 5.7746070E+000, 4.8634289E+000, 1.3500000E+001, 7.7422883E-001
 8.5000000E+000, 1.0448011E+003, 1.6841769E+002,-1.3620690E+000, 1.1616046E+003, 1.3502939E+002, 1.2272296E+003, 1.6055305E+002, 1.0414358E+003, 2.3227889E+002, 7.9823103E+002, 2.2023249E+002, 6.1964558E+002, 1.5267320E+002, 6.9920000E+001, 8.9600000E-001, 1.8935667E+000, 6.1296558E+000, 5.3658330E+000, 4.5493880E+000, 1.8000000E+001, 8.6283385E-001
 1.0500000E+001, 1.0779806E+003, 1.6413725E+002, 6.7241379E-001, 1.1737185E+003, 1.3035696E+002, 1.2278607E+003, 1.6392094E+002, 1.0358481E+003, 2.2919555E+002, 7.9308497E+002, 2.1549651E+002, 6.1951103E+002, 1.5172426E+002, 7.4400000E+001, 1.0950000E+000, 1.7056444E+000, 5.6533554E+000, 4.9931604E+000, 4.2616762E+000, 2.2500000E+001, 9.1124583E-001
 1.2500000E+001, 1.1051052E+003, 1.5798319E+002, 2.7068966E+000, 1.1901152E+003, 1.2725830E+002, 1.2040022E+003, 1.8104477E+002, 1.0128265E+003, 2.3039249E+002, 7.7841154E+002, 2.1023663E+002, 6.1386826E+002, 1.5037639E+002, 7.8880000E+001, 1.2940000E+000, 1.5410106E+000, 5.2241890E+000, 4.6527843E+000, 3.9974249E+000, 2.7000000E+001, 9.1234681E-001
 1.4500000E+001, 1.1270775E+003, 1.4992903E+002, 4.7413793E+000, 1.2028743E+003, 1.4201785E+002, 1.1486889E+003, 2.0170664E+002, 9.6826316E+002, 2.3402485E+002, 7.5745664E+002, 2.0573806E+002, 6.0322764E+002, 1.4680007E+002, 8.3360000E+001, 1.4930000E+000, 1.3964281E+000, 4.8367575E+000, 4.3413715E+000, 3.7541692E+000, 3.1500000E+001, 8.8293276E-001
 1.6500000E+001, 1.1456257E+003, 1.4243539E+002, 6.7758621E+000, 1.1867275E+003, 1.7301365E+002, 1.0696403E+003, 2.2213869E+002, 9.0834910E+002, 2.3238491E+002, 7.3179904E+002, 1.9985759E+002, 5.9064245E+002, 1.4369678E+002, 8.7840000E+001, 1.6920000E+000, 1.2690530E+000, 4.4863110E+000, 4.0559929E+000, 3.5297844E+000, 3.6000000E+001, 8.1733355E-001
