s,m/s,kg/m2/s,C,C
Time,WVEL,MLRPUA,T_SURF_MEAN,T_SURF_MAX
 0.0000000E+000,-4.2916633E-003, 0.0000000E+000, 4.5000000E+001, 4.5000000E+001
 2.0029613E+000, 1.3873046E+000, 5.4675701E-003, 4.7928218E+001, 5.0946609E+001
 4.0004119E+000, 3.6694066E+000, 5.9603150E-003, 4.8223952E+001, 5.9460053E+001
 6.0028941E+000, 3.4672933E+000, 6.1148163E-003, 4.8355091E+001, 6.0373844E+001
 8.0025779E+000, 4.0764926E+000, 6.2270042E-003, 4.8477096E+001, 6.0502625E+001
 1.0003035E+001, 3.5535260E+000, 6.3621647E-003, 4.8582614E+001, 6.1207954E+001
 1.2003239E+001, 3.7190250E+000, 6.4574395E-003, 4.8753302E+001, 6.1415931E+001
 1.4000962E+001, 3.6391136E+000, 6.6352994E-003, 4.9013882E+001, 6.1663176E+001
 1.6003314E+001, 3.3528228E+000, 6.9095071E-003, 4.9278965E+001, 6.2271761E+001
 1.8003119E+001, 4.2168393E+000, 7.0259064E-003, 4.9325976E+001, 6.2737234E+001
 2.0002466E+001, 3.7057330E+000, 7.2170627E-003, 4.9469298E+001, 6.2903846E+001
 2.2002097E+001, 3.5410903E+000, 7.5108463E-003, 4.9757261E+001, 6.3356194E+001
 2.4002622E+001, 3.7013297E+000, 7.6369995E-003, 4.9745202E+001, 6.3244799E+001
 2.6000898E+001, 4.3020665E+000, 7.6711652E-003, 4.9807022E+001, 6.3096483E+001
 2.8002401E+001, 4.1447189E+000, 7.9888419E-003, 5.0046905E+001, 6.3558325E+001
 3.0000227E+001, 3.9590794E+000, 8.1871787E-003, 5.0209124E+001, 6.3569020E+001
 3.2000562E+001, 4.1079405E+000, 8.3741737E-003, 5.0249589E+001, 6.3748837E+001
 3.4001121E+001, 4.1916243E+000, 8.7589440E-003, 5.0451010E+001, 6.3906118E+001
 3.6002122E+001, 4.2203550E+000, 8.7287742E-003, 5.0439048E+001, 6.3951785E+001
 3.8002165E+001, 4.3660824E+000, 8.8907252E-003, 5.0556024E+001, 6.3976523E+001
 4.0001041E+001, 4.0359071E+000, 9.3604016E-003, 5.0869478E+001, 6.3993147E+001
 4.2000020E+001, 4.6770005E+000, 9.2558387E-003, 5.0727121E+001, 6.3954560E+001
 4.4001743E+001, 4.1361853E+000, 9.4872969E-003, 5.0921793E+001, 6.3985838E+001
 4.6002349E+001, 4.3142666E+000, 9.5933733E-003, 5.0912500E+001, 6.4007579E+001
 4.8002222E+001, 4.0928450E+000, 9.6392131E-003, 5.1041586E+001, 6.4008469E+001
 5.0002935E+001, 4.0893175E+000, 1.0086102E-002, 5.1285949E+001, 6.4070795E+001
 5.2000429E+001, 4.6325084E+000, 1.0206546E-002, 5.1333200E+001, 6.4173602E+001
 5.4000037E+001, 4.1478918E+000, 1.0270164E-002, 5.1502200E+001, 6.4015063E+001
 5.6002191E+001, 4.8540603E+000, 1.0452118E-002, 5.1518171E+001, 6.4042087E+001
 5.8001754E+001, 4.4124273E+000, 1.0507723E-002, 5.1623135E+001, 6.4044157E+001
 6.0000000E+001, 4.7298200E+000, 1.0546457E-002, 5.1649960E+001, 6.4019120E+001
