cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 1.0000000E+000, 7.4403071E+002, 7.3794509E+002, 1.3281333E-002, 4.2767445E+001, 4.9374219E+001, 6.0441942E-004, 4.4550294E-003, 3.2366617E-002, 8.8826667E-002, 2.2840943E-001, 1.2536046E-001, 5.2250980E-002, 4.5091382E-001, 5.8573449E-003
 3.0000000E+000, 8.3182055E+002, 8.2816919E+002, 3.2233140E-001, 5.7137587E+001, 6.7321470E+001, 7.5400479E-002, 5.3984956E-003, 3.6639985E-002, 9.3278255E-002, 1.6762774E-001, 1.3438035E-001, 5.4869562E-002, 4.8951576E-001, 6.5357000E-003
 5.0000000E+000, 8.8957224E+002, 8.8846200E+002, 6.5985153E-001, 6.7838016E+001, 8.1883295E+001, 1.1893791E-001, 6.9315345E-003, 4.0109048E-002, 9.3873420E-002, 1.3236979E-001, 1.3859063E-001, 5.5219659E-002, 5.1449937E-001, 6.8065488E-003
 7.0000000E+000, 9.3334774E+002, 9.3483341E+002, 1.0001475E+000, 7.5713588E+001, 9.3568085E+001, 1.6153881E-001, 9.1447505E-003, 4.3395447E-002, 9.2341493E-002, 1.0765505E-001, 1.4042327E-001, 5.4318525E-002, 5.3461529E-001, 6.8456888E-003
 9.0000000E+000, 9.6883986E+002, 9.7289814E+002, 1.3380696E+000, 8.1681717E+001, 1.0319465E+002, 2.0522769E-001, 1.1990424E-002, 4.6536638E-002, 8.9407307E-002, 8.9185327E-002, 1.4066674E-001, 5.2592534E-002, 5.5209019E-001, 6.7271295E-003
 1.1000000E+001, 9.9806782E+002, 1.0046093E+003, 1.6577379E+000, 8.4882784E+001, 1.0931046E+002, 2.5025505E-001, 1.5338669E-002, 4.9448427E-002, 8.5650969E-002, 7.4762986E-002, 1.3983298E-001, 5.0382923E-002, 5.6778874E-001, 6.5114602E-003
 1.3000000E+001, 1.0221538E+003, 1.0309080E+003, 1.9572711E+000, 8.5754629E+001, 1.1266147E+002, 2.9200296E-001, 1.8947205E-002, 5.2065533E-002, 8.1547611E-002, 6.3211958E-002, 1.3834232E-001, 4.7969183E-002, 5.8192646E-001, 6.2463669E-003
 1.5000000E+001, 1.0416908E+003, 1.0522545E+003, 2.2285958E+000, 8.4506615E+001, 1.1403309E+002, 3.3356864E-001, 2.2801014E-002, 5.4365123E-002, 7.7260737E-002, 5.3803291E-002, 1.3634040E-001, 4.5447493E-002, 5.9483278E-001, 5.9509828E-003
 1.7000000E+001, 1.0573948E+003, 1.0692938E+003, 2.4749128E+000, 8.2748634E+001, 1.1557878E+002, 3.7530254E-001, 2.6864355E-002, 5.6315312E-002, 7.2963158E-002, 4.5916117E-002, 1.3397281E-001, 4.2919505E-002, 6.0674224E-001, 5.6441672E-003
 1.9000000E+001, 1.0698849E+003, 1.0826655E+003, 2.6948522E+000, 8.2835262E+001, 1.1995832E+002, 4.1648325E-001, 3.1094143E-002, 5.7966573E-002, 6.8680669E-002, 3.9249343E-002, 1.3131722E-001, 4.0400393E-002, 6.1782486E-001, 5.3304914E-003
 2.1000000E+001, 1.0796583E+003, 1.0928769E+003, 2.8916089E+000, 8.5349642E+001, 1.2757605E+002, 4.6047064E-001, 3.5495579E-002, 5.9381000E-002, 6.4378227E-002, 3.3546910E-002, 1.2840121E-001, 3.7869545E-002, 6.2830434E-001, 5.0093940E-003
 2.3000000E+001, 1.0869840E+003, 1.1002876E+003, 3.0649027E+000, 8.9259465E+001, 1.3690511E+002, 5.0887930E-001, 4.0079066E-002, 6.0611276E-002, 6.0017598E-002, 2.8612962E-002, 1.2523949E-001, 3.5304470E-002, 6.3836698E-001, 4.6792265E-003
 2.5000000E+001, 1.0869840E+003, 1.1002876E+003, 3.2180734E+000, 8.9259465E+001, 1.3690511E+002, 5.6178327E-001, 4.0079066E-002, 6.0611276E-002, 6.0017598E-002, 2.8612962E-002, 1.2523949E-001, 3.5304470E-002, 6.3836698E-001, 4.6792265E-003
 2.7000000E+001, 1.0916457E+003, 1.1039655E+003, 3.3505492E+000, 1.0174304E+002, 1.5878280E+002, 6.1935722E-001, 5.0085052E-002, 6.2171921E-002, 5.1369040E-002, 2.0642869E-002, 1.1808414E-001, 3.0217082E-002, 6.5735753E-001, 4.0156139E-003
 2.9000000E+001, 1.0899763E+003, 1.1011876E+003, 3.4665871E+000, 1.1048757E+002, 1.7208936E+002, 6.7714165E-001, 5.5453654E-002, 6.2567372E-002, 4.7079731E-002, 1.7414246E-002, 1.1415485E-001, 2.7693959E-002, 6.6640487E-001, 3.6828644E-003
 3.1000000E+001, 1.0847188E+003, 1.0943524E+003, 3.5631602E+000, 1.2101526E+002, 1.8690863E+002, 7.4036037E-001, 6.1118299E-002, 6.2609568E-002, 4.2898497E-002, 1.4622089E-002, 1.0998073E-001, 2.5234410E-002, 6.7512494E-001, 3.3571431E-003
