s,kg/m2/s
Time,MLRPUA
 0.0000000E+000, 0.0000000E+000
 2.0001091E+000, 1.0621871E-002
 4.0005482E+000, 1.3818083E-002
 6.0001153E+000, 1.4230800E-002
 8.0004993E+000, 1.5206992E-002
 1.0000280E+001, 1.5840853E-002
 1.2000373E+001, 1.6210774E-002
 1.4000117E+001, 1.6662172E-002
 1.6000034E+001, 1.6867677E-002
 1.8000213E+001, 1.7162582E-002
 2.0000376E+001, 1.7725503E-002
 2.2000339E+001, 1.8218117E-002
 2.4000224E+001, 1.8198996E-002
 2.6000489E+001, 1.8170412E-002
 2.8000350E+001, 1.8610431E-002
 3.0000553E+001, 1.8685083E-002
 3.2000239E+001, 1.8459687E-002
 3.4000045E+001, 1.8369586E-002
 3.6000015E+001, 1.8865757E-002
 3.8000226E+001, 1.9326495E-002
 4.0000030E+001, 1.9243604E-002
 4.2000047E+001, 1.9027546E-002
 4.4000520E+001, 1.9023083E-002
 4.6000069E+001, 1.9019435E-002
 4.8000466E+001, 1.9509007E-002
 5.0000632E+001, 1.9244026E-002
 5.2000054E+001, 1.9076585E-002
 5.4000543E+001, 1.8353857E-002
 5.6000137E+001, 1.8748162E-002
 5.8000003E+001, 1.9293357E-002
 6.0000000E+001, 1.8909076E-002
