cm,K,K,cm,K,K,K,K,K,K,K,K,K,K
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS
 5.0000000E-001, 5.6500786E+002, 6.6555847E+001,-9.5000000E+000, 1.1175878E+003, 2.4441738E+002, 1.0247397E+003, 3.5422212E+002, 8.3257645E+002, 3.6266974E+002, 6.7632919E+002, 3.0416462E+002, 5.6951935E+002, 2.2042723E+002
 2.5000000E+000, 6.8669540E+002, 1.5256950E+002,-7.4655172E+000, 1.1049073E+003, 2.3062009E+002, 1.0849114E+003, 3.3076233E+002, 8.8062633E+002, 3.6589096E+002, 6.9960992E+002, 3.1292089E+002, 5.8271961E+002, 2.2937519E+002
 4.5000000E+000, 7.6756769E+002, 1.9546534E+002,-5.4310345E+000, 1.0809769E+003, 2.3106542E+002, 1.1261923E+003, 3.0561616E+002, 9.1994548E+002, 3.6779225E+002, 7.2346377E+002, 3.2202109E+002, 5.9196236E+002, 2.3512303E+002
 6.5000000E+000, 8.2335852E+002, 2.0994690E+002,-3.3965517E+000, 1.0597732E+003, 2.2287417E+002, 1.1596008E+003, 2.8331608E+002, 9.5039665E+002, 3.6702501E+002, 7.4201522E+002, 3.2815196E+002, 5.9911051E+002, 2.3784992E+002
 8.5000000E+000, 8.7071816E+002, 2.2022829E+002,-1.3620690E+000, 1.0389007E+003, 2.2256081E+002, 1.1839874E+003, 2.6762405E+002, 9.7326653E+002, 3.6801415E+002, 7.4868178E+002, 3.2849595E+002, 6.0263742E+002, 2.3932934E+002
 1.0500000E+001, 9.1016271E+002, 2.2549432E+002, 6.7241379E-001, 1.0446779E+003, 2.3079137E+002, 1.1778306E+003, 2.6356898E+002, 9.7479362E+002, 3.6126496E+002, 7.4519319E+002, 3.2427368E+002, 6.0312722E+002, 2.3995519E+002
 1.2500000E+001, 9.4049585E+002, 2.2785426E+002, 2.7068966E+000, 1.0709457E+003, 2.3025054E+002, 1.1677077E+003, 2.7116419E+002, 9.5444288E+002, 3.5223803E+002, 7.3847797E+002, 3.2169937E+002, 6.0224546E+002, 2.4087301E+002
 1.4500000E+001, 9.7220652E+002, 2.3346041E+002, 4.7413793E+000, 1.1052995E+003, 2.2758517E+002, 1.1442060E+003, 2.9353294E+002, 9.2425841E+002, 3.5607229E+002, 7.2789377E+002, 3.1786009E+002, 5.9697545E+002, 2.3802103E+002
 1.6500000E+001, 9.9996152E+002, 2.3378530E+002, 6.7758621E+000, 1.1296070E+003, 2.2862887E+002, 1.0985788E+003, 3.2766824E+002, 8.8587751E+002, 3.5645417E+002, 7.1162489E+002, 3.0777428E+002, 5.8785450E+002, 2.3308129E+002
 1.8500000E+001, 1.0237605E+003, 2.3266053E+002, 8.8103448E+000, 1.1398095E+003, 2.5520592E+002, 1.0264547E+003, 3.4888128E+002, 8.4000000E+002, 3.5222808E+002, 6.8910823E+002, 2.9671710E+002, 5.7694198E+002, 2.2763307E+002
 2.0500000E+001, 1.0446779E+003, 2.3079137E+002, 1.0844828E+001, 1.1210523E+003, 2.8520092E+002, 9.4608750E+002, 3.6632967E+002, 7.8951882E+002, 3.4653419E+002, 6.6358647E+002, 2.8744922E+002, 5.6729240E+002, 2.2413619E+002
 2.2500000E+001, 1.0623211E+003, 2.2836983E+002, 1.2879310E+001, 1.0672405E+003, 3.1776905E+002, 8.5458964E+002, 3.7432718E+002, 7.4066869E+002, 3.4027943E+002, 6.3787394E+002, 2.7829328E+002, 5.5792741E+002, 2.1909874E+002
 2.4500000E+001, 1.0791570E+003, 2.2776950E+002, 1.4913793E+001, 9.8769362E+002, 3.4617296E+002, 7.7067328E+002, 3.6848795E+002, 6.9046301E+002, 3.2540454E+002, 6.1077012E+002, 2.6432654E+002, 5.4726104E+002, 2.1479069E+002
 2.6500000E+001, 1.0962552E+003, 2.2767690E+002, 1.6948276E+001, 9.0256590E+002, 3.6493112E+002, 6.9781275E+002, 3.5280249E+002, 6.4122555E+002, 3.0645814E+002, 5.8120856E+002, 2.4720175E+002, 5.3494598E+002, 2.0778763E+002
 2.8500000E+001, 1.1128107E+003, 2.2749718E+002, 1.8982759E+001, 8.1173519E+002, 3.6337986E+002, 6.3575097E+002, 3.3406104E+002, 6.0013811E+002, 2.8795912E+002, 5.5377324E+002, 2.3120417E+002, 5.2103784E+002, 1.9960383E+002
