cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,cm,kW/m2,kW/m2,cm,kW/m2,cm,kW/m2
z,T_CL,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot,r_rad1,HF,radHF,z_rad,HF_vert,r_rad2,HF_hori
 5.0000000E-001, 7.0378243E+002, 4.0711641E-003, 2.5374124E-002, 3.9708728E-002, 4.8043757E-001, 1.2165060E-001, 3.9708728E-002, 2.8904908E-001, 0.0000000E+000,-4.0000000E+000, 1.9805529E+001, 1.1637896E+001, 0.0000000E+000, 4.9556703E-001, 1.6155494E+001, 1.8983935E+000
 1.5000000E+000, 8.4642250E+002, 7.6666003E-003, 3.3534630E-002, 4.8892940E-002, 3.2772438E-001, 1.5448247E-001, 4.8892940E-002, 3.7880604E-001, 0.0000000E+000,-3.0000000E+000, 1.8697407E+001, 1.1561071E+001, 1.3761468E+000, 4.7114074E-001, 1.7279331E+001, 1.8983935E+000
 2.5000000E+000, 9.3548945E+002, 1.0710247E-002, 3.8927715E-002, 5.1646209E-002, 2.4701041E-001, 1.7033561E-001, 5.1646209E-002, 4.2972360E-001, 0.0000000E+000,-2.0000000E+000, 1.8697407E+001, 1.1561071E+001, 2.7522936E+000, 4.6689859E-001, 1.8403416E+001, 1.5817237E+000
 3.5000000E+000, 9.9492673E+002, 1.3569853E-002, 4.3080121E-002, 5.1661169E-002, 1.9725063E-001, 1.7883377E-001, 5.1661169E-002, 4.6394329E-001, 0.0000000E+000,-1.0000000E+000, 1.8021105E+001, 1.1478414E+001, 4.1284404E+000, 5.4772655E-001, 1.9527708E+001, 1.4401760E+000
 4.5000000E+000, 1.0385767E+003, 1.6350797E-002, 4.6395502E-002, 5.0624526E-002, 1.6254156E-001, 1.8377617E-001, 5.0624526E-002, 4.8968692E-001, 0.0000000E+000,-1.0000000E-002, 1.7619259E+001, 1.1442090E+001, 5.5045872E+000, 5.9284123E-001, 2.0652171E+001, 1.2384770E+000
 5.5000000E+000, 1.0721802E+003, 1.9857232E-002, 4.9142112E-002, 4.8625089E-002, 1.3608910E-001, 1.8587832E-001, 4.8625089E-002, 5.1178306E-001, 0.0000000E+000, 1.0000000E+000, 1.7325339E+001, 1.1413694E+001, 6.8807339E+000, 6.1859181E-001, 2.1776780E+001, 1.1419746E+000
 6.5000000E+000, 1.0971970E+003, 2.4082570E-002, 5.1226113E-002, 4.6179273E-002, 1.1509423E-001, 1.8586187E-001, 4.6179273E-002, 5.3137667E-001, 0.0000000E+000, 2.0000000E+000, 1.8142529E+001, 1.1498267E+001, 8.2568807E+000, 6.1287719E-001, 2.2901513E+001, 1.0008401E+000
 7.5000000E+000, 1.1148899E+003, 2.8844578E-002, 5.2764267E-002, 4.3479811E-002, 9.8055807E-002, 1.8430058E-001, 4.3479811E-002, 5.4907515E-001, 0.0000000E+000, 3.0000000E+000, 1.9469975E+001, 1.1556342E+001, 9.6330275E+000, 5.9753044E-001, 2.4026353E+001, 9.3041712E-001
 8.5000000E+000, 1.1264726E+003, 3.3936392E-002, 5.3818466E-002, 4.0708441E-002, 8.4143470E-002, 1.8163711E-001, 4.0708441E-002, 5.6504768E-001, 0.0000000E+000, 4.0000000E+000, 2.1288188E+001, 1.1518995E+001, 1.1009174E+001, 5.7652851E-001, 2.5151285E+001, 8.2623594E-001
 9.5000000E+000, 1.1331456E+003, 3.9216153E-002, 5.4427274E-002, 3.8013914E-002, 7.2651255E-002, 1.7820975E-001, 3.8013914E-002, 5.7946775E-001, 0.0000000E+000, 5.0000000E+000, 2.3225134E+001, 1.1308875E+001, 1.2385321E+001, 5.7502032E-001, 2.6276297E+001, 7.3849557E-001
 1.0500000E+001, 1.1369364E+003, 4.4395016E-002, 5.4716844E-002, 3.5513751E-002, 6.3036667E-002, 1.7447652E-001, 3.5513751E-002, 5.9234745E-001, 0.0000000E+000, 6.0000000E+000, 2.3225134E+001, 1.1308875E+001, 1.3761468E+001, 5.7818087E-001, 2.7401380E+001, 6.9330283E-001
 1.1500000E+001, 1.1382981E+003, 4.9503622E-002, 5.4808863E-002, 3.3097034E-002, 5.4881230E-002, 1.7048884E-001, 3.3097034E-002, 6.0412338E-001, 0.0000000E+000, 7.0000000E+000, 2.4247045E+001, 1.0823825E+001, 1.5137615E+001, 5.8965645E-001, 2.8526525E+001, 6.2518379E-001
 1.2500000E+001, 1.1369591E+003, 5.4662597E-002, 5.4632410E-002, 3.0811005E-002, 4.7889940E-002, 1.6618854E-001, 3.0811005E-002, 6.1500451E-001, 0.0000000E+000, 8.0000000E+000, 2.3812696E+001, 9.3312459E+000, 1.6513761E+001, 5.9431657E-001, 2.9651726E+001, 5.8933184E-001
 1.3500000E+001, 1.1329278E+003, 5.9890017E-002, 5.4184380E-002, 2.8661633E-002, 4.1961208E-002, 1.6158020E-001, 2.8661633E-002, 6.2506093E-001, 0.0000000E+000, 9.0000000E+000, 2.2969619E+001, 8.4757536E+000, 1.7889908E+001, 5.9693467E-001, 3.0776976E+001, 5.3526838E-001
 1.4500000E+001, 1.1269689E+003, 6.5092361E-002, 5.3565327E-002, 2.6616197E-002, 3.6901234E-002, 1.5680821E-001, 2.6616197E-002, 6.3440047E-001, 0.0000000E+000, 1.0000000E+001, 2.1891613E+001, 7.6095318E+000, 1.9266055E+001, 5.9586037E-001, 3.1902269E+001, 5.0629295E-001
