cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg
z,T_CL,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot
 2.5000000E-001, 7.2526017E+002, 1.6944501E-003, 4.5113370E-002, 5.2484615E-002, 1.9281952E-001, 1.3439644E-001, 4.1164404E-002, 5.2203610E-001, 3.8379692E-003
 1.2550505E+000, 8.5975032E+002, 3.1986396E-003, 5.0712733E-002, 5.4961103E-002, 1.1797347E-001, 1.4550681E-001, 4.3106747E-002, 5.7376381E-001, 4.2036141E-003
 2.2601010E+000, 9.2718714E+002, 5.1120605E-003, 5.3693645E-002, 5.4136922E-002, 8.9537940E-002, 1.4847400E-001, 4.2460331E-002, 5.9597002E-001, 4.2043204E-003
 3.2651515E+000, 9.7335031E+002, 6.7658998E-003, 5.6139620E-002, 5.2559419E-002, 7.2840516E-002, 1.4966136E-001, 4.1223074E-002, 6.1050435E-001, 4.1129665E-003
 4.2702020E+000, 1.0070654E+003, 9.2144900E-003, 5.8045856E-002, 5.0451418E-002, 6.1145202E-002, 1.4939179E-001, 3.9569740E-002, 6.2228907E-001, 3.9651499E-003
 5.2752525E+000, 1.0322668E+003, 1.2289830E-002, 5.9440843E-002, 4.8155080E-002, 5.2337726E-002, 1.4817512E-001, 3.7768690E-002, 6.3239054E-001, 3.7945724E-003
 6.2803030E+000, 1.0514782E+003, 1.5600557E-002, 6.0457907E-002, 4.5882630E-002, 4.5480680E-002, 1.4647993E-001, 3.5986376E-002, 6.4111533E-001, 3.6217071E-003
 7.2853535E+000, 1.0665838E+003, 1.9089612E-002, 6.1259141E-002, 4.3579400E-002, 3.9874535E-002, 1.4445075E-001, 3.4179922E-002, 6.4902166E-001, 3.4436709E-003
 8.2904040E+000, 1.0782789E+003, 2.2784533E-002, 6.1853138E-002, 4.1259610E-002, 3.5202540E-002, 1.4211958E-001, 3.2360479E-002, 6.5633000E-001, 3.2627176E-003
 9.2954545E+000, 1.0868812E+003, 2.6573128E-002, 6.2144266E-002, 3.9123339E-002, 3.1264170E-002, 1.3963086E-001, 3.0684972E-002, 6.6290803E-001, 3.0954908E-003
