cm,K,K,cm,K,K,K,K,K,K,K,K,K,K
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS
0,338,0.00E+00,-10,1205.088974,280.9496907,980.2892046,371.0508571,776.821648,333.136883,632.2897177,257.5711502,548.4519393,179.9638991
4.237288136,925.3002197,128.9079301,-5.625,1297.4745,193.1670134,1136.064333,344.655913,867.4606609,354.3940057,683.921838,284.4678696,569.426499,191.0710711
8.474576271,1114.788977,139.3726158,-1.25,1299.018498,143.1262729,1201.175957,310.5813644,920.6372644,364.0399562,716.3473459,301.7749615,585.7232566,207.1848491
12.71186441,1202.060168,139.5804389,3.125,1303.35191,149.2330917,1184.49863,317.1151183,903.1168829,366.3504837,708.195848,301.5613195,583.650986,207.6389213
16.94915254,1258.381806,135.7142626,7.5,1297.431334,207.1782721,1078.725053,359.5377812,836.6147721,354.6241184,671.1677301,286.6429979,560.4241627,199.037273
21.18644068,1295.897321,134.1203358,11.875,1172.318704,304.8536887,900.7479541,368.551096,729.9309166,331.2212731,611.7531196,256.2873235,527.5977325,189.6185625
25.42372881,1318.421951,147.0433988,16.25,937.1848779,348.035667,716.2653985,344.2819025,626.1262982,291.3128728,550.5544712,221.9032296,493.1220045,174.9975053
29.66101695,1332.60174,162.6500852,20.625,732.0644945,322.1127071,594.1941535,298.2275946,546.8307378,255.356826,496.0776247,186.9077612,462.5994538,155.3628952
33.89830508,1339.830808,177.4855948,25,585.4551879,272.2889241,507.151007,245.5774653,490.2971163,221.2936324,447.8220692,154.7504332,433.9764561,137.5381577
38.13559322,1338.623567,192.5922002,29.375,490.7476502,215.3062607,442.9184586,199.9303878,440.3996104,183.2654874,410.9929979,134.716142,407.2508575,117.7526161
42.37288136,1326.849741,211.4992029,33.75,427.5527878,168.6108632,395.3609213,162.1512218,394.5814131,144.4682191,383.6441017,121.3283355,384.4620978,102.1943399
46.61016949,1307.916023,233.2015778,38.125,374.7098649,121.2462438,361.1108377,128.4104606,359.3946163,110.6263763,359.8121533,105.1135009,365.9306804,92.14346226
50.84745763,1284.525925,254.1936368,42.5,329.8889031,65.70721627,331.9986989,88.71382166,332.6056832,78.96718873,338.537824,87.62026818,348.8038279,81.47216066
55.08474576,1257.83847,273.2321808,46.875,306.4904132,23.25654679,309.5383983,44.57359441,314.7322179,55.60223047,323.0835803,72.86719593,334.0369855,68.69314395
59.3220339,1228.420822,289.9541802,51.25,299.6608418,4.892787469,299.3421663,15.03884871,305.2866512,39.29476325,311.6171238,58.07530102,320.8104592,53.13999847
63.55932203,1197.881192,305.3007161,55.625,298.2251653,0.768972426,296.5556341,3.436466286,299.2346632,22.17077395,303.6167145,36.69457599,310.9326105,39.71108178
67.79661017,1166.650727,319.2421433,60,297.55015,0.571134149,295.8502572,0.489818584,295.5925268,4.674852288,298.6929871,18.61935568,304.7845374,33.64246766
72.03389831,1134.9473,331.4498438,,,,,,,,,,,
76.27118644,1103.17896,342.5236642,,,,,,,,,,,
80.50847458,1071.882637,352.2568586,,,,,,,,,,,
84.74576271,1041.316142,359.7044735,,,,,,,,,,,
88.98305349,1011.458479,365.0070429,,,,,,,,,,,
93.22033898,982.9724624,368.3749647,,,,,,,,,,,
97.45762712,955.8106299,369.6473043,,,,,,,,,,,
101.6949269,929.8871561,368.9586312,,,,,,,,,,,
105.9322034,905.0146057,366.3186998,,,,,,,,,,,
110.1694915,880.534794,362.3057205,,,,,,,,,,,
114.4067797,856.9840328,357.7911829,,,,,,,,,,,
118.6440678,834.3703616,353.0317465,,,,,,,,,,,
122.8813498,812.5409617,347.2551098,,,,,,,,,,,
127.1186441,790.9681895,339.4267061,,,,,,,,,,,
131.3559322,769.8502761,330.2322849,,,,,,,,,,,
135.5932203,748.9170286,320.2155162,,,,,,,,,,,
139.8305085,729.1773427,309.7704714,,,,,,,,,,,
144.0677966,710.6939519,299.1286178,,,,,,,,,,,
148.3050847,693.5505309,289.0175885,,,,,,,,,,,
152.5423729,677.2374024,279.4499554,,,,,,,,,,,
156.779661,661.6416357,269.8329066,,,,,,,,,,,
161.0169492,647.0056933,259.9604155,,,,,,,,,,,
165.2542373,633.2462469,249.6340151,,,,,,,,,,,
169.4915254,620.5514801,239.1124698,,,,,,,,,,,
173.7288136,608.8284884,228.8561639,,,,,,,,,,,
177.9661017,597.4259047,218.174698,,,,,,,,,,,
182.2033898,586.2914408,207.8298795,,,,,,,,,,,
186.440678,575.6023798,197.9460635,,,,,,,,,,,
190.6779661,565.4582101,188.4716281,,,,,,,,,,,
194.9152542,555.6475902,179.3118854,,,,,,,,,,,
199.1525424,546.3540535,170.7504956,,,,,,,,,,,
203.3898305,537.5987051,162.9751777,,,,,,,,,,,
207.6271186,529.3643915,155.8373975,,,,,,,,,,,
211.8644068,521.6674957,149.1181357,,,,,,,,,,,
216.1016949,514.6430644,143.015084,,,,,,,,,,,
220.3389831,508.0357454,137.1368867,,,,,,,,,,,
224.5762712,501.7701649,131.3695861,,,,,,,,,,,
228.8135593,495.7416337,125.9738163,,,,,,,,,,,
233.0508475,489.7139088,120.8480565,,,,,,,,,,,
237.2881356,483.8229736,115.9156627,,,,,,,,,,,
241.5254237,478.3079437,111.2653279,,,,,,,,,,,
245.7627119,473.2346507,106.8121226,,,,,,,,,,,
250,468.5065535,102.476056,,,,,,,,,,,
