s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANOL,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-2.7416586E-004, 3.2434777E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7416553E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0049720E+000, 3.0636507E-002,-1.5439448E-003, 4.1304299E-004,-2.6864476E-003,-1.7846115E-006, 0.0000000E+000, 0.0000000E+000, 2.6196914E-002, 2.6817373E-002, 0.0000000E+000, 1.5746380E-006, 0.0000000E+000, 0.0000000E+000
 4.0107651E+000, 1.4241076E-001,-2.6914231E-002, 1.7093007E-003,-8.7038745E-003,-9.9971835E-006, 0.0000000E+000, 0.0000000E+000, 1.0760082E-001, 1.0849196E-001, 0.0000000E+000, 6.8967064E-006, 0.0000000E+000, 0.0000000E+000
 6.0062203E+000, 1.7767466E-001,-3.4518645E-002, 8.4736579E-004,-1.0605978E-002,-1.2116462E-005, 0.0000000E+000, 0.0000000E+000, 1.3303017E-001, 1.3338529E-001, 0.0000000E+000, 8.4546532E-006, 0.0000000E+000, 0.0000000E+000
 8.0015669E+000, 1.9223462E-001,-3.8021440E-002,-2.8456462E-002,-1.1352342E-002,-1.2615228E-005, 0.0000000E+000, 0.0000000E+000, 1.1432532E-001, 1.1439176E-001, 0.0000000E+000, 9.1220077E-006, 0.0000000E+000, 0.0000000E+000
 1.0003794E+001, 1.9212683E-001,-3.8187656E-002,-1.6353161E-001,-1.2007284E-002,-1.1955332E-005, 0.0000000E+000, 0.0000000E+000,-2.1906620E-002,-2.1611674E-002, 0.0000000E+000, 9.0968795E-006, 0.0000000E+000, 0.0000000E+000
 1.2000607E+001, 1.9195100E-001,-3.7951367E-002,-1.4089287E-001,-1.1277261E-002,-1.1594467E-005, 0.0000000E+000, 0.0000000E+000, 1.3946207E-003, 1.8179043E-003, 0.0000000E+000, 9.0916124E-006, 0.0000000E+000, 0.0000000E+000
 1.4009550E+001, 2.0226805E-001,-3.9984672E-002,-1.6982580E-001,-1.1618502E-002,-1.1921026E-005, 0.0000000E+000, 0.0000000E+000,-1.9597452E-002,-1.9172836E-002, 0.0000000E+000, 9.6001806E-006, 0.0000000E+000, 0.0000000E+000
 1.6002951E+001, 2.0509056E-001,-4.0573271E-002,-1.2761371E-001,-1.1446833E-002,-1.1752742E-005, 0.0000000E+000, 0.0000000E+000, 2.4786059E-002, 2.5444986E-002, 0.0000000E+000, 9.7379474E-006, 0.0000000E+000, 0.0000000E+000
 1.8007868E+001, 2.1029495E-001,-4.1766214E-002,-1.5510551E-001,-1.1560648E-002,-1.1662166E-005, 0.0000000E+000, 0.0000000E+000, 1.3068409E-003, 1.8509084E-003, 0.0000000E+000, 9.9491875E-006, 0.0000000E+000, 0.0000000E+000
 2.0005695E+001, 2.0721374E-001,-4.1188317E-002,-1.1771675E-001,-1.1517424E-002,-1.1189485E-005, 0.0000000E+000, 0.0000000E+000, 3.6154292E-002, 3.6780064E-002, 0.0000000E+000, 9.8204056E-006, 0.0000000E+000, 0.0000000E+000
 2.2009758E+001, 2.1097852E-001,-4.2077237E-002,-1.6979573E-001,-1.2026393E-002,-1.1029597E-005, 0.0000000E+000, 0.0000000E+000,-1.3182626E-002,-1.2931865E-002, 0.0000000E+000, 9.9884617E-006, 0.0000000E+000, 0.0000000E+000
 2.4008469E+001, 2.1381062E-001,-4.2486101E-002,-1.7379981E-001,-1.1322794E-002,-1.0925977E-005, 0.0000000E+000, 0.0000000E+000,-1.4417281E-002,-1.3809011E-002, 0.0000000E+000, 1.0133902E-005, 0.0000000E+000, 0.0000000E+000
 2.6006170E+001, 2.1280083E-001,-4.2248575E-002,-1.6404455E-001,-1.1195808E-002,-1.0593860E-005, 0.0000000E+000, 0.0000000E+000,-5.2332183E-003,-4.6986945E-003, 0.0000000E+000, 1.0096498E-005, 0.0000000E+000, 0.0000000E+000
 2.8008093E+001, 2.0599615E-001,-4.1003329E-002,-1.4324678E-001,-1.1497298E-002,-9.7767875E-006, 0.0000000E+000, 0.0000000E+000, 9.6529145E-003, 1.0238960E-002, 0.0000000E+000, 9.7505276E-006, 0.0000000E+000, 0.0000000E+000
 3.0000557E+001, 2.1200285E-001,-4.2069349E-002,-1.8363646E-001,-1.1273479E-002,-9.9788494E-006, 0.0000000E+000, 0.0000000E+000,-2.5527992E-002,-2.4986410E-002, 0.0000000E+000, 1.0063299E-005, 0.0000000E+000, 0.0000000E+000
 3.2003036E+001, 2.0968344E-001,-4.1679997E-002,-1.4835710E-001,-1.1467148E-002,-9.3437467E-006, 0.0000000E+000, 0.0000000E+000, 7.6020971E-003, 8.1698592E-003, 0.0000000E+000, 9.9312975E-006, 0.0000000E+000, 0.0000000E+000
 3.4001831E+001, 2.1187196E-001,-4.1986417E-002,-1.3671789E-001,-1.1011169E-002,-9.3858487E-006, 0.0000000E+000, 0.0000000E+000, 2.1344902E-002, 2.2147094E-002, 0.0000000E+000, 1.0049283E-005, 0.0000000E+000, 0.0000000E+000
 3.6010452E+001, 2.1088258E-001,-4.2017185E-002,-1.1950149E-001,-1.1628055E-002,-9.0225689E-006, 0.0000000E+000, 0.0000000E+000, 3.7648983E-002, 3.7726830E-002, 0.0000000E+000, 9.9623014E-006, 0.0000000E+000, 0.0000000E+000
 3.8008663E+001, 2.1661085E-001,-4.3291037E-002,-2.0155888E-001,-1.1552025E-002,-9.1191679E-006, 0.0000000E+000, 0.0000000E+000,-4.0515285E-002,-3.9800213E-002, 0.0000000E+000, 1.0282023E-005, 0.0000000E+000, 0.0000000E+000
 4.0001316E+001, 2.2078503E-001,-4.3953662E-002,-1.7706136E-001,-1.1255620E-002,-9.1159880E-006, 0.0000000E+000, 0.0000000E+000,-1.2104682E-002,-1.1494730E-002, 0.0000000E+000, 1.0479389E-005, 0.0000000E+000, 0.0000000E+000
 4.2009457E+001, 2.2080087E-001,-4.4047524E-002,-1.6182428E-001,-1.1276342E-002,-8.8777567E-006, 0.0000000E+000, 0.0000000E+000, 2.9866604E-003, 3.6438508E-003, 0.0000000E+000, 1.0470582E-005, 0.0000000E+000, 0.0000000E+000
 4.4001591E+001, 2.2330660E-001,-4.4483715E-002,-1.9944805E-001,-1.1113111E-002,-8.5343268E-006, 0.0000000E+000, 0.0000000E+000,-3.2483563E-002,-3.1746805E-002, 0.0000000E+000, 1.0574516E-005, 0.0000000E+000, 0.0000000E+000
 4.6009388E+001, 2.2387178E-001,-4.4561763E-002,-1.1344108E-001,-1.1380316E-002,-8.4046847E-006, 0.0000000E+000, 0.0000000E+000, 5.3823488E-002, 5.4480221E-002, 0.0000000E+000, 1.0608434E-005, 0.0000000E+000, 0.0000000E+000
 4.8000854E+001, 2.2391899E-001,-4.4690295E-002,-1.6702027E-001,-1.1816911E-002,-8.1609932E-006, 0.0000000E+000, 0.0000000E+000, 1.8209741E-004, 3.8335313E-004, 0.0000000E+000, 1.0618170E-005, 0.0000000E+000, 0.0000000E+000
 5.0005215E+001, 2.2942436E-001,-4.5747698E-002,-1.7601791E-001,-1.1785644E-002,-8.0797673E-006, 0.0000000E+000, 0.0000000E+000,-4.8761770E-003,-4.1349709E-003, 0.0000000E+000, 1.0863232E-005, 0.0000000E+000, 0.0000000E+000
 5.2003319E+001, 2.2864297E-001,-4.5612142E-002,-1.5279378E-001,-1.1616851E-002,-7.8183210E-006, 0.0000000E+000, 0.0000000E+000, 1.7937987E-002, 1.8612378E-002, 0.0000000E+000, 1.0841584E-005, 0.0000000E+000, 0.0000000E+000
 5.4001865E+001, 2.2538581E-001,-4.5131848E-002,-1.6465135E-001,-1.1680761E-002,-7.4123345E-006, 0.0000000E+000, 0.0000000E+000, 3.5668717E-003, 3.9144457E-003, 0.0000000E+000, 1.0676261E-005, 0.0000000E+000, 0.0000000E+000
 5.6002296E+001, 2.2656192E-001,-4.5175622E-002,-1.9195028E-001,-1.1630591E-002,-7.1971114E-006, 0.0000000E+000, 0.0000000E+000,-2.2866189E-002,-2.2201776E-002, 0.0000000E+000, 1.0744558E-005, 0.0000000E+000, 0.0000000E+000
 5.8001904E+001, 2.2894897E-001,-4.5618506E-002,-1.6261167E-001,-1.1391935E-002,-7.0152369E-006, 0.0000000E+000, 0.0000000E+000, 8.3872651E-003, 9.3198422E-003, 0.0000000E+000, 1.0854974E-005, 0.0000000E+000, 0.0000000E+000
 6.0000710E+001, 2.2830056E-001,-4.5562392E-002,-1.6889775E-001,-1.1231649E-002,-6.6270595E-006, 0.0000000E+000, 0.0000000E+000, 2.0717678E-003, 2.6021379E-003, 0.0000000E+000, 1.0787510E-005, 0.0000000E+000, 0.0000000E+000
 6.2004288E+001, 2.3112480E-001,-4.6090578E-002,-1.7967048E-001,-1.1471045E-002,-6.7451042E-006, 0.0000000E+000, 0.0000000E+000,-6.7829785E-003,-6.1140458E-003, 0.0000000E+000, 1.0960088E-005, 0.0000000E+000, 0.0000000E+000
