Time,HRR,MLR
s,kW,kg/s
1.0000,1.4787,0.000070
2.0000,25.1157,0.001190
3.0000,29.3125,0.001389
4.0000,34.2555,0.001623
5.0000,37.5467,0.001779
6.0000,40.2767,0.001909
7.0000,43.3276,0.002053
8.0000,47.2720,0.002240
9.0000,51.2403,0.002428
10.0000,54.2400,0.002571
11.0000,57.6079,0.002730
12.0000,60.3164,0.002859
13.0000,64.4483,0.003054
14.0000,70.6684,0.003349
15.0000,80.2458,0.003803
16.0000,88.6213,0.004200
17.0000,98.1166,0.004650
18.0000,108.4245,0.005139
19.0000,118.5076,0.005616
20.0000,125.8294,0.005963
21.0000,135.7168,0.006432
22.0000,149.1077,0.007067
23.0000,156.4248,0.007413
24.0000,162.5492,0.007704
25.0000,185.7533,0.008803
26.0000,190.8932,0.009047
27.0000,193.5050,0.009171
28.0000,204.9030,0.009711
29.0000,210.8108,0.009991
30.0000,213.8930,0.010137
31.0000,223.4888,0.010592
32.0000,235.4347,0.011158
33.0000,232.1101,0.011000
34.0000,243.0604,0.011519
35.0000,239.8576,0.011368
36.0000,237.1603,0.011240
37.0000,261.9636,0.012415
38.0000,249.4185,0.011821
39.0000,250.2510,0.011860
40.0000,263.0200,0.012465
41.0000,256.5111,0.012157
42.0000,257.2261,0.012191
43.0000,271.7820,0.012881
44.0000,257.0737,0.012184
45.0000,272.7262,0.012925
46.0000,263.5683,0.012491
47.0000,265.4061,0.012578
48.0000,277.2067,0.013138
49.0000,278.7185,0.013209
50.0000,276.1080,0.013086
51.0000,287.0363,0.013604
52.0000,265.3728,0.012577
53.0000,279.3462,0.013239
54.0000,284.2989,0.013474
55.0000,273.6161,0.012968
56.0000,285.6656,0.013539
57.0000,282.8274,0.013404
58.0000,276.5252,0.013105
59.0000,304.6442,0.014438
60.0000,277.3445,0.013144
61.0000,282.7743,0.013402
62.0000,299.0917,0.014175
63.0000,274.6684,0.013017
64.0000,312.9758,0.014833
65.0000,282.2544,0.013377
66.0000,283.0371,0.013414
67.0000,305.2147,0.014465
68.0000,290.2759,0.013757
69.0000,288.7285,0.013684
70.0000,301.9335,0.014310
71.0000,289.9521,0.013742
72.0000,302.3296,0.014328
73.0000,292.9106,0.013882
74.0000,298.4678,0.014145
75.0000,305.3676,0.014472
76.0000,289.2316,0.013708
77.0000,295.7437,0.014016
78.0000,316.8125,0.015015
79.0000,289.7634,0.013733
80.0000,301.8706,0.014307
81.0000,308.5648,0.014624
82.0000,286.3049,0.013569
83.0000,322.8440,0.015301
84.0000,291.8544,0.013832
85.0000,290.9077,0.013787
86.0000,315.7119,0.014963
87.0000,295.0483,0.013983
88.0000,305.5534,0.014481
89.0000,306.8121,0.014541
90.0000,289.9700,0.013743
91.0000,314.7596,0.014918
92.0000,304.9909,0.014455
93.0000,305.9073,0.014498
94.0000,312.3912,0.014805
95.0000,287.4508,0.013623
96.0000,313.7690,0.014871
97.0000,289.0989,0.013701
98.0000,295.5200,0.014006
99.0000,324.1147,0.015361
100.0000,297.8405,0.014116
101.0000,311.5190,0.014764
102.0000,315.5738,0.014956
103.0000,306.1175,0.014508
104.0000,318.1558,0.015078
105.0000,309.4998,0.014668
106.0000,288.3298,0.013665
107.0000,328.9937,0.015592
108.0000,293.4597,0.013908
109.0000,335.4615,0.015899
110.0000,316.8329,0.015016
111.0000,295.3749,0.013999
112.0000,322.9063,0.015304
113.0000,294.6155,0.013963
114.0000,316.4642,0.014998
115.0000,318.0106,0.015072
116.0000,296.4340,0.014049
117.0000,328.6424,0.015575
118.0000,298.8617,0.014164
119.0000,299.1467,0.014178
120.0000,325.8870,0.015445
121.0000,292.6662,0.013870
122.0000,326.0796,0.015454
123.0000,303.8027,0.014398
124.0000,324.5238,0.015380
125.0000,306.4662,0.014524
126.0000,303.5171,0.014385
127.0000,318.6929,0.015104
128.0000,305.1890,0.014464
129.0000,295.4373,0.014002
130.0000,333.7273,0.015816
131.0000,311.9784,0.014786
132.0000,313.3165,0.014849
133.0000,318.1028,0.015076
134.0000,292.3566,0.013856
135.0000,322.2876,0.015274
136.0000,297.1627,0.014084
137.0000,306.8799,0.014544
138.0000,317.1631,0.015031
139.0000,312.4015,0.014806
140.0000,315.0658,0.014932
141.0000,308.0119,0.014598
142.0000,331.8433,0.015727
143.0000,306.9832,0.014549
144.0000,307.5190,0.014574
145.0000,327.9282,0.015542
146.0000,302.9098,0.014356
147.0000,312.8981,0.014829
148.0000,321.4584,0.015235
149.0000,310.9035,0.014735
150.0000,328.6936,0.015578
151.0000,313.0480,0.014836
152.0000,314.0084,0.014882
153.0000,328.4138,0.015565
154.0000,304.8011,0.014446
155.0000,341.0046,0.016161
156.0000,310.3196,0.014707
157.0000,315.1027,0.014934
158.0000,322.6244,0.015290
159.0000,309.5130,0.014669
160.0000,309.6147,0.014674
161.0000,320.3669,0.015183
162.0000,314.8177,0.014920
163.0000,333.5170,0.015806
164.0000,299.3390,0.014187
165.0000,330.7568,0.015676
166.0000,319.9348,0.015163
167.0000,308.2173,0.014607
168.0000,326.8881,0.015492
169.0000,312.6227,0.014816
170.0000,320.0050,0.015166
171.0000,316.5661,0.015003
172.0000,323.2459,0.015320
173.0000,326.3367,0.015466
174.0000,304.0095,0.014408
175.0000,318.0386,0.015073
176.0000,327.3421,0.015514
177.0000,323.1708,0.015316
178.0000,331.7123,0.015721
179.0000,310.0686,0.014695
180.0000,324.2596,0.015368
181.0000,322.2762,0.015274
182.0000,299.9038,0.014213
183.0000,334.2315,0.015840
184.0000,321.2743,0.015226
185.0000,306.1745,0.014511
186.0000,337.3174,0.015987
187.0000,305.9596,0.014500
188.0000,312.5467,0.014813
189.0000,323.3645,0.015325
190.0000,318.9747,0.015117
191.0000,329.6851,0.015625
192.0000,309.7043,0.014678
193.0000,312.5473,0.014813
194.0000,321.7137,0.015247
195.0000,307.3002,0.014564
196.0000,334.4017,0.015848
197.0000,308.6799,0.014629
198.0000,329.1968,0.015602
199.0000,320.9654,0.015212
200.0000,307.1282,0.014556
201.0000,337.3983,0.015990
202.0000,309.7547,0.014680
203.0000,311.9869,0.014786
204.0000,319.1341,0.015125
205.0000,307.7041,0.014583
206.0000,334.1066,0.015834
207.0000,324.2097,0.015365
208.0000,308.9994,0.014645
209.0000,334.1929,0.015839
210.0000,304.8671,0.014449
211.0000,340.7057,0.016147
212.0000,314.6529,0.014912
213.0000,320.8162,0.015205
214.0000,319.3079,0.015133
215.0000,309.2316,0.014656
216.0000,317.3327,0.015039
217.0000,319.4366,0.015139
218.0000,326.5683,0.015477
219.0000,324.1962,0.015365
220.0000,293.0855,0.013890
221.0000,341.5784,0.016189
222.0000,315.2857,0.014942
223.0000,315.1566,0.014936
224.0000,311.7081,0.014773
225.0000,313.9178,0.014878
226.0000,333.9906,0.015829
227.0000,321.5363,0.015239
228.0000,322.5378,0.015286
229.0000,327.5748,0.015525
230.0000,318.3251,0.015086
231.0000,328.4624,0.015567
232.0000,310.2630,0.014704
233.0000,336.5294,0.015949
234.0000,310.0463,0.014694
235.0000,314.9934,0.014929
236.0000,331.5666,0.015714
237.0000,308.9738,0.014643
238.0000,327.2346,0.015509
239.0000,314.1527,0.014889
240.0000,313.0389,0.014836
