r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-20.0,     2.71,     1.08,     0.07,     0.55,   531.88,   292.41
-18.0,     2.97,     1.15,     0.06,     0.57,   567.20,   314.89
-17.0,     3.12,     1.20,     0.05,     0.58,   590.36,   327.10
-16.0,     3.28,     1.26,     0.04,     0.59,   615.08,   339.65
-14.0,     3.66,     1.39,     0.02,     0.61,   679.35,   365.61
-12.0,     4.08,     1.54,     0.01,     0.63,   757.57,   388.29
-11.9,     4.11,     1.55,     0.01,     0.63,   763.29,   389.15
-10.0,     4.54,     1.67,     0.01,     0.64,   849.81,   401.78
-8.0,     5.03,     1.80,     0.01,     0.64,   955.55,   404.39
-6.0,     5.51,     1.89,    -0.00,     0.65,  1058.16,   392.14
-4.1,     5.84,     1.89,    -0.01,     0.65,  1131.65,   368.54
-4.0,     5.86,     1.89,    -0.01,     0.65,  1136.50,   366.97
-2.0,     6.07,     1.86,    -0.01,     0.64,  1181.86,   343.29
 0.0,     6.13,     1.85,     0.00,     0.64,  1194.65,   334.10
 2.0,     6.06,     1.85,     0.01,     0.64,  1178.59,   341.85
 4.0,     5.84,     1.87,     0.02,     0.65,  1129.41,   363.11
 6.0,     5.46,     1.86,     0.02,     0.65,  1045.14,   389.43
 8.0,     5.00,     1.79,     0.01,     0.64,   941.53,   403.96
10.0,     4.52,     1.66,     0.01,     0.63,   838.50,   401.02
12.0,     4.08,     1.52,    -0.00,     0.62,   748.00,   385.38
14.0,     3.68,     1.38,    -0.01,     0.61,   672.04,   362.67
16.0,     3.33,     1.27,    -0.02,     0.60,   612.85,   338.94
16.1,     3.32,     1.26,    -0.02,     0.60,   610.21,   337.59
18.0,     3.05,     1.17,    -0.03,     0.59,   570.66,   316.68
20.0,     2.80,     1.09,    -0.05,     0.57,   541.18,   298.30
21.7,     2.62,     1.04,    -0.07,     0.57,   523.53,   286.09
22.0,     2.59,     1.03,    -0.07,     0.57,   520.65,   284.00
24.0,     2.38,     0.99,    -0.08,     0.56,   505.57,   272.19
26.0,     2.19,     0.97,    -0.09,     0.55,   492.68,   260.90
27.4,     2.05,     0.95,    -0.10,     0.55,   484.11,   251.97
28.0,     1.99,     0.95,    -0.11,     0.55,   480.19,   247.76
30.0,     1.81,     0.91,    -0.12,     0.54,   467.36,   233.25
31.9,     1.66,     0.88,    -0.14,     0.53,   455.00,   219.19
32.0,     1.65,     0.88,    -0.14,     0.53,   454.17,   218.24
32.1,     1.64,     0.87,    -0.14,     0.53,   453.78,   217.78
34.0,     1.50,     0.84,    -0.15,     0.52,   441.49,   202.84
36.0,     1.35,     0.80,    -0.16,     0.51,   429.23,   187.35
38.0,     1.21,     0.75,    -0.17,     0.50,   417.52,   173.79
38.0,     1.21,     0.75,    -0.17,     0.50,   417.33,   173.57
40.0,     1.09,     0.71,    -0.18,     0.49,   407.05,   162.66
42.0,     0.98,     0.69,    -0.19,     0.47,   398.16,   154.13
44.0,     0.88,     0.68,    -0.20,     0.46,   388.91,   145.91
46.0,     0.77,     0.65,    -0.20,     0.44,   378.77,   136.82
48.0,     0.67,     0.61,    -0.20,     0.42,   368.81,   128.20
48.1,     0.67,     0.61,    -0.20,     0.42,   368.53,   127.96
50.0,     0.58,     0.57,    -0.20,     0.41,   360.04,   120.13
52.0,     0.49,     0.55,    -0.20,     0.40,   352.11,   111.96
54.0,     0.42,     0.53,    -0.20,     0.38,   344.83,   103.45
55.9,     0.36,     0.49,    -0.20,     0.36,   338.38,    93.22
56.0,     0.36,     0.49,    -0.20,     0.36,   338.20,    92.90
58.1,     0.29,     0.44,    -0.20,     0.34,   330.58,    80.06
60.0,     0.23,     0.39,    -0.20,     0.31,   323.51,    65.57
