r, W_Mean, W_RMS, U_Mean, U_RMS, T_Mean, T_RMS
cm, m/s, m/s, m/s, m/s, K, K
-5.0,     1.89,     0.78,    -0.02,     0.38,   556.61,   301.59
-4.5,     2.02,     0.84,    -0.02,     0.38,   586.50,   318.35
-4.0,     2.18,     0.90,    -0.03,     0.39,   624.28,   336.35
-3.5,     2.35,     0.97,    -0.04,     0.40,   670.56,   354.15
-3.0,     2.54,     1.04,    -0.04,     0.40,   726.21,   371.35
-2.5,     2.74,     1.11,    -0.04,     0.40,   788.45,   386.43
-2.0,     2.93,     1.17,    -0.04,     0.41,   850.84,   396.52
-1.5,     3.10,     1.21,    -0.03,     0.41,   905.50,   400.44
-1.0,     3.22,     1.23,    -0.03,     0.41,   945.01,   399.40
-0.5,     3.28,     1.24,    -0.02,     0.41,   966.67,   396.91
-0.0,     3.29,     1.23,    -0.01,     0.41,   970.01,   394.98
 0.5,     3.24,     1.21,    -0.00,     0.42,   956.46,   394.50
 1.0,     3.16,     1.19,     0.00,     0.42,   928.97,   395.78
 1.5,     3.03,     1.16,     0.01,     0.42,   888.46,   395.55
 2.0,     2.88,     1.12,     0.02,     0.42,   837.30,   392.43
 2.5,     2.71,     1.07,     0.02,     0.42,   781.69,   387.25
 3.0,     2.53,     1.02,     0.02,     0.42,   730.34,   380.64
 3.5,     2.38,     0.97,     0.02,     0.42,   686.34,   372.18
 4.0,     2.23,     0.92,     0.02,     0.41,   648.00,   361.34
 4.5,     2.09,     0.86,     0.01,     0.41,   615.39,   348.92
 5.0,     1.96,     0.81,     0.01,     0.40,   587.71,   334.09
 5.5,     1.85,     0.76,    -0.00,     0.39,   564.41,   318.31
 6.0,     1.75,     0.72,    -0.01,     0.39,   546.12,   304.58
 6.5,     1.66,     0.69,    -0.02,     0.38,   531.78,   293.02
 7.0,     1.57,     0.67,    -0.02,     0.38,   519.01,   281.76
 7.5,     1.49,     0.65,    -0.03,     0.37,   507.31,   270.36
 8.0,     1.41,     0.64,    -0.03,     0.37,   497.02,   259.92
 8.5,     1.34,     0.62,    -0.04,     0.37,   486.73,   249.01
 9.0,     1.26,     0.61,    -0.05,     0.36,   476.59,   237.96
 9.5,     1.19,     0.60,    -0.05,     0.36,   467.76,   228.91
10.0,     1.12,     0.59,    -0.06,     0.36,   459.41,   221.20
10.5,     1.05,     0.59,    -0.06,     0.35,   450.62,   213.73
11.0,     0.98,     0.58,    -0.07,     0.35,   441.67,   205.92
11.5,     0.92,     0.57,    -0.07,     0.34,   432.53,   197.40
12.0,     0.86,     0.55,    -0.07,     0.34,   423.21,   188.40
12.5,     0.81,     0.54,    -0.07,     0.33,   414.18,   179.02
13.0,     0.75,     0.52,    -0.08,     0.33,   405.88,   169.69
13.5,     0.70,     0.50,    -0.08,     0.32,   398.36,   160.63
14.0,     0.65,     0.49,    -0.08,     0.32,   391.46,   151.97
14.5,     0.60,     0.48,    -0.09,     0.31,   384.76,   143.75
15.0,     0.56,     0.46,    -0.09,     0.30,   378.05,   136.16
15.5,     0.52,     0.45,    -0.09,     0.30,   371.68,   129.24
16.0,     0.49,     0.44,    -0.09,     0.29,   365.76,   122.23
16.5,     0.45,     0.42,    -0.10,     0.28,   360.29,   114.48
17.0,     0.42,     0.41,    -0.10,     0.27,   355.69,   107.24
18.0,     0.37,     0.38,    -0.11,     0.26,   348.66,    97.43
19.0,     0.32,     0.36,    -0.11,     0.25,   342.50,    89.30
20.0,     0.27,     0.34,    -0.11,     0.24,   336.77,    79.86
