cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot
 2.5000000E-001, 1.2405847E+003, 1.2872733E+003, 1.0975662E+000, 4.3024093E+001, 5.9999017E+001, 9.9623926E-002, 1.1767648E-002, 7.1513536E-002, 4.3761353E-002, 2.3775257E-002, 1.4062216E-001, 3.8727457E-002, 6.5314974E-001, 4.5575830E-002, 7.4496972E-003
 2.2806122E+000, 1.2592029E+003, 1.3084913E+003, 1.5299614E+000, 4.6958812E+001, 6.7068541E+001, 1.3465322E-001, 1.2313258E-002, 7.2948559E-002, 4.2112322E-002, 1.9586787E-002, 1.4115703E-001, 3.7258200E-002, 6.5844851E-001, 4.3875243E-002, 7.2254299E-003
 4.3112245E+000, 1.2739761E+003, 1.3255914E+003, 1.9340662E+000, 4.9601773E+001, 7.2109886E+001, 1.6509615E-001, 1.3201385E-002, 7.4306339E-002, 4.0170588E-002, 1.6394789E-002, 1.4132425E-001, 3.5528949E-002, 6.6350571E-001, 4.1829766E-002, 6.9498346E-003
 6.3418367E+000, 1.2852961E+003, 1.3388971E+003, 2.3076779E+000, 5.0919374E+001, 7.5037841E+001, 1.9135687E-001, 1.4470520E-002, 7.5464149E-002, 3.8126779E-002, 1.3819341E-002, 1.4112474E-001, 3.3709446E-002, 6.6836429E-001, 3.9663840E-002, 6.6538411E-003
 8.3724490E+000, 1.2937332E+003, 1.3489685E+003, 2.6450579E+000, 5.1302839E+001, 7.6455084E+001, 2.1365485E-001, 1.6102632E-002, 7.6404302E-002, 3.6043913E-002, 1.1680905E-002, 1.4059044E-001, 3.1855750E-002, 6.7306800E-001, 3.7454972E-002, 6.3484941E-003
 1.0403061E+001, 1.3000745E+003, 1.3566527E+003, 2.9488558E+000, 5.0882439E+001, 7.6645906E+001, 2.3354170E-001, 1.8087623E-002, 7.7164484E-002, 3.3896880E-002, 9.8646809E-003, 1.3975142E-001, 2.9945450E-002, 6.7772877E-001, 3.5179733E-002, 6.0309894E-003
 1.2433673E+001, 1.3050259E+003, 1.3627115E+003, 3.2201596E+000, 4.9789955E+001, 7.6092209E+001, 2.5063368E-001, 2.0418886E-002, 7.7792968E-002, 3.1636717E-002, 8.3055549E-003, 1.3863110E-001, 2.7934908E-002, 6.8245414E-001, 3.2787613E-002, 5.6947295E-003
 1.4464286E+001, 1.3087249E+003, 1.3672494E+003, 3.4647388E+000, 4.8760033E+001, 7.6163743E+001, 2.6796271E-001, 2.3073874E-002, 7.8305774E-002, 2.9263972E-002, 6.9669800E-003, 1.3725207E-001, 2.5824572E-002, 6.8726291E-001, 3.0280034E-002, 5.3401697E-003
 1.6494898E+001, 1.3111233E+003, 1.3701708E+003, 3.6839766E+000, 4.8687412E+001, 7.8175479E+001, 2.8547993E-001, 2.6114437E-002, 7.8687234E-002, 2.6760488E-002, 5.8122370E-003, 1.3557702E-001, 2.3598339E-002, 6.9222373E-001, 2.7639065E-002, 4.9645509E-003
