cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot
 2.5000000E-001, 1.0113652E+003, 1.0318470E+003, 9.4790851E-001, 4.8237458E+001, 5.8855476E+001, 9.0550170E-002, 1.1871656E-001, 4.8368182E-002, 1.3009429E-004, 7.3511282E-003, 7.0535040E-002, 8.6557020E-020, 7.5344272E-001, 1.2721312E-004, 6.1062300E-004
 2.2806122E+000, 1.0113652E+003, 1.0318470E+003, 1.5236130E+000, 4.8237458E+001, 5.8855476E+001, 1.5417692E-001, 1.1871656E-001, 4.8368182E-002, 1.3009429E-004, 7.3511282E-003, 7.0535040E-002, 8.6557020E-020, 7.5344272E-001, 1.2721312E-004, 6.1062300E-004
 4.3112245E+000, 9.6767924E+002, 9.8351117E+002, 1.5236130E+000, 6.5432068E+001, 8.3844676E+001, 1.5417692E-001, 1.2552227E-001, 4.4971599E-002, 1.2088244E-004, 4.7080279E-003, 6.5877370E-002, 6.6136746E-020, 7.5744668E-001, 1.1830665E-004, 5.6787190E-004
 6.3418367E+000, 9.6767924E+002, 9.8351117E+002, 1.9541993E+000, 6.5432068E+001, 8.3844676E+001, 2.3397510E-001, 1.2552227E-001, 4.4971599E-002, 1.2088244E-004, 4.7080279E-003, 6.5877370E-002, 6.6136746E-020, 7.5744668E-001, 1.1830665E-004, 5.6787190E-004
 8.3724490E+000, 9.1490143E+002, 9.2587555E+002, 1.9541993E+000, 8.1584588E+001, 1.0788256E+002, 2.3397510E-001, 1.3336814E-001, 4.0898116E-002, 1.0983637E-004, 3.0487465E-003, 6.0285308E-002, 5.4204832E-020, 7.6106034E-001, 1.0752177E-004, 5.1610447E-004
 1.0403061E+001, 9.1490143E+002, 9.2587555E+002, 2.2655781E+000, 8.1584588E+001, 1.0788256E+002, 3.2978160E-001, 1.3336814E-001, 4.0898116E-002, 1.0983637E-004, 3.0487465E-003, 6.0285308E-002, 5.4204832E-020, 7.6106034E-001, 1.0752177E-004, 5.1610447E-004
 1.2433673E+001, 8.6065927E+002, 8.6733026E+002, 2.2655781E+000, 9.2492478E+001, 1.2428247E+002, 3.2978160E-001, 1.4125495E-001, 3.6734464E-002, 9.8546454E-005, 1.9869394E-003, 5.4566872E-002, 3.9994438E-020, 7.6425509E-001, 9.6459484E-005, 4.6300552E-004
 1.4464286E+001, 8.6065927E+002, 8.6733026E+002, 2.4859144E+000, 9.2492478E+001, 1.2428247E+002, 4.3308031E-001, 1.4125495E-001, 3.6734464E-002, 9.8546454E-005, 1.9869394E-003, 5.4566872E-002, 3.9994438E-020, 7.6425509E-001, 9.6459484E-005, 4.6300552E-004
 1.6494898E+001, 8.0788116E+002, 8.1118960E+002, 2.4859144E+000, 9.8204976E+001, 1.3268337E+002, 4.3308031E-001, 1.4871114E-001, 3.2762307E-002, 8.7776124E-005, 1.2983224E-003, 4.9110112E-002, 3.0108069E-020, 7.6704777E-001, 8.5890946E-005, 4.1227654E-004
