s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ACETONE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-2.4352875E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4352875E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0002644E+000, 4.0609342E-001,-8.8695931E-002, 8.4810006E-003,-1.2187802E-002,-9.9400670E-006, 0.0000000E+000, 0.0000000E+000, 3.0613554E-001, 3.1368075E-001, 0.0000000E+000, 1.5481230E-005, 0.0000000E+000, 0.0000000E+000
 4.0053720E+000, 1.6435221E+000,-4.9233595E-001, 3.2436205E-002,-5.5186733E-002,-9.9851627E-006, 0.0000000E+000, 0.0000000E+000, 1.1103400E+000, 1.1284256E+000, 0.0000000E+000, 5.8447728E-005, 0.0000000E+000, 0.0000000E+000
 6.0025496E+000, 2.4789240E+000,-7.3825844E-001,-1.3704870E+000,-7.7819981E-002, 8.4949850E-005, 0.0000000E+000, 0.0000000E+000, 2.6812246E-001, 2.9244359E-001, 0.0000000E+000, 8.7808682E-005, 0.0000000E+000, 0.0000000E+000
 8.0029449E+000, 3.5579395E+000,-1.0649053E+000,-1.9181704E+000,-9.4284651E-002, 2.9521758E-004, 0.0000000E+000, 0.0000000E+000, 4.5150700E-001, 4.8087428E-001, 0.0000000E+000, 1.2595861E-004, 0.0000000E+000, 0.0000000E+000
 1.0000070E+001, 5.8096441E+000,-1.7546084E+000,-2.9302553E+000,-1.1869421E-001, 8.0740509E-004, 0.0000000E+000, 0.0000000E+000, 9.7266543E-001, 1.0068936E+000, 0.0000000E+000, 2.0868832E-004, 0.0000000E+000, 0.0000000E+000
 1.2002624E+001, 9.0686527E+000,-2.7602555E+000,-4.9327108E+000,-1.4382828E-001, 1.4611165E-003, 0.0000000E+000, 0.0000000E+000, 1.1807993E+000, 1.2333193E+000, 0.0000000E+000, 3.2912206E-004, 0.0000000E+000, 0.0000000E+000
 1.4001468E+001, 1.3614127E+001,-4.1645430E+000,-8.2341361E+000,-1.6514486E-001, 2.2279494E-003, 0.0000000E+000, 0.0000000E+000, 1.0608838E+000, 1.0525313E+000, 0.0000000E+000, 4.9469987E-004, 0.0000000E+000, 0.0000000E+000
 1.6001429E+001, 1.9438443E+001,-5.9448393E+000,-1.1255323E+001,-1.8418005E-001, 3.0065217E-003, 0.0000000E+000, 0.0000000E+000, 2.0892503E+000, 2.0571072E+000, 0.0000000E+000, 7.1004948E-004, 0.0000000E+000, 0.0000000E+000
 1.8000391E+001, 2.5586841E+001,-7.8326547E+000,-1.6567839E+001,-2.1784595E-001, 3.7512744E-003, 0.0000000E+000, 0.0000000E+000, 1.0776780E+000, 9.7225191E-001, 0.0000000E+000, 9.2757721E-004, 0.0000000E+000, 0.0000000E+000
 2.0001427E+001, 3.2039435E+001,-9.8029315E+000,-2.0583250E+001,-2.2137298E-001, 4.5167852E-003, 0.0000000E+000, 0.0000000E+000, 1.6275066E+000, 1.4363970E+000, 0.0000000E+000, 1.1693581E-003, 0.0000000E+000, 0.0000000E+000
 2.2000036E+001, 4.1571770E+001,-1.2828945E+001,-2.7850108E+001,-2.4948236E-001, 5.6079900E-003, 0.0000000E+000, 0.0000000E+000, 8.3316433E-001, 6.4884268E-001, 0.0000000E+000, 1.5654992E-003, 0.0000000E+000, 0.0000000E+000
 2.4000076E+001, 6.0203078E+001,-1.8695402E+001,-3.6264840E+001,-3.2166610E-001, 7.7361124E-003, 0.0000000E+000, 0.0000000E+000, 5.2352336E+000, 4.9289058E+000, 0.0000000E+000, 2.2194197E-003, 0.0000000E+000, 0.0000000E+000
 2.6000196E+001, 5.4161353E+001,-1.6691399E+001,-4.1629518E+001,-3.3998451E-001, 6.3336275E-003, 0.0000000E+000, 0.0000000E+000,-4.1838094E+000,-4.4932155E+000, 0.0000000E+000, 1.6714260E-003, 0.0000000E+000, 0.0000000E+000
 2.8000158E+001, 3.8048894E+001,-1.1708365E+001,-2.8172023E+001,-2.7218811E-001, 5.1169088E-003, 0.0000000E+000, 0.0000000E+000,-1.8942930E+000,-2.0985647E+000, 0.0000000E+000, 1.3315423E-003, 0.0000000E+000, 0.0000000E+000
 3.0000895E+001, 3.7617360E+001,-1.1570084E+001,-2.7065060E+001,-2.6634304E-001, 5.0215616E-003, 0.0000000E+000, 0.0000000E+000,-1.0524753E+000,-1.2791052E+000, 0.0000000E+000, 1.3076033E-003, 0.0000000E+000, 0.0000000E+000
 3.2000324E+001, 3.7068594E+001,-1.1365606E+001,-2.4555000E+001,-2.5019693E-001, 4.9945765E-003, 0.0000000E+000, 0.0000000E+000, 1.0788626E+000, 9.0278519E-001, 0.0000000E+000, 1.3194175E-003, 0.0000000E+000, 0.0000000E+000
 3.4000359E+001, 3.9181707E+001,-1.2029621E+001,-2.5541637E+001,-2.5222617E-001, 5.1949753E-003, 0.0000000E+000, 0.0000000E+000, 1.5694219E+000, 1.3634177E+000, 0.0000000E+000, 1.3690125E-003, 0.0000000E+000, 0.0000000E+000
 3.6000225E+001, 3.9514155E+001,-1.2124589E+001,-2.8464964E+001,-2.7850152E-001, 5.3603781E-003, 0.0000000E+000, 0.0000000E+000,-1.1596335E+000,-1.3485399E+000, 0.0000000E+000, 1.3922873E-003, 0.0000000E+000, 0.0000000E+000
 3.8000095E+001, 4.0568169E+001,-1.2513668E+001,-2.7856402E+001,-2.5823699E-001, 5.3670130E-003, 0.0000000E+000, 0.0000000E+000, 1.3642859E-001,-5.4770950E-002, 0.0000000E+000, 1.4127893E-003, 0.0000000E+000, 0.0000000E+000
 4.0001575E+001, 4.1530019E+001,-1.2753786E+001,-2.8681134E+001,-2.9399781E-001, 5.5597988E-003, 0.0000000E+000, 0.0000000E+000, 1.4883675E-002,-1.9333988E-001, 0.0000000E+000, 1.4661583E-003, 0.0000000E+000, 0.0000000E+000
 4.2001316E+001, 4.2831237E+001,-1.3212007E+001,-2.9418801E+001,-2.9121113E-001, 5.6587381E-003, 0.0000000E+000, 0.0000000E+000, 1.5488058E-001,-8.5123237E-002, 0.0000000E+000, 1.5094122E-003, 0.0000000E+000, 0.0000000E+000
 4.4000980E+001, 4.3482384E+001,-1.3446007E+001,-2.9644931E+001,-2.8288571E-001, 5.6831210E-003, 0.0000000E+000, 0.0000000E+000, 3.3484946E-001, 1.1424386E-001, 0.0000000E+000, 1.5258026E-003, 0.0000000E+000, 0.0000000E+000
 4.6000210E+001, 4.5022721E+001,-1.3900434E+001,-3.1857810E+001,-2.8146884E-001, 5.9177224E-003, 0.0000000E+000, 0.0000000E+000,-8.0723322E-001,-1.0110736E+000, 0.0000000E+000, 1.5727260E-003, 0.0000000E+000, 0.0000000E+000
 4.8000195E+001, 4.5762186E+001,-1.4112722E+001,-3.0536884E+001,-2.6410579E-001, 5.9823672E-003, 0.0000000E+000, 0.0000000E+000, 1.0438320E+000, 8.5445746E-001, 0.0000000E+000, 1.6165914E-003, 0.0000000E+000, 0.0000000E+000
 5.0001465E+001, 4.6706186E+001,-1.4423547E+001,-3.2689378E+001,-2.7144297E-001, 6.0734677E-003, 0.0000000E+000, 0.0000000E+000,-4.2449981E-001,-6.7210896E-001, 0.0000000E+000, 1.6315216E-003, 0.0000000E+000, 0.0000000E+000
