s,m/s
Time,"w"
 0.0000000E+000,-4.1576141E-003
 2.3045655E-002,-4.1247095E-003
 4.6091309E-002,-3.2078440E-003
 6.9136964E-002, 9.7046569E-004
 9.2182618E-002, 6.8468773E-003
 1.1522827E-001, 1.3134986E-002
 1.3827393E-001, 1.9519733E-002
 1.6131958E-001, 2.5922505E-002
 1.8436524E-001, 3.2359279E-002
 2.0741089E-001, 3.7724506E-002
 2.3045655E-001, 3.8092120E-002
 2.5350220E-001, 3.5570933E-002
 2.7654785E-001, 3.3821644E-002
 2.9959351E-001, 3.5065064E-002
 3.2263916E-001, 4.1216176E-002
 3.4568482E-001, 4.9085575E-002
 3.6873047E-001, 5.8014257E-002
 3.9177613E-001, 5.9243855E-002
 4.0978435E-001, 6.3028525E-002
 4.2779258E-001, 7.3875109E-002
 4.4395086E-001, 8.3053245E-002
 4.6010915E-001, 9.1564382E-002
 4.7626744E-001, 9.9883122E-002
 4.9049691E-001, 1.0761488E-001
 5.0472638E-001, 1.1699753E-001
 5.1895585E-001, 1.2758837E-001
 5.3175661E-001, 1.3676548E-001
 5.4455738E-001, 1.4558559E-001
 5.5735815E-001, 1.5348305E-001
 5.7015891E-001, 1.5909613E-001
 5.8138758E-001, 1.6387738E-001
 5.9113784E-001, 1.6856567E-001
 6.0088810E-001, 1.7239957E-001
 6.0945154E-001, 1.7553148E-001
 6.1801497E-001, 1.8121162E-001
 6.2657841E-001, 1.8967315E-001
 6.3514184E-001, 2.0115147E-001
 6.4370528E-001, 2.1620453E-001
 6.5226871E-001, 2.3981219E-001
 6.6083215E-001, 2.7448149E-001
 6.6939558E-001, 3.2144898E-001
 6.7795902E-001, 3.8326304E-001
 6.8652245E-001, 4.6597471E-001
 6.9378649E-001, 5.5748526E-001
 7.0105053E-001, 6.6839785E-001
 7.0831457E-001, 7.9993557E-001
 7.1557861E-001, 9.4820857E-001
 7.2284264E-001, 1.1136471E+000
 7.3010668E-001, 1.2905447E+000
 7.3737072E-001, 1.4707189E+000
 7.4463476E-001, 1.6376515E+000
 7.5189880E-001, 1.7555786E+000
 7.5829883E-001, 1.7947949E+000
 7.6469886E-001, 1.7725916E+000
 7.7109889E-001, 1.6904960E+000
 7.7749893E-001, 1.5922528E+000
 7.8389896E-001, 1.5176386E+000
 7.8961443E-001, 1.5050501E+000
 7.9532991E-001, 1.5480849E+000
 8.0104538E-001, 1.6468172E+000
 8.0676086E-001, 1.7823096E+000
 8.1247633E-001, 1.9455480E+000
 8.1819181E-001, 2.0716104E+000
 8.2390728E-001, 2.1349008E+000
 8.2962276E-001, 2.1353296E+000
 8.3452099E-001, 2.1038231E+000
 8.3941923E-001, 2.0660374E+000
 8.4431746E-001, 2.0214326E+000
 8.4921569E-001, 1.9853838E+000
 8.5411393E-001, 1.9806448E+000
 8.5901216E-001, 2.0115917E+000
 8.6391040E-001, 2.0832073E+000
 8.6880863E-001, 2.1740412E+000
 8.7321634E-001, 2.2631874E+000
 8.7762405E-001, 2.3594061E+000
 8.8203177E-001, 2.4849780E+000
 8.8643948E-001, 2.5574291E+000
 8.9084719E-001, 2.6103564E+000
 8.9477400E-001, 2.6867051E+000
 8.9870080E-001, 2.7640305E+000
