s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ETHANOL,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 2.4977852E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4977852E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0011384E+000, 1.6520436E+001,-4.5509090E+000,-3.0845938E+000,-2.3853577E-001, 7.4609756E-003, 0.0000000E+000, 0.0000000E+000, 8.5659496E+000, 8.6538581E+000, 0.0000000E+000, 6.6183032E-004, 0.0000000E+000, 0.0000000E+000
 4.0012317E+000, 2.6982366E+001,-7.1380438E+000,-1.9035251E+001,-3.1756160E-001, 1.5002992E-002, 0.0000000E+000, 0.0000000E+000, 6.9591004E-001, 5.0651290E-001, 0.0000000E+000, 9.8525973E-004, 0.0000000E+000, 0.0000000E+000
 6.0004020E+000, 2.7318013E+001,-7.2495963E+000,-2.0732762E+001,-3.3562211E-001, 1.5126975E-002, 0.0000000E+000, 0.0000000E+000,-8.3235374E-001,-9.8483965E-001, 0.0000000E+000, 9.9391543E-004, 0.0000000E+000, 0.0000000E+000
 8.0012417E+000, 2.7240329E+001,-7.2486142E+000,-1.9407836E+001,-3.0908839E-001, 1.5065445E-002, 0.0000000E+000, 0.0000000E+000, 4.3154093E-001, 2.8985543E-001, 0.0000000E+000, 9.9407547E-004, 0.0000000E+000, 0.0000000E+000
 1.0000241E+001, 2.7245101E+001,-7.2340705E+000,-1.9699139E+001,-3.1474194E-001, 1.5042950E-002, 0.0000000E+000, 0.0000000E+000, 1.9213243E-001, 1.2192351E-002, 0.0000000E+000, 9.9407841E-004, 0.0000000E+000, 0.0000000E+000
 1.2001244E+001, 2.7211616E+001,-7.2284596E+000,-2.1247920E+001,-3.2963743E-001, 1.4962579E-002, 0.0000000E+000, 0.0000000E+000,-1.3803871E+000,-1.5794379E+000, 0.0000000E+000, 9.9407846E-004, 0.0000000E+000, 0.0000000E+000
 1.4000910E+001, 2.7414552E+001,-7.2851773E+000,-1.8894666E+001,-3.0765647E-001, 1.4806462E-002, 0.0000000E+000, 0.0000000E+000, 1.1205588E+000, 9.4185811E-001, 0.0000000E+000, 9.9407846E-004, 0.0000000E+000, 0.0000000E+000
 1.6000357E+001, 2.7140690E+001,-7.2168508E+000,-2.0205910E+001,-3.0755539E-001, 1.4905897E-002, 0.0000000E+000, 0.0000000E+000,-4.5529147E-001,-5.7472042E-001, 0.0000000E+000, 9.9407846E-004, 0.0000000E+000, 0.0000000E+000
 1.8000925E+001, 2.7232743E+001,-7.2271409E+000,-1.9240347E+001,-3.0271795E-001, 1.4859135E-002, 0.0000000E+000, 0.0000000E+000, 6.2790471E-001, 4.7739595E-001, 0.0000000E+000, 9.9407846E-004, 0.0000000E+000, 0.0000000E+000
 2.0001581E+001, 2.7295502E+001,-7.2581632E+000,-2.0646814E+001,-3.0685358E-001, 1.4885134E-002, 0.0000000E+000, 0.0000000E+000,-7.8941993E-001,-9.0144373E-001, 0.0000000E+000, 9.9407846E-004, 0.0000000E+000, 0.0000000E+000
 2.2000694E+001, 2.7355529E+001,-7.2417987E+000,-1.9684817E+001,-3.2863676E-001, 1.4938761E-002, 0.0000000E+000, 0.0000000E+000, 2.8161424E-001, 1.1521561E-001, 0.0000000E+000, 9.9407846E-004, 0.0000000E+000, 0.0000000E+000
 2.4000736E+001, 2.7345174E+001,-7.2529092E+000,-2.0263669E+001,-3.2446235E-001, 1.4952955E-002, 0.0000000E+000, 0.0000000E+000,-3.3600080E-001,-4.8091440E-001, 0.0000000E+000, 9.9407846E-004, 0.0000000E+000, 0.0000000E+000
 2.6001045E+001, 2.7183355E+001,-7.2127455E+000,-1.9153420E+001,-3.0165791E-001, 1.4872818E-002, 0.0000000E+000, 0.0000000E+000, 6.6789219E-001, 5.3040473E-001, 0.0000000E+000, 9.9407846E-004, 0.0000000E+000, 0.0000000E+000
 2.8000319E+001, 2.7362626E+001,-7.2577631E+000,-2.0874836E+001,-3.0129731E-001, 1.4956841E-002, 0.0000000E+000, 0.0000000E+000,-8.7423964E-001,-1.0563135E+000, 0.0000000E+000, 9.9407846E-004, 0.0000000E+000, 0.0000000E+000
 3.0000484E+001, 2.7364546E+001,-7.2455927E+000,-1.9033900E+001,-3.1013484E-001, 1.4969874E-002, 0.0000000E+000, 0.0000000E+000, 9.7373557E-001, 7.8988893E-001, 0.0000000E+000, 9.9407846E-004, 0.0000000E+000, 0.0000000E+000
 3.2000813E+001, 2.7152330E+001,-7.1768142E+000,-1.9762975E+001,-3.2501417E-001, 1.4909916E-002, 0.0000000E+000, 0.0000000E+000, 6.3340291E-002,-9.7563980E-002, 0.0000000E+000, 9.9407846E-004, 0.0000000E+000, 0.0000000E+000
 3.4001663E+001, 2.7280332E+001,-7.2413418E+000,-2.0233537E+001,-3.1883999E-001, 1.4899025E-002, 0.0000000E+000, 0.0000000E+000,-3.4021353E-001,-4.9848788E-001, 0.0000000E+000, 9.9407846E-004, 0.0000000E+000, 0.0000000E+000
 3.6000870E+001, 2.7310188E+001,-7.2767118E+000,-2.0103367E+001,-3.1539387E-001, 1.4900857E-002, 0.0000000E+000, 0.0000000E+000,-1.9150971E-001,-3.7038381E-001, 0.0000000E+000, 9.9407846E-004, 0.0000000E+000, 0.0000000E+000
 3.8001217E+001, 2.7416510E+001,-7.2812222E+000,-2.0304548E+001,-3.2570346E-001, 1.4810354E-002, 0.0000000E+000, 0.0000000E+000,-3.1880582E-001,-4.8015313E-001, 0.0000000E+000, 9.9407846E-004, 0.0000000E+000, 0.0000000E+000
 4.0000870E+001, 2.7180350E+001,-7.1935152E+000,-1.9365369E+001,-3.1460714E-001, 1.4910824E-002, 0.0000000E+000, 0.0000000E+000, 5.0078805E-001, 3.2177023E-001, 0.0000000E+000, 9.9407846E-004, 0.0000000E+000, 0.0000000E+000
 4.2001652E+001, 2.7278966E+001,-7.2075320E+000,-2.0064947E+001,-3.1012599E-001, 1.4842560E-002, 0.0000000E+000, 0.0000000E+000,-1.4632135E-001,-2.8879651E-001, 0.0000000E+000, 9.9407846E-004, 0.0000000E+000, 0.0000000E+000
 4.4000057E+001, 2.7470737E+001,-7.2806214E+000,-2.0200559E+001,-3.0189030E-001, 1.4899387E-002, 0.0000000E+000, 0.0000000E+000,-1.4255641E-001,-2.9743451E-001, 0.0000000E+000, 9.9407846E-004, 0.0000000E+000, 0.0000000E+000
 4.6001144E+001, 2.7108847E+001,-7.1892655E+000,-2.0069137E+001,-3.1507679E-001, 1.4894698E-002, 0.0000000E+000, 0.0000000E+000,-3.1033703E-001,-4.4973792E-001, 0.0000000E+000, 9.9407846E-004, 0.0000000E+000, 0.0000000E+000
