cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot
 1.0000000E+000, 7.7348485E+002, 7.8094711E+002, 2.3713569E-001, 1.6749910E+001, 2.3744119E+001, 4.1960525E-002, 5.7375010E-002, 4.5299909E-002, 2.0295756E-002, 2.5076862E-001, 8.7726019E-002, 1.5993242E-002, 5.2077281E-001, 1.7676410E-002, 6.6049615E-004
 3.0000000E+000, 8.1664197E+002, 8.2576454E+002, 2.3713569E-001, 1.6823680E+001, 2.6649446E+001, 4.1960525E-002, 5.9672317E-002, 4.7243935E-002, 2.1193048E-002, 2.1927180E-001, 9.1508657E-002, 1.6700355E-002, 5.4256396E-001, 1.8800962E-002, 7.0216681E-004
 5.0000000E+000, 8.6246152E+002, 8.7445616E+002, 8.9304556E-001, 1.8920627E+001, 3.4436829E+001, 9.4522752E-002, 6.1228514E-002, 4.9412170E-002, 2.2138676E-002, 1.8922715E-001, 9.5663976E-002, 1.7445479E-002, 5.6295477E-001, 1.9999056E-002, 7.4729066E-004
 7.0000000E+000, 9.0336917E+002, 9.1860102E+002, 1.2370282E+000, 2.2149061E+001, 4.4768488E+001, 1.2706576E-001, 6.1621748E-002, 5.1526899E-002, 2.3003877E-002, 1.6558474E-001, 9.9649338E-002, 1.8127142E-002, 5.7847869E-001, 2.1090501E-002, 7.8922865E-004
 9.0000000E+000, 9.3955488E+002, 9.5813021E+002, 1.5701510E+000, 2.5543182E+001, 5.4699120E+001, 1.6180809E-001, 6.1405868E-002, 5.3561165E-002, 2.3670247E-002, 1.4651397E-001, 1.0333862E-001, 1.8651885E-002, 5.9078407E-001, 2.1965353E-002, 8.2537555E-004
 1.1000000E+001, 9.7102732E+002, 9.9291437E+002, 1.8819015E+000, 2.8578165E+001, 6.2894035E+001, 1.9869514E-001, 6.1059120E-002, 5.5440242E-002, 2.4055339E-002, 1.3075862E-001, 1.0655889E-001, 1.8954668E-002, 6.0104953E-001, 2.2543591E-002, 8.5347058E-004
 1.3000000E+001, 9.9796981E+002, 1.0230702E+003, 2.1683939E+000, 3.0898761E+001, 6.8793134E+001, 2.3384714E-001, 6.0801801E-002, 5.7124483E-002, 2.4158454E-002, 1.1759602E-001, 1.0925226E-001, 1.9034967E-002, 6.0987689E-001, 2.2820770E-002, 8.7315257E-004
 1.5000000E+001, 1.0213691E+003, 1.0495371E+003, 2.4291812E+000, 3.2840515E+001, 7.3499082E+001, 2.6589385E-001, 6.0669311E-002, 5.8644734E-002, 2.4027019E-002, 1.0636486E-001, 1.1150533E-001, 1.8930201E-002, 6.1768675E-001, 2.2844956E-002, 8.8575712E-004
 1.7000000E+001, 1.0418932E+003, 1.0728914E+003, 2.6678851E+000, 3.4391644E+001, 7.7166543E+001, 2.9683213E-001, 6.0658829E-002, 5.9991298E-002, 2.3781796E-002, 9.6552498E-002, 1.1339979E-001, 1.8735717E-002, 6.2470030E-001, 2.2738843E-002, 8.9408260E-004
 1.9000000E+001, 1.0605159E+003, 1.0941567E+003, 2.8871293E+000, 3.6022617E+001, 8.0542716E+001, 3.2363776E-001, 6.0748344E-002, 6.1219680E-002, 2.3437424E-002, 8.7733393E-002, 1.1503315E-001, 1.8463036E-002, 6.3118427E-001, 2.2521025E-002, 8.9896324E-004
 2.1000000E+001, 1.0778951E+003, 1.1140235E+003, 3.0897344E+000, 3.7791075E+001, 8.3804810E+001, 3.5202796E-001, 6.0875690E-002, 6.2360259E-002, 2.3047571E-002, 7.9685057E-002, 1.1649443E-001, 1.8154507E-002, 6.3720461E-001, 2.2246272E-002, 9.0187653E-004
 2.3000000E+001, 1.0947653E+003, 1.1333117E+003, 3.2785518E+000, 3.9486609E+001, 8.7287354E+001, 3.7741269E-001, 6.0989120E-002, 6.3446945E-002, 2.2662509E-002, 7.2123171E-002, 1.1787558E-001, 1.7849795E-002, 6.4287842E-001, 2.1968316E-002, 9.0432788E-004
 2.5000000E+001, 1.1109058E+003, 1.1517376E+003, 3.4550143E+000, 4.0974713E+001, 9.1036579E+001, 4.0437834E-001, 6.1206704E-002, 6.4471843E-002, 2.2194521E-002, 6.4988673E-002, 1.1909630E-001, 1.7479657E-002, 6.4839658E-001, 2.1599830E-002, 9.0425152E-004
 2.7000000E+001, 1.1261923E+003, 1.1691896E+003, 3.6186833E+000, 4.2534901E+001, 9.4623697E+001, 4.3343896E-001, 6.1554624E-002, 6.5425672E-002, 2.1643345E-002, 5.8234239E-002, 1.2014247E-001, 1.7043891E-002, 6.5380425E-001, 2.1140701E-002, 9.0158155E-004
 2.9000000E+001, 1.1403685E+003, 1.1852346E+003, 3.7713262E+000, 4.4431655E+001, 9.9319205E+001, 4.6300459E-001, 6.2073147E-002, 6.6265811E-002, 2.1046770E-002, 5.1828903E-002, 1.2097897E-001, 1.6572357E-002, 6.5910090E-001, 2.0629589E-002, 8.9692767E-004
 3.1000000E+001, 1.1536846E+003, 1.2000116E+003, 3.7713262E+000, 4.6515825E+001, 1.0605321E+002, 4.6300459E-001, 6.2755968E-002, 6.7013943E-002, 2.0384530E-002, 4.5725860E-002, 1.2162311E-001, 1.6049045E-002, 6.6433767E-001, 2.0046293E-002, 8.8997369E-004
 3.3000000E+001, 1.1655742E+003, 1.2129060E+003, 4.0405251E+000, 4.9549214E+001, 1.1524398E+002, 5.4378806E-001, 6.3682919E-002, 6.7655286E-002, 1.9587538E-002, 4.0012098E-002, 1.2199808E-001, 1.5419418E-002, 6.6956680E-001, 1.9319087E-002, 8.7893474E-004
