cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,kg/kg
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_CO,Y_Soot
 2.5000000E-001, 9.1016639E+002, 9.1841847E+002, 6.8938204E-001, 2.1328295E+002, 2.2858488E+002, 2.5577137E-001, 6.2411688E-002, 3.4489874E-002, 1.0857450E-002, 2.6180215E-001, 8.3024407E-002, 1.1428895E-002, 5.3541409E-001, 1.2434770E-002, 2.8063240E-004
 2.2806122E+000, 9.7017857E+002, 9.8063121E+002, 1.0609014E+000, 2.2497083E+002, 2.4286964E+002, 3.3450677E-001, 6.3908661E-002, 3.7247540E-002, 1.0982010E-002, 2.2468672E-001, 8.8801889E-002, 1.1560011E-002, 5.6223517E-001, 1.2393457E-002, 2.7970004E-004
 4.3112245E+000, 1.0180409E+003, 1.0304899E+003, 1.4140353E+000, 2.3322937E+002, 2.5336129E+002, 4.0332159E-001, 6.4555312E-002, 3.9543359E-002, 1.1001856E-002, 1.9723992E-001, 9.3510923E-002, 1.1580901E-002, 5.8198868E-001, 1.2287312E-002, 2.7730452E-004
 6.3418367E+000, 1.0548720E+003, 1.0687996E+003, 1.7382144E+000, 2.3732383E+002, 2.5947573E+002, 4.6748070E-001, 6.5066800E-002, 4.1431683E-002, 1.0851389E-002, 1.7593498E-001, 9.7205045E-002, 1.1422514E-002, 5.9751646E-001, 1.2030284E-002, 2.7150382E-004
 8.3724490E+000, 1.0843439E+003, 1.0992950E+003, 2.0310287E+000, 2.3908835E+002, 2.6322257E+002, 5.3222766E-001, 6.5620554E-002, 4.3004536E-002, 1.0613209E-002, 1.5837307E-001, 1.0016344E-001, 1.1171799E-002, 6.1049480E-001, 1.1698530E-002, 2.6401668E-004
 1.0403061E+001, 1.1079691E+003, 1.1235710E+003, 2.2946206E+000, 2.3853779E+002, 2.6440745E+002, 5.9981040E-001, 6.6427792E-002, 4.4314683E-002, 1.0263373E-002, 1.4315741E-001, 1.0247180E-001, 1.0803550E-002, 6.2202121E-001, 1.1259668E-002, 2.5411228E-004
 1.2433673E+001, 1.1242038E+003, 1.1399177E+003, 2.5294645E+000, 2.3469023E+002, 2.6199647E+002, 6.7329328E-001, 6.7889000E-002, 4.5208934E-002, 9.8770095E-003, 1.2946356E-001, 1.0390596E-001, 1.0396852E-002, 6.3273884E-001, 1.0790919E-002, 2.4353338E-004
 1.4464286E+001, 1.1363442E+003, 1.1519242E+003, 2.7368327E+000, 2.3248374E+002, 2.6151979E+002, 7.5582254E-001, 6.9694092E-002, 4.5826491E-002, 9.5342797E-003, 1.1673991E-001, 1.0482965E-001, 1.0036084E-002, 6.4283770E-001, 1.0374623E-002, 2.3413826E-004
 1.6494898E+001, 1.1468313E+003, 1.1621647E+003, 2.9225396E+000, 2.3318320E+002, 2.6423025E+002, 8.4370176E-001, 7.1544077E-002, 4.6352065E-002, 9.1621181E-003, 1.0497923E-001, 1.0553528E-001, 9.6443348E-003, 6.5230068E-001, 9.9328962E-003, 2.2416921E-004
