cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
 5.0000000E-001, 1.0062159E+003, 3.2970896E+001,-9.5000000E+000, 1.0623707E+003, 3.0976816E+001, 1.1780949E+003, 1.0935141E+002, 1.1299800E+003, 2.0029983E+002, 9.8599221E+002, 2.1552642E+002, 8.4147155E+002, 1.8616639E+002, 5.2000000E+001, 1.0000000E-001, 2.3783065E+001, 2.4110583E+001, 2.5240938E+001, 2.4570061E+001, 0.0000000E+000, 2.4743907E+000
 4.4622642E+000, 1.0062159E+003, 3.2970896E+001,-5.2857143E+000, 1.0623707E+003, 3.0976816E+001, 1.1780949E+003, 1.0935141E+002, 1.1299800E+003, 2.0029983E+002, 9.8599221E+002, 2.1552642E+002, 8.4147155E+002, 1.8616639E+002, 5.6480000E+001, 2.9900000E-001, 2.3783065E+001, 2.4110583E+001, 2.5240938E+001, 2.4570061E+001, 4.5000000E+000, 2.4743907E+000
 8.4245283E+000, 1.0062159E+003, 3.2970896E+001,-1.0714286E+000, 1.0623707E+003, 3.0976816E+001, 1.1780949E+003, 1.0935141E+002, 1.1299800E+003, 2.0029983E+002, 9.8599221E+002, 2.1552642E+002, 8.4147155E+002, 1.8616639E+002, 6.0960000E+001, 4.9800000E-001, 5.8442649E+000, 1.7317771E+001, 1.8225058E+001, 1.7898587E+001, 9.0000000E+000, 2.4743907E+000
 1.2386792E+001, 1.0387179E+003, 5.1836697E+001, 3.1428571E+000, 1.0387179E+003, 5.1836697E+001, 1.0454914E+003, 1.9124054E+002, 9.3115160E+002, 2.3850966E+002, 8.0958348E+002, 2.2097551E+002, 7.0833862E+002, 1.8315007E+002, 6.5440000E+001, 6.9700000E-001, 5.8442649E+000, 1.7317771E+001, 1.8225058E+001, 1.7898587E+001, 1.3500000E+001, 3.0241185E+000
 1.6349057E+001, 1.0387179E+003, 5.1836697E+001, 7.3571429E+000, 1.0387179E+003, 5.1836697E+001, 1.0454914E+003, 1.9124054E+002, 9.3115160E+002, 2.3850966E+002, 8.0958348E+002, 2.2097551E+002, 7.0833862E+002, 1.8315007E+002, 6.9920000E+001, 8.9600000E-001, 5.8442649E+000, 1.7317771E+001, 1.8225058E+001, 1.7898587E+001, 1.8000000E+001, 3.0241185E+000
 2.0311321E+001, 1.0387179E+003, 5.1836697E+001, 1.1571429E+001, 1.0387179E+003, 5.1836697E+001, 1.0454914E+003, 1.9124054E+002, 9.3115160E+002, 2.3850966E+002, 8.0958348E+002, 2.2097551E+002, 7.0833862E+002, 1.8315007E+002, 7.4400000E+001, 1.0950000E+000, 5.8442649E+000, 1.7317771E+001, 1.8225058E+001, 1.7898587E+001, 2.2500000E+001, 3.0241185E+000
 2.4273585E+001, 1.0387179E+003, 5.1836697E+001, 1.5785714E+001, 1.0387179E+003, 5.1836697E+001, 1.0454914E+003, 1.9124054E+002, 9.3115160E+002, 2.3850966E+002, 8.0958348E+002, 2.2097551E+002, 7.0833862E+002, 1.8315007E+002, 7.8880000E+001, 1.2940000E+000, 5.8442649E+000, 1.7317771E+001, 1.8225058E+001, 1.7898587E+001, 2.7000000E+001, 3.0241185E+000
 2.8235849E+001, 1.0387179E+003, 5.1836697E+001, 2.0000000E+001, 5.9429506E+002, 9.9386096E+001, 5.3822408E+002, 1.2559537E+002, 5.1589824E+002, 1.3178525E+002, 4.9328374E+002, 1.2660620E+002, 4.7383443E+002, 1.1184411E+002, 8.3360000E+001, 1.4930000E+000, 4.4079874E+000, 1.2849401E+001, 1.3562664E+001, 1.3416941E+001, 3.1500000E+001, 3.2927257E+000
 3.2198113E+001, 1.0659142E+003, 1.2451336E+002, 2.4214286E+001, 5.9429506E+002, 9.9386096E+001, 5.3822408E+002, 1.2559537E+002, 5.1589824E+002, 1.3178525E+002, 4.9328374E+002, 1.2660620E+002, 4.7383443E+002, 1.1184411E+002, 8.7840000E+001, 1.6920000E+000, 4.4079874E+000, 1.2849401E+001, 1.3562664E+001, 1.3416941E+001, 3.6000000E+001, 3.2927257E+000
