s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANOL,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000, 1.2562850E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.2562850E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0019374E+000, 1.6888740E+002,-3.3409303E+001, 2.7484412E-001,-2.3249619E+000, 7.2040493E-002, 0.0000000E+000, 0.0000000E+000, 1.3069527E+002, 1.3350002E+002, 0.0000000E+000, 8.5708527E-003, 0.0000000E+000, 0.0000000E+000
 4.0016055E+000, 2.6593077E+002,-4.5317635E+001,-1.7506144E+002,-3.8210167E+000, 1.3928811E-001, 0.0000000E+000, 0.0000000E+000, 4.1902657E+001, 4.1869965E+001, 0.0000000E+000, 1.2683668E-002, 0.0000000E+000, 0.0000000E+000
 6.0008864E+000, 2.6847146E+002,-4.5701811E+001,-2.1380558E+002,-3.7663933E+000, 1.4293513E-001, 0.0000000E+000, 0.0000000E+000, 5.2646087E+000, 5.3406134E+000, 0.0000000E+000, 1.2794757E-002, 0.0000000E+000, 0.0000000E+000
 8.0035772E+000, 2.7110293E+002,-4.6032473E+001,-2.1246300E+002,-3.6311981E+000, 1.4196347E-001, 0.0000000E+000, 0.0000000E+000, 8.8143337E+000, 9.1182215E+000, 0.0000000E+000, 1.2796811E-002, 0.0000000E+000, 0.0000000E+000
 1.0003703E+001, 2.7112328E+002,-4.5989678E+001,-2.2572097E+002,-3.5548050E+000, 1.4161577E-001, 0.0000000E+000, 0.0000000E+000,-4.3429918E+000,-4.0005569E+000, 0.0000000E+000, 1.2796849E-002, 0.0000000E+000, 0.0000000E+000
 1.2000427E+001, 2.6874210E+002,-4.5727266E+001,-2.1465637E+002,-3.5041346E+000, 1.4220679E-001, 0.0000000E+000, 0.0000000E+000, 4.5122139E+000, 4.9965350E+000, 0.0000000E+000, 1.2796849E-002, 0.0000000E+000, 0.0000000E+000
 1.4001989E+001, 2.7214151E+002,-4.6259671E+001,-2.1865655E+002,-3.4881480E+000, 1.4278432E-001, 0.0000000E+000, 0.0000000E+000, 3.4582824E+000, 3.8799298E+000, 0.0000000E+000, 1.2796849E-002, 0.0000000E+000, 0.0000000E+000
 1.6000084E+001, 2.6860407E+002,-4.5952067E+001,-2.1679690E+002,-3.5464613E+000, 1.4172778E-001, 0.0000000E+000, 0.0000000E+000, 2.1452331E+000, 2.4503697E+000, 0.0000000E+000, 1.2796849E-002, 0.0000000E+000, 0.0000000E+000
 1.8001743E+001, 2.7057519E+002,-4.5944836E+001,-2.2856554E+002,-3.5078390E+000, 1.4177207E-001, 0.0000000E+000, 0.0000000E+000,-7.8261456E+000,-7.3012508E+000, 0.0000000E+000, 1.2796849E-002, 0.0000000E+000, 0.0000000E+000
 2.0000906E+001, 2.7018884E+002,-4.5781909E+001,-2.1988343E+002,-3.4273428E+000, 1.4282428E-001, 0.0000000E+000, 0.0000000E+000, 8.6938238E-001, 1.2389815E+000, 0.0000000E+000, 1.2796849E-002, 0.0000000E+000, 0.0000000E+000
 2.2001150E+001, 2.6929409E+002,-4.6223778E+001,-2.3007857E+002,-3.4202017E+000, 1.4286947E-001, 0.0000000E+000, 0.0000000E+000,-1.0669115E+001,-1.0285591E+001, 0.0000000E+000, 1.2796849E-002, 0.0000000E+000, 0.0000000E+000
 2.4000494E+001, 2.7122783E+002,-4.6001850E+001,-2.1022297E+002,-3.4068458E+000, 1.4262650E-001, 0.0000000E+000, 0.0000000E+000, 1.1299191E+001, 1.1738792E+001, 0.0000000E+000, 1.2796849E-002, 0.0000000E+000, 0.0000000E+000
 2.6003469E+001, 2.6983803E+002,-4.5822890E+001,-2.2503868E+002,-3.4424229E+000, 1.4177270E-001, 0.0000000E+000, 0.0000000E+000,-4.6410519E+000,-4.3241885E+000, 0.0000000E+000, 1.2796849E-002, 0.0000000E+000, 0.0000000E+000
 2.8002075E+001, 2.6961288E+002,-4.5850640E+001,-2.2135472E+002,-3.4721041E+000, 1.4184185E-001, 0.0000000E+000, 0.0000000E+000,-1.3298016E+000,-9.2274924E-001, 0.0000000E+000, 1.2796849E-002, 0.0000000E+000, 0.0000000E+000
 3.0003546E+001, 2.7061529E+002,-4.5843179E+001,-2.2228163E+002,-3.4547792E+000, 1.4252017E-001, 0.0000000E+000, 0.0000000E+000,-1.1683398E+000,-8.2178539E-001, 0.0000000E+000, 1.2796849E-002, 0.0000000E+000, 0.0000000E+000
 3.2000851E+001, 2.6981037E+002,-4.5747822E+001,-2.1193071E+002,-3.4619407E+000, 1.4163666E-001, 0.0000000E+000, 0.0000000E+000, 8.4166337E+000, 8.8115400E+000, 0.0000000E+000, 1.2796849E-002, 0.0000000E+000, 0.0000000E+000
 3.4000954E+001, 2.7102931E+002,-4.6025667E+001,-2.2270089E+002,-3.4672261E+000, 1.4306797E-001, 0.0000000E+000, 0.0000000E+000,-1.4403693E+000,-1.0214118E+000, 0.0000000E+000, 1.2796849E-002, 0.0000000E+000, 0.0000000E+000
 3.6002373E+001, 2.6849134E+002,-4.5906420E+001,-2.2363025E+002,-3.5325644E+000, 1.4205684E-001, 0.0000000E+000, 0.0000000E+000,-4.7576611E+000,-4.4358335E+000, 0.0000000E+000, 1.2796849E-002, 0.0000000E+000, 0.0000000E+000
 3.8002026E+001, 2.7112785E+002,-4.5969833E+001,-2.2040681E+002,-3.5187647E+000, 1.4140429E-001, 0.0000000E+000, 0.0000000E+000, 8.1865542E-001, 1.3738435E+000, 0.0000000E+000, 1.2796849E-002, 0.0000000E+000, 0.0000000E+000
 4.0000595E+001, 2.6698082E+002,-4.5630194E+001,-2.2771215E+002,-3.5149640E+000, 1.4042051E-001, 0.0000000E+000, 0.0000000E+000,-1.0179280E+001,-9.7360698E+000, 0.0000000E+000, 1.2796849E-002, 0.0000000E+000, 0.0000000E+000
 4.2000153E+001, 2.7216322E+002,-4.6635518E+001,-2.0991395E+002,-3.5016761E+000, 1.4161082E-001, 0.0000000E+000, 0.0000000E+000, 1.1774572E+001, 1.2253683E+001, 0.0000000E+000, 1.2796849E-002, 0.0000000E+000, 0.0000000E+000
 4.4003365E+001, 2.7098664E+002,-4.6072602E+001,-2.2562935E+002,-3.4464155E+000, 1.4291747E-001, 0.0000000E+000, 0.0000000E+000,-4.4367230E+000,-4.0188052E+000, 0.0000000E+000, 1.2796849E-002, 0.0000000E+000, 0.0000000E+000
 4.6002728E+001, 2.6970199E+002,-4.5699274E+001,-2.1244504E+002,-3.4710089E+000, 1.4253343E-001, 0.0000000E+000, 0.0000000E+000, 7.8897399E+000, 8.2292003E+000, 0.0000000E+000, 1.2796849E-002, 0.0000000E+000, 0.0000000E+000
 4.8002228E+001, 2.6953790E+002,-4.5798547E+001,-2.2358169E+002,-3.4477931E+000, 1.4316091E-001, 0.0000000E+000, 0.0000000E+000,-3.6100156E+000,-3.1469725E+000, 0.0000000E+000, 1.2796849E-002, 0.0000000E+000, 0.0000000E+000
 5.0000607E+001, 2.7114122E+002,-4.5868037E+001,-2.2242218E+002,-3.4264080E+000, 1.4227418E-001, 0.0000000E+000, 0.0000000E+000,-7.8219626E-001,-4.3313415E-001, 0.0000000E+000, 1.2796849E-002, 0.0000000E+000, 0.0000000E+000
 5.2000107E+001, 2.6893324E+002,-4.5575625E+001,-2.2099955E+002,-3.5057548E+000, 1.4139438E-001, 0.0000000E+000, 0.0000000E+000,-1.4012094E+000,-1.0062956E+000, 0.0000000E+000, 1.2796849E-002, 0.0000000E+000, 0.0000000E+000
 5.4000675E+001, 2.7048061E+002,-4.5838239E+001,-2.2402851E+002,-3.4695897E+000, 1.4204867E-001, 0.0000000E+000, 0.0000000E+000,-3.0350512E+000,-2.7136782E+000, 0.0000000E+000, 1.2796849E-002, 0.0000000E+000, 0.0000000E+000
 5.6001827E+001, 2.7099814E+002,-4.6053075E+001,-2.2162643E+002,-3.4456147E+000, 1.4161739E-001, 0.0000000E+000, 0.0000000E+000,-3.7703708E-001, 1.4638325E-002, 0.0000000E+000, 1.2796849E-002, 0.0000000E+000, 0.0000000E+000
 5.8002682E+001, 2.6837881E+002,-4.5866860E+001,-2.0943710E+002,-3.5079979E+000, 1.4141976E-001, 0.0000000E+000, 0.0000000E+000, 9.2737479E+000, 9.7082749E+000, 0.0000000E+000, 1.2796849E-002, 0.0000000E+000, 0.0000000E+000
 6.0000000E+001, 2.7074281E+002,-4.6184759E+001,-2.2980407E+002,-3.4887639E+000, 1.4179816E-001, 0.0000000E+000, 0.0000000E+000,-8.9815886E+000,-8.5929790E+000, 0.0000000E+000, 1.2796849E-002, 0.0000000E+000, 0.0000000E+000
