cm,K,K,cm,K,K,K,K,K,K,K,K,K,K,cm,cm,kW/m2,kW/m2,kW/m2,kW/m2,cm,kW/m2
z,T_CL,T_CL_RMS,r,T_20,T_20_RMS,T_60,T_60_RMS,T_100,T_100_RMS,T_140,T_140_RMS,T_180,T_180_RMS,r2,HF_00-y,HF_00,HF_41,HF_61,HF_81,z2,HF_207
 5.0000000E-001, 1.2352985E+003, 4.8080901E+001,-9.5000000E+000, 1.3912870E+003, 7.4553522E+001, 1.2114861E+003, 1.9519432E+002, 9.1797600E+002, 2.1551183E+002, 7.1509025E+002, 1.5255167E+002, 5.9342364E+002, 1.0108990E+002, 5.2000000E+001, 1.0000000E-001, 4.1370293E+000, 1.1005039E+001, 8.7763535E+000, 6.7956892E+000, 0.0000000E+000, 7.8705817E-001
 4.4622642E+000, 1.2352985E+003, 4.8080901E+001,-5.2857143E+000, 1.3912870E+003, 7.4553522E+001, 1.2114861E+003, 1.9519432E+002, 9.1797600E+002, 2.1551183E+002, 7.1509025E+002, 1.5255167E+002, 5.9342364E+002, 1.0108990E+002, 5.6480000E+001, 2.9900000E-001, 3.4693324E+000, 9.7896617E+000, 7.9280681E+000, 6.2103916E+000, 4.5000000E+000, 7.8705817E-001
 8.4245283E+000, 1.2767624E+003, 5.4457335E+001,-1.0714286E+000, 1.3650947E+003, 6.0966401E+001, 1.3053796E+003, 1.3884740E+002, 1.0005636E+003, 2.1497568E+002, 7.5533024E+002, 1.5503502E+002, 6.0797235E+002, 9.9497365E+001, 6.0960000E+001, 4.9800000E-001, 2.9239388E+000, 8.7373479E+000, 7.1838130E+000, 5.6936883E+000, 9.0000000E+000, 7.9184233E-001
 1.2386792E+001, 1.3151878E+003, 6.0295815E+001, 3.1428571E+000, 1.3653523E+003, 6.2878085E+001, 1.2687231E+003, 1.6458681E+002, 9.8386349E+002, 2.0261818E+002, 7.4412354E+002, 1.5024887E+002, 6.0507543E+002, 1.0080815E+002, 6.5440000E+001, 6.9700000E-001, 2.4850983E+000, 7.8228417E+000, 6.5270021E+000, 5.2339571E+000, 1.3500000E+001, 8.5972397E-001
 1.6349057E+001, 1.3447505E+003, 6.2942307E+001, 7.3571429E+000, 1.3765098E+003, 8.1435868E+001, 1.1272897E+003, 2.2190400E+002, 8.8837374E+002, 2.0335125E+002, 6.9859508E+002, 1.4689944E+002, 5.8107885E+002, 1.0305581E+002, 6.9920000E+001, 8.9600000E-001, 2.4850983E+000, 7.8228417E+000, 6.5270021E+000, 5.2339571E+000, 1.8000000E+001, 9.3254589E-001
 2.0311321E+001, 1.3653523E+003, 6.2878085E+001, 1.1571429E+001, 1.2481718E+003, 1.7090538E+002, 8.8903512E+002, 2.2201398E+002, 7.3344262E+002, 1.8069856E+002, 6.2991785E+002, 1.3276922E+002, 5.4327196E+002, 9.6891875E+001, 7.4400000E+001, 1.0950000E+000, 2.1295361E+000, 7.0254438E+000, 5.9450722E+000, 4.8225346E+000, 2.2500000E+001, 9.6563148E-001
 2.4273585E+001, 1.3653523E+003, 6.2878085E+001, 1.5785714E+001, 9.8371383E+002, 2.0771284E+002, 6.4371835E+002, 1.6131945E+002, 5.8242168E+002, 1.3735746E+002, 5.5133531E+002, 1.1712575E+002, 4.9888200E+002, 9.2398881E+001, 7.8880000E+001, 1.2940000E+000, 1.8396584E+000, 6.3282307E+000, 5.4275030E+000, 4.4524788E+000, 2.7000000E+001, 9.5883170E-001
 2.8235849E+001, 1.3755184E+003, 6.3194316E+001, 2.0000000E+001, 9.8371383E+002, 2.0771284E+002, 6.4371835E+002, 1.6131945E+002, 5.8242168E+002, 1.3735746E+002, 5.5133531E+002, 1.1712575E+002, 4.9888200E+002, 9.2398881E+001, 8.3360000E+001, 1.4930000E+000, 1.6009741E+000, 5.7169761E+000, 4.9656059E+000, 4.1182866E+000, 3.1500000E+001, 9.3423508E-001
 3.2198113E+001, 1.3742206E+003, 6.7158386E+001, 2.4214286E+001, 7.1008938E+002, 1.5445096E+002, 4.7588041E+002, 8.9146640E+001, 4.6287065E+002, 9.2103016E+001, 4.6874078E+002, 9.1523803E+001, 4.5228208E+002, 8.1649220E+001, 8.7840000E+001, 1.6920000E+000, 1.4024386E+000, 5.1797902E+000, 4.5523557E+000, 3.8155301E+000, 3.6000000E+001, 9.1178259E-001
 3.6160377E+001, 1.3620200E+003, 7.9967335E+001, 2.8428571E+001, 5.3270466E+002, 9.9869119E+001, 3.9396017E+002, 5.2442546E+001, 3.8967507E+002, 6.3826907E+001, 4.0405230E+002, 6.7519919E+001, 4.0994398E+002, 6.6964765E+001, 9.2320000E+001, 1.8910000E+000, 1.2356002E+000, 4.7060661E+000, 4.1817246E+000, 3.5404058E+000, 4.0500000E+001, 8.9972344E-001
 4.0122642E+001, 1.3425357E+003, 1.0003008E+002, 3.2642857E+001, 4.2479950E+002, 5.5695062E+001, 3.4835470E+002, 2.5017244E+001, 3.4862442E+002, 4.3215893E+001, 3.5976932E+002, 4.7669913E+001, 3.7507465E+002, 5.2600729E+001, 9.6800000E+001, 2.0900000E+000, 1.0942171E+000, 4.2870147E+000, 3.8484673E+000, 3.2898403E+000, 4.5000000E+001, 8.9672531E-001
