cm,K,K,m/s,K,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,kg/kg,cm,kW/m2,kW/m2,cm,kW/m2,cm,kW/m2,cm,K,K,K,K,K,K,K,K,K,K
z,TC_CL,TG_CL,w_CL,TC_CL_RMS,TG_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2,X_N2,Y_Soot,r_rad1,HF,radHF,z_rad,HF_vert,r_rad2,HF_hori,r_rad3,TC_03,TC_30,TC_41,TC_51,TC_61,TC_03_RMS,TC_30_RMS,TC_41_RMS,TC_51_RMS,TC_61_RMS
 1.0000000E+000, 9.2509536E+002, 9.3486551E+002, 4.3353878E-001, 1.8492322E+002, 1.9134928E+002, 1.4522777E-001, 5.1813348E-002, 4.3413415E-002, 2.1462610E-002, 2.7058352E-001, 1.1063449E-001, 2.1462610E-002, 4.8000250E-001, 0.0000000E+000,-4.0000000E+000, 3.0923119E+001, 2.5063966E+001, 0.0000000E+000, 5.1663710E-001, 1.6155494E+001, 1.4737408E+000,-4.0000000E+000, 1.0754884E+003, 7.9465488E+002, 7.2886381E+002, 6.7115706E+002, 6.1058492E+002, 1.7432639E+002, 2.7398677E+002, 2.8748541E+002, 2.8578140E+002, 2.6209256E+002
 3.0000000E+000, 9.9145945E+002, 1.0034686E+003, 4.3353878E-001, 2.0007742E+002, 2.0789701E+002, 1.4522777E-001, 5.1876278E-002, 4.6126724E-002, 2.6343465E-002, 2.2353005E-001, 1.2106271E-001, 2.6343465E-002, 5.0471731E-001, 0.0000000E+000,-3.0000000E+000, 3.0923119E+001, 2.5063966E+001, 2.5423729E+000, 5.4202224E-001, 1.8462585E+001, 1.3493581E+000,-2.0000000E+000, 9.7401755E+002, 9.5034562E+002, 8.4044200E+002, 7.5053168E+002, 6.6234141E+002, 1.8889646E+002, 2.0242821E+002, 2.8049531E+002, 3.0971285E+002, 2.8639648E+002
 5.0000000E+000, 1.0598904E+003, 1.0750083E+003, 1.2923576E+000, 2.1121028E+002, 2.2084255E+002, 3.2503249E-001, 5.2912076E-002, 4.9949643E-002, 2.7545700E-002, 1.7956831E-001, 1.3004618E-001, 2.7545700E-002, 5.3243239E-001, 0.0000000E+000,-2.0000000E+000, 2.9305812E+001, 2.4354702E+001, 5.0847458E+000, 5.7143213E-001, 2.0770544E+001, 1.1222046E+000,-2.0000000E-002, 9.7401755E+002, 9.5034562E+002, 8.4044200E+002, 7.5053168E+002, 6.6234141E+002, 1.8889646E+002, 2.0242821E+002, 2.8049531E+002, 3.0971285E+002, 2.8639648E+002
 7.0000000E+000, 1.1115818E+003, 1.1293030E+003, 1.6679995E+000, 2.1370982E+002, 2.2476751E+002, 3.7027119E-001, 5.4004672E-002, 5.3542746E-002, 2.6533469E-002, 1.4815385E-001, 1.3632993E-001, 2.6533469E-002, 5.5490186E-001, 0.0000000E+000,-1.0000000E+000, 2.9305812E+001, 2.4354702E+001, 7.6271186E+000, 5.9671959E-001, 2.3079112E+001, 1.0082476E+000, 2.0000000E+000, 1.0806622E+003, 7.9671639E+002, 7.2638866E+002, 6.6624373E+002, 6.0654187E+002, 1.6765007E+002, 2.7589947E+002, 2.8936472E+002, 2.8602668E+002, 2.6164079E+002
 9.0000000E+000, 1.1459785E+003, 1.1654586E+003, 1.9981215E+000, 2.1082038E+002, 2.2305052E+002, 3.9318730E-001, 5.5809636E-002, 5.6440426E-002, 2.4349190E-002, 1.2509329E-001, 1.4003395E-001, 2.4349190E-002, 5.7392432E-001, 0.0000000E+000,-2.0000000E-002, 2.9305812E+001, 2.4354702E+001, 1.0169492E+001, 6.0823565E-001, 2.5388123E+001, 8.4331726E-001, 4.0000000E+000, 8.5099601E+002, 5.9530053E+002, 5.7820061E+002, 5.6336725E+002, 5.3737249E+002, 1.7615261E+002, 2.4539808E+002, 2.3816516E+002, 2.3937280E+002, 2.2434751E+002
 1.1000000E+001, 1.1647944E+003, 1.1851126E+003, 2.2823792E+000, 2.0436193E+002, 2.1756024E+002, 4.0479289E-001, 5.8638408E-002, 5.8372920E-002, 2.1798940E-002, 1.0729562E-001, 1.4143047E-001, 2.1798940E-002, 5.9066470E-001, 0.0000000E+000, 1.0000000E+000, 2.9563309E+001, 2.4533335E+001, 1.2711864E+001, 6.0653350E-001, 2.7697465E+001, 7.6128621E-001, 6.0000000E+000, 7.3584208E+002, 4.5522265E+002, 4.6843971E+002, 4.7558096E+002, 4.7250988E+002, 3.0687759E+002, 1.7458127E+002, 1.8137705E+002, 1.8999150E+002, 1.8867863E+002
 1.3000000E+001, 1.1691837E+003, 1.1894758E+003, 2.5242464E+000, 1.9602949E+002, 2.0990989E+002, 4.1383053E-001, 6.2601730E-002, 5.9217695E-002, 1.9302806E-002, 9.3239869E-002, 1.4069704E-001, 1.9302806E-002, 6.0563806E-001, 0.0000000E+000, 2.0000000E+000, 2.9563309E+001, 2.4533335E+001, 1.5254237E+001, 6.0546506E-001, 3.0007063E+001, 6.4728693E-001, 8.0000000E+000, 6.3193107E+002, 3.7723760E+002, 3.9460185E+002, 4.0703865E+002, 4.1592806E+002, 3.3778310E+002, 1.1801799E+002, 1.3208944E+002, 1.4210397E+002, 1.5000036E+002
 1.5000000E+001, 1.1614875E+003, 1.1810737E+003, 2.7286466E+000, 1.8783366E+002, 2.0214554E+002, 4.2606691E-001, 6.7522313E-002, 5.9029649E-002, 1.7164181E-002, 8.1814012E-002, 1.3824788E-001, 1.7164181E-002, 6.1905778E-001, 0.0000000E+000, 3.0000000E+000, 3.0938813E+001, 2.5054002E+001, 1.7796610E+001, 6.0510888E-001, 3.2316861E+001, 5.5582270E-001, 1.0000000E+001, 4.9545053E+002, 3.3543775E+002, 3.4637798E+002, 3.5988142E+002, 3.7207375E+002, 2.2514228E+002, 7.8100494E+001, 9.1708223E+001, 1.0379503E+002, 1.1316746E+002
 1.7000000E+001, 1.1444680E+003, 1.1628869E+003, 2.9012302E+000, 1.8240958E+002, 1.9696683E+002, 4.4490109E-001, 7.3144726E-002, 5.7995369E-002, 1.5428218E-002, 7.2400594E-002, 1.3450220E-001, 1.5428218E-002, 6.3110068E-001, 0.0000000E+000, 4.0000000E+000, 3.0938813E+001, 2.5054002E+001, 2.0338983E+001, 6.0364462E-001, 3.4626819E+001, 5.0882200E-001, 1.2000000E+001, 3.7899320E+002, 3.1284297E+002, 3.1920032E+002, 3.2812199E+002, 3.3977000E+002, 1.0032308E+002, 4.5818675E+001, 5.9585168E+001, 7.2955164E+001, 8.0985257E+001
 1.9000000E+001, 1.1213907E+003, 1.1384289E+003, 3.0462903E+000, 1.8118545E+002, 1.9581216E+002, 4.7175991E-001, 7.9146311E-002, 5.6380710E-002, 1.4052597E-002, 6.4444003E-002, 1.2995038E-001, 1.4052597E-002, 6.4197341E-001, 0.0000000E+000, 5.0000000E+000, 2.3787128E+001, 1.9098613E+001, 2.2881356E+001, 6.0207914E-001, 3.6936908E+001, 4.4341001E-001, 1.4000000E+001, 3.7899320E+002, 3.1284297E+002, 3.1920032E+002, 3.2812199E+002, 3.3977000E+002, 1.0032308E+002, 4.5818675E+001, 5.9585168E+001, 7.2955164E+001, 8.0985257E+001
 2.1000000E+001, 1.0950339E+003, 1.1106566E+003, 3.1678760E+000, 1.8500742E+002, 1.9957743E+002, 5.0864783E-001, 8.5228227E-002, 5.4424046E-002, 1.2989250E-002, 5.7541108E-002, 1.2502174E-001, 1.2989250E-002, 6.5180638E-001, 0.0000000E+000, 6.0000000E+000, 2.3787128E+001, 1.9098613E+001, 2.5423729E+001, 6.0036070E-001, 3.9247104E+001, 4.0881604E-001, 1.6000000E+001, 2.9405126E+002, 2.9433557E+002, 2.9741505E+002, 3.0079422E+002, 3.0491268E+002, 2.8929642E+000, 7.3058655E+000, 2.0771476E+001, 3.3615874E+001, 3.7004806E+001
 2.3000000E+001, 1.0666345E+003, 1.0808892E+003, 3.2685217E+000, 1.9306391E+002, 2.0741435E+002, 5.5646951E-001, 9.1310778E-002, 5.2257995E-002, 1.2129133E-002, 5.1456390E-002, 1.1987367E-001, 1.2129133E-002, 6.6084290E-001, 0.0000000E+000, 7.0000000E+000, 1.9714386E+001, 1.5801123E+001, 2.7966102E+001, 5.9881265E-001, 4.1557389E+001, 3.6078859E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
 2.5000000E+001, 1.0376690E+003, 1.0506910E+003, 3.3499403E+000, 2.0432365E+002, 2.1836080E+002, 6.1505192E-001, 9.7205109E-002, 5.0014503E-002, 1.1471912E-002, 4.5950247E-002, 1.1476989E-001, 1.1471912E-002, 6.6911643E-001, 0.0000000E+000, 8.0000000E+000, 1.9714386E+001, 1.5801123E+001, 3.0508475E+001, 5.9615905E-001, 4.3867750E+001, 3.3471233E-001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
