s,m/s
Time,"w"
 0.0000000E+000,-1.2403294E-003
 1.1522827E-002,-1.2611349E-003
 2.3045655E-002,-1.2920571E-003
 3.4568482E-002,-1.1640831E-003
 4.6091309E-002,-4.5581046E-004
 5.7614136E-002, 5.1204244E-004
 6.9136964E-002, 1.8736755E-003
 8.0659791E-002, 3.5714539E-003
 9.2182618E-002, 5.5121583E-003
 1.0370545E-001, 7.5998686E-003
 1.1522827E-001, 9.7363270E-003
 1.2675110E-001, 1.1913672E-002
 1.3827393E-001, 1.4104455E-002
 1.4979675E-001, 1.6291944E-002
 1.6131958E-001, 1.8405386E-002
 1.7284241E-001, 1.9989499E-002
 1.8436524E-001, 2.0724985E-002
 1.9588806E-001, 2.0922640E-002
 2.0741089E-001, 2.0685396E-002
 2.1893372E-001, 1.9930366E-002
 2.3045655E-001, 1.8832775E-002
 2.4197937E-001, 1.7635545E-002
 2.5350220E-001, 1.7149708E-002
 2.6502503E-001, 1.7840188E-002
 2.7654785E-001, 1.9024393E-002
 2.8807068E-001, 2.0595949E-002
 2.9959351E-001, 2.2259951E-002
 3.1111634E-001, 2.3813699E-002
 3.2263916E-001, 2.6022906E-002
 3.3416199E-001, 2.8475674E-002
 3.4568482E-001, 2.5128631E-002
 3.5597247E-001, 1.8313465E-002
 3.6626012E-001, 1.5148306E-002
 3.7654778E-001, 1.6939891E-002
 3.8683543E-001, 2.1560554E-002
 3.9712308E-001, 2.7062580E-002
 4.0741074E-001, 3.2303624E-002
 4.1660874E-001, 3.6187712E-002
 4.2580674E-001, 3.9874642E-002
 4.3500474E-001, 4.3543269E-002
 4.4214068E-001, 4.6152353E-002
 4.4927662E-001, 4.8787812E-002
 4.5641255E-001, 5.1357787E-002
 4.6267138E-001, 5.3185150E-002
 4.6893020E-001, 5.4828596E-002
 4.7518903E-001, 5.6810895E-002
 4.8075047E-001, 5.8742586E-002
 4.8631191E-001, 6.0628697E-002
 4.9187336E-001, 6.2495639E-002
 4.9743480E-001, 6.4159243E-002
 5.0229841E-001, 6.5557538E-002
 5.0716202E-001, 6.7191471E-002
 5.1202563E-001, 6.8838877E-002
 5.1688923E-001, 7.0168511E-002
 5.2175284E-001, 7.1413341E-002
 5.2600543E-001, 7.2800542E-002
 5.3025801E-001, 7.4506856E-002
 5.3451060E-001, 7.6360161E-002
 5.3876318E-001, 7.8042773E-002
 5.4301577E-001, 7.9592630E-002
 5.4678465E-001, 8.0997494E-002
 5.5055352E-001, 8.2670699E-002
 5.5432240E-001, 8.4711840E-002
 5.5809128E-001, 8.6660146E-002
 5.6186015E-001, 8.8320953E-002
 5.6562903E-001, 8.9591656E-002
 5.6939791E-001, 9.0678968E-002
 5.7316678E-001, 9.1920325E-002
 5.7693566E-001, 9.3243556E-002
 5.8070454E-001, 9.4339497E-002
 5.8447342E-001, 9.5230522E-002
 5.8824229E-001, 9.6173730E-002
 5.9201117E-001, 9.7162437E-002
 5.9578005E-001, 9.8133289E-002
 5.9954892E-001, 9.9198635E-002
 6.0331780E-001, 1.0036303E-001
 6.0708668E-001, 1.0162251E-001
 6.1085555E-001, 1.0301297E-001
 6.1424454E-001, 1.0445390E-001
 6.1763352E-001, 1.0604625E-001
 6.2102251E-001, 1.0770461E-001
 6.2441149E-001, 1.0943882E-001
 6.2780047E-001, 1.1126084E-001
 6.3118946E-001, 1.1307247E-001
 6.3457844E-001, 1.1479636E-001
 6.3757840E-001, 1.1611607E-001
 6.4057835E-001, 1.1756015E-001
 6.4357831E-001, 1.1908773E-001
 6.4657827E-001, 1.2038776E-001
 6.4957823E-001, 1.2142517E-001
 6.5257818E-001, 1.2246504E-001
 6.5557814E-001, 1.2352149E-001
 6.5857810E-001, 1.2455621E-001
 6.6157805E-001, 1.2556552E-001
 6.6457801E-001, 1.2662905E-001
 6.6757797E-001, 1.2783518E-001
 6.7057793E-001, 1.2900107E-001
 6.7357788E-001, 1.2997612E-001
 6.7657784E-001, 1.3084904E-001
 6.7957780E-001, 1.3157410E-001
 6.8257776E-001, 1.3250639E-001
 6.8557771E-001, 1.3357012E-001
 6.8815064E-001, 1.3438762E-001
 6.9072358E-001, 1.3500589E-001
 6.9329651E-001, 1.3549818E-001
 6.9586944E-001, 1.3589960E-001
 6.9844237E-001, 1.3618459E-001
 7.0101530E-001, 1.3631300E-001
 7.0358823E-001, 1.3647916E-001
 7.0616116E-001, 1.3656778E-001
 7.0873410E-001, 1.3655882E-001
 7.1130703E-001, 1.3662736E-001
 7.1387996E-001, 1.3682724E-001
 7.1645289E-001, 1.3674881E-001
 7.1902582E-001, 1.3619240E-001
 7.2159875E-001, 1.3539112E-001
 7.2417168E-001, 1.3478892E-001
 7.2674462E-001, 1.3435508E-001
 7.2931755E-001, 1.3402351E-001
 7.3189048E-001, 1.3338786E-001
 7.3446341E-001, 1.3247582E-001
 7.3703634E-001, 1.3111316E-001
 7.3960927E-001, 1.2972927E-001
 7.4186842E-001, 1.2866311E-001
 7.4412756E-001, 1.2791426E-001
 7.4638671E-001, 1.2704759E-001
 7.4864586E-001, 1.2582934E-001
 7.5090500E-001, 1.2432492E-001
 7.5316415E-001, 1.2275297E-001
 7.5542329E-001, 1.2097446E-001
 7.5768244E-001, 1.1894173E-001
 7.5994158E-001, 1.1711977E-001
 7.6220073E-001, 1.1560780E-001
 7.6445987E-001, 1.1399137E-001
 7.6671902E-001, 1.1229328E-001
 7.6897817E-001, 1.1024197E-001
 7.7123731E-001, 1.0791593E-001
 7.7349646E-001, 1.0558818E-001
 7.7575560E-001, 1.0364608E-001
 7.7801475E-001, 1.0189255E-001
 7.8027389E-001, 1.0034228E-001
 7.8253304E-001, 9.8602354E-002
 7.8479218E-001, 9.6796484E-002
 7.8705133E-001, 9.4947714E-002
 7.8931047E-001, 9.3164739E-002
 7.9156962E-001, 9.1403508E-002
 7.9382877E-001, 8.9776884E-002
 7.9608791E-001, 8.8192738E-002
 7.9834706E-001, 8.6379185E-002
 8.0060620E-001, 8.4532443E-002
 8.0286535E-001, 8.3289807E-002
 8.0512449E-001, 8.2196810E-002
 8.0713731E-001, 8.1417521E-002
 8.0915012E-001, 8.0862508E-002
 8.1116294E-001, 7.9993386E-002
 8.1317576E-001, 7.8840633E-002
 8.1518857E-001, 7.8236925E-002
 8.1720139E-001, 7.7627714E-002
 8.1921420E-001, 7.7085394E-002
 8.2122702E-001, 7.6397445E-002
 8.2323983E-001, 7.5803492E-002
 8.2525265E-001, 7.5206113E-002
 8.2726547E-001, 7.4778426E-002
 8.2927828E-001, 7.4654725E-002
 8.3129110E-001, 7.4456276E-002
 8.3330391E-001, 7.3991079E-002
 8.3531673E-001, 7.3888228E-002
 8.3732954E-001, 7.3966134E-002
 8.3934236E-001, 7.4388836E-002
 8.4135518E-001, 7.4742093E-002
 8.4336799E-001, 7.5714124E-002
 8.4538081E-001, 7.7128662E-002
 8.4739362E-001, 7.8315222E-002
 8.4940644E-001, 7.9999279E-002
 8.5141925E-001, 8.2738086E-002
 8.5343207E-001, 8.6357228E-002
 8.5544489E-001, 9.0201419E-002
 8.5745770E-001, 9.4613665E-002
 8.5921859E-001, 9.9179160E-002
 8.6097948E-001, 1.0522024E-001
 8.6274037E-001, 1.1260499E-001
 8.6450126E-001, 1.2078637E-001
 8.6626215E-001, 1.3016887E-001
 8.6802304E-001, 1.3985650E-001
 8.6978393E-001, 1.5137539E-001
 8.7154482E-001, 1.6506530E-001
 8.7330570E-001, 1.8055887E-001
 8.7506659E-001, 1.9772984E-001
 8.7682748E-001, 2.1685555E-001
 8.7837641E-001, 2.3643724E-001
 8.7992535E-001, 2.5824580E-001
 8.8147428E-001, 2.8187453E-001
 8.8302321E-001, 3.0678141E-001
