s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-1.1458634E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1458634E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0043523E+000, 2.0939244E+001,-6.4097313E+000,-2.9135694E+000,-2.6627255E-001,-2.4354619E-003, 0.0000000E+000, 0.0000000E+000, 1.1067091E+001, 1.1347236E+001, 0.0000000E+000, 4.8879703E-004, 0.0000000E+000, 0.0000000E+000
 4.0033517E+000, 3.2996642E+001,-9.4941783E+000,-2.2374244E+001,-4.4875525E-001,-3.5802393E-003, 0.0000000E+000, 0.0000000E+000, 6.4495056E-001, 6.7588466E-001, 0.0000000E+000, 7.2264911E-004, 0.0000000E+000, 0.0000000E+000
 6.0025735E+000, 3.3051362E+001,-9.5153310E+000,-2.3753334E+001,-4.3206136E-001,-3.6134075E-003, 0.0000000E+000, 0.0000000E+000,-6.4147649E-001,-6.5297825E-001, 0.0000000E+000, 7.2893807E-004, 0.0000000E+000, 0.0000000E+000
 8.0035267E+000, 3.3258324E+001,-9.5845366E+000,-2.3352940E+001,-4.4041636E-001,-3.6216120E-003, 0.0000000E+000, 0.0000000E+000,-1.3397322E-001,-1.2319106E-001, 0.0000000E+000, 7.2905448E-004, 0.0000000E+000, 0.0000000E+000
 1.0002101E+001, 3.3050300E+001,-9.5214759E+000,-2.3135787E+001,-4.3009169E-001,-3.6105719E-003, 0.0000000E+000, 0.0000000E+000,-5.2021940E-002,-4.0665469E-002, 0.0000000E+000, 7.2905662E-004, 0.0000000E+000, 0.0000000E+000
 1.2000358E+001, 3.3283786E+001,-9.5825566E+000,-2.3116827E+001,-4.3576109E-001,-3.6252268E-003, 0.0000000E+000, 0.0000000E+000, 1.3924266E-001, 1.4501637E-001, 0.0000000E+000, 7.2905666E-004, 0.0000000E+000, 0.0000000E+000
 1.4002854E+001, 3.3080070E+001,-9.5363484E+000,-2.2485047E+001,-4.3483852E-001,-3.6054240E-003, 0.0000000E+000, 0.0000000E+000, 6.0857540E-001, 6.2023115E-001, 0.0000000E+000, 7.2905666E-004, 0.0000000E+000, 0.0000000E+000
 1.6002209E+001, 3.3153423E+001,-9.5498174E+000,-2.2916749E+001,-4.2847867E-001,-3.6061160E-003, 0.0000000E+000, 0.0000000E+000, 2.4563343E-001, 2.5477155E-001, 0.0000000E+000, 7.2905666E-004, 0.0000000E+000, 0.0000000E+000
