s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-4.1022544E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1022544E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0000141E+000, 1.3469543E+001,-4.4778258E+000, 2.0456958E-001,-7.9409946E-001,-3.3912013E-004, 0.0000000E+000, 0.0000000E+000, 8.3691126E+000, 8.4018483E+000, 0.0000000E+000, 4.8349723E-004, 0.0000000E+000, 0.0000000E+000
 4.0004020E+000, 3.2526315E+001,-1.1228850E+001,-1.7524693E+001,-8.4209193E-001,-3.9535921E-004, 0.0000000E+000, 0.0000000E+000, 2.9020423E+000, 2.9302856E+000, 0.0000000E+000, 7.2256685E-004, 0.0000000E+000, 0.0000000E+000
 6.0001607E+000, 3.2641972E+001,-1.1382860E+001,-2.0682363E+001,-8.3696926E-001,-3.7115703E-004, 0.0000000E+000, 0.0000000E+000,-2.8577666E-001,-2.6059101E-001, 0.0000000E+000, 7.2893677E-004, 0.0000000E+000, 0.0000000E+000
 8.0002365E+000, 3.4127248E+001,-1.2011940E+001,-2.1487072E+001,-8.8211175E-001,-4.6380170E-004, 0.0000000E+000, 0.0000000E+000,-2.8087521E-001,-2.5434021E-001, 0.0000000E+000, 7.2905446E-004, 0.0000000E+000, 0.0000000E+000
 1.0000396E+001, 3.2499326E+001,-1.1289010E+001,-2.0243514E+001,-8.4713933E-001,-4.0578287E-004, 0.0000000E+000, 0.0000000E+000, 9.1301135E-002, 1.1925706E-001, 0.0000000E+000, 7.2905662E-004, 0.0000000E+000, 0.0000000E+000
 1.2000106E+001, 3.4262202E+001,-1.1856194E+001,-2.1092147E+001,-8.4170108E-001,-4.3971033E-004, 0.0000000E+000, 0.0000000E+000, 4.3936184E-001, 4.7171946E-001, 0.0000000E+000, 7.2905666E-004, 0.0000000E+000, 0.0000000E+000
 1.4000323E+001, 3.3106351E+001,-1.1668977E+001,-1.9615561E+001,-8.4743178E-001,-4.4695031E-004, 0.0000000E+000, 0.0000000E+000, 9.4157204E-001, 9.7393424E-001, 0.0000000E+000, 7.2905666E-004, 0.0000000E+000, 0.0000000E+000
 1.6000101E+001, 3.3510889E+001,-1.1473947E+001,-2.2255455E+001,-8.7877875E-001,-4.4327166E-004, 0.0000000E+000, 0.0000000E+000,-1.1283779E+000,-1.0977340E+000, 0.0000000E+000, 7.2905666E-004, 0.0000000E+000, 0.0000000E+000
 1.8000135E+001, 3.3499020E+001,-1.1830200E+001,-2.0139480E+001,-8.8361033E-001,-5.6590561E-004, 0.0000000E+000, 0.0000000E+000, 6.0332745E-001, 6.4516396E-001, 0.0000000E+000, 7.2905666E-004, 0.0000000E+000, 0.0000000E+000
 2.0000099E+001, 3.3140880E+001,-1.1592932E+001,-2.1450964E+001,-8.9073210E-001,-5.5462229E-004, 0.0000000E+000, 0.0000000E+000,-8.2650301E-001,-7.9430191E-001, 0.0000000E+000, 7.2905666E-004, 0.0000000E+000, 0.0000000E+000
 2.2000101E+001, 3.3693527E+001,-1.1766342E+001,-2.1563099E+001,-9.4173950E-001,-6.4234074E-004, 0.0000000E+000, 0.0000000E+000,-6.1050816E-001,-5.7829577E-001, 0.0000000E+000, 7.2905666E-004, 0.0000000E+000, 0.0000000E+000
