s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ACETONE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-1.2194855E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2194855E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0029097E+000, 2.1925146E+001,-6.0053812E+000,-6.5285784E+000,-2.2024050E-001, 3.5234358E-003, 0.0000000E+000, 0.0000000E+000, 8.9179224E+000, 9.1744689E+000, 0.0000000E+000, 8.3361102E-004, 0.0000000E+000, 0.0000000E+000
 4.0023971E+000, 3.5604197E+001,-9.4674456E+000,-2.5004700E+001,-3.1130767E-001, 6.8309390E-003, 0.0000000E+000, 0.0000000E+000, 8.2376668E-001, 8.2757410E-001, 0.0000000E+000, 1.2346637E-003, 0.0000000E+000, 0.0000000E+000
 6.0017061E+000, 3.6090758E+001,-9.5759927E+000,-2.6157053E+001,-3.1952236E-001, 7.0744801E-003, 0.0000000E+000, 0.0000000E+000, 4.0169957E-002, 4.5265236E-002, 0.0000000E+000, 1.2454457E-003, 0.0000000E+000, 0.0000000E+000
 8.0037060E+000, 3.5921171E+001,-9.5831605E+000,-2.6607400E+001,-3.0339238E-001, 7.1581642E-003, 0.0000000E+000, 0.0000000E+000,-5.6971453E-001,-5.6562387E-001, 0.0000000E+000, 1.2456452E-003, 0.0000000E+000, 0.0000000E+000
 1.0002249E+001, 3.5927654E+001,-9.5664962E+000,-2.5243478E+001,-3.0681278E-001, 7.2067046E-003, 0.0000000E+000, 0.0000000E+000, 8.2236230E-001, 8.1807333E-001, 0.0000000E+000, 1.2456489E-003, 0.0000000E+000, 0.0000000E+000
 1.2004244E+001, 3.5944261E+001,-9.5480879E+000,-2.6605202E+001,-3.0624643E-001, 7.2539606E-003, 0.0000000E+000, 0.0000000E+000,-5.1963606E-001,-5.0802060E-001, 0.0000000E+000, 1.2456489E-003, 0.0000000E+000, 0.0000000E+000
 1.4004164E+001, 3.5948326E+001,-9.6064549E+000,-2.6765271E+001,-2.9511060E-001, 7.2170252E-003, 0.0000000E+000, 0.0000000E+000,-7.1100000E-001,-7.1129386E-001, 0.0000000E+000, 1.2456489E-003, 0.0000000E+000, 0.0000000E+000
 1.6002831E+001, 3.5961924E+001,-9.5388480E+000,-2.5369905E+001,-2.9780327E-001, 7.2023605E-003, 0.0000000E+000, 0.0000000E+000, 7.6704375E-001, 7.6257027E-001, 0.0000000E+000, 1.2456489E-003, 0.0000000E+000, 0.0000000E+000
 1.8002842E+001, 3.6066426E+001,-9.6728963E+000,-2.6372917E+001,-3.0511978E-001, 7.2079303E-003, 0.0000000E+000, 0.0000000E+000,-2.8619229E-001,-2.7729967E-001, 0.0000000E+000, 1.2456489E-003, 0.0000000E+000, 0.0000000E+000
 2.0000641E+001, 3.5916544E+001,-9.6307226E+000,-2.5642612E+001,-3.0405720E-001, 7.2334037E-003, 0.0000000E+000, 0.0000000E+000, 3.6555055E-001, 3.4638576E-001, 0.0000000E+000, 1.2456489E-003, 0.0000000E+000, 0.0000000E+000
 2.2001799E+001, 3.6058499E+001,-9.6111933E+000,-2.6041211E+001,-3.0049904E-001, 7.2093957E-003, 0.0000000E+000, 0.0000000E+000, 1.0348056E-001, 1.1280461E-001, 0.0000000E+000, 1.2456489E-003, 0.0000000E+000, 0.0000000E+000
 2.4000200E+001, 3.6018045E+001,-9.6334845E+000,-2.6734045E+001,-3.0293840E-001, 7.2109748E-003, 0.0000000E+000, 0.0000000E+000,-6.4169786E-001,-6.4521174E-001, 0.0000000E+000, 1.2456489E-003, 0.0000000E+000, 0.0000000E+000
 2.6001451E+001, 3.5931355E+001,-9.5134373E+000,-2.5212634E+001,-2.9755029E-001, 7.2295352E-003, 0.0000000E+000, 0.0000000E+000, 9.0848875E-001, 9.1496298E-001, 0.0000000E+000, 1.2456489E-003, 0.0000000E+000, 0.0000000E+000
 2.8002247E+001, 3.6053355E+001,-9.6605388E+000,-2.7430602E+001,-2.9695510E-001, 7.2281855E-003, 0.0000000E+000, 0.0000000E+000,-1.3268145E+000,-1.3275133E+000, 0.0000000E+000, 1.2456489E-003, 0.0000000E+000, 0.0000000E+000
 3.0000172E+001, 3.5937350E+001,-9.5924191E+000,-2.4885770E+001,-2.9490578E-001, 7.2173953E-003, 0.0000000E+000, 0.0000000E+000, 1.1720560E+000, 1.1714729E+000, 0.0000000E+000, 1.2456489E-003, 0.0000000E+000, 0.0000000E+000
 3.2004482E+001, 3.5975993E+001,-9.5603356E+000,-2.6835026E+001,-2.9866748E-001, 7.2279366E-003, 0.0000000E+000, 0.0000000E+000,-7.0599318E-001,-7.1080807E-001, 0.0000000E+000, 1.2456489E-003, 0.0000000E+000, 0.0000000E+000
 3.4000690E+001, 3.6057434E+001,-9.5824399E+000,-2.5461564E+001,-2.9366719E-001, 7.1994596E-003, 0.0000000E+000, 0.0000000E+000, 7.3677856E-001, 7.2696321E-001, 0.0000000E+000, 1.2456489E-003, 0.0000000E+000, 0.0000000E+000
