s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANOL,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-2.4352875E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4352875E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0049720E+000, 1.1229986E-001,-1.8160841E-002, 2.4945521E-003,-5.3958985E-004, 1.8219538E-005, 0.0000000E+000, 0.0000000E+000, 9.2313873E-002, 9.6112206E-002, 0.0000000E+000, 6.2046837E-006, 0.0000000E+000, 0.0000000E+000
 4.0021157E+000, 1.4424205E+000,-3.0786427E-001, 3.4504429E-002,-3.4747870E-002, 5.6264501E-004, 0.0000000E+000, 0.0000000E+000, 1.1150124E+000, 1.1348754E+000, 0.0000000E+000, 7.2042388E-005, 0.0000000E+000, 0.0000000E+000
 6.0010200E+000, 8.6437994E+000,-1.8984405E+000,-2.8401675E+000,-1.3452636E-001, 4.1210192E-003, 0.0000000E+000, 0.0000000E+000, 3.7325459E+000, 3.7747861E+000, 0.0000000E+000, 4.4257545E-004, 0.0000000E+000, 0.0000000E+000
 8.0005484E+000, 2.2323317E+001,-4.9699658E+000,-1.3934672E+001,-2.5087626E-001, 8.3627405E-003, 0.0000000E+000, 0.0000000E+000, 3.2254065E+000, 3.1761654E+000, 0.0000000E+000, 1.0920839E-003, 0.0000000E+000, 0.0000000E+000
 1.0000924E+001, 2.8613019E+001,-6.3966196E+000,-1.8934583E+001,-2.9091804E-001, 9.6727226E-003, 0.0000000E+000, 0.0000000E+000, 3.1342707E+000, 3.0005711E+000, 0.0000000E+000, 1.4149181E-003, 0.0000000E+000, 0.0000000E+000
 1.2000812E+001, 3.4016414E+001,-7.5951788E+000,-2.7167335E+001,-3.1917488E-001, 1.0849960E-002, 0.0000000E+000, 0.0000000E+000,-8.0946264E-001,-1.0544253E+000, 0.0000000E+000, 1.6148334E-003, 0.0000000E+000, 0.0000000E+000
 1.4001483E+001, 3.5514880E+001,-7.9492236E+000,-2.7064139E+001,-3.2198643E-001, 1.0995304E-002, 0.0000000E+000, 0.0000000E+000, 4.0967751E-001, 1.9052577E-001, 0.0000000E+000, 1.6864228E-003, 0.0000000E+000, 0.0000000E+000
 1.6000401E+001, 3.5782564E+001,-7.9985762E+000,-2.7859770E+001,-3.2047668E-001, 1.1144394E-002, 0.0000000E+000, 0.0000000E+000,-1.7963329E-001,-3.8511437E-001, 0.0000000E+000, 1.7199562E-003, 0.0000000E+000, 0.0000000E+000
 1.8001226E+001, 3.7739013E+001,-8.4255413E+000,-2.8475984E+001,-3.2580566E-001, 1.1245958E-002, 0.0000000E+000, 0.0000000E+000, 7.3913304E-001, 5.2292761E-001, 0.0000000E+000, 1.7673440E-003, 0.0000000E+000, 0.0000000E+000
 2.0000937E+001, 3.7446913E+001,-8.3948500E+000,-3.0598846E+001,-3.1703800E-001, 1.1320746E-002, 0.0000000E+000, 0.0000000E+000,-1.6612456E+000,-1.8525000E+000, 0.0000000E+000, 1.8037534E-003, 0.0000000E+000, 0.0000000E+000
 2.2000620E+001, 3.8862195E+001,-8.6793019E+000,-2.9140090E+001,-2.9876086E-001, 1.1429083E-002, 0.0000000E+000, 0.0000000E+000, 9.7524474E-001, 7.5547114E-001, 0.0000000E+000, 1.8314547E-003, 0.0000000E+000, 0.0000000E+000
 2.4000114E+001, 3.9343298E+001,-8.7857730E+000,-3.1090375E+001,-3.1199468E-001, 1.1583168E-002, 0.0000000E+000, 0.0000000E+000,-5.6407540E-001,-8.3326158E-001, 0.0000000E+000, 1.8615738E-003, 0.0000000E+000, 0.0000000E+000
