s,m/s
Time,"w"
 0.0000000E+000,-4.8795933E-003
 2.3045655E-002,-4.8385320E-003
 4.6091309E-002,-4.6892341E-003
 6.9136964E-002,-3.0692246E-003
 9.2182618E-002,-1.7929208E-004
 1.1522827E-001, 3.4656973E-003
 1.3827393E-001, 7.5106872E-003
 1.6131958E-001, 1.1679183E-002
 1.8436524E-001, 1.5956093E-002
 2.0741089E-001, 2.0208200E-002
 2.3045655E-001, 2.4013136E-002
 2.5350220E-001, 2.6196721E-002
 2.7654785E-001, 2.7578970E-002
 2.9959351E-001, 2.9505173E-002
 3.2263916E-001, 3.2887332E-002
 3.4282997E-001, 3.7022346E-002
 3.6089875E-001, 4.1735370E-002
 3.7896752E-001, 4.7124458E-002
 3.9703629E-001, 5.1237987E-002
 4.1298805E-001, 5.4445438E-002
 4.2893981E-001, 5.8603954E-002
 4.4489158E-001, 6.4363172E-002
 4.6084334E-001, 7.1052089E-002
 4.7679510E-001, 7.9149579E-002
 4.9274686E-001, 8.8910241E-002
 5.0650000E-001, 9.8906482E-002
 5.2025313E-001, 1.0992134E-001
 5.3400626E-001, 1.2099267E-001
 5.4775939E-001, 1.3211730E-001
 5.6013609E-001, 1.4233851E-001
 5.7251278E-001, 1.5322633E-001
 5.8488948E-001, 1.6439483E-001
 5.9542498E-001, 1.7395692E-001
 6.0596047E-001, 1.8524723E-001
 6.1505252E-001, 1.9511957E-001
 6.2414457E-001, 2.0563764E-001
 6.3323662E-001, 2.1606389E-001
 6.4127614E-001, 2.2544642E-001
 6.4931566E-001, 2.3564491E-001
 6.5735518E-001, 2.4649981E-001
 6.6539469E-001, 2.5776136E-001
 6.7343421E-001, 2.6948984E-001
 6.8147373E-001, 2.8114328E-001
 6.8865112E-001, 2.9029746E-001
 6.9582852E-001, 2.9908990E-001
 7.0300591E-001, 3.0554497E-001
 7.1018330E-001, 3.0911089E-001
 7.1650817E-001, 3.0973315E-001
 7.2283303E-001, 3.1131746E-001
 7.2915789E-001, 3.1461518E-001
 7.3548276E-001, 3.2523044E-001
 7.4180762E-001, 3.4924022E-001
 7.4813249E-001, 3.8915859E-001
 7.5445735E-001, 4.5634154E-001
 7.6006006E-001, 5.2369307E-001
 7.6566276E-001, 6.1130584E-001
 7.7126546E-001, 7.3298801E-001
 7.7686817E-001, 8.8763532E-001
 7.8247087E-001, 1.1091713E+000
 7.8807358E-001, 1.3878235E+000
 7.9367628E-001, 1.7054441E+000
 7.9856486E-001, 1.9642917E+000
 8.0345344E-001, 2.1821941E+000
 8.0834201E-001, 2.3291729E+000
 8.1323059E-001, 2.3894341E+000
 8.1811917E-001, 2.3852346E+000
 8.2300775E-001, 2.3406234E+000
 8.2789632E-001, 2.3340002E+000
 8.3278490E-001, 2.3865773E+000
 8.3767348E-001, 2.5165268E+000
 8.4256206E-001, 2.6710770E+000
 8.4673506E-001, 2.7934690E+000
 8.5090807E-001, 2.9121702E+000
 8.5508107E-001, 3.0208905E+000
 8.5925408E-001, 3.1079720E+000
 8.6342708E-001, 3.1656837E+000
 8.6760008E-001, 3.1970101E+000
 8.7177309E-001, 3.2355799E+000
 8.7594609E-001, 3.2701507E+000
 8.8011910E-001, 3.3105475E+000
 8.8429210E-001, 3.3510296E+000
 8.8781677E-001, 3.3946196E+000
 8.9134144E-001, 3.4445212E+000
 8.9486612E-001, 3.4937346E+000
 8.9839079E-001, 3.5486633E+000
 9.0191546E-001, 3.6143351E+000
 9.0544013E-001, 3.6847805E+000
 9.0896480E-001, 3.7519723E+000
 9.1248947E-001, 3.8033517E+000
 9.1601414E-001, 3.8474671E+000
 9.1953881E-001, 3.8625074E+000
 9.2306349E-001, 3.8417887E+000
 9.2658816E-001, 3.7969927E+000
 9.2958690E-001, 3.7607491E+000
 9.3258563E-001, 3.7754741E+000
 9.3558437E-001, 3.8669880E+000
 9.3858311E-001, 4.0055428E+000
 9.4158185E-001, 4.1329992E+000
 9.4458059E-001, 4.2431788E+000
 9.4757933E-001, 4.2725183E+000
 9.5057807E-001, 4.1899709E+000
 9.5357681E-001, 4.0119412E+000
 9.5657555E-001, 3.7867856E+000
 9.5957428E-001, 3.5764761E+000
 9.6257302E-001, 3.4376551E+000
 9.6521019E-001, 3.3988249E+000
 9.6784737E-001, 3.4193380E+000
 9.7048454E-001, 3.4710595E+000
 9.7312171E-001, 3.5298760E+000
 9.7575888E-001, 3.5958431E+000
 9.7839605E-001, 3.6727407E+000
 9.8103322E-001, 3.7562051E+000
 9.8367039E-001, 3.8452300E+000
 9.8630756E-001, 3.9408652E+000
 9.8894473E-001, 4.0027696E+000
 9.9158190E-001, 4.0069987E+000
 9.9421907E-001, 3.9619601E+000
 9.9685625E-001, 3.8788592E+000
 9.9949342E-001, 3.7798684E+000
 1.0021306E+000, 3.6379614E+000
 1.0047678E+000, 3.4798940E+000
 1.0074049E+000, 3.3133256E+000
 1.0100421E+000, 3.1819243E+000
 1.0126793E+000, 3.1362930E+000
 1.0153164E+000, 3.1990144E+000
 1.0179536E+000, 3.3461701E+000
 1.0205908E+000, 3.5493785E+000
 1.0232280E+000, 3.7690988E+000
 1.0258651E+000, 3.9460798E+000
 1.0285023E+000, 4.0681018E+000
 1.0311395E+000, 4.1048889E+000
 1.0337766E+000, 4.0696427E+000
 1.0364138E+000, 3.9507643E+000
 1.0390510E+000, 3.7883037E+000
 1.0416882E+000, 3.5890185E+000
 1.0443253E+000, 3.3981656E+000
 1.0469625E+000, 3.2550470E+000
 1.0495997E+000, 3.1715144E+000
 1.0522368E+000, 3.1625093E+000
 1.0548740E+000, 3.2260279E+000
 1.0575112E+000, 3.3514803E+000
 1.0601483E+000, 3.5000699E+000
