r,T_20_avg,T_20_rms,T_60_avg,T_60_rms,T_100_avg,T_100_rms,T_140_avg,T_140_rms,T_180_avg,T_180_rms
0.000000e+00,1.348400e+03,2.826467e+02,9.478133e+02,3.427370e+02,6.930783e+02,2.925751e+02,5.302475e+02,1.701167e+02,4.634752e+02,9.969754e+01
2.000000e+00,1.347139e+03,2.876833e+02,9.426296e+02,3.430673e+02,6.878024e+02,2.900031e+02,5.310118e+02,1.709735e+02,4.628198e+02,1.000762e+02
4.000000e+00,1.334997e+03,2.997443e+02,9.281135e+02,3.497131e+02,6.752721e+02,2.816643e+02,5.297446e+02,1.704891e+02,4.608240e+02,1.008913e+02
6.000000e+00,1.305717e+03,3.195645e+02,9.031384e+02,3.556287e+02,6.583985e+02,2.735479e+02,5.243508e+02,1.700350e+02,4.584584e+02,1.023041e+02
8.000000e+00,1.256730e+03,3.513974e+02,8.677830e+02,3.637963e+02,6.371115e+02,2.673337e+02,5.173400e+02,1.694175e+02,4.557232e+02,1.039483e+02
1.000000e+01,1.212114e+03,3.835975e+02,8.314289e+02,3.672223e+02,6.162074e+02,2.628401e+02,5.090878e+02,1.652508e+02,4.522457e+02,1.050083e+02
1.200000e+01,1.160242e+03,3.971561e+02,7.825103e+02,3.577748e+02,5.953213e+02,2.579900e+02,4.997050e+02,1.583487e+02,4.487701e+02,1.049921e+02
1.400000e+01,1.090739e+03,4.119998e+02,7.243210e+02,3.459397e+02,5.760139e+02,2.489991e+02,4.894406e+02,1.514623e+02,4.438759e+02,1.039693e+02
1.600000e+01,1.019056e+03,4.296814e+02,6.677963e+02,3.291879e+02,5.523704e+02,2.330542e+02,4.797197e+02,1.461492e+02,4.372994e+02,1.013401e+02
1.800000e+01,9.548998e+02,4.371627e+02,6.212048e+02,3.089883e+02,5.272153e+02,2.124587e+02,4.699283e+02,1.414229e+02,4.300826e+02,9.862357e+01
2.000000e+01,8.970539e+02,4.349874e+02,5.862531e+02,2.956028e+02,5.066641e+02,2.000631e+02,4.592014e+02,1.343082e+02,4.236290e+02,9.652067e+01
2.200000e+01,8.415928e+02,4.369737e+02,5.560874e+02,2.839499e+02,4.886862e+02,1.885139e+02,4.482436e+02,1.260630e+02,4.180595e+02,9.361641e+01
2.400000e+01,7.916262e+02,4.264257e+02,5.316075e+02,2.717160e+02,4.714099e+02,1.784578e+02,4.370100e+02,1.201338e+02,4.127545e+02,9.004298e+01
2.600000e+01,7.528475e+02,4.250203e+02,5.121040e+02,2.595084e+02,4.558712e+02,1.715616e+02,4.257988e+02,1.155057e+02,4.063727e+02,8.621817e+01
2.800000e+01,7.142041e+02,4.268905e+02,4.955605e+02,2.459627e+02,4.411725e+02,1.625213e+02,4.152623e+02,1.105992e+02,3.987113e+02,8.273103e+01
3.000000e+01,6.660851e+02,4.089009e+02,4.794674e+02,2.305058e+02,4.289533e+02,1.530669e+02,4.045937e+02,1.042492e+02,3.904767e+02,7.871650e+01
3.200000e+01,6.095599e+02,3.840857e+02,4.666857e+02,2.183126e+02,4.177823e+02,1.453528e+02,3.944855e+02,9.828878e+01,3.823085e+02,7.349058e+01
3.400000e+01,5.763113e+02,3.804138e+02,4.569347e+02,2.070153e+02,4.072101e+02,1.344214e+02,3.859085e+02,9.438292e+01,3.744384e+02,6.731448e+01
3.600000e+01,5.492438e+02,3.757218e+02,4.450757e+02,1.942485e+02,3.974733e+02,1.244095e+02,3.780050e+02,8.979937e+01,3.669201e+02,6.256560e+01
