cm,K,m/s,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
z,T_CL,w_CL,T_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_FUEL,X_H2O,X_N2
0,351,0.010238318,2.61522E-05,0.000141531,0.003490322,0.017216438,0.953468583,0.025824657,0
1,696.8220358,0.011681953,122.0166141,0.080611524,0.012322932,0.051421602,0.45995062,0.077132404,0.399172442
2,859.5389161,0.091775252,124.2290867,0.12246496,0.019145061,0.063550282,0.313965561,0.095325423,0.508013674
3,930.6016531,0.24053837,132.2509989,0.14679671,0.023228702,0.06713508,0.260998883,0.10070262,0.547934714
4,976.3162458,0.41754566,135.5194071,0.175286228,0.026440646,0.069044992,0.227852621,0.103567487,0.573094254
5,1008.516591,0.594235261,137.5647953,0.214646694,0.029075984,0.070166835,0.204823501,0.105250252,0.590683427
6,1033.800047,0.77119306,139.6140971,0.258980992,0.031433708,0.070887802,0.186863674,0.106331704,0.604483112
7,1054.385864,0.942132015,141.7105563,0.304719957,0.033677391,0.071333715,0.172017949,0.107000573,0.615970372
8,1071.321803,1.105212287,143.7475917,0.3510907,0.035845169,0.071582135,0.159379726,0.107373202,0.625819768
9,1085.894834,1.258878567,146.5237216,0.395973833,0.037925284,0.071713454,0.148253286,0.107570181,0.634537794
10,1098.866996,1.403864628,150.0562649,0.439522712,0.039877302,0.07178181,0.138323977,0.107672715,0.642344195
11,1110.629731,1.539683823,153.5312161,0.481181699,0.041738289,0.07179701,0.129323973,0.107695514,0.649445214
12,1121.274774,1.666981037,156.4087288,0.521141566,0.043575382,0.071749813,0.121020663,0.107624719,0.656029422
13,1130.477485,1.785145966,160.0377796,0.561706904,0.045443487,0.071622427,0.113319357,0.107433641,0.662181088
14,1138.206408,1.895091749,165.0561255,0.602683441,0.047358721,0.071414429,0.106147811,0.107121643,0.667957396
15,1144.248054,1.996889389,171.3025985,0.644382791,0.049395285,0.071099507,0.099399177,0.106649261,0.67345677
16,1148.110675,2.091105692,179.1395348,0.68795462,0.051634587,0.070641138,0.093027807,0.105961707,0.678734761
17,1149.890453,2.178043128,188.263386,0.732333507,0.054074049,0.07004431,0.08700013,0.105066465,0.683815046
18,1149.625886,2.257756979,197.7249602,0.777686162,0.056704903,0.069314151,0.081309709,0.103971227,0.688700011
19,1147.789606,2.331421438,206.8885467,0.822789546,0.059463698,0.068485221,0.075934514,0.102727831,0.693388737
20,1145.324595,2.400163018,215.5872409,0.865127102,0.062221959,0.067627239,0.070832651,0.101440858,0.697877293
21,1142.034964,2.465241899,224.0166171,0.904127823,0.064990751,0.066733283,0.066016667,0.100099924,0.702159375
22,1137.491245,2.526387697,232.2840652,0.94066994,0.067839278,0.065769406,0.061476486,0.09865411,0.70626072
23,1131.554091,2.583104057,240.7108855,0.976478415,0.070782698,0.064728907,0.057201935,0.09709336,0.710193101
24,1124.194209,2.63543586,249.4972101,1.011012601,0.073812891,0.063616175,0.053191104,0.095424263,0.713955567
25,1115.601843,2.68341362,258.526447,1.044208281,0.076897024,0.062448903,0.049434612,0.093673355,0.717546106
26,1106.177056,2.727267347,267.7057055,1.07624322,0.079967215,0.061261175,0.045935749,0.091891763,0.720944097
27,1096.213642,2.767757119,276.8781003,1.106527476,0.082986084,0.060073683,0.042679615,0.090110524,0.724150094
28,1085.869959,2.805535176,285.9769155,1.13468588,0.085939115,0.058895689,0.03964799,0.088343534,0.727173671
29,1075.323429,2.841024721,294.8962894,1.160302273,0.08880662,0.057738513,0.036828768,0.086607769,0.730018331
30,1064.564393,2.874993254,303.3606787,1.182628245,0.091600083,0.056597563,0.03421056,0.084896344,0.732695449
31,1053.555027,2.907094071,311.2078369,1.202485277,0.094336648,0.055465858,0.031777043,0.083198787,0.735221664
32,1042.312644,2.937564947,318.3981881,1.219241571,0.097017098,0.054343816,0.029519771,0.081515724,0.737603592
33,1030.957519,2.966004173,324.8950712,1.233579058,0.09962621,0.053240267,0.027429224,0.0798604,0.7398439
34,1019.555869,2.992483231,330.7497561,1.245926187,0.102163916,0.052157423,0.025485458,0.078236134,0.74195707
35,1007.933123,3.016851357,336.0892516,1.256190256,0.104660184,0.051081178,0.023677043,0.076621766,0.74395983
36,996.1842798,3.038952555,340.9045769,1.265018046,0.107115791,0.050013117,0.021985218,0.075019675,0.745866199
37,984.2565523,3.059159293,345.0412322,1.272023583,0.109548694,0.048945743,0.020397539,0.073418615,0.747689409
38,972.0674956,3.077765899,348.4947688,1.277052295,0.111965793,0.047875161,0.018914767,0.071812742,0.749431537
39,959.8688129,3.093744846,351.4540465,1.280432056,0.114346165,0.04681462,0.017510604,0.070221931,0.75110668
40,947.6290604,3.108836881,354.0188638,1.282941183,0.116696346,0.045761607,0.016180279,0.068642411,0.752719356
41,935.251253,3.122217653,356.1601341,1.284922374,0.119020512,0.044712616,0.014935402,0.067068925,0.754262545
42,922.7275197,3.133708069,357.9141383,1.286886313,0.121324165,0.04366592,0.013767345,0.065498879,0.755743691
43,910.101855,3.143507173,359.309589,1.288573835,0.123601044,0.042624779,0.012675299,0.063937169,0.757161709
44,897.4850542,3.151776001,360.3424932,1.289650765,0.125836375,0.041596849,0.011657203,0.062395273,0.7585143
45,884.9288997,3.158740301,361.0042805,1.290172134,0.128025149,0.040585166,0.010708726,0.060877749,0.75980321
46,872.4066369,3.164676265,361.311046,1.289801105,0.130171617,0.03958754,0.009830239,0.05938131,0.761029294
47,859.9015549,3.170040992,361.2819257,1.288610568,0.132280616,0.038602057,0.009016967,0.057903085,0.762197275
48,847.503418,3.17498268,360.9134643,1.286179026,0.134343038,0.037633846,0.008263631,0.056450768,0.763308717
49,835.317894,3.179476949,360.1556559,1.283259204,0.136346372,0.036689289,0.007569784,0.055033934,0.764360622
50,823.3868934,3.18366953,359.0094633,1.27940062,0.138288837,0.035769838,0.006930845,0.053654757,0.765355723
51,811.6665536,3.187337305,357.524566,1.274874706,0.140178792,0.034871974,0.006340338,0.052307961,0.766300936
52,800.1307903,3.190308019,355.7596213,1.269861935,0.142019656,0.033994119,0.005796312,0.050991178,0.767198735
53,788.8751049,3.19284824,353.7417153,1.264187325,0.143799468,0.033142575,0.005296375,0.049713863,0.768047718
54,777.961437,3.195230756,351.5029673,1.257660711,0.145511221,0.032321403,0.004836472,0.048482104,0.7688488
55,767.3639294,3.197503936,349.0621597,1.250784289,0.147159993,0.03152845,0.004412279,0.047292675,0.769606603
56,757.001112,3.199453567,346.3623808,1.243520676,0.148757725,0.030757777,0.004022337,0.046136665,0.770325496
57,746.7973178,3.20122253,343.40168,1.235692113,0.150314218,0.030004365,0.00366708,0.045006547,0.77100779
58,736.6756624,3.202685132,340.1763769,1.227594068,0.151842355,0.029262055,0.00334322,0.043893082,0.771659288
59,726.6585083,3.203916901,336.6985962,1.219427627,0.153340422,0.02853181,0.003049508,0.042797716,0.772280545
60,716.8075818,3.20441843,333.0352611,1.211680697,0.154799825,0.027818062,0.002785376,0.041727094,0.772869643
61,707.1798773,3.204413541,329.3147064,1.204411243,0.156213301,0.0271248,0.002548089,0.0406872,0.773426609
62,697.7763798,3.203573368,325.5088181,1.197514018,0.157583174,0.026451156,0.002334559,0.039676733,0.773954379
63,688.6285501,3.202450689,321.5833093,1.190662219,0.158907561,0.025798434,0.002141789,0.038697651,0.774454565
64,679.8219453,3.201068293,317.5893228,1.183944649,0.160176082,0.02517215,0.001967199,0.037758225,0.774926343
65,671.3396381,3.199186211,313.5722606,1.177878956,0.161391715,0.024570983,0.001809185,0.036856474,0.775371643
66,663.1407204,3.196940978,309.5870485,1.172124218,0.162559844,0.023992597,0.001664434,0.035988895,0.77579423
67,655.1119575,3.194152483,305.6282669,1.166832594,0.163700534,0.023427037,0.001530481,0.035140556,0.776201391
68,647.1740927,3.191259657,301.6337655,1.161701665,0.164816299,0.022872857,0.001407556,0.034309285,0.776594003
69,639.3823639,3.187179823,297.5832755,1.156324699,0.165902015,0.022332959,0.001293809,0.033499438,0.776971779
70,631.7498274,3.183115758,293.449471,1.152120724,0.166967552,0.021802567,0.001187735,0.03270385,0.777338297
71,624.2143903,3.178215339,289.098351,1.1484778,0.16801699,0.021279495,0.00108949,0.031919243,0.777694783
72,616.7837088,3.173335949,284.5686732,1.144973232,0.169048755,0.020764575,0.000999105,0.031146863,0.778040701
73,609.5542702,3.168111103,279.9873587,1.141795949,0.170049243,0.020264739,0.00091646,0.030397108,0.778372451
74,602.5765995,3.162827926,275.443119,1.138748837,0.17101052,0.01978403,0.000841454,0.029676045,0.778687951
75,595.8914628,3.157459248,271.0310523,1.136544891,0.171927311,0.019325201,0.000773505,0.028987802,0.77898618
76,589.5556401,3.152570412,266.8177624,1.134200868,0.172791838,0.018892223,0.000712252,0.028338334,0.779265353
77,583.5634065,3.148651728,262.762958,1.130858263,0.173606476,0.018484024,0.000656394,0.027726037,0.779527068
78,577.9336606,3.145387637,258.8420363,1.126730651,0.174370191,0.01810121,0.000605014,0.027151814,0.779771771
79,572.6242661,3.143185141,254.9966435,1.121720269,0.175089429,0.017740579,0.000557639,0.026610869,0.780001483
80,567.5847496,3.141731708,251.1729299,1.116506352,0.175771406,0.017398513,0.000514033,0.026097769,0.78021828
81,562.8215187,3.140779524,247.3788295,1.111177021,0.1764157,0.01707524,0.000473531,0.02561286,0.780422668
82,558.2609612,3.139944421,243.5211265,1.106121693,0.177033086,0.01676537,0.000435645,0.025148055,0.780617844
83,553.8279847,3.139074538,239.5378164,1.101037562,0.1776336,0.01646379,0.000400592,0.024695685,0.780806333
84,549.4611723,3.137406575,235.4245193,1.096604608,0.178224828,0.016166679,0.000367951,0.024250018,0.780990523
85,545.1483866,3.134943175,231.2447289,1.092387679,0.178807506,0.015873669,0.00033752,0.023810504,0.781170802
86,540.9113512,3.13143069,227.1043173,1.089092103,0.179378014,0.015586652,0.000308901,0.023379978,0.781346455
87,536.7914459,3.126954557,223.0751118,1.086365132,0.17993054,0.015308565,0.000282289,0.022962847,0.781515759
88,532.885501,3.12223919,219.2666015,1.083901484,0.180451975,0.015046082,0.000257525,0.022569123,0.781675295
89,529.1969987,3.117096472,215.6423438,1.081560362,0.18094278,0.014798976,0.000234551,0.022198464,0.781825229
