cm,K,m/s,K,m/s,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
z,T_CL,w_CL,T_CL_RMS,w_CL_RMS,X_O2,X_CO2,X_FUEL,X_H2O,X_N2
0,343,0.0048988,0,5.48E-05,0.002658925,0.037825876,0.662092043,0.050434478,0.246988678
1.829268293,906.2015837,0.032840575,87.76625837,0.071937971,0.011877166,0.080459433,0.251593389,0.107279244,0.548790768
3.658536585,1074.729313,0.308979445,109.8142964,0.143008904,0.020857267,0.086125142,0.160123416,0.114833523,0.618060652
5.487804878,1133.35747,0.676939344,112.0522821,0.220106294,0.026459234,0.086403832,0.131059417,0.115205109,0.640872408
7.317073171,1168.191761,1.046579128,113.7207579,0.307909968,0.031771054,0.085677958,0.11201561,0.114237277,0.656298101
9.146341463,1191.63306,1.382810355,124.3481635,0.396913581,0.036986026,0.084519883,0.097149729,0.112693178,0.668651184
10.97560976,1207.258181,1.675640078,142.6294094,0.488013894,0.041996215,0.083159594,0.084997807,0.110879458,0.678966926
12.80487805,1216.388846,1.925970933,163.8926881,0.579805214,0.046907659,0.081629032,0.074780778,0.108838709,0.687843823
14.63414634,1220.233443,2.1393856,186.1565241,0.670609973,0.051709807,0.079982737,0.06607988,0.10664365,0.695583925
16.46341463,1220.134644,2.321862341,208.1036595,0.758885141,0.056346108,0.07828471,0.058613489,0.104379613,0.70237608
18.29268293,1216.786564,2.480739059,228.4137191,0.841491137,0.060842103,0.076547374,0.052153361,0.102063165,0.708393996
20.12195122,1211.068264,2.621612381,247.0918861,0.91603408,0.065175555,0.074805076,0.046509941,0.099740101,0.713769328
21.95121951,1202.601657,2.747248408,265.0604883,0.983831439,0.06945325,0.073012908,0.041560949,0.097350544,0.718622349
23.7804878,1191.683289,2.86003489,281.8271297,1.044710179,0.073706908,0.071166069,0.037196072,0.094888092,0.723042859
25.6097561,1179.238226,2.963025109,296.6525985,1.096367025,0.07787112,0.069310557,0.033334484,0.092414076,0.727069764
27.43902439,1165.331036,3.056934585,310.2795462,1.139962883,0.081986361,0.0674348,0.029882908,0.089913067,0.730782864
29.26829268,1150.774534,3.143019412,322.7875289,1.176118645,0.085994866,0.065581677,0.026736675,0.087442235,0.734244547
31.09756098,1134.501478,3.22025575,334.2280928,1.206913607,0.090059579,0.063665595,0.023864498,0.08488746,0.737522869
32.92682927,1116.015382,3.287708745,345.0218966,1.233900269,0.094255462,0.061647622,0.021244857,0.082196829,0.74065523
34.75609756,1095.65846,3.34488117,354.6055859,1.257931684,0.098553252,0.059545914,0.018859607,0.079394552,0.743646674
36.58536585,1073.57663,3.392960543,362.73672,1.27764832,0.102926581,0.057374935,0.016710314,0.076499914,0.746488256
38.41463415,1050.742275,3.43351598,369.525636,1.292769705,0.107246488,0.055208387,0.014778733,0.073611182,0.749155211
40.24390244,1027.717501,3.467126604,375.0917443,1.304075057,0.111445114,0.05308603,0.013044051,0.070781373,0.751643432
