Time_sec,TC_K_z=-0.8_cm_r=1.0_cm,TC_K_z=-0.9_cm_r=13.0_cm,TC_K_z=-3.3_cm_r=1.0_cm,TC_K_z=-3.5_cm_r=13.0_cm,TC_K_z=-6.8_cm_r=1.0_cm
-60,291.05,290.85,291.05,291.15,290.95
-50,291.05,290.85,291.05,291.15,290.95
-40,290.95,290.85,291.15,291.15,290.85
-30,291.05,290.75,291.05,291.05,290.95
-20,291.45,291.15,291.35,291.45,291.25
-10,291.45,291.15,291.35,291.55,291.25
0,291.05,290.85,291.05,291.15,290.95
10,291.25,291.05,291.05,291.15,290.95
20,293.55,291.55,291.25,291.25,291.15
30,295.85,292.25,291.35,291.35,291.15
40,298.05,293.15,291.35,291.35,291.05
50,299.25,293.55,291.15,291.25,291.05
60,301.15,294.75,291.55,291.55,291.45
70,302.45,295.15,291.45,291.35,291.25
80,304.55,295.95,291.45,291.45,291.25
90,305.15,296.85,291.45,291.45,291.25
100,307.55,298.05,291.45,291.45,291.25
110,309.35,299.35,291.55,291.65,291.45
120,311.25,300.45,291.65,291.65,291.45
130,312.35,301.55,291.65,291.55,291.35
140,314.15,302.65,291.45,291.45,291.25
150,315.35,303.45,291.35,291.35,291.15
160,316.15,304.25,291.35,291.35,291.15
170,317.25,304.95,291.35,291.35,291.05
180,317.65,305.95,291.35,291.35,291.15
190,319.25,306.85,291.55,291.65,291.25
200,320.05,307.85,291.95,291.95,291.55
210,320.75,308.55,292.05,291.85,291.55
220,320.85,308.95,291.65,291.55,291.15
230,321.85,309.35,291.65,291.65,291.25
240,322.65,309.85,291.85,291.85,291.45
250,323.05,310.55,291.95,291.95,291.55
260,323.45,311.05,292.05,291.95,291.55
270,323.45,311.05,291.95,291.75,291.35
280,324.05,311.95,292.35,292.05,291.65
290,324.15,311.95,292.15,292.15,291.75
300,324.25,312.25,292.15,292.05,291.55
310,324.75,312.45,292.15,291.95,291.45
320,325.45,313.15,292.55,292.25,291.75
330,325.35,313.35,292.45,292.15,291.65
340,325.45,313.65,292.55,292.15,291.55
350,325.55,313.85,292.55,292.15,291.55
360,325.55,313.95,292.45,292.15,291.55
370,326.05,314.15,292.45,292.15,291.55
380,326.15,314.55,292.75,292.15,291.45
390,326.25,314.45,292.65,292.05,291.35
400,326.25,315.05,292.65,292.15,291.35
410,326.95,315.75,293.25,292.65,291.85
420,326.95,316.05,293.05,292.75,291.75
430,327.15,316.05,293.05,292.55,291.55
440,327.45,316.35,293.05,292.45,291.55
450,327.45,316.65,293.15,292.45,291.55
460,327.85,317.05,293.35,292.65,291.65
470,327.85,317.25,293.45,292.85,291.85
480,327.55,317.15,293.45,292.75,291.75
490,327.95,317.75,293.85,293.05,291.95
500,327.75,317.75,293.65,292.85,291.75
510,327.75,317.95,293.65,292.75,291.65
520,328.05,318.45,293.85,292.95,291.75
530,328.35,318.75,294.05,293.15,291.85
540,328.45,318.85,294.25,293.15,291.85
550,328.75,318.75,294.35,293.25,291.95
560,329.15,318.95,294.35,293.35,291.95
570,329.65,319.65,294.65,293.55,292.05
580,329.45,319.75,294.75,293.65,292.05
590,328.85,319.35,294.35,293.15,291.65
600,328.85,319.45,294.55,293.35,291.85
610,328.75,319.95,294.85,293.55,291.95
620,328.95,319.55,294.55,293.35,291.75
630,329.45,319.65,294.65,293.35,291.75
640,329.85,319.75,294.85,293.65,291.95
650,329.45,319.95,294.95,293.85,292.05
660,329.05,320.25,294.75,293.65,291.75
670,329.25,320.45,294.75,293.75,291.85
680,329.95,320.55,295.15,294.15,292.25
690,329.85,320.25,294.85,293.85,291.95
700,330.45,320.75,295.05,294.05,292.05
710,330.45,320.45,294.85,293.95,291.85
720,330.45,320.95,295.25,294.25,292.15
730,330.35,320.65,295.05,294.15,291.95
740,330.15,320.75,294.95,293.95,291.75
750,330.35,320.75,295.05,293.95,291.75
760,330.35,320.85,295.25,294.05,291.85
770,330.35,321.15,295.25,294.15,291.85
780,331.05,321.25,295.45,294.35,291.95
790,331.25,321.95,295.85,294.85,292.25
800,331.05,321.45,295.45,294.45,291.95
810,331.05,321.55,295.55,294.55,291.95
820,331.25,321.95,295.75,294.75,292.15
830,330.95,322.15,295.65,294.65,291.95
840,330.55,322.25,295.75,294.65,291.95
850,330.95,322.55,296.15,295.05,292.25
860,330.75,322.25,295.85,294.75,291.95
870,331.05,322.45,296.15,294.95,292.15
880,331.35,322.75,296.45,295.25,292.35
890,330.85,322.55,296.15,294.95,292.05
900,331.05,322.55,296.35,295.05,292.15
910,331.05,322.95,296.55,295.45,292.35
920,330.95,323.15,296.75,295.55,292.45
930,330.85,322.85,296.35,295.15,292.05
940,331.55,323.15,296.45,295.35,292.15
950,332.15,323.35,296.75,295.55,292.45
960,331.75,323.35,296.85,295.55,292.35
970,331.05,323.15,296.65,295.45,292.15
980,331.65,323.95,297.05,295.85,292.55
990,331.75,323.25,296.75,295.55,292.15
1000,331.75,323.45,296.85,295.65,292.25
1010,331.95,323.45,296.95,295.75,292.25
1020,332.05,323.45,297.05,295.85,292.35
1030,332.05,323.65,297.05,295.85,292.35
1040,332.15,323.35,296.95,295.75,292.15
1050,332.45,323.45,297.15,295.85,292.25
1060,332.35,323.75,297.45,296.15,292.35
1070,332.35,323.45,297.25,295.85,292.15
1080,332.15,323.55,297.25,295.85,292.25
1090,332.45,324.15,297.65,296.25,292.55
1100,332.15,323.95,297.65,296.25,292.55
1110,332.35,323.85,297.45,296.25,292.45
1120,332.85,324.05,297.85,296.55,292.65
1130,332.45,323.95,297.65,296.25,292.45
1140,332.65,324.15,297.85,296.45,292.65
1150,332.15,324.15,297.65,296.25,292.45
1160,332.45,324.35,297.85,296.65,292.55
1170,332.25,324.15,297.65,296.45,292.45
1180,332.15,324.15,297.85,296.55,292.55
1190,332.55,324.35,298.15,296.75,292.75
1200,332.05,324.05,297.75,296.45,292.35
1210,332.45,324.05,297.95,296.75,292.65
1220,332.15,323.95,298.15,296.75,292.65
1230,331.95,323.85,297.95,296.65,292.45
1240,331.65,323.95,298.05,296.85,292.55
1250,332.05,323.95,297.95,296.75,292.45
1260,332.45,324.25,298.25,297.05,292.65
1270,331.95,323.85,298.15,296.95,292.55
1280,331.75,324.05,298.15,296.95,292.65
1290,332.35,324.25,298.35,297.15,292.75
1300,332.05,324.35,298.55,297.35,292.95
1310,331.95,324.15,298.15,297.05,292.55
1320,332.05,324.05,298.25,297.05,292.45
1330,332.15,324.85,298.45,297.25,292.75
1340,332.15,324.75,298.55,297.35,292.75
1350,332.15,324.15,298.25,297.05,292.55
1360,331.75,323.95,298.05,296.85,292.55
1370,331.85,324.05,298.15,296.95,292.65
1380,331.85,324.05,298.25,296.95,292.65
1390,331.95,324.05,298.25,297.05,292.65
1400,332.05,324.05,298.35,297.05,292.65
1410,332.15,324.05,298.35,297.15,292.65
1420,332.25,324.15,298.45,297.25,292.65
1430,332.35,324.15,298.55,297.25,292.75
1440,332.35,324.15,298.55,297.35,292.75
1450,332.45,324.15,298.65,297.35,292.75
1460,332.55,324.25,298.65,297.45,292.75
1470,332.65,324.25,298.75,297.45,292.75
1480,332.95,324.45,299.05,297.85,292.85
1490,332.55,324.45,298.95,297.75,292.75
1500,332.95,324.35,299.15,297.75,292.75
1510,332.65,324.75,299.25,297.95,292.95
1520,333.05,324.95,299.35,297.95,292.95
1530,333.05,324.65,299.25,298.05,293.05
1540,332.85,324.65,299.05,297.75,292.75
1550,332.85,324.75,299.15,297.75,292.65
1560,332.85,325.15,299.45,298.15,292.95
1570,332.75,324.75,299.35,297.95,292.75
1580,332.55,324.55,299.15,297.85,292.65
1590,332.75,324.85,299.45,298.15,292.85
1600,332.55,324.75,299.55,298.15,292.95
1610,332.45,324.45,299.15,297.85,292.65
1620,332.25,324.95,299.25,297.95,292.75
1630,332.15,324.85,299.45,298.15,292.85
1640,332.25,325.25,299.55,298.15,292.85
1650,332.65,325.05,299.85,298.35,292.95
1660,332.75,324.85,299.55,298.15,292.65
1670,332.65,325.05,299.55,298.15,292.75
1680,332.85,325.15,299.75,298.35,292.85
1690,332.95,325.35,299.85,298.55,293.05
1700,332.85,324.65,299.55,298.25,292.85
1710,332.75,324.65,299.55,298.15,292.75
1720,332.85,325.05,299.75,298.45,292.95
