cm,K,K,m/s,m/s,m/s,m/s
r,T_mean,T_rms,u_mean,u_rms,v_mean,v_rms
-0.2081E+02,0.3679E+03,0.2414E+03,0.1296E+00,0.2623E+00,0.1128E+00,0.2661E+00
-0.2010E+02,0.3930E+03,0.2900E+03,0.1703E+00,0.3106E+00,0.1065E+00,0.2875E+00
-0.1944E+02,0.4167E+03,0.3331E+03,0.2097E+00,0.3504E+00,0.1042E+00,0.3055E+00
-0.1883E+02,0.4351E+03,0.3578E+03,0.2534E+00,0.3897E+00,0.9984E-01,0.3238E+00
-0.1827E+02,0.4491E+03,0.3729E+03,0.2949E+00,0.4289E+00,0.9646E-01,0.3399E+00
-0.1775E+02,0.4605E+03,0.3789E+03,0.3361E+00,0.4656E+00,0.8992E-01,0.3557E+00
-0.1725E+02,0.4731E+03,0.3861E+03,0.3752E+00,0.4975E+00,0.8826E-01,0.3710E+00
-0.1675E+02,0.4893E+03,0.3974E+03,0.4179E+00,0.5242E+00,0.8322E-01,0.3837E+00
-0.1625E+02,0.5046E+03,0.4103E+03,0.4616E+00,0.5458E+00,0.8270E-01,0.3970E+00
-0.1575E+02,0.5176E+03,0.4187E+03,0.5087E+00,0.5669E+00,0.7933E-01,0.4082E+00
-0.1525E+02,0.5297E+03,0.4274E+03,0.5504E+00,0.5900E+00,0.8092E-01,0.4218E+00
-0.1475E+02,0.5405E+03,0.4337E+03,0.5959E+00,0.6091E+00,0.7909E-01,0.4342E+00
-0.1425E+02,0.5514E+03,0.4418E+03,0.6422E+00,0.6205E+00,0.8047E-01,0.4484E+00
-0.1375E+02,0.5589E+03,0.4462E+03,0.6887E+00,0.6309E+00,0.7930E-01,0.4572E+00
-0.1325E+02,0.5651E+03,0.4483E+03,0.7324E+00,0.6441E+00,0.8402E-01,0.4653E+00
-0.1275E+02,0.5718E+03,0.4511E+03,0.7771E+00,0.6580E+00,0.8394E-01,0.4717E+00
-0.1225E+02,0.5800E+03,0.4519E+03,0.8220E+00,0.6705E+00,0.8650E-01,0.4768E+00
-0.1175E+02,0.5918E+03,0.4570E+03,0.8719E+00,0.6814E+00,0.8665E-01,0.4815E+00
-0.1125E+02,0.6005E+03,0.4596E+03,0.9226E+00,0.6958E+00,0.8659E-01,0.4848E+00
-0.1075E+02,0.6099E+03,0.4654E+03,0.9713E+00,0.7157E+00,0.8439E-01,0.4879E+00
-0.1025E+02,0.6211E+03,0.4748E+03,0.1012E+01,0.7402E+00,0.8240E-01,0.4914E+00
-0.9750E+01,0.6323E+03,0.4798E+03,0.1054E+01,0.7587E+00,0.7944E-01,0.4929E+00
-0.9250E+01,0.6511E+03,0.4866E+03,0.1097E+01,0.7776E+00,0.7591E-01,0.4946E+00
-0.8750E+01,0.6759E+03,0.4987E+03,0.1151E+01,0.8028E+00,0.6904E-01,0.5008E+00
-0.8250E+01,0.7041E+03,0.5102E+03,0.1217E+01,0.8241E+00,0.6074E-01,0.5097E+00
-0.7750E+01,0.7336E+03,0.5209E+03,0.1295E+01,0.8504E+00,0.4776E-01,0.5165E+00
-0.7250E+01,0.7599E+03,0.5308E+03,0.1384E+01,0.8866E+00,0.3348E-01,0.5215E+00
-0.6750E+01,0.7857E+03,0.5364E+03,0.1474E+01,0.9245E+00,0.1750E-01,0.5217E+00
-0.6250E+01,0.8204E+03,0.5484E+03,0.1564E+01,0.9613E+00,0.4928E-02,0.5160E+00
-0.5750E+01,0.8591E+03,0.5564E+03,0.1662E+01,0.9988E+00,-0.5781E-02,0.5025E+00
-0.5250E+01,0.9040E+03,0.5511E+03,0.1781E+01,0.1028E+01,-0.1379E-01,0.4839E+00
-0.4750E+01,0.9542E+03,0.5446E+03,0.1912E+01,0.1074E+01,-0.2503E-01,0.4596E+00
-0.4250E+01,0.1003E+04,0.5394E+03,0.2036E+01,0.1127E+01,-0.3810E-01,0.4322E+00
-0.3750E+01,0.1054E+04,0.5228E+03,0.2164E+01,0.1153E+01,-0.4961E-01,0.3986E+00
-0.3250E+01,0.1112E+04,0.5001E+03,0.2300E+01,0.1171E+01,-0.5852E-01,0.3616E+00
-0.2750E+01,0.1182E+04,0.4709E+03,0.2449E+01,0.1180E+01,-0.5263E-01,0.3221E+00
-0.2250E+01,0.1265E+04,0.4268E+03,0.2609E+01,0.1177E+01,-0.3473E-01,0.2727E+00
-0.1750E+01,0.1350E+04,0.3732E+03,0.2764E+01,0.1161E+01,-0.5865E-02,0.2232E+00
-0.1250E+01,0.1419E+04,0.3045E+03,0.2907E+01,0.1127E+01,0.2374E-01,0.1865E+00
-0.7500E+00,0.1422E+04,0.2771E+03,0.3011E+01,0.1065E+01,0.2359E-01,0.1673E+00
-0.2500E+00,0.1396E+04,0.2876E+03,0.3059E+01,0.1019E+01,-0.2135E-02,0.1558E+00
0.2500E+00,0.1391E+04,0.2937E+03,0.3064E+01,0.1013E+01,-0.2036E-01,0.1506E+00
0.7500E+00,0.1408E+04,0.2855E+03,0.3018E+01,0.1040E+01,-0.4229E-01,0.1572E+00
0.1250E+01,0.1404E+04,0.3075E+03,0.2905E+01,0.1098E+01,-0.4209E-01,0.1827E+00
0.1750E+01,0.1341E+04,0.3834E+03,0.2748E+01,0.1157E+01,-0.6572E-02,0.2269E+00
0.2250E+01,0.1266E+04,0.4412E+03,0.2604E+01,0.1188E+01,0.3171E-01,0.2740E+00
0.2750E+01,0.1193E+04,0.4813E+03,0.2463E+01,0.1196E+01,0.5603E-01,0.3196E+00
0.3250E+01,0.1126E+04,0.5123E+03,0.2318E+01,0.1185E+01,0.6649E-01,0.3596E+00
0.3750E+01,0.1065E+04,0.5277E+03,0.2172E+01,0.1150E+01,0.6254E-01,0.4008E+00
0.4250E+01,0.1009E+04,0.5397E+03,0.2029E+01,0.1112E+01,0.5532E-01,0.4425E+00
0.4750E+01,0.9607E+03,0.5454E+03,0.1900E+01,0.1056E+01,0.4813E-01,0.4740E+00
0.5250E+01,0.9119E+03,0.5489E+03,0.1786E+01,0.1010E+01,0.3968E-01,0.5012E+00
0.5750E+01,0.8681E+03,0.5513E+03,0.1675E+01,0.9822E+00,0.3265E-01,0.5215E+00
0.6250E+01,0.8339E+03,0.5502E+03,0.1580E+01,0.9446E+00,0.2085E-01,0.5338E+00
0.6750E+01,0.8047E+03,0.5459E+03,0.1498E+01,0.9152E+00,0.4140E-02,0.5375E+00
0.7250E+01,0.7772E+03,0.5401E+03,0.1410E+01,0.8958E+00,-0.1630E-01,0.5363E+00
0.7750E+01,0.7493E+03,0.5346E+03,0.1327E+01,0.8697E+00,-0.3417E-01,0.5322E+00
0.8250E+01,0.7177E+03,0.5226E+03,0.1249E+01,0.8421E+00,-0.4711E-01,0.5247E+00
0.8750E+01,0.6864E+03,0.5099E+03,0.1176E+01,0.8145E+00,-0.5838E-01,0.5169E+00
0.9250E+01,0.6584E+03,0.4943E+03,0.1118E+01,0.7844E+00,-0.6689E-01,0.5107E+00
0.9750E+01,0.6362E+03,0.4835E+03,0.1071E+01,0.7576E+00,-0.7336E-01,0.5069E+00
0.1025E+02,0.6230E+03,0.4775E+03,0.1027E+01,0.7310E+00,-0.7933E-01,0.5049E+00
0.1075E+02,0.6146E+03,0.4710E+03,0.9858E+00,0.7012E+00,-0.8064E-01,0.5009E+00
0.1125E+02,0.6052E+03,0.4627E+03,0.9360E+00,0.6775E+00,-0.8361E-01,0.4972E+00
0.1175E+02,0.5975E+03,0.4597E+03,0.8883E+00,0.6532E+00,-0.8188E-01,0.4952E+00
0.1225E+02,0.5913E+03,0.4593E+03,0.8387E+00,0.6407E+00,-0.7942E-01,0.4908E+00
0.1275E+02,0.5861E+03,0.4590E+03,0.7916E+00,0.6342E+00,-0.7864E-01,0.4874E+00
0.1325E+02,0.5768E+03,0.4525E+03,0.7443E+00,0.6327E+00,-0.8020E-01,0.4823E+00
0.1375E+02,0.5701E+03,0.4507E+03,0.7034E+00,0.6280E+00,-0.7816E-01,0.4763E+00
0.1425E+02,0.5649E+03,0.4501E+03,0.6592E+00,0.6229E+00,-0.7974E-01,0.4684E+00
0.1475E+02,0.5563E+03,0.4464E+03,0.6156E+00,0.6139E+00,-0.7814E-01,0.4554E+00
0.1525E+02,0.5468E+03,0.4414E+03,0.5699E+00,0.5958E+00,-0.8203E-01,0.4433E+00
0.1575E+02,0.5352E+03,0.4332E+03,0.5263E+00,0.5739E+00,-0.8238E-01,0.4285E+00
0.1625E+02,0.5207E+03,0.4235E+03,0.4775E+00,0.5543E+00,-0.8787E-01,0.4155E+00
