time(sec),HRR(kW)
-4.61013364,14.50839
-4.42274912,20.03121
-4.29722726,15.82529
-4.19470713,11.39309
-4.09600008,15.48729
-3.9983654,21.6592
-3.8815038,25.54015
-3.7893532,27.92728
-3.7127895,25.72738
-3.6267749,30.45362
-3.5406665,29.41189
-3.4300774,29.32238
-3.3394231,21.41824
-3.2646033,15.31333
-3.189899,17.70623
-3.0949958,20.20994
-2.9621006,22.14103
-2.8562889,25.29259
-2.7662021,20.79432
-2.6606137,29.9587
-2.539824,24.17581
-2.4369087,18.3653
-2.3477134,15.68884
-2.2518544,19.19181
-2.1443471,22.41786
-2.021509,22.76152
-1.9280805,19.56144
-1.8430998,20.08172
-1.7557774,24.4905
-1.6439475,22.18664
-1.5211744,24.82422
-1.4155889,17.84866
-1.3291672,20.58473
-1.2303045,19.99907
-1.1198568,25.89615
-1.0284534,23.80551
-0.9401195,22.14148
-0.8393275,25.37106
-0.7320495,24.90494
-0.6244413,23.55923
-0.539446,17.01553
-0.4517841,18.19006
-0.3453593,23.55261
-0.2231136,30.44935
-0.1250115,22.41031
-0.0361723,18.54299
0.0571754,18.82079
0.1562736,19.41507
0.2463872,34.65205
0.3326593,27.35867
0.4276004,28.67879
0.5320145,28.34801
0.6365636,22.08354
0.725213,17.16213
0.8130889,19.29418
0.9181531,23.6609
1.0276884,21.46549
1.1129521,22.2235
1.1910932,17.45334
1.2921518,23.41315
1.4115846,21.84458
1.5329691,22.25211
1.6269138,15.59892
1.7144828,16.08759
1.8194856,20.98696
1.9292881,30.01866
2.0205864,25.31855
2.0965146,23.8387
2.1864168,22.73525
2.3038416,20.36812
2.3996052,23.75435
2.4795215,24.78229
2.5635784,22.01528
2.6472494,21.95123
2.7519465,25.14519
2.8700179,21.0689
2.9483371,21.6437
3.0455743,16.88036
3.1443956,19.71663
3.2392117,18.93071
3.3164773,21.67733
3.4205196,30.24802
3.519117,22.94487
3.6300025,21.69316
3.7211962,27.22475
3.8134065,24.14265
3.904164,23.28211
4.0079127,21.54791
4.1290211,28.1566
4.2168767,19.84571
4.2962646,21.11677
4.3793572,22.7475
4.4967647,26.48248
4.5897442,24.11222
4.6695477,22.97418
4.7461532,27.05372
4.8369586,27.19278
4.9549444,27.55035
5.047483,18.2
5.125832,15.28497
5.21729,16.91417
5.326919,20.65544
5.415572,26.30112
5.493464,26.90832
5.587515,26.49718
5.705983,25.74678
5.808315,23.305
5.899025,19.63672
5.988266,21.903
6.082213,21.77915
6.210045,20.69461
6.301018,16.85102
6.391192,15.77535
6.491033,20.70205
6.603325,20.54217
6.696529,22.39308
6.779081,25.7568
6.866731,20.83829
6.978005,23.98735
7.108772,25.37011
7.20531,21.47928
7.293115,16.48705
7.385975,18.92949
7.476369,23.00443
7.561801,27.92055
7.629421,26.85381
7.719422,26.30235
7.845857,21.74792
7.949635,24.83824
8.031262,23.14749
8.120417,22.52713
8.230851,26.0458
8.370389,25.4199
8.472854,13.41828
8.559236,10.56532
