r(cm),T_mean(K),T_rms(K),uz_mean(m/s),ur_mean(m/s),uz_rms(m/s),ur_rms(m/s),uz'T'(K-m/s),ur'T'(K-m/s),uz'ur'(m/s)^2
-20.0,303.773,73.5906244,0.0645813,0.14624585,0.14711118,0.18465259,10.82600377,13.5886996,0.05914153
-19.7496,305.678,79.60389438,0.067062,0.14754241,0.15161959,0.19245072,12.06950981,15.31982645,0.06092044
-19.0312,314.198,104.76402054,0.0788326,0.1500302,0.16788359,0.21811527,17.58815994,22.85063238,0.06151505
-18.8694,316.753,111.78685075,0.0826301,0.15021449,0.1718735,0.22449073,19.21319729,25.09511226,0.06085949
-18.3221,325.397,132.81603819,0.095474,0.15084043,0.18473034,0.24482667,24.53515243,32.5169088,0.05858787
-17.6223,339.159,160.52756773,0.11851,0.15038595,0.20039187,0.27162772,32.16841886,43.60373773,0.04673662
-16.9317,356.249,189.42597499,0.150458,0.14858501,0.21743298,0.29741005,41.18745389,56.33718938,0.01699453
-16.25,374.891,217.45666235,0.1897,0.14464509,0.23871573,0.3193964,51.91032601,69.454875,0.05987758
-16.0178,382.094,226.88653552,0.207416,0.14241548,0.250013,0.32742303,56.72458333,74.28787673,0.07426871
-15.75,390.401,237.2970712,0.227849,0.13984297,0.26243914,0.33644248,62.27603829,79.8368143,0.08799028
-15.25,403.884,251.63008564,0.269017,0.13429769,0.2903057,0.35237404,73.04964839,88.66790984,0.11514273
-14.5638,418.918,266.97752714,0.32227,0.12742444,0.32416817,0.37157732,86.5456154,99.20279327,0.14477486
-13.8775,435.542,283.39883557,0.381945,0.11993195,0.35871158,0.39233915,101.65844501,111.18845875,0.1762532
-13.591,443.398,290.73974616,0.409038,0.11664793,0.37386094,0.39965199,108.69623384,116.194717,0.18977355
-13.1912,454.361,300.68372088,0.446845,0.11207641,0.39402792,0.40963987,118.47778045,123.1720392,0.20717065
-12.505,474.92,319.4119597,0.519101,0.10436907,0.43377298,0.42208362,138.55227828,134.81855536,0.23414602
-11.8188,494.686,337.58702582,0.593491,0.09793812,0.47129609,0.43144404,159.10344371,145.64991041,0.25304336
-11.1325,512.993,354.09603217,0.666745,0.09386759,0.50380353,0.44070323,178.39483208,156.05126393,0.26716511
-10.4462,530.618,369.2275721,0.740794,0.0918658,0.5378206,0.44814274,198.57819512,165.46665691,0.28438063
-9.76,548.013,382.36500886,0.811119,0.09097929,0.56858772,0.4491244,217.40805016,171.7294566,0.29676779
-9.07375,565.724,394.72522088,0.876255,0.09068328,0.59779679,0.44361544,235.96546927,175.10620316,0.29771765
-8.3875,583.19,405.6920014,0.939719,0.09023281,0.63128599,0.43783287,256.10767636,177.62529236,0.29240241
-7.69596,602.421,416.66413333,1.00638,0.08848329,0.67650203,0.43654024,281.87413307,181.89066022,0.28987042
-7.00248,624.893,430.95127335,1.07767,0.08426961,0.73355436,0.43563088,316.12618578,187.73568066,0.29531229
-6.30725,648.597,442.73807155,1.15141,0.07802346,0.79025755,0.43184926,349.87710502,191.19610685,0.29945626
-5.61044,681.946,453.02980034,1.24091,0.07151485,0.85227519,0.42552419,386.1060593,192.77514082,0.29749379
-4.91222,737.205,466.89720496,1.36755,0.06115684,0.92625213,0.4140493,432.46452849,193.31846042,0.29530784
-4.21277,818.477,473.61798952,1.53847,0.04507532,0.98797065,0.40052444,467.9206717,189.69557941,0.28933136
-3.51225,917.505,461.63622042,1.72526,0.02764119,1.01947045,0.38907666,470.62448572,179.61188058,0.26620627
-2.81086,1010.89,433.77644012,1.87871,0.01503042,1.02556814,0.37573937,444.8672948,162.98688508,0.22549184
-2.25242,1067.28,407.04299527,1.9596,0.01363555,1.01673497,0.36628574,413.85484774,149.09404289,0.18079479
-2.10876,1081.78,399.87748124,1.98041,0.01343288,1.01444566,0.36381402,405.65397595,145.48103332,0.16737778
-1.94347,1094.84,392.40922517,1.99902,0.01396876,1.00961379,0.36309395,396.18176409,142.48141746,0.15268081
-1.40614,1137.31,367.08173477,2.0595,0.01577393,0.99373689,0.36074359,364.78266027,132.42238398,0.08955657
-0.703157,1180.28,343.4996361,2.1267,0.01288893,0.96765593,0.36339565,332.38946003,124.82627427,0.05216771
