r(cm),T_mean(K),T_rms(K),uz_mean(m/s),ur_mean(m/s),uz_rms(m/z),ur_rms(m/s),uz'T'(K-m/s),ur'T'(K-m/s),uz'ur'(m/s)^2
-20.0,293.023,0.01296877,0.0885961,0.14679211,0.06140464,0.0765349,0.00079634,0.00099256,0.03338583
-19.7496,293.023,0.01592285,0.089365,0.15038314,0.06351008,0.07898559,0.00101126,0.00125768,0.03405921
-19.0312,293.032,0.18727413,0.0912529,0.16253425,0.07112749,0.08778462,0.01332034,0.01643979,0.03738548
-18.8694,293.053,0.79318472,0.0911432,0.16533329,0.07328049,0.09049383,0.05812496,0.07177832,0.03816709
-18.3221,293.125,1.62430908,0.0907723,0.17480145,0.08013464,0.09910967,0.13016342,0.16098473,0.04069927
-17.6223,293.871,10.98371522,0.0912167,0.18835075,0.09047939,0.11171949,0.99379985,1.22709506,0.04362949
-16.9317,297.409,42.26132984,0.090697,0.20344997,0.10056093,0.12706573,4.2498385,5.36996694,0.0486804
-16.25,306.609,91.23683467,0.0927429,0.21659995,0.10821645,0.14506696,9.87332634,13.23545028,0.0502169
-16.0239,312.322,112.36236025,0.0958562,0.2209029,0.1117864,0.15295854,12.56058414,17.18678259,0.04584406
-15.75,319.243,133.54736987,0.0996271,0.22611485,0.11596293,0.16200296,15.48654365,21.63506961,0.03991114
-15.25,333.578,163.82582214,0.113433,0.23436076,0.13207574,0.17842231,21.63741601,29.2301813,0.03094217
-14.5638,354.719,197.97802908,0.1415,0.24513184,0.16411307,0.19177011,32.4907823,37.96626785,0.07365627
-13.8775,386.202,245.1772828,0.185212,0.25758834,0.21484599,0.19694038,52.67535638,48.28530732,0.10084182
-13.5453,407.246,273.05439019,0.212575,0.26517501,0.24613919,0.19696071,67.20938595,53.78098789,0.10769846
-13.1912,429.679,299.93049195,0.241743,0.27326315,0.27561168,0.19698227,82.66434777,59.08098847,0.1145568
-12.505,483.648,355.50668067,0.306983,0.29200673,0.33238081,0.19830269,118.16359695,70.49793014,0.11545032
-11.8188,539.852,400.25991555,0.369147,0.3088736,0.37454372,0.20206494,149.91483871,80.87849584,0.11263145
-11.1325,600.086,431.05568086,0.425977,0.32582757,0.39980245,0.20653702,172.33711782,89.02895491,0.11893856
-10.4462,669.147,456.80521013,0.480726,0.34318538,0.41830491,0.21676163,191.08386355,99.01784169,0.12282777
-9.76,730.002,474.01371288,0.521077,0.35422392,0.43642869,0.23424506,206.87318296,111.0353725,0.10638285
-9.07375,771.093,477.58559442,0.539172,0.35680336,0.45264666,0.25195857,216.17752481,120.33178248,0.05220135
-8.3875,796.064,474.6999052,0.543397,0.35004875,0.47197458,0.26960037,224.04628629,127.97927052,0.10504253
-7.69596,806.36,468.17411291,0.543453,0.33489458,0.50032789,0.28613053,234.24056723,133.9589069,0.16918129
-7.00248,810.198,460.7700077,0.54528,0.31485439,0.53782339,0.29490256,247.81288805,135.88225493,0.21392646
-6.30725,824.235,456.21047774,0.558233,0.29288867,0.57743138,0.29518157,263.43024628,134.66492564,0.24265012
-5.61044,868.626,446.88477262,0.601962,0.27140029,0.60345919,0.29039725,269.67672513,129.77410688,0.25271204
-4.91222,951.291,427.91237421,0.677646,0.2474106,0.60687643,0.28540823,259.68993356,122.129715,0.24562857
-4.21277,1054.13,391.36811316,0.75978,0.22095845,0.57972752,0.28243251,226.88686651,110.53507666,0.22394574
-3.51225,1141.18,342.57699864,0.81872,0.19321513,0.53323916,0.27850056,182.67547043,95.40788478,0.1991116
-2.81086,1190.83,299.78625719,0.844125,0.16380273,0.49020812,0.27022339,146.95765726,81.00925841,0.18213182
-2.24019,1202.04,274.495173,0.848504,0.13959977,0.45952149,0.26309333,126.13643096,72.21784898,0.16346168
-2.10876,1204.62,268.3326294,0.849513,0.13408206,0.45215926,0.26142345,121.32908421,70.14844162,0.15885122
-1.94865,1201.05,265.26665829,0.848783,0.12564297,0.44532123,0.26023319,118.12887518,69.03118911,0.15116035
-1.40614,1188.97,254.6034171,0.846309,0.09724641,0.42132885,0.256159,107.27176498,65.21895608,0.12153497
-0.703157,1160.85,251.79892772,0.837468,0.04769756,0.40022993,0.25248286,100.7774682,63.57491332,0.07627818
-0.037139,1144.47,254.0570802,0.827178,0.0137081,0.39231238,0.24965632,99.66973666,63.42695667,0.03647657
0.0,1143.56,254.18241481,0.826604,0.01535149,0.39186605,0.24949779,99.6054585,63.41795115,0.04158353
0.703157,1150.94,256.02949049,0.822173,0.06348506,0.40095885,0.24753435,102.65729027,63.37609225,0.09354037
1.40614,1171.5,256.49756334,0.82362,0.10799101,0.42698595,0.25362688,109.52085531,65.05467558,0.12542408
1.9608,1176.76,269.34624557,0.820554,0.133159,0.45789737,0.26250192,123.33293704,70.70390763,0.14949351
2.10876,1178.17,272.67159735,0.819736,0.13992585,0.46579717,0.2648193,127.00965734,72.20870069,0.15528506
2.23544,1174.46,280.27914657,0.817854,0.14480818,0.47435114,0.26556864,132.9507315,74.43335043,0.15926428
2.81086,1157.63,312.51431967,0.809303,0.16725304,0.51140884,0.26894611,159.82258521,84.04951078,0.17621182
3.51225,1109.4,359.11836489,0.785224,0.19965366,0.55326486,0.26670459,198.68757015,95.7785174,0.19047514
4.21277,1026.83,400.4222771,0.72582,0.22979763,0.59024148,0.26456727,236.34583586,105.93862843,0.21300066
4.91222,924.253,431.8425639,0.642811,0.25256928,0.614429,0.26588027,265.33659609,114.81841913,0.23736735
5.61044,846.415,447.97656189,0.57462,0.27261397,0.60746852,0.26975263,272.13165802,120.84285459,0.24289792
6.30725,812.008,457.14986602,0.540336,0.2935636,0.57636013,0.27329757,263.48295642,124.93794603,0.22766403
7.00248,807.105,468.29050813,0.535871,0.3173036,0.5391957,0.27408681,252.50022707,128.35225202,0.19783453
7.69596,811.716,478.49137923,0.54622,0.34138354,0.50266788,0.27028822,240.52224835,129.33058152,0.15429817
8.3875,807.147,484.57197608,0.555153,0.36001635,0.47243201,0.25950323,228.92731056,125.7479926,0.09338605
9.07375,783.361,485.97942343,0.550914,0.36789859,0.45093791,0.24306511,219.14654622,118.12464232,0.06077553
9.76,739.402,479.47992659,0.527819,0.36375457,0.4349954,0.22583037,208.57156355,108.28112921,0.1074064
10.4462,677.923,461.60155979,0.485452,0.35104859,0.42086696,0.21045737,194.27284629,97.14745181,0.11936998
11.1325,606.349,434.77695431,0.429071,0.333295,0.40502593,0.20091141,176.09593813,87.3516502,0.11761659
11.8188,540.769,404.19054912,0.368593,0.31356504,0.38184028,0.19639115,154.33623275,79.37944635,0.11688518
12.505,483.926,363.91757308,0.305435,0.29381197,0.34135172,0.19314866,124.22389124,70.29019267,0.11664621
13.1912,430.395,306.26312217,0.240548,0.27516394,0.27912273,0.19205785,85.48499963,58.82023698,0.10851859
13.6077,403.894,271.50911587,0.204976,0.2650777,0.23857892,0.19235697,64.77635103,52.22666951,0.09776254
13.8775,386.724,246.38892021,0.181929,0.25854257,0.20813649,0.19255062,51.28252593,47.44233982,0.09011077
14.5638,356.401,200.66065882,0.135791,0.24500981,0.15232268,0.18822921,30.56517009,37.77019649,0.05738896
15.25,334.716,165.63876358,0.108013,0.23410093,0.1247261,0.17618456,20.65947698,29.18299306,0.02405529
15.75,319.39,135.70335294,0.0964812,0.22507484,0.11536984,0.16176965,15.65607413,21.95268447,0.04601774
15.9937,313.628,119.21577077,0.0941372,0.22035667,0.11186733,0.15429304,13.33635022,18.39416361,0.04825459
16.25,307.569,98.95640454,0.0916723,0.21539551,0.10806109,0.14601791,10.69333732,14.44940736,0.05050023
16.9317,298.89,55.05152132,0.0899743,0.20258809,0.09915009,0.12809522,5.4583632,7.05183661,0.04789705
17.6223,294.537,18.7891458,0.0899804,0.18773801,0.09021181,0.11220898,1.69500278,2.10831085,0.04258526
18.3221,293.245,3.12334116,0.089379,0.17435902,0.08073525,0.09902678,0.25216372,0.30929442,0.03934151
19.0312,293.044,0.33173785,0.0899431,0.16221802,0.0716067,0.08724707,0.02375465,0.02894316,0.03604077
19.3429,293.035,0.25005899,0.0891843,0.15696001,0.06829422,0.08344383,0.01707758,0.02086588,0.03473285
19.7496,293.024,0.0231607,0.0881944,0.15010101,0.0637146,0.07820475,0.00147567,0.00181128,0.03294866
20.4775,293.023,0.00226722,0.0860992,0.13973501,0.05717797,0.07071085,0.00012964,0.00016032,0.03104576
