time(sec),HRR(kW)
-4.57749953,17.6918
-4.38836852,18.84976
-4.25403467,14.05527
-4.15522564,15.29977
-4.06592583,16.92426
-3.9658469,17.60708
-3.8685009,20.9106
-3.7770385,26.97098
-3.6934853,28.96105
-3.5861569,30.47185
-3.4790858,30.11978
-3.3610733,27.10868
-3.2796059,17.6993
-3.2070587,16.4795
-3.0932523,20.35198
-2.9929191,26.16177
-2.9102086,23.35857
-2.813715,25.59642
-2.6802689,20.33379
-2.5626379,23.36725
-2.4700246,21.15875
-2.3840532,23.6385
-2.2751505,25.20167
-2.1776293,25.3281
-2.0971051,20.57527
-2.0266606,21.47253
-1.9400056,25.52193
-1.8135444,20.78626
-1.7141453,23.11155
-1.6215277,20.59459
-1.5406032,24.93906
-1.4457075,25.4005
-1.3336341,23.78274
-1.2411359,16.14109
-1.1604262,13.14047
-1.0675161,15.4221
-0.9571132,17.80313
-0.8556487,20.72937
-0.765022,23.98736
-0.6627483,21.87169
-0.5641549,16.64662
-0.4878488,19.64102
-0.4012097,27.2474
-0.3113269,28.54617
-0.2127553,23.48104
-0.1141989,22.05877
-0.0108781,24.29252
0.0709313,27.33938
0.1786683,23.34167
0.3156869,18.80167
0.4147255,30.11905
0.5036608,26.9991
0.5927637,23.46083
0.681253,22.94305
0.8056724,20.52004
0.913356,23.30389
1.0177988,15.57519
1.125136,18.61971
1.2234454,24.18707
1.3392804,26.15738
1.4394797,16.53008
1.5432483,17.556
1.6389187,22.94064
1.7128869,33.61847
1.8099937,28.44708
1.9284394,23.1283
2.0285639,22.75935
2.1180249,21.92924
2.1985058,22.90371
2.2861533,23.49839
2.3986202,25.81783
2.5229661,23.23029
2.6093071,20.85831
2.6927347,21.52645
2.7780616,25.16265
2.8929488,24.01957
2.9858637,22.25963
3.0699219,19.49825
3.1502498,22.4291
3.2655911,22.64062
3.3788461,27.62648
3.4655597,21.6876
3.5462805,22.49328
3.6407662,25.65316
3.7607817,23.28006
3.862752,18.46483
3.9507993,16.74258
4.0534125,19.47613
4.1591942,21.15467
4.2500075,20.3948
4.3393678,25.16073
4.4309178,25.06618
4.5292602,22.26715
4.6490053,20.95194
4.7502606,22.21905
4.8501662,18.36151
4.9523773,18.15911
5.057467,22.41786
5.148693,29.50023
5.227793,27.43396
5.333242,24.9375
5.461826,23.0862
5.576152,20.84829
5.66555,19.08017
5.76079,19.82059
5.869448,22.79842
5.967156,24.70754
6.041527,22.08697
6.121799,21.26342
6.214059,25.73787
6.346121,19.89312
6.440198,25.40316
6.530406,21.1871
6.615692,26.51277
6.710143,25.43849
6.841399,24.70739
6.950985,11.53426
7.052208,12.47197
7.146855,19.40726
7.225749,19.67562
7.322706,23.93981
7.435569,22.78461
7.541159,33.22667
7.636685,23.17541
7.747517,26.66875
7.857425,28.46927
7.975651,27.84476
8.068779,14.79969
8.146752,14.92053
8.241053,19.71068
8.334626,24.33384
8.406786,24.25317
8.483673,26.27503
8.604099,26.55133
8.706007,25.30194
8.784407,23.12212
8.869034,23.37248
8.970529,22.66439
9.093198,20.18356
9.192016,19.87937
9.290824,19.44969
9.391702,20.02637
9.514825,19.31656
9.600047,24.06105
9.685289,24.2478
9.787893,25.53533
9.889926,24.6095
10.015124,21.60479
10.108673,13.40111
10.213271,13.2323
10.308328,19.82495
10.386345,26.32021
10.471929,24.6177
10.596522,23.98512
10.712654,27.81786
10.801592,22.28111
10.896144,24.40521
10.992515,26.30333
11.11832,25.06798
11.209202,21.37918
11.291978,17.89149
11.38069,19.71485
11.477352,21.48146
11.572726,25.60184
11.653721,25.77012
11.762582,25.51728
11.878593,22.00102
12.008409,22.78585
12.100338,19.80287
12.184151,16.9003
12.282815,18.84182
12.383606,25.31989
12.475891,23.76862
12.557912,20.46277
12.652349,24.74524
12.77303,26.70702
12.873187,24.07754
12.974265,23.16512
13.057231,23.80993
13.164333,23.86458
13.284891,23.64145
13.377303,16.80551
13.477168,16.12577
13.575714,19.34372
13.674359,26.02208
13.747835,23.79196
13.835728,19.65797
13.958215,23.96534
14.075874,30.67901
14.17357,25.68356
14.264898,23.38766
14.351896,25.03327
14.468706,25.89076
14.569318,22.09132
14.654679,15.13059
14.748567,14.7009
14.841056,20.3543
14.936459,26.67605
