time(sec),flameHeight(cm)
-4.999856003,-30
-4.999648652,-30
-4.999350059,-30
-4.99892012,-30
-4.99830098,-30
-4.99740954,-30
-4.99612585,-30
-4.99427749,-30
-4.99161671,-30
-4.9877858,-30
-4.9822684,-30
-4.9743348,-30
-4.9629258,0.125
-4.9468646,0.375
-4.928337,0.625
-4.9188044,0.875
-4.9056173,1.1042
-4.889265,1.3125
-4.8681,1.5209
-4.846171,1.9374
-4.829047,2.1458
-4.807294,2.5626
-4.801147,2.5626
-4.792305,2.8751
-4.780203,3.2917
-4.766019,3.7084
-4.753068,3.7084
-4.740942,4.5416
-4.729968,4.9583
-4.719386,5.375
-4.710133,5.7917
-4.700694,6.2084
-4.6921,6.625
-4.683691,7.0417
-4.675699,7.4584
-4.667623,7.875
-4.659792,8.2917
-4.651744,8.7083
-4.644609,9.125
-4.637057,9.5417
-4.630385,9.9583
-4.623272,10.375
-4.617189,10.7916
-4.610526,11.2083
-4.604958,11.2083
-4.598743,11.6251
-4.593684,12.0418
-4.587855,12.4584
-4.583095,12.4584
-4.5775,12.875
-4.573016,13.2917
-4.567513,13.7084
-4.56324,13.7084
-4.55791,14.125
-4.553807,14.5416
-4.54865,14.9583
-4.54466,15.375
-4.539644,15.7917
-4.53572,16.2084
-4.530774,16.625
-4.526851,15.7917
-4.52192,16.2083
-4.518005,16.625
-4.513219,17.0417
-4.509486,17.0417
-4.504832,17.4584
-4.501242,17.875
-4.496772,17.8751
-4.493407,18.2917
-4.489151,18.7084
-4.485889,18.7084
-4.481789,19.125
-4.478557,19.125
-4.474555,19.5416
-4.471536,15.7917
-4.467756,15.375
-4.464809,15.7917
-4.461164,15.7917
-4.458263,16.2083
-4.454659,16.625
-4.451709,16.2084
-4.448057,16.6251
-4.445027,16.6251
-4.441332,17.0417
-4.43835,17.0417
-4.434672,17.0417
-4.431734,17.4584
-4.428028,17.4584
-4.425022,17.4584
-4.421246,17.8751
-4.418163,17.8751
-4.414298,18.2917
-4.411045,18.7084
-4.407222,18.7084
-4.404149,18.7084
-4.400476,18.7084
-4.397609,19.125
-4.394108,19.125
-4.391569,19.125
-4.388369,19.5416
-4.38601,19.125
-4.383041,19.125
-4.380802,17.8751
-4.377991,17.8751
-4.375834,18.2917
-4.37309,17.875
-4.370942,17.875
-4.368238,17.4583
-4.366085,14.5416
-4.363362,14.5416
-4.360917,14.5416
-4.358187,14.9583
-4.355602,14.9583
-4.352694,15.375
-4.350024,15.7917
-4.34696,15.7917
-4.344323,16.2084
-4.341246,16.625
-4.338556,16.625
-4.335591,17.0417
-4.332843,17.4583
-4.329703,17.8751
-4.32693,17.8751
-4.323852,17.8751
-4.321135,18.2917
-4.318102,18.2917
-4.315405,18.2917
-4.312398,18.2917
-4.309736,17.4583
-4.306772,17.0417
-4.30418,17.875
-4.301288,18.2917
-4.298758,18.2917
-4.29593,18.7084
-4.293449,19.125
-4.290649,19.125
-4.28819,19.5416
-4.285405,19.9584
-4.282959,19.9584
-4.280205,20.3751
-4.277788,20.3751
-4.275032,20.7917
-4.272614,21.2084
-4.269855,21.2084
-4.267394,21.6251
-4.26457,22.0418
-4.262027,22.4584
-4.259171,22.875
-4.25681,23.2917
-4.254035,23.2917
-4.25171,23.7083
-4.249026,24.1249
-4.246786,24.5416
-4.24416,24.9584
-4.241902,24.9584
-4.239358,25.3751
-4.237148,25.7917
-4.234668,26.2084
-4.23248,26.6251
-4.230117,27.0418
-4.22801,27.0418
-4.225709,27.4584
-4.223666,27.8751
-4.221456,28.2917
-4.219492,28.2917
-4.217366,28.7083
-4.215446,29.1249
-4.213381,29.5417
-4.211505,29.5417
-4.209481,30.3749
-4.207625,30.7916
-4.205634,30.7916
-4.203783,32.0417
-4.201783,32.875
-4.199948,32.875
-4.19798,33.7083
-4.196209,34.1249
-4.194303,34.5416
-4.192585,34.9583
-4.190708,35.375
-4.189031,35.7917
-4.187187,36.2083
-4.185545,36.2083
-4.183739,36.6251
-4.182103,37.0417
-4.18027,37.4584
-4.178637,37.8751
-4.176809,38.2917
-4.175152,38.7084
-4.173261,39.125
-4.171547,39.5416
-4.169658,39.9582
-4.167952,39.9582
-4.166077,40.375
-4.164365,40.375
-4.16247,40.375
-4.160728,40.375
-4.158815,37.0417
-4.157067,37.4584
-4.155226,38.2917
-4.15352,36.2083
-4.15173,36.6251
-4.150074,37.0417
-4.148328,37.8751
-4.146737,38.2917
-4.145072,38.7083
-4.143473,39.125
-4.141835,39.5416
-4.140278,39.9582
-4.13862,35.7917
-4.137005,36.2084
-4.135274,36.6251
-4.133576,37.0417
-4.131727,37.4584
-4.129989,37.8751
-4.128183,38.2917
-4.126466,38.7083
-4.124679,38.2917
-4.122987,38.7083
-4.121251,39.125
-4.119589,39.5416
-4.117858,39.9582
-4.116194,40.375
-4.11441,40.7916
-4.112691,41.2083
-4.110823,42.0417
-4.109053,42.4583
-4.107145,42.875
-4.10531,41.6249
-4.10332,42.4583
-4.101496,42.875
-4.099516,45.375
-4.097721,45.7917
-4.095741,46.2084
-4.09393,44.5417
-4.091907,44.9583
-4.090128,45.375
-4.08816,46.2084
-4.086385,46.2084
-4.084363,48.2917
-4.082608,48.7083
-4.080582,49.1249
-4.078839,49.5416
-4.076837,49.9584
-4.075139,50.3751
-4.073188,50.7917
-4.071474,51.2084
-4.069557,51.6251
-4.067879,51.625
-4.065926,52.0417
-4.064342,52.4584
-4.062346,52.875
-4.060749,18.7083
-4.058793,18.7083
-4.057194,18.7083
-4.055233,17.8751
-4.053646,17.8751
-4.051701,17.8751
-4.050142,15.7917
-4.048215,14.9582
-4.046619,14.5416
-4.044707,14.9582
-4.043165,14.9583
-4.041339,15.375
-4.03986,15.375
-4.038073,15.7916
-4.036577,15.7917
-4.034751,16.2083
-4.033148,16.2083
-4.031322,16.6251
-4.029702,16.6251
-4.027787,17.0417
-4.02603,17.4584
-4.02404,17.4584
-4.02226,17.8751
-4.020314,18.2917
-4.01853,18.7083
-4.016421,18.7084
-4.014585,19.125
-4.012398,19.5416
-4.010462,19.5417
-4.0082,19.9583
-4.006167,20.3751
-4.003878,20.7917
-4.001727,21.2084
-3.99929,21.625
-3.99704,22.0417
-3.99464,22.4584
-3.99229,22.4584
-3.98991,20.3751
-3.98748,19.5417
-3.98506,19.9583
-3.98261,20.375
-3.98022,20.375
-3.9778,20.7917
-3.97542,20.375
-3.97301,20.7917
-3.97062,21.2083
-3.96821,21.625
-3.96585,19.9583
-3.96345,20.375
-3.96108,20.375
-3.95872,20.7917
-3.9564,21.2084
-3.95405,21.2084
-3.95175,22.0418
-3.94942,22.4584
-3.94712,31.2084
-3.9449,31.625
-3.9427,32.4584
-3.94051,33.2917
-3.93832,33.7083
-3.93618,34.1249
-3.93401,34.9583
-3.93202,35.375
-3.92996,35.7916
-3.92805,35.7916
-3.92606,35.7916
-3.9242,27.0417
-3.92224,36.6251
-3.92041,27.875
-3.91848,28.2917
-3.91667,28.7083
-3.91477,28.7083
-3.91299,29.1249
-3.91111,29.5417
-3.90936,29.5417
-3.90752,29.9583
-3.90578,30.375
-3.90395,30.7916
-3.90219,31.2084
-3.90038,32.0417
-3.89862,32.0417
-3.8968,32.4583
-3.89502,32.875
-3.89318,32.875
-3.89137,32.875
-3.88955,32.4584
-3.88777,32.4584
-3.88597,32.8751
