r(cm),T_mean(K),T_rms(K),uz_mean(m/s),ur_mean(m/s),uz_rms(m/s),ur_rms(m/s),uz'T'(K-m/s),ur'T'(K-m/s),uz'ur'(m/s)^2
-20.0,293.413,5.18108097,0.065592,0.15088038,0.09878117,0.11813357,0.51179325,0.61205957,0.03494496
-19.7496,293.623,7.24454277,0.0661054,0.15326239,0.10216947,0.12280133,0.74017107,0.88963946,0.0366947
-19.3216,294.476,16.28695797,0.0673525,0.15743552,0.10822015,0.13176901,1.76257697,2.14611639,0.04116885
-19.0312,295.295,22.84011821,0.0684154,0.16016568,0.11223814,0.1380715,2.56353238,3.15356927,0.04452029
-18.3221,299.462,50.40049603,0.0726544,0.16657386,0.12305934,0.15512496,6.20225154,7.81837506,0.05469268
-17.6223,307.062,86.86288045,0.0797869,0.17169328,0.13627215,0.17359809,11.83699184,15.07922992,0.06275375
-16.9317,318.268,125.2158137,0.0914217,0.17490308,0.15118333,0.19515596,18.93054399,24.43661274,0.06260014
-16.25,333.126,163.50107033,0.10836,0.1765015,0.16643948,0.21821511,27.21303288,35.67840396,0.0517192
-15.9708,341.82,182.20153677,0.118901,0.17670002,0.17445257,0.2287574,31.78552678,41.6799506,0.04315402
-15.75,348.688,195.38961078,0.127791,0.1766436,0.18087371,0.23713218,35.34084435,46.33316403,0.03497976
-15.25,364.827,219.92544191,0.152754,0.17541637,0.19864843,0.25397911,43.68784445,55.85646873,0.02089466
-14.5638,384.626,244.29735979,0.19054,0.17228106,0.22578618,0.27254778,55.15896815,66.582702,0.06403889
-13.8775,405.422,268.86037268,0.239716,0.16672174,0.25989325,0.29086772,69.87499533,78.20280335,0.10403307
-13.6672,411.395,275.68659743,0.258332,0.16439856,0.27332636,0.29604104,75.35241464,81.61454824,0.11844087
-13.1912,424.739,290.17201795,0.300879,0.15883633,0.30190578,0.30762965,87.60460941,89.26551559,0.14673417
-12.505,444.535,308.95064331,0.373457,0.15055423,0.35202557,0.3215421,108.75852546,99.34063765,0.19058111
-11.8188,468.099,328.88599849,0.453342,0.1432396,0.40130163,0.3331011,131.982488,109.55228845,0.22687786
-11.1325,496.789,352.67123501,0.539026,0.13708705,0.44662736,0.34481204,157.51262315,121.60528752,0.25395969
