s,kW,kg/m2/s,C,C
Time,rad,MLRPUA,T_SURF_MEAN,T_SURF_MAX
 0.0000000E+000,-1.9014301E-007, 0.0000000E+000, 2.0000000E+001, 2.0000000E+001
 2.0000508E+000, 2.8946869E-001, 7.4248595E-003, 2.9418594E+001, 3.6739188E+001
 4.0003720E+000, 3.1876099E-001, 9.0480661E-003, 3.3555060E+001, 4.4254596E+001
 6.0003897E+000, 3.2803237E-001, 9.7915469E-003, 3.5273263E+001, 4.7686349E+001
 8.0001149E+000, 3.3123473E-001, 1.0519488E-002, 3.6265429E+001, 4.9432160E+001
 1.0000187E+001, 3.1909322E-001, 1.0071473E-002, 3.7239098E+001, 5.0941020E+001
 1.2000101E+001, 3.2836316E-001, 1.1045073E-002, 3.7861587E+001, 5.2506189E+001
 1.4000037E+001, 3.2244424E-001, 1.0814765E-002, 3.8396463E+001, 5.2938105E+001
 1.6000204E+001, 3.0382081E-001, 1.0195655E-002, 3.8805581E+001, 5.3370018E+001
 1.8000546E+001, 3.0862403E-001, 1.0588345E-002, 3.9161444E+001, 5.3244151E+001
 2.0000379E+001, 2.9819197E-001, 1.0102470E-002, 3.9744541E+001, 5.3889870E+001
 2.2000524E+001, 3.0624056E-001, 1.0703340E-002, 4.0126503E+001, 5.5129784E+001
 2.4000195E+001, 2.9385717E-001, 1.0265977E-002, 4.0333595E+001, 5.4687095E+001
 2.6000571E+001, 2.9718021E-001, 1.0467738E-002, 4.0657017E+001, 5.5273073E+001
 2.8000094E+001, 3.0211933E-001, 1.0818033E-002, 4.0696326E+001, 5.5291888E+001
 3.0000153E+001, 2.9394744E-001, 1.0806292E-002, 4.0802441E+001, 5.5841031E+001
 3.2000203E+001, 3.0369610E-001, 1.1137467E-002, 4.0762482E+001, 5.6847519E+001
 3.4000348E+001, 3.0283014E-001, 1.0827596E-002, 4.0754883E+001, 5.6462008E+001
 3.6000249E+001, 3.0950817E-001, 1.1808168E-002, 4.1041994E+001, 5.6411438E+001
 3.8000366E+001, 3.0723468E-001, 1.1442242E-002, 4.0904963E+001, 5.6394641E+001
 4.0000368E+001, 3.1194822E-001, 1.1711149E-002, 4.1140649E+001, 5.6811726E+001
 4.2000526E+001, 3.0363704E-001, 1.0882795E-002, 4.1329996E+001, 5.6651739E+001
 4.4000078E+001, 2.9597850E-001, 1.1217306E-002, 4.1528616E+001, 5.7154516E+001
 4.6000271E+001, 3.1022144E-001, 1.1517218E-002, 4.1394520E+001, 5.7202682E+001
 4.8000509E+001, 2.9598712E-001, 1.1441288E-002, 4.1431879E+001, 5.7371621E+001
 5.0000169E+001, 3.0154458E-001, 1.1242064E-002, 4.1644472E+001, 5.7104645E+001
 5.2000316E+001, 2.9993182E-001, 1.1366859E-002, 4.1999204E+001, 5.7742549E+001
 5.4000396E+001, 3.0093675E-001, 1.1551148E-002, 4.1591669E+001, 5.7155349E+001
 5.6000282E+001, 2.9443581E-001, 1.1177693E-002, 4.1891471E+001, 5.7256753E+001
 5.8000050E+001, 3.0458350E-001, 1.1547412E-002, 4.1975491E+001, 5.7625824E+001
 6.0000000E+001, 3.0067726E-001, 1.1259920E-002, 4.2098860E+001, 5.7639099E+001
