cm,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,K,K,K,K,K,K,K,K,K,K,K,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,C,C,C,C,C,C,C,C,C,C,C,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
r,Up2,Up4,Up6,Up8,Up10,Up12,Up14,Up16,Up18,Up20,Up30,Wp2,Wp4,Wp6,Wp8,Wp10,Wp12,Wp14,Wp16,Wp18,Wp20,Wp30,Tp2,Tp4,Tp6,Tp8,Tp10,Tp12,Tp14,Tp16,Tp18,Tp20,Tp30,Urms2,Urms4,Urms6,Urms8,Urms10,Urms12,Urms14,Urms16,Urms18,Urms20,Urms30,Wrms2,Wrms4,Wrms6,Wrms8,Wrms10,Wrms12,Wrms14,Wrms16,Wrms18,Wrms20,Wrms30,Trms2,Trms4,Trms6,Trms8,Trms10,Trms12,Trms14,Trms16,Trms18,Trms20,Trms30,UW2,UW4,UW6,UW8,UW10,UW12,UW14,UW16,UW18,UW20,UW30,TW2,TW4,TW6,TW8,TW10,TW12,TW14,TW16,TW18,TW20,TW30,TU2,TU4,TU6,TU8,TU10,TU12,TU14,TU16,TU18,TU20,TU30,z,T_CL,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2
-4.00E+00,3.14E-01,3.39E-01,2.99E-01,2.39E-01,2.08E-01,1.22E-01,7.94E-02,4.29E-02,1.89E-02,-1.27E-03,-4.62E-02,2.90E-01,6.88E-01,1.09E+00,1.46E+00,1.76E+00,1.99E+00,2.16E+00,2.30E+00,2.41E+00,2.50E+00,2.80E+00,9.99E+02,1.17E+03,1.23E+03,1.23E+03,1.22E+03,1.18E+03,1.14E+03,1.11E+03,1.08E+03,1.06E+03,9.35E+02,2.22E-01,2.25E-01,2.32E-01,2.44E-01,2.52E-01,2.73E-01,2.91E-01,3.12E-01,3.37E-01,3.65E-01,5.04E-01,1.66E-01,3.15E-01,4.86E-01,6.29E-01,7.45E-01,8.29E-01,9.07E-01,9.68E-01,1.02E+00,1.06E+00,1.24E+00,2.31E+02,2.29E+02,2.40E+02,2.53E+02,2.63E+02,2.83E+02,2.92E+02,3.00E+02,3.06E+02,3.10E+02,3.22E+02,-2.22E-02,-3.61E-02,-4.26E-02,-3.66E-02,-2.81E-02,8.96E-03,4.24E-02,7.37E-02,1.06E-01,1.32E-01,2.20E-01,1.23E+01,3.55E+01,7.38E+01,1.12E+02,1.30E+02,1.73E+02,1.97E+02,2.16E+02,2.31E+02,2.44E+02,3.07E+02,-2.49E+01,-1.76E+01,-1.06E+01,-2.15E+00,3.11E+00,1.91E+01,2.92E+01,3.76E+01,4.58E+01,5.27E+01,7.15E+01,1.00E+00,6.32E+02,3.51E-02,1.93E-02,3.11E-02,4.52E-01,1.05E-01,0.00E+00
-3.00E+00,2.12E-01,2.50E-01,2.34E-01,1.98E-01,1.78E-01,1.16E-01,8.13E-02,4.82E-02,2.01E-02,-1.54E-03,-4.32E-02,2.19E-01,5.97E-01,1.02E+00,1.42E+00,1.77E+00,2.06E+00,2.29E+00,2.47E+00,2.62E+00,2.74E+00,3.06E+00,8.66E+02,1.06E+03,1.16E+03,1.21E+03,1.23E+03,1.24E+03,1.23E+03,1.21E+03,1.19E+03,1.17E+03,1.03E+03,2.18E-01,2.29E-01,2.33E-01,2.40E-01,2.47E-01,2.69E-01,2.87E-01,3.07E-01,3.30E-01,3.59E-01,4.96E-01,1.39E-01,2.47E-01,3.66E-01,4.98E-01,6.14E-01,7.20E-01,8.18E-01,9.03E-01,9.80E-01,1.04E+00,1.31E+00,2.06E+02,2.33E+02,2.21E+02,2.15E+02,2.15E+02,2.28E+02,2.44E+02,2.58E+02,2.71E+02,2.81E+02,3.20E+02,-2.08E-02,-3.25E-02,-4.09E-02,-4.31E-02,-4.15E-02,-2.20E-02,2.23E-03,2.82E-02,5.76E-02,9.00E-02,1.84E-01,1.33E+01,2.17E+01,2.97E+01,4.58E+01,5.49E+01,9.08E+01,1.20E+02,1.50E+02,1.79E+02,2.03E+02,3.22E+02,-2.35E+01,-2.33E+01,-1.79E+01,-1.19E+01,-8.40E+00,3.60E+00,1.24E+01,1.96E+01,2.74E+01,3.65E+01,6.08E+01,3.00E+00,8.09E+02,3.53E-02,2.65E-02,3.82E-02,3.40E-01,1.34E-01,0.00E+00
-2.00E+00,2.12E-01,2.50E-01,2.34E-01,1.98E-01,1.78E-01,1.16E-01,8.13E-02,4.82E-02,2.01E-02,-1.54E-03,-4.32E-02,2.19E-01,5.97E-01,1.02E+00,1.42E+00,1.77E+00,2.06E+00,2.29E+00,2.47E+00,2.62E+00,2.74E+00,3.06E+00,8.66E+02,1.06E+03,1.16E+03,1.21E+03,1.23E+03,1.24E+03,1.23E+03,1.21E+03,1.19E+03,1.17E+03,1.03E+03,2.18E-01,2.29E-01,2.33E-01,2.40E-01,2.47E-01,2.69E-01,2.87E-01,3.07E-01,3.30E-01,3.59E-01,4.96E-01,1.39E-01,2.47E-01,3.66E-01,4.98E-01,6.14E-01,7.20E-01,8.18E-01,9.03E-01,9.80E-01,1.04E+00,1.31E+00,2.06E+02,2.33E+02,2.21E+02,2.15E+02,2.15E+02,2.28E+02,2.44E+02,2.58E+02,2.71E+02,2.81E+02,3.20E+02,-2.08E-02,-3.25E-02,-4.09E-02,-4.31E-02,-4.15E-02,-2.20E-02,2.23E-03,2.82E-02,5.76E-02,9.00E-02,1.84E-01,1.33E+01,2.17E+01,2.97E+01,4.58E+01,5.49E+01,9.08E+01,1.20E+02,1.50E+02,1.79E+02,2.03E+02,3.22E+02,-2.35E+01,-2.33E+01,-1.79E+01,-1.19E+01,-8.40E+00,3.60E+00,1.24E+01,1.96E+01,2.74E+01,3.65E+01,6.08E+01,5.00E+00,9.40E+02,3.36E-02,3.25E-02,4.20E-02,2.70E-01,1.54E-01,0.00E+00
-1.00E+00,1.22E-01,1.54E-01,1.51E-01,1.33E-01,1.22E-01,8.89E-02,6.66E-02,4.31E-02,2.00E-02,6.22E-04,-3.38E-02,1.59E-01,5.08E-01,9.17E-01,1.32E+00,1.70E+00,2.03E+00,2.31E+00,2.54E+00,2.74E+00,2.89E+00,3.27E+00,7.78E+02,9.47E+02,1.06E+03,1.14E+03,1.17E+03,1.22E+03,1.24E+03,1.25E+03,1.25E+03,1.24E+03,1.11E+03,2.02E-01,2.25E-01,2.34E-01,2.44E-01,2.51E-01,2.72E-01,2.92E-01,3.16E-01,3.41E-01,3.66E-01,4.93E-01,1.18E-01,2.03E-01,2.92E-01,3.89E-01,4.89E-01,5.87E-01,6.84E-01,7.73E-01,8.65E-01,9.58E-01,1.29E+00,1.71E+02,2.11E+02,2.21E+02,2.13E+02,2.09E+02,1.99E+02,1.99E+02,2.06E+02,2.20E+02,2.34E+02,2.99E+02,-1.42E-02,-2.48E-02,-3.24E-02,-3.87E-02,-4.02E-02,-3.28E-02,-1.95E-02,-1.67E-03,2.01E-02,4.24E-02,1.28E-01,1.02E+01,1.81E+01,1.95E+01,1.95E+01,2.09E+01,3.18E+01,4.72E+01,6.84E+01,9.79E+01,1.31E+02,2.93E+02,-1.39E+01,-1.95E+01,-1.97E+01,-1.80E+01,-1.65E+01,-8.23E+00,-1.13E+00,5.97E+00,1.28E+01,1.88E+01,3.94E+01,7.00E+00,1.04E+03,3.32E-02,3.73E-02,4.35E-02,2.20E-01,1.67E-01,0.00E+00
-1.00E-02,5.69E-02,7.36E-02,7.44E-02,6.75E-02,6.30E-02,4.76E-02,3.71E-02,2.50E-02,1.37E-02,2.99E-03,-1.89E-02,1.26E-01,4.59E-01,8.62E-01,1.27E+00,1.65E+00,1.99E+00,2.29E+00,2.56E+00,2.78E+00,2.96E+00,3.39E+00,7.35E+02,8.89E+02,9.99E+02,1.08E+03,1.12E+03,1.19E+03,1.23E+03,1.26E+03,1.27E+03,1.27E+03,1.15E+03,1.89E-01,2.20E-01,2.38E-01,2.54E-01,2.61E-01,2.82E-01,3.01E-01,3.25E-01,3.50E-01,3.74E-01,4.87E-01,1.07E-01,1.76E-01,2.48E-01,3.25E-01,4.12E-01,5.00E-01,5.92E-01,6.80E-01,7.77E-01,8.75E-01,1.28E+00,1.37E+02,1.86E+02,2.00E+02,2.03E+02,2.03E+02,1.95E+02,1.92E+02,1.91E+02,1.95E+02,2.05E+02,2.84E+02,-6.90E-03,-1.08E-02,-1.44E-02,-1.70E-02,-1.78E-02,-1.48E-02,-6.83E-03,1.34E-04,3.76E-03,1.18E-02,5.62E-02,7.32E+00,1.27E+01,1.29E+01,1.04E+01,8.86E+00,8.46E+00,1.44E+01,2.50E+01,4.58E+01,7.50E+01,2.67E+02,-7.06E+00,-1.03E+01,-1.14E+01,-1.16E+01,-1.13E+01,-7.61E+00,-3.32E+00,2.10E-01,2.74E+00,6.99E+00,1.88E+01,9.00E+00,1.11E+03,3.38E-02,4.12E-02,4.38E-02,1.81E-01,1.76E-01,0.00E+00
1.00E+00,-1.22E-01,-1.46E-01,-1.37E-01,-1.18E-01,-1.08E-01,-7.95E-02,-6.13E-02,-4.55E-02,-3.09E-02,-1.55E-02,2.02E-02,1.47E-01,4.88E-01,8.97E-01,1.31E+00,1.68E+00,2.01E+00,2.30E+00,2.53E+00,2.74E+00,2.90E+00,3.28E+00,7.54E+02,9.17E+02,1.04E+03,1.12E+03,1.15E+03,1.22E+03,1.24E+03,1.25E+03,1.25E+03,1.24E+03,1.11E+03,1.72E-01,1.96E-01,2.16E-01,2.33E-01,2.40E-01,2.62E-01,2.81E-01,3.05E-01,3.37E-01,3.67E-01,4.96E-01,1.14E-01,2.01E-01,2.84E-01,3.73E-01,4.74E-01,5.78E-01,6.82E-01,7.74E-01,8.49E-01,9.44E-01,1.31E+00,1.48E+02,1.88E+02,2.04E+02,2.02E+02,1.98E+02,1.93E+02,1.97E+02,2.04E+02,2.14E+02,2.32E+02,2.95E+02,-1.17E-02,-1.85E-02,-2.56E-02,-3.13E-02,-3.24E-02,-2.84E-02,-1.89E-02,-1.50E-03,2.09E-02,4.97E-02,1.47E-01,8.74E+00,1.47E+01,1.41E+01,1.29E+01,1.36E+01,2.59E+01,4.31E+01,6.28E+01,8.70E+01,1.23E+02,2.93E+02,-9.24E+00,-1.25E+01,-1.31E+01,-1.22E+01,-1.17E+01,-7.37E+00,-2.81E+00,3.81E+00,1.22E+01,2.19E+01,4.41E+01,1.10E+01,1.17E+03,3.50E-02,4.46E-02,4.32E-02,1.50E-01,1.82E-01,0.00E+00
2.00E+00,-2.12E-01,-2.39E-01,-2.17E-01,-1.79E-01,-1.59E-01,-1.04E-01,-7.46E-02,-5.14E-02,-3.06E-02,-1.12E-02,3.17E-02,2.14E-01,5.88E-01,1.01E+00,1.41E+00,1.77E+00,2.06E+00,2.29E+00,2.48E+00,2.62E+00,2.73E+00,3.08E+00,8.33E+02,1.03E+03,1.15E+03,1.21E+03,1.23E+03,1.24E+03,1.23E+03,1.21E+03,1.19E+03,1.16E+03,1.04E+03,1.82E-01,1.98E-01,2.17E-01,2.35E-01,2.44E-01,2.71E-01,2.92E-01,3.15E-01,3.44E-01,3.71E-01,5.04E-01,1.24E-01,2.21E-01,3.36E-01,4.62E-01,5.86E-01,6.95E-01,7.92E-01,8.73E-01,9.61E-01,1.04E+00,1.30E+00,1.84E+02,2.15E+02,2.14E+02,2.10E+02,2.10E+02,2.16E+02,2.28E+02,2.42E+02,2.58E+02,2.74E+02,3.10E+02,-1.56E-02,-2.52E-02,-3.55E-02,-4.26E-02,-4.34E-02,-2.93E-02,-7.72E-03,1.93E-02,5.26E-02,8.88E-02,2.15E-01,9.01E+00,1.37E+01,1.83E+01,3.11E+01,3.97E+01,7.29E+01,1.01E+02,1.29E+02,1.65E+02,1.99E+02,3.14E+02,-1.43E+01,-1.48E+01,-1.36E+01,-1.27E+01,-1.16E+01,-2.40E+00,6.58E+00,1.70E+01,2.76E+01,3.69E+01,6.54E+01,1.30E+01,1.22E+03,3.75E-02,4.74E-02,4.16E-02,1.25E-01,1.84E-01,0.00E+00
3.00E+00,-3.10E-01,-3.27E-01,-2.86E-01,-2.26E-01,-1.95E-01,-1.16E-01,-7.61E-02,-4.60E-02,-2.16E-02,-2.49E-03,3.93E-02,2.95E-01,6.99E-01,1.12E+00,1.49E+00,1.78E+00,2.00E+00,2.17E+00,2.30E+00,2.40E+00,2.49E+00,2.82E+00,9.63E+02,1.17E+03,1.25E+03,1.25E+03,1.24E+03,1.19E+03,1.15E+03,1.11E+03,1.08E+03,1.06E+03,9.47E+02,1.94E-01,2.08E-01,2.24E-01,2.41E-01,2.50E-01,2.79E-01,3.03E-01,3.28E-01,3.53E-01,3.78E-01,5.06E-01,1.38E-01,2.67E-01,4.26E-01,5.79E-01,7.10E-01,8.19E-01,9.05E-01,9.82E-01,1.05E+00,1.09E+00,1.26E+00,2.08E+02,2.18E+02,2.21E+02,2.31E+02,2.40E+02,2.66E+02,2.81E+02,2.95E+02,3.06E+02,3.14E+02,3.24E+02,-1.77E-02,-3.20E-02,-4.21E-02,-4.25E-02,-3.57E-02,2.88E-03,3.43E-02,6.74E-02,1.04E-01,1.38E-01,2.60E-01,6.54E+00,1.71E+01,4.19E+01,7.84E+01,9.80E+01,1.55E+02,1.89E+02,2.22E+02,2.46E+02,2.64E+02,3.23E+02,-1.64E+01,-1.32E+01,-1.10E+01,-6.79E+00,-2.01E+00,1.50E+01,2.54E+01,3.55E+01,4.53E+01,5.45E+01,7.81E+01,1.50E+01,1.25E+03,4.13E-02,4.94E-02,3.94E-02,1.03E-01,1.84E-01,0.00E+00
4.00E+00,-4.06E-01,-3.93E-01,-3.27E-01,-2.45E-01,-2.06E-01,-1.12E-01,-6.74E-02,-3.59E-02,-1.34E-02,2.69E-03,3.69E-02,3.55E-01,7.65E-01,1.15E+00,1.45E+00,1.67E+00,1.85E+00,1.98E+00,2.08E+00,2.16E+00,2.24E+00,2.50E+00,1.12E+03,1.26E+03,1.25E+03,1.19E+03,1.16E+03,1.08E+03,1.03E+03,9.93E+02,9.63E+02,9.40E+02,8.53E+02,2.04E-01,2.18E-01,2.35E-01,2.50E-01,2.58E-01,2.89E-01,3.15E-01,3.41E-01,3.67E-01,3.92E-01,5.05E-01,1.74E-01,3.57E-01,5.39E-01,6.94E-01,8.09E-01,8.76E-01,9.24E-01,9.65E-01,1.00E+00,1.03E+00,1.17E+00,2.15E+02,2.28E+02,2.57E+02,2.87E+02,2.97E+02,3.14E+02,3.21E+02,3.24E+02,3.25E+02,3.27E+02,3.22E+02,-1.98E-02,-3.98E-02,-4.33E-02,-2.58E-02,-1.05E-02,3.75E-02,7.25E-02,1.09E-01,1.42E-01,1.71E-01,2.72E-01,8.29E+00,4.75E+01,1.04E+02,1.60E+02,1.82E+02,2.23E+02,2.40E+02,2.52E+02,2.59E+02,2.67E+02,2.93E+02,-1.32E+01,-1.08E+01,-7.02E+00,4.25E+00,1.13E+01,2.91E+01,3.99E+01,5.00E+01,5.94E+01,6.68E+01,8.23E+01,1.70E+01,1.27E+03,4.65E-02,5.08E-02,3.66E-02,8.56E-02,1.81E-01,0.00E+00
