cm,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,K,K,K,K,K,K,K,K,K,K,K,K,K,K,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
r,Up2,Up4,Up6,Up8,Up10,Up12,Up14,Up16,Up18,Up20,Up30,Up60,Wp2,Wp4,Wp6,Wp8,Wp10,Wp12,Wp14,Wp16,Wp18,Wp20,Wp30,Wp60,Tp2,Tp4,Tp6,Tp8,Tp10,Tp12,Tp14,Tp16,Tp18,Tp20,Tp30,Tp40,Tp50,Tp60,Urms2,Urms4,Urms6,Urms8,Urms10,Urms12,Urms14,Urms16,Urms18,Urms20,Urms30,Urms60,Wrms2,Wrms4,Wrms6,Wrms8,Wrms10,Wrms12,Wrms14,Wrms16,Wrms18,Wrms20,Wrms30,Wrms60,Trms2,Trms4,Trms6,Trms8,Trms10,Trms12,Trms14,Trms16,Trms18,Trms20,Trms30,Trms40,Trms50,Trms60,UW2,UW4,UW6,UW8,UW10,UW12,UW14,UW16,UW18,UW20,UW30,UW60,TW2,TW4,TW6,TW8,TW10,TW12,TW14,TW16,TW18,TW20,TW30,TW60,TU2,TU4,TU6,TU8,TU10,TU12,TU14,TU16,TU18,TU20,TU30,TU60,z,T_CL,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2
-4.00E+00,3.15E-01,3.48E-01,3.26E-01,2.99E-01,2.50E-01,2.12E-01,1.67E-01,1.38E-01,1.05E-01,8.45E-02,-4.83E-03,-2.39E-02,4.42E-01,9.01E-01,1.35E+00,1.76E+00,1.76E+00,2.41E+00,2.64E+00,2.84E+00,3.00E+00,3.13E+00,3.49E+00,3.39E+00,8.94E+02,1.11E+03,1.25E+03,1.32E+03,1.35E+03,1.35E+03,1.34E+03,1.32E+03,1.29E+03,1.26E+03,1.13E+03,9.81E+02,8.33E+02,7.03E+02,1.67E-01,1.82E-01,2.05E-01,2.27E-01,2.50E-01,2.69E-01,2.87E-01,3.02E-01,3.17E-01,3.33E-01,4.28E-01,6.49E-01,9.96E-02,1.61E-01,2.30E-01,2.97E-01,2.97E-01,4.44E-01,5.19E-01,5.95E-01,6.76E-01,7.61E-01,1.13E+00,1.44E+00,8.74E+01,1.26E+02,1.34E+02,1.32E+02,1.34E+02,1.48E+02,1.67E+02,1.88E+02,2.07E+02,2.25E+02,2.84E+02,2.88E+02,2.57E+02,2.02E+02,-3.57E-03,-1.09E-02,-1.53E-02,-1.49E-02,-1.03E-02,-1.60E-03,1.16E-02,2.70E-02,4.39E-02,6.29E-02,1.79E-01,3.05E-01,1.15E+00,4.43E+00,8.11E+00,1.30E+01,2.21E+01,3.63E+01,5.42E+01,7.49E+01,9.83E+01,1.24E+02,2.57E+02,2.12E+02,-9.10E+00,-1.32E+01,-1.51E+01,-1.22E+01,-6.69E+00,5.21E-01,8.70E+00,1.66E+01,2.43E+01,3.13E+01,5.92E+01,4.55E+01,1.00E+00,7.34E+02,3.14E-02,2.93E-02,3.39E-02,3.64E-01,1.31E-01,0.00E+00
-3.00E+00,3.15E-01,3.48E-01,3.26E-01,2.99E-01,2.50E-01,2.12E-01,1.67E-01,1.38E-01,1.05E-01,8.45E-02,-4.83E-03,-2.39E-02,4.42E-01,9.01E-01,1.35E+00,1.76E+00,1.76E+00,2.41E+00,2.64E+00,2.84E+00,3.00E+00,3.13E+00,3.49E+00,3.39E+00,8.94E+02,1.11E+03,1.25E+03,1.32E+03,1.35E+03,1.35E+03,1.34E+03,1.32E+03,1.29E+03,1.26E+03,1.13E+03,9.81E+02,8.33E+02,7.03E+02,1.67E-01,1.82E-01,2.05E-01,2.27E-01,2.50E-01,2.69E-01,2.87E-01,3.02E-01,3.17E-01,3.33E-01,4.28E-01,6.49E-01,9.96E-02,1.61E-01,2.30E-01,2.97E-01,2.97E-01,4.44E-01,5.19E-01,5.95E-01,6.76E-01,7.61E-01,1.13E+00,1.44E+00,8.74E+01,1.26E+02,1.34E+02,1.32E+02,1.34E+02,1.48E+02,1.67E+02,1.88E+02,2.07E+02,2.25E+02,2.84E+02,2.88E+02,2.57E+02,2.02E+02,-3.57E-03,-1.09E-02,-1.53E-02,-1.49E-02,-1.03E-02,-1.60E-03,1.16E-02,2.70E-02,4.39E-02,6.29E-02,1.79E-01,3.05E-01,1.15E+00,4.43E+00,8.11E+00,1.30E+01,2.21E+01,3.63E+01,5.42E+01,7.49E+01,9.83E+01,1.24E+02,2.57E+02,2.12E+02,-9.10E+00,-1.32E+01,-1.51E+01,-1.22E+01,-6.69E+00,5.21E-01,8.70E+00,1.66E+01,2.43E+01,3.13E+01,5.92E+01,4.55E+01,3.00E+00,8.88E+02,3.32E-02,3.52E-02,3.86E-02,2.71E-01,1.53E-01,0.00E+00
-2.00E+00,3.15E-01,3.48E-01,3.26E-01,2.99E-01,2.50E-01,2.12E-01,1.67E-01,1.38E-01,1.05E-01,8.45E-02,-4.83E-03,-2.39E-02,4.42E-01,9.01E-01,1.35E+00,1.76E+00,1.76E+00,2.41E+00,2.64E+00,2.84E+00,3.00E+00,3.13E+00,3.49E+00,3.39E+00,8.94E+02,1.11E+03,1.25E+03,1.32E+03,1.35E+03,1.35E+03,1.34E+03,1.32E+03,1.29E+03,1.26E+03,1.13E+03,9.81E+02,8.33E+02,7.03E+02,1.67E-01,1.82E-01,2.05E-01,2.27E-01,2.50E-01,2.69E-01,2.87E-01,3.02E-01,3.17E-01,3.33E-01,4.28E-01,6.49E-01,9.96E-02,1.61E-01,2.30E-01,2.97E-01,2.97E-01,4.44E-01,5.19E-01,5.95E-01,6.76E-01,7.61E-01,1.13E+00,1.44E+00,8.74E+01,1.26E+02,1.34E+02,1.32E+02,1.34E+02,1.48E+02,1.67E+02,1.88E+02,2.07E+02,2.25E+02,2.84E+02,2.88E+02,2.57E+02,2.02E+02,-3.57E-03,-1.09E-02,-1.53E-02,-1.49E-02,-1.03E-02,-1.60E-03,1.16E-02,2.70E-02,4.39E-02,6.29E-02,1.79E-01,3.05E-01,1.15E+00,4.43E+00,8.11E+00,1.30E+01,2.21E+01,3.63E+01,5.42E+01,7.49E+01,9.83E+01,1.24E+02,2.57E+02,2.12E+02,-9.10E+00,-1.32E+01,-1.51E+01,-1.22E+01,-6.69E+00,5.21E-01,8.70E+00,1.66E+01,2.43E+01,3.13E+01,5.92E+01,4.55E+01,5.00E+00,9.95E+02,3.39E-02,3.92E-02,4.11E-02,2.16E-01,1.66E-01,0.00E+00
-1.00E+00,1.29E-01,1.54E-01,1.51E-01,1.45E-01,1.26E-01,1.10E-01,9.02E-02,7.59E-02,5.95E-02,4.95E-02,-1.33E-03,-4.54E-03,3.32E-01,7.36E-01,1.14E+00,1.55E+00,1.55E+00,2.28E+00,2.59E+00,2.88E+00,3.12E+00,3.34E+00,3.97E+00,3.70E+00,7.50E+02,9.04E+02,1.01E+03,1.10E+03,1.17E+03,1.22E+03,1.27E+03,1.30E+03,1.32E+03,1.34E+03,1.30E+03,1.13E+03,9.27E+02,7.54E+02,1.56E-01,1.79E-01,2.01E-01,2.21E-01,2.44E-01,2.64E-01,2.86E-01,3.01E-01,3.20E-01,3.40E-01,4.45E-01,6.71E-01,8.52E-02,1.28E-01,1.84E-01,2.36E-01,2.36E-01,3.35E-01,3.79E-01,4.25E-01,4.74E-01,5.32E-01,9.19E-01,1.48E+00,5.79E+01,8.61E+01,1.07E+02,1.20E+02,1.26E+02,1.27E+02,1.24E+02,1.20E+02,1.19E+02,1.24E+02,2.08E+02,2.78E+02,2.68E+02,2.10E+02,-2.25E-03,-8.39E-03,-1.33E-02,-1.80E-02,-2.29E-02,-2.45E-02,-2.43E-02,-2.15E-02,-1.61E-02,-8.39E-03,6.04E-02,1.83E-01,7.13E-01,2.39E+00,3.77E+00,5.49E+00,7.03E+00,8.39E+00,1.04E+01,1.36E+01,1.92E+01,2.81E+01,1.37E+02,2.30E+02,-5.55E+00,-8.45E+00,-1.16E+01,-1.33E+01,-1.45E+01,-1.41E+01,-1.26E+01,-9.53E+00,-6.21E+00,-2.03E+00,2.35E+01,3.04E+01,7.00E+00,1.08E+03,3.48E-02,4.26E-02,4.22E-02,1.75E-01,1.75E-01,0.00E+00
-2.00E-02,1.29E-01,1.54E-01,1.51E-01,1.45E-01,1.26E-01,1.10E-01,9.02E-02,7.59E-02,5.95E-02,4.95E-02,-1.33E-03,-4.54E-03,3.32E-01,7.36E-01,1.14E+00,1.55E+00,1.55E+00,2.28E+00,2.59E+00,2.88E+00,3.12E+00,3.34E+00,3.97E+00,3.70E+00,7.50E+02,9.04E+02,1.01E+03,1.10E+03,1.17E+03,1.22E+03,1.27E+03,1.30E+03,1.32E+03,1.34E+03,1.30E+03,1.13E+03,9.27E+02,7.54E+02,1.56E-01,1.79E-01,2.01E-01,2.21E-01,2.44E-01,2.64E-01,2.86E-01,3.01E-01,3.20E-01,3.40E-01,4.45E-01,6.71E-01,8.52E-02,1.28E-01,1.84E-01,2.36E-01,2.36E-01,3.35E-01,3.79E-01,4.25E-01,4.74E-01,5.32E-01,9.19E-01,1.48E+00,5.79E+01,8.61E+01,1.07E+02,1.20E+02,1.26E+02,1.27E+02,1.24E+02,1.20E+02,1.19E+02,1.24E+02,2.08E+02,2.78E+02,2.68E+02,2.10E+02,-2.25E-03,-8.39E-03,-1.33E-02,-1.80E-02,-2.29E-02,-2.45E-02,-2.43E-02,-2.15E-02,-1.61E-02,-8.39E-03,6.04E-02,1.83E-01,7.13E-01,2.39E+00,3.77E+00,5.49E+00,7.03E+00,8.39E+00,1.04E+01,1.36E+01,1.92E+01,2.81E+01,1.37E+02,2.30E+02,-5.55E+00,-8.45E+00,-1.16E+01,-1.33E+01,-1.45E+01,-1.41E+01,-1.26E+01,-9.53E+00,-6.21E+00,-2.03E+00,2.35E+01,3.04E+01,9.00E+00,1.15E+03,3.62E-02,4.54E-02,4.21E-02,1.45E-01,1.81E-01,0.00E+00
1.00E+00,-1.10E-01,-1.35E-01,-1.31E-01,-1.28E-01,-1.08E-01,-9.50E-02,-7.53E-02,-6.39E-02,-4.91E-02,-4.09E-02,-6.78E-03,2.47E-02,3.23E-01,7.24E-01,1.12E+00,1.53E+00,1.53E+00,2.25E+00,2.56E+00,2.84E+00,3.08E+00,3.30E+00,3.97E+00,3.71E+00,7.40E+02,8.91E+02,9.95E+02,1.08E+03,1.15E+03,1.20E+03,1.24E+03,1.28E+03,1.30E+03,1.32E+03,1.30E+03,1.13E+03,9.30E+02,7.56E+02,1.55E-01,1.73E-01,1.88E-01,2.09E-01,2.29E-01,2.48E-01,2.66E-01,2.87E-01,3.02E-01,3.19E-01,4.24E-01,6.34E-01,8.31E-02,1.26E-01,1.82E-01,2.33E-01,2.33E-01,3.30E-01,3.74E-01,4.22E-01,4.76E-01,5.37E-01,9.17E-01,1.53E+00,6.03E+01,8.44E+01,1.07E+02,1.20E+02,1.25E+02,1.23E+02,1.19E+02,1.16E+02,1.17E+02,1.24E+02,2.16E+02,2.87E+02,2.76E+02,2.11E+02,-2.16E-03,-7.42E-03,-1.20E-02,-1.65E-02,-2.07E-02,-2.21E-02,-2.09E-02,-1.57E-02,-7.97E-03,3.34E-03,7.96E-02,1.30E-01,9.43E-01,2.55E+00,3.77E+00,5.10E+00,6.15E+00,7.00E+00,8.50E+00,1.18E+01,1.78E+01,2.74E+01,1.40E+02,2.41E+02,-5.33E+00,-7.60E+00,-9.52E+00,-1.16E+01,-1.26E+01,-1.29E+01,-1.14E+01,-8.54E+00,-4.75E+00,1.94E-02,2.85E+01,1.90E+01,1.10E+01,1.20E+03,3.80E-02,4.76E-02,4.15E-02,1.21E-01,1.85E-01,0.00E+00
2.00E+00,-2.84E-01,-3.24E-01,-3.05E-01,-2.82E-01,-2.34E-01,-1.98E-01,-1.54E-01,-1.26E-01,-9.40E-02,-7.57E-02,-4.14E-04,2.60E-02,4.28E-01,8.80E-01,1.33E+00,1.74E+00,1.74E+00,2.38E+00,2.62E+00,2.82E+00,2.98E+00,3.13E+00,3.53E+00,3.38E+00,8.74E+02,1.09E+03,1.22E+03,1.30E+03,1.33E+03,1.33E+03,1.32E+03,1.31E+03,1.29E+03,1.27E+03,1.14E+03,9.90E+02,8.34E+02,7.05E+02,1.69E-01,1.76E-01,1.93E-01,2.12E-01,2.29E-01,2.47E-01,2.64E-01,2.81E-01,2.96E-01,3.16E-01,4.24E-01,6.45E-01,1.01E-01,1.61E-01,2.29E-01,3.01E-01,3.01E-01,4.59E-01,5.40E-01,6.22E-01,7.05E-01,7.83E-01,1.13E+00,1.50E+00,9.43E+01,1.27E+02,1.31E+02,1.28E+02,1.34E+02,1.51E+02,1.71E+02,1.92E+02,2.10E+02,2.26E+02,2.92E+02,3.08E+02,2.70E+02,2.11E+02,-3.19E-03,-1.03E-02,-1.43E-02,-1.34E-02,-9.29E-03,1.43E-04,1.28E-02,2.86E-02,4.53E-02,6.73E-02,1.96E-01,3.19E-01,1.25E+00,4.55E+00,7.06E+00,1.18E+01,2.16E+01,3.74E+01,5.74E+01,8.05E+01,1.05E+02,1.30E+02,2.67E+02,2.38E+02,-1.11E+01,-1.36E+01,-1.34E+01,-1.06E+01,-5.23E+00,1.29E+00,8.10E+00,1.53E+01,2.15E+01,2.90E+01,6.46E+01,4.24E+01,1.30E+01,1.24E+03,4.01E-02,4.95E-02,4.05E-02,1.01E-01,1.87E-01,0.00E+00
3.00E+00,-2.84E-01,-3.24E-01,-3.05E-01,-2.82E-01,-2.34E-01,-1.98E-01,-1.54E-01,-1.26E-01,-9.40E-02,-7.57E-02,-4.14E-04,2.60E-02,4.28E-01,8.80E-01,1.33E+00,1.74E+00,1.74E+00,2.38E+00,2.62E+00,2.82E+00,2.98E+00,3.13E+00,3.53E+00,3.38E+00,8.74E+02,1.09E+03,1.22E+03,1.30E+03,1.33E+03,1.33E+03,1.32E+03,1.31E+03,1.29E+03,1.27E+03,1.14E+03,9.90E+02,8.34E+02,7.05E+02,1.69E-01,1.76E-01,1.93E-01,2.12E-01,2.29E-01,2.47E-01,2.64E-01,2.81E-01,2.96E-01,3.16E-01,4.24E-01,6.45E-01,1.01E-01,1.61E-01,2.29E-01,3.01E-01,3.01E-01,4.59E-01,5.40E-01,6.22E-01,7.05E-01,7.83E-01,1.13E+00,1.50E+00,9.43E+01,1.27E+02,1.31E+02,1.28E+02,1.34E+02,1.51E+02,1.71E+02,1.92E+02,2.10E+02,2.26E+02,2.92E+02,3.08E+02,2.70E+02,2.11E+02,-3.19E-03,-1.03E-02,-1.43E-02,-1.34E-02,-9.29E-03,1.43E-04,1.28E-02,2.86E-02,4.53E-02,6.73E-02,1.96E-01,3.19E-01,1.25E+00,4.55E+00,7.06E+00,1.18E+01,2.16E+01,3.74E+01,5.74E+01,8.05E+01,1.05E+02,1.30E+02,2.67E+02,2.38E+02,-1.11E+01,-1.36E+01,-1.34E+01,-1.06E+01,-5.23E+00,1.29E+00,8.10E+00,1.53E+01,2.15E+01,2.90E+01,6.46E+01,4.24E+01,1.50E+01,1.27E+03,4.26E-02,5.10E-02,3.92E-02,8.46E-02,1.87E-01,0.00E+00
4.00E+00,-5.25E-01,-5.21E-01,-4.57E-01,-3.87E-01,-3.08E-01,-2.46E-01,-1.87E-01,-1.48E-01,-1.08E-01,-8.58E-02,3.28E-03,3.00E-03,5.06E-01,9.77E-01,1.37E+00,1.66E+00,1.66E+00,2.04E+00,2.17E+00,2.28E+00,2.36E+00,2.44E+00,2.69E+00,2.88E+00,1.07E+03,1.31E+03,1.35E+03,1.30E+03,1.23E+03,1.16E+03,1.10E+03,1.05E+03,1.01E+03,9.80E+02,8.75E+02,7.87E+02,7.02E+02,6.26E+02,1.73E-01,1.75E-01,1.93E-01,2.10E-01,2.27E-01,2.39E-01,2.51E-01,2.64E-01,2.79E-01,3.01E-01,4.04E-01,6.21E-01,1.32E-01,2.26E-01,3.50E-01,4.72E-01,4.72E-01,6.64E-01,7.35E-01,7.96E-01,8.54E-01,9.05E-01,1.15E+00,1.37E+00,9.70E+01,9.35E+01,1.51E+02,2.16E+02,2.53E+02,2.72E+02,2.80E+02,2.84E+02,2.84E+02,2.85E+02,2.86E+02,2.73E+02,2.35E+02,1.89E+02,-2.84E-03,-6.85E-03,-5.15E-03,4.59E-03,1.84E-02,3.73E-02,5.35E-02,7.46E-02,9.42E-02,1.21E-01,2.46E-01,3.49E-01,-1.15E-02,4.98E+00,3.01E+01,7.10E+01,1.10E+02,1.41E+02,1.64E+02,1.82E+02,1.96E+02,2.09E+02,2.66E+02,1.92E+02,-1.11E+01,-4.38E+00,2.43E+00,1.09E+01,1.84E+01,2.57E+01,3.02E+01,3.58E+01,3.96E+01,4.51E+01,6.49E+01,4.72E+01,1.70E+01,1.30E+03,4.55E-02,5.23E-02,3.76E-02,7.07E-02,1.87E-01,0.00E+00
