s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANOL,MLR_PRODUCTS,MLR_INTERMEDIATE PRODUCTS
 0.0000000E+000, 0.0000000E+000,-9.8735183E-006, 1.4619960E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.3632608E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 2.0003381E+000, 1.0776928E+001,-2.4875220E+000,-4.7172700E+000,-7.2637378E-001, 2.2660844E-003, 0.0000000E+000, 0.0000000E+000, 2.8125625E+000, 2.8480286E+000, 0.0000000E+000, 5.4580262E-004, 0.0000000E+000, 0.0000000E+000
 4.0005970E+000, 1.3409526E+001,-2.9870969E+000,-9.8352647E+000,-8.3930531E-001, 3.2239406E-003, 0.0000000E+000, 0.0000000E+000,-2.2045482E-001,-2.4891667E-001, 0.0000000E+000, 6.4122007E-004, 0.0000000E+000, 0.0000000E+000
 6.0007997E+000, 1.4640032E+001,-3.2589435E+000,-1.0364042E+001,-8.4437693E-001, 3.4546777E-003, 0.0000000E+000, 0.0000000E+000, 1.9434684E-001, 1.7612480E-001, 0.0000000E+000, 6.9685069E-004, 0.0000000E+000, 0.0000000E+000
 8.0005703E+000, 1.5684085E+001,-3.5052879E+000,-1.1134584E+001,-8.4110530E-001, 3.7303785E-003, 0.0000000E+000, 0.0000000E+000, 2.4492368E-001, 2.0683876E-001, 0.0000000E+000, 7.5645888E-004, 0.0000000E+000, 0.0000000E+000
 1.0000359E+001, 1.6682787E+001,-3.7507396E+000,-1.2167369E+001,-8.3046542E-001, 3.9406106E-003, 0.0000000E+000, 0.0000000E+000,-2.9801894E-002,-6.1846579E-002, 0.0000000E+000, 8.1048340E-004, 0.0000000E+000, 0.0000000E+000
 1.2000410E+001, 1.8028933E+001,-3.9950030E+000,-1.2820420E+001,-8.2704249E-001, 4.1709030E-003, 0.0000000E+000, 0.0000000E+000, 4.2070220E-001, 3.9063823E-001, 0.0000000E+000, 8.6481866E-004, 0.0000000E+000, 0.0000000E+000
 1.4000690E+001, 1.8548424E+001,-4.1349895E+000,-1.4292188E+001,-8.3323232E-001, 4.1218355E-003, 0.0000000E+000, 0.0000000E+000,-6.5980296E-001,-7.0786356E-001, 0.0000000E+000, 8.9439109E-004, 0.0000000E+000, 0.0000000E+000
 1.6000652E+001, 1.9465170E+001,-4.3035715E+000,-1.4094034E+001,-8.0222821E-001, 4.3678699E-003, 0.0000000E+000, 0.0000000E+000, 2.9104703E-001, 2.6970390E-001, 0.0000000E+000, 9.4093685E-004, 0.0000000E+000, 0.0000000E+000
