cm,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,K,K,K,K,K,K,K,K,K,K,K,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,m/s,C,C,C,C,C,C,C,C,C,C,C,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*m/s,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,m/s*C,cm,K,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol,mol/mol
r,Up2,Up4,Up6,Up8,Up10,Up12,Up14,Up16,Up18,Up20,Up30,Wp2,Wp4,Wp6,Wp8,Wp10,Wp12,Wp14,Wp16,Wp18,Wp20,Wp30,Tp2,Tp4,Tp6,Tp8,Tp10,Tp12,Tp14,Tp16,Tp18,Tp20,Tp30,Urms2,Urms4,Urms6,Urms8,Urms10,Urms12,Urms14,Urms16,Urms18,Urms20,Urms30,Wrms2,Wrms4,Wrms6,Wrms8,Wrms10,Wrms12,Wrms14,Wrms16,Wrms18,Wrms20,Wrms30,Trms2,Trms4,Trms6,Trms8,Trms10,Trms12,Trms14,Trms16,Trms18,Trms20,Trms30,UW2,UW4,UW6,UW8,UW10,UW12,UW14,UW16,UW18,UW20,UW30,TW2,TW4,TW6,TW8,TW10,TW12,TW14,TW16,TW18,TW20,TW30,TU2,TU4,TU6,TU8,TU10,TU12,TU14,TU16,TU18,TU20,TU30,z,T_CL,X_O2,X_CO2,X_CO,X_FUEL,X_H2O,X_H2
-4.00E+00,2.42E-01,1.98E-01,1.68E-01,1.33E-01,1.11E-01,8.50E-02,6.96E-02,4.97E-02,4.18E-02,2.99E-02,1.21E-02,4.99E-01,9.17E-01,1.28E+00,1.58E+00,1.84E+00,2.05E+00,2.23E+00,2.38E+00,2.50E+00,2.61E+00,2.85E+00,1.18E+03,1.20E+03,1.19E+03,1.16E+03,1.14E+03,1.11E+03,1.08E+03,1.05E+03,1.02E+03,9.88E+02,8.26E+02,1.91E-01,1.89E-01,1.98E-01,2.09E-01,2.23E-01,2.37E-01,2.52E-01,2.67E-01,2.85E-01,3.00E-01,3.75E-01,1.43E-01,2.01E-01,2.69E-01,3.44E-01,4.24E-01,5.00E-01,5.74E-01,6.46E-01,7.12E-01,7.74E-01,1.00E+00,1.14E+02,1.29E+02,1.54E+02,1.80E+02,2.00E+02,2.16E+02,2.28E+02,2.38E+02,2.44E+02,2.47E+02,2.31E+02,2.12E-03,5.69E-03,1.43E-02,2.55E-02,3.81E-02,5.04E-02,6.41E-02,7.61E-02,9.12E-02,1.04E-01,1.53E-01,1.18E+01,2.24E+01,3.74E+01,5.64E+01,7.68E+01,9.71E+01,1.17E+02,1.36E+02,1.52E+02,1.66E+02,1.89E+02,-4.90E+00,1.24E+00,8.49E+00,1.42E+01,1.90E+01,2.29E+01,2.64E+01,2.91E+01,3.23E+01,3.40E+01,3.46E+01,1.00E+00,9.91E+02,2.30E-02,3.49E-02,5.20E-02,2.32E-01,1.79E-01,0.00E+00
-3.00E+00,2.42E-01,1.98E-01,1.68E-01,1.33E-01,1.11E-01,8.50E-02,6.96E-02,4.97E-02,4.18E-02,2.99E-02,1.21E-02,4.99E-01,9.17E-01,1.28E+00,1.58E+00,1.84E+00,2.05E+00,2.23E+00,2.38E+00,2.50E+00,2.61E+00,2.85E+00,1.18E+03,1.20E+03,1.19E+03,1.16E+03,1.14E+03,1.11E+03,1.08E+03,1.05E+03,1.02E+03,9.88E+02,8.26E+02,1.91E-01,1.89E-01,1.98E-01,2.09E-01,2.23E-01,2.37E-01,2.52E-01,2.67E-01,2.85E-01,3.00E-01,3.75E-01,1.43E-01,2.01E-01,2.69E-01,3.44E-01,4.24E-01,5.00E-01,5.74E-01,6.46E-01,7.12E-01,7.74E-01,1.00E+00,1.14E+02,1.29E+02,1.54E+02,1.80E+02,2.00E+02,2.16E+02,2.28E+02,2.38E+02,2.44E+02,2.47E+02,2.31E+02,2.12E-03,5.69E-03,1.43E-02,2.55E-02,3.81E-02,5.04E-02,6.41E-02,7.61E-02,9.12E-02,1.04E-01,1.53E-01,1.18E+01,2.24E+01,3.74E+01,5.64E+01,7.68E+01,9.71E+01,1.17E+02,1.36E+02,1.52E+02,1.66E+02,1.89E+02,-4.90E+00,1.24E+00,8.49E+00,1.42E+01,1.90E+01,2.29E+01,2.64E+01,2.91E+01,3.23E+01,3.40E+01,3.46E+01,3.00E+00,1.14E+03,3.05E-02,4.16E-02,5.09E-02,1.45E-01,1.91E-01,0.00E+00
-2.00E+00,2.42E-01,1.98E-01,1.68E-01,1.33E-01,1.11E-01,8.50E-02,6.96E-02,4.97E-02,4.18E-02,2.99E-02,1.21E-02,4.99E-01,9.17E-01,1.28E+00,1.58E+00,1.84E+00,2.05E+00,2.23E+00,2.38E+00,2.50E+00,2.61E+00,2.85E+00,1.18E+03,1.20E+03,1.19E+03,1.16E+03,1.14E+03,1.11E+03,1.08E+03,1.05E+03,1.02E+03,9.88E+02,8.26E+02,1.91E-01,1.89E-01,1.98E-01,2.09E-01,2.23E-01,2.37E-01,2.52E-01,2.67E-01,2.85E-01,3.00E-01,3.75E-01,1.43E-01,2.01E-01,2.69E-01,3.44E-01,4.24E-01,5.00E-01,5.74E-01,6.46E-01,7.12E-01,7.74E-01,1.00E+00,1.14E+02,1.29E+02,1.54E+02,1.80E+02,2.00E+02,2.16E+02,2.28E+02,2.38E+02,2.44E+02,2.47E+02,2.31E+02,2.12E-03,5.69E-03,1.43E-02,2.55E-02,3.81E-02,5.04E-02,6.41E-02,7.61E-02,9.12E-02,1.04E-01,1.53E-01,1.18E+01,2.24E+01,3.74E+01,5.64E+01,7.68E+01,9.71E+01,1.17E+02,1.36E+02,1.52E+02,1.66E+02,1.89E+02,-4.90E+00,1.24E+00,8.49E+00,1.42E+01,1.90E+01,2.29E+01,2.64E+01,2.91E+01,3.23E+01,3.40E+01,3.46E+01,5.00E+00,1.20E+03,3.86E-02,4.59E-02,4.66E-02,9.82E-02,1.92E-01,0.00E+00
-1.00E+00,1.24E-01,1.01E-01,8.48E-02,6.68E-02,5.41E-02,4.07E-02,3.22E-02,2.26E-02,1.79E-02,1.16E-02,-2.05E-03,4.80E-01,9.17E-01,1.31E+00,1.67E+00,1.97E+00,2.24E+00,2.46E+00,2.65E+00,2.81E+00,2.94E+00,3.25E+00,1.11E+03,1.18E+03,1.21E+03,1.22E+03,1.22E+03,1.21E+03,1.20E+03,1.18E+03,1.16E+03,1.13E+03,9.40E+02,1.99E-01,2.09E-01,2.24E-01,2.35E-01,2.50E-01,2.61E-01,2.76E-01,2.90E-01,3.06E-01,3.19E-01,3.91E-01,1.03E-01,1.43E-01,1.85E-01,2.33E-01,2.87E-01,3.46E-01,4.16E-01,4.92E-01,5.67E-01,6.37E-01,9.24E-01,1.02E+02,9.78E+01,9.67E+01,1.05E+02,1.21E+02,1.40E+02,1.60E+02,1.78E+02,1.94E+02,2.07E+02,2.21E+02,-3.19E-03,-1.87E-03,1.62E-03,8.38E-03,1.61E-02,2.60E-02,3.73E-02,4.86E-02,6.05E-02,6.92E-02,9.60E-02,4.69E+00,7.72E+00,1.16E+01,1.76E+01,2.69E+01,3.97E+01,5.58E+01,7.43E+01,9.34E+01,1.12E+02,1.65E+02,-6.96E+00,-5.15E+00,-1.64E+00,2.80E+00,7.28E+00,1.18E+01,1.62E+01,1.95E+01,2.22E+01,2.37E+01,2.34E+01,7.00E+00,1.22E+03,4.71E-02,4.86E-02,4.12E-02,6.98E-02,1.87E-01,0.00E+00
-2.00E-02,1.24E-01,1.01E-01,8.48E-02,6.68E-02,5.41E-02,4.07E-02,3.22E-02,2.26E-02,1.79E-02,1.16E-02,-2.05E-03,4.80E-01,9.17E-01,1.31E+00,1.67E+00,1.97E+00,2.24E+00,2.46E+00,2.65E+00,2.81E+00,2.94E+00,3.25E+00,1.11E+03,1.18E+03,1.21E+03,1.22E+03,1.22E+03,1.21E+03,1.20E+03,1.18E+03,1.16E+03,1.13E+03,9.40E+02,1.99E-01,2.09E-01,2.24E-01,2.35E-01,2.50E-01,2.61E-01,2.76E-01,2.90E-01,3.06E-01,3.19E-01,3.91E-01,1.03E-01,1.43E-01,1.85E-01,2.33E-01,2.87E-01,3.46E-01,4.16E-01,4.92E-01,5.67E-01,6.37E-01,9.24E-01,1.02E+02,9.78E+01,9.67E+01,1.05E+02,1.21E+02,1.40E+02,1.60E+02,1.78E+02,1.94E+02,2.07E+02,2.21E+02,-3.19E-03,-1.87E-03,1.62E-03,8.38E-03,1.61E-02,2.60E-02,3.73E-02,4.86E-02,6.05E-02,6.92E-02,9.60E-02,4.69E+00,7.72E+00,1.16E+01,1.76E+01,2.69E+01,3.97E+01,5.58E+01,7.43E+01,9.34E+01,1.12E+02,1.65E+02,-6.96E+00,-5.15E+00,-1.64E+00,2.80E+00,7.28E+00,1.18E+01,1.62E+01,1.95E+01,2.22E+01,2.37E+01,2.34E+01,9.00E+00,1.23E+03,5.49E-02,5.04E-02,3.62E-02,5.13E-02,1.80E-01,0.00E+00
1.00E+00,-1.76E-01,-1.52E-01,-1.34E-01,-1.13E-01,-9.83E-02,-7.97E-02,-6.79E-02,-5.41E-02,-4.73E-02,-3.59E-02,-1.44E-02,5.01E-01,9.43E-01,1.34E+00,1.69E+00,1.98E+00,2.24E+00,2.44E+00,2.62E+00,2.76E+00,2.88E+00,3.17E+00,1.14E+03,1.20E+03,1.23E+03,1.23E+03,1.22E+03,1.20E+03,1.18E+03,1.15E+03,1.12E+03,1.09E+03,9.09E+02,1.89E-01,1.95E-01,2.05E-01,2.20E-01,2.34E-01,2.47E-01,2.60E-01,2.75E-01,2.88E-01,3.01E-01,3.76E-01,1.01E-01,1.42E-01,1.89E-01,2.48E-01,3.11E-01,3.79E-01,4.51E-01,5.26E-01,5.99E-01,6.65E-01,9.09E-01,1.02E+02,9.89E+01,1.02E+02,1.13E+02,1.32E+02,1.51E+02,1.71E+02,1.89E+02,2.03E+02,2.14E+02,2.19E+02,-3.77E-03,-2.53E-03,8.52E-05,5.34E-03,1.32E-02,2.14E-02,2.97E-02,3.93E-02,4.80E-02,5.91E-02,1.14E-01,4.04E+00,7.68E+00,1.38E+01,2.25E+01,3.40E+01,4.85E+01,6.58E+01,8.43E+01,1.03E+02,1.20E+02,1.62E+02,-9.24E+00,-6.92E+00,-3.31E+00,9.34E-01,5.83E+00,9.89E+00,1.34E+01,1.68E+01,1.93E+01,2.20E+01,2.84E+01,1.10E+01,1.22E+03,6.25E-02,5.15E-02,3.13E-02,3.83E-02,1.73E-01,0.00E+00
2.00E+00,-3.23E-01,-2.64E-01,-2.21E-01,-1.79E-01,-1.49E-01,-1.18E-01,-9.91E-02,-7.56E-02,-6.37E-02,-4.48E-02,-7.14E-03,5.23E-01,9.21E-01,1.25E+00,1.52E+00,1.73E+00,1.90E+00,2.04E+00,2.17E+00,2.28E+00,2.37E+00,2.64E+00,1.20E+03,1.19E+03,1.15E+03,1.10E+03,1.05E+03,1.01E+03,9.78E+02,9.47E+02,9.18E+02,8.91E+02,7.66E+02,1.81E-01,1.89E-01,2.01E-01,2.13E-01,2.27E-01,2.42E-01,2.59E-01,2.71E-01,2.87E-01,3.00E-01,3.66E-01,1.44E-01,2.24E-01,3.05E-01,3.94E-01,4.90E-01,5.81E-01,6.54E-01,7.13E-01,7.65E-01,8.09E-01,1.01E+00,1.16E+02,1.59E+02,1.93E+02,2.17E+02,2.32E+02,2.39E+02,2.43E+02,2.43E+02,2.42E+02,2.40E+02,2.12E+02,1.55E-03,6.00E-03,1.47E-02,2.73E-02,4.27E-02,5.80E-02,7.63E-02,9.05E-02,1.05E-01,1.16E-01,1.80E-01,1.38E+01,3.36E+01,5.64E+01,8.19E+01,1.06E+02,1.25E+02,1.40E+02,1.50E+02,1.59E+02,1.65E+02,1.72E+02,-1.65E+00,4.26E+00,1.13E+01,1.75E+01,2.27E+01,2.64E+01,3.05E+01,3.28E+01,3.49E+01,3.58E+01,3.71E+01,1.30E+01,1.20E+03,6.97E-02,5.21E-02,2.68E-02,2.88E-02,1.65E-01,0.00E+00
3.00E+00,-3.23E-01,-2.64E-01,-2.21E-01,-1.79E-01,-1.49E-01,-1.18E-01,-9.91E-02,-7.56E-02,-6.37E-02,-4.48E-02,-7.14E-03,5.23E-01,9.21E-01,1.25E+00,1.52E+00,1.73E+00,1.90E+00,2.04E+00,2.17E+00,2.28E+00,2.37E+00,2.64E+00,1.20E+03,1.19E+03,1.15E+03,1.10E+03,1.05E+03,1.01E+03,9.78E+02,9.47E+02,9.18E+02,8.91E+02,7.66E+02,1.81E-01,1.89E-01,2.01E-01,2.13E-01,2.27E-01,2.42E-01,2.59E-01,2.71E-01,2.87E-01,3.00E-01,3.66E-01,1.44E-01,2.24E-01,3.05E-01,3.94E-01,4.90E-01,5.81E-01,6.54E-01,7.13E-01,7.65E-01,8.09E-01,1.01E+00,1.16E+02,1.59E+02,1.93E+02,2.17E+02,2.32E+02,2.39E+02,2.43E+02,2.43E+02,2.42E+02,2.40E+02,2.12E+02,1.55E-03,6.00E-03,1.47E-02,2.73E-02,4.27E-02,5.80E-02,7.63E-02,9.05E-02,1.05E-01,1.16E-01,1.80E-01,1.38E+01,3.36E+01,5.64E+01,8.19E+01,1.06E+02,1.25E+02,1.40E+02,1.50E+02,1.59E+02,1.65E+02,1.72E+02,-1.65E+00,4.26E+00,1.13E+01,1.75E+01,2.27E+01,2.64E+01,3.05E+01,3.28E+01,3.49E+01,3.58E+01,3.71E+01,1.50E+01,1.18E+03,7.69E-02,5.21E-02,2.28E-02,2.17E-02,1.58E-01,0.00E+00
4.00E+00,-3.97E-01,-3.17E-01,-2.60E-01,-2.13E-01,-1.80E-01,-1.48E-01,-1.25E-01,-1.01E-01,-8.59E-02,-6.60E-02,-2.51E-02,4.47E-01,7.06E-01,8.90E-01,1.03E+00,1.15E+00,1.27E+00,1.37E+00,1.47E+00,1.55E+00,1.63E+00,1.96E+00,1.06E+03,9.43E+02,8.53E+02,7.91E+02,7.48E+02,7.18E+02,6.95E+02,6.78E+02,6.63E+02,6.52E+02,6.02E+02,1.56E-01,1.61E-01,1.71E-01,1.88E-01,2.05E-01,2.22E-01,2.36E-01,2.46E-01,2.57E-01,2.67E-01,3.39E-01,2.52E-01,3.57E-01,4.46E-01,5.28E-01,5.87E-01,6.32E-01,6.70E-01,7.06E-01,7.38E-01,7.69E-01,8.98E-01,2.15E+02,2.41E+02,2.43E+02,2.37E+02,2.29E+02,2.22E+02,2.14E+02,2.07E+02,2.02E+02,1.98E+02,1.75E+02,5.03E-03,1.29E-02,2.55E-02,4.11E-02,5.71E-02,7.28E-02,8.66E-02,9.69E-02,1.08E-01,1.17E-01,1.72E-01,5.60E+01,8.44E+01,1.03E+02,1.15E+02,1.20E+02,1.22E+02,1.23E+02,1.24E+02,1.25E+02,1.25E+02,1.25E+02,7.77E+00,1.24E+01,1.61E+01,1.96E+01,2.27E+01,2.55E+01,2.72E+01,2.79E+01,2.89E+01,2.90E+01,2.96E+01,1.70E+01,1.16E+03,8.37E-02,5.18E-02,1.91E-02,1.63E-02,1.50E-01,0.00E+00
