,z(cm),r(cm),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0,16.0,-4.0,937.5,367.7,1.516,0.9490000000000001,0.092,0.294,288.69599999999997,-21.993000000000002,-0.057
1,16.0,-2.0,1043.0,324.5,1.63,1.043,0.084,0.247,239.644,-16.217,-0.04
2,16.0,0.0,1190.7,233.3,1.93,0.972,0.057,0.25,49.175,0.34299999999999997,-0.003
3,16.0,2.0,1149.8,267.0,1.7790000000000001,0.9390000000000001,-0.043,0.282,127.415,11.744000000000002,0.035
4,16.0,4.0,941.2,348.6,1.524,0.93,-0.068,0.304,257.865,19.757,0.07
5,16.0,6.0,844.0,341.8,1.3219999999999998,0.843,-0.08800000000000001,0.335,228.253,29.358,0.078
6,16.0,8.0,788.2,321.9,1.111,0.6709999999999999,-0.077,0.41100000000000003,156.963,41.258,0.094
7,16.0,10.0,733.2,344.7,0.8290000000000001,0.575,-0.084,0.41700000000000004,142.43,56.833999999999996,0.1
8,16.0,12.0,627.0,318.6,0.519,0.46,-0.109,0.39299999999999996,99.134,32.387,0.078
9,16.0,14.000000000000002,482.6,249.5,0.313,0.33899999999999997,-0.13,0.34,64.818,15.41,0.040999999999999995
10,16.0,16.0,374.8,166.0,0.14400000000000002,0.24,-0.151,0.264,26.095,-0.647,0.008
