,z(cm),r(cm),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0,8.0,-4.0,1218.8,259.7,1.0390000000000001,0.66,0.109,0.278,89.75299999999999,3.728,0.052000000000000005
1,8.0,-2.0,1215.7,222.7,1.119,0.544,0.085,0.23399999999999999,38.528,1.061,0.035
2,8.0,0.0,1072.0,277.9,1.034,0.531,-0.035,0.20800000000000002,63.028,8.555,0.012
3,8.0,2.0,1254.4,236.0,1.112,0.6709999999999999,-0.12,0.245,64.712,4.315,-0.026000000000000002
4,8.0,4.0,1125.6,319.1,0.8690000000000001,0.7609999999999999,-0.138,0.292,183.34400000000002,-11.398,-0.044000000000000004
5,8.0,6.0,1028.1,296.4,0.785,0.642,-0.158,0.34700000000000003,146.725,0.405,0.017
6,8.0,8.0,1019.6,290.9,0.815,0.539,-0.22699999999999998,0.381,109.604,25.604,0.068
7,8.0,10.0,966.2,356.4,0.7909999999999999,0.5579999999999999,-0.23800000000000002,0.381,139.799,57.928999999999995,0.10800000000000001
8,8.0,12.0,831.3,367.6,0.531,0.462,-0.24600000000000002,0.326,91.84299999999999,30.18,0.065
9,8.0,14.000000000000002,584.7,301.8,0.21899999999999997,0.248,-0.23199999999999998,0.28,27.974,-1.9580000000000002,0.022000000000000002
10,8.0,16.0,328.3,121.2,0.07400000000000001,0.145,-0.213,0.17800000000000002,4.988,-1.311,0.0
