z(m),r(m),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0.04,-0.04,1046.4,228.2,0.424,0.368,0.215,0.281,42.594,-4.186,0.034
0.04,-0.02,927.8,201.1,0.331,0.395,0.178,0.234,44.082,18.924,0.036
0.04,0,878.7,188.4,0.362,0.282,-0.013,0.166,23.784,-1.184,0.006
0.04,0.02,915.1,226.3,0.297,0.393,-0.117,0.186,48.185,-13.475,-0.03
0.04,0.04,1029.7,254,0.377,0.433,-0.169,0.227,69.84,-0.869,-0.036
0.04,0.06,1075.8,298.5,0.444,0.417,-0.258,0.27,84.85,7.787,-0.025
0.04,0.08,1035.1,283.6,0.515,0.398,-0.386,0.26,84.913,17.071,0.009
0.04,0.1,1021.3,313.5,0.521,0.367,-0.381,0.223,86.034,23.419,0.033
0.04,0.12,788.7,297.9,0.3,0.31,-0.32,0.18,64.581,15.108,0.033
0.04,0.14,432.9,122.6,0.091,0.165,-0.279,0.143,4.652,1.074,0.002
0.04,0.16,298.4,0.5,0.071,0.082,-0.193,0.098,-0.005,-0.005,-0.005
