,z(cm),r(cm),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0,16.0,-4.0,936.2,302.2,1.479,0.875,-0.012,0.419,196.187,-35.773,-0.09699999999999999
1,16.0,-2.0,1098.5,249.3,1.733,0.9179999999999999,-0.045,0.34700000000000003,101.814,-15.584000000000001,-0.024
2,16.0,0.0,1166.7,232.3,1.929,0.8029999999999999,-0.025,0.313,25.123,-3.609,0.026000000000000002
3,16.0,2.0,1143.8,257.9,1.829,0.9690000000000001,-0.021,0.304,106.306,16.436,0.047
4,16.0,4.0,900.8,294.9,1.446,0.922,-0.032,0.387,216.101,20.75,0.095
5,16.0,6.0,843.2,269.6,1.2690000000000001,0.7340000000000001,-0.068,0.445,148.702,27.168000000000003,0.07
6,16.0,8.0,821.2,263.4,1.151,0.561,-0.1,0.441,87.365,33.232,0.07200000000000001
7,16.0,10.0,732.5,254.5,0.924,0.523,-0.102,0.43799999999999994,70.695,40.426,0.09699999999999999
8,16.0,12.0,626.7,244.1,0.664,0.47,-0.10300000000000001,0.451,68.483,37.187,0.08
9,16.0,14.000000000000002,539.8,232.1,0.406,0.364,-0.134,0.415,43.468999999999994,10.409,0.037000000000000005
10,16.0,16.0,423.3,161.1,0.196,0.235,-0.16,0.316,14.482000000000001,-5.073,0.006
