,z(cm),r(cm),T-bar(K),T-rms(K),Uz-bar(m/s),Uz-rms(m/s),Ux-bar(m/s),Ux-rms(m/s),Uz'T'(m/s)K,Ux'T'(m/s)K,Uz'Ux'(m/s)^2
0,20.0,-4.0,910.5,301.3,1.681,0.883,-0.046,0.5,192.408,-46.658,-0.11
1,20.0,-2.0,1094.7,261.1,1.9569999999999999,0.956,-0.064,0.429,119.715,-21.163,-0.062
2,20.0,0.0,1127.8,240.8,2.0780000000000003,0.992,-0.017,0.337,91.704,0.17300000000000001,0.017
3,20.0,2.0,1094.2,266.1,2.016,1.05,0.013000000000000001,0.37799999999999995,133.524,23.453000000000003,0.11900000000000001
4,20.0,4.0,854.2,280.0,1.6219999999999999,0.941,0.001,0.435,196.541,24.429000000000002,0.131
5,20.0,6.0,821.8,268.2,1.446,0.753,-0.017,0.479,146.815,30.854,0.094
6,20.0,8.0,753.1,257.9,1.2229999999999999,0.609,-0.055999999999999994,0.473,93.584,35.521,0.073
7,20.0,10.0,648.8,221.1,0.948,0.516,-0.068,0.449,55.152,34.019,0.061
8,20.0,12.0,574.3,206.3,0.7240000000000001,0.461,-0.081,0.447,51.36,35.791,0.059000000000000004
9,20.0,14.000000000000002,517.9,197.4,0.494,0.42200000000000004,-0.096,0.442,41.152,15.585,0.040999999999999995
10,20.0,16.0,447.2,168.6,0.27699999999999997,0.284,-0.121,0.381,25.358,-1.734,0.004
