z,coarse,medium,fine  
0,337.8,337.8,337.8
0.14,392.29,371.85,404.89
0.28,446.78,406.23,463.87
0.42,501.26,441.35,518.65
0.56,555.5,479.36,564.96
0.7,609.4,518.84,603.9
0.84,663.3,558.9,639.21
0.98,717.2,598.96,674.15
1.12,760.5,637.46,710.42
1.26,802.04,674.09,747.11
1.4,843.59,708.59,782.61
1.54,872.33,739.32,814.12
1.68,901.07,768.21,841.61
1.82,928.78,795.33,865.99
1.96,950.25,820.17,888.43
2.1,971.72,843.48,909.35
2.24,992.17,865.71,928.77
2.38,1010.1,886.77,947.34
2.52,1028,906.5,965.14
2.66,1045.4,925.53,982.26
2.8,1062.1,943.92,998.79
2.94,1078.8,965.26,1014.9
3.08,1089.5,980.48,1028.3
3.22,1095.9,991.09,1038.3
3.36,1102.2,1001.7,1049.2
3.5,1108.5,1012.3,1060.3
3.64,1114.9,1022.7,1071.4
3.78,1121.2,1033.1,1082.5
3.92,1127.5,1043.5,1093.9
4.06,1133.7,1053.1,1104.8
4.2,1139.7,1061.5,1115.3
4.34,1145.8,1070,1125.1
4.48,1151.8,1078.5,1134.6
4.62,1157.8,1085.9,1143.2
4.76,1163.8,1093.1,1151.5
4.9,1169.8,1100.3,1158.1
5.04,1175.6,1107.2,1164.1
5.18,1180.8,1113.6,1169
5.32,1186,1119.9,1173.4
5.46,1191.2,1126.3,1177.6
5.6,1196.4,1132,1181.3
5.74,1201.6,1137.5,1185
5.88,1206.8,1143,1188.3
6.02,1211.9,1148.4,1191.5
6.16,1216.4,1153.2,1194.8
6.3,1220.9,1158,1198.2
6.44,1225.5,1162.8,1201.7
6.58,1230,1167.3,1205.4
6.72,1234.5,1171.5,1209.1
6.86,1239,1175.8,1212.9
7,1243.5,1180,1216.6
7.14,1247.4,1183.9,1220.3
7.28,1251.2,1187.9,1224
7.42,1255.1,1191.8,1227.7
7.56,1258.9,1195.7,1231.2
7.7,1262.8,1199.4,1234.6
7.84,1266.7,1203.1,1237.9
7.98,1270.5,1206.8,1241.1
8.12,1273.9,1210,1244.3
8.26,1277.1,1213.2,1247.4
8.4,1280.3,1216.4,1250.5
8.54,1283.6,1219.4,1253.6
8.68,1286.8,1222.1,1256.8
8.82,1290,1224.7,1260
8.96,1293.3,1227.4,1263.2
9.1,1296,1229.7,1266.4
9.24,1298.6,1232,1269.7
9.38,1301.2,1234.2,1272.8
9.52,1303.8,1236.4,1275.9
9.66,1306.4,1238.2,1278.9
9.8,1309,1240.1,1281.7
9.94,1311.6,1242,1284.4
10.08,1313.8,1243.7,1286.9
10.22,1315.7,1245.2,1289.2
10.36,1317.7,1246.7,1291.2
10.5,1319.7,1248.2,1293.2
10.64,1321.6,1249.4,1295
10.78,1323.6,1250.5,1296.7
10.92,1325.5,1251.7,1298.3
11.06,1327.3,1252.6,1299.6
11.2,1328.8,1253.4,1300.6
11.34,1330.3,1254.1,1301
11.48,1331.7,1254.8,1301
11.62,1333.2,1255.4,1300.5
11.76,1334.7,1256,1299.8
11.9,1336.2,1256.6,1299.3
12.04,1337.5,1257.2,1298.9
12.18,1338.6,1257.8,1299.1
12.32,1339.6,1258.4,1299.5
12.46,1340.6,1258.9,1300.2
12.6,1341.7,1259.5,1300.9
12.74,1342.7,1260,1301.7
12.88,1343.7,1260.5,1302.4
13.02,1344.7,1261,1303.1
13.16,1345.2,1261.5,1303.6
13.3,1345.6,1262,1303.9
13.44,1346.1,1262.5,1304
13.58,1346.6,1262.8,1303.8
13.72,1347.1,1263.1,1303.3
13.86,1347.6,1263.4,1302.4
14,1348.1,1263.6,1301.5
